T	LX	LY	RX	RY
0	0	0	0	0
20	0,65535	-9,9999999960687E-6	0,65535999999999	-0,65536
40	0,65534	-9,9999999960687E-6	0,65535999999999	-0,65536
60	0,65534	-9,9999999960687E-6	0,65535	-0,65536
80	0,65534	-9,9999999960687E-6	0,65534	0
100	0,65533	-9,9999999960687E-6	0,65534	-0,65536
120	1,31069	-9,9999999960687E-6	0,65534	-0,65536
140	1,31069	-0,65537	1,31069	-0,65536
160	1,31068	-0,65537	1,31069	-0,65536
180	0,65532	-9,9999999960687E-6	1,31069	0
200	1,31068	0,65536	1,31068	9,9999999960687E-6
220	-0,65543	3,27683	-1,96614	5,89831
240	-1,31079	7,86439	-1,31078	7,86439
260	-1,31079	7,86439	-0,65543	7,20903
280	-0,65543	7,20902	-1,31078	7,20903
300	-0,65543	6,55366	-1,31078	6,55367
320	-0,65543	5,8983	-0,65542	5,24294
340	-0,65543	5,89829	-1,31078	5,24294
360	-0,65543	5,24293	-1,31077	4,58757
380	-0,65543	4,58756	-1,31077	4,58757
400	-0,65543	3,9322	-1,31077	3,93221
420	-0,65543	3,27684	-1,31077	2,62148
440	-1,31078	3,27683	-1,31077	2,62148
460	-1,31078	2,62147	-1,31077	2,62148
480	-0,65542	3,27683	-0,65541	3,27684
500	-1,31078	2,62147	-1,31077	2,62147
520	-0,65542	2,62147	3,93216	2,62146
540	4,58751	3,93217	3,2768	3,93219
560	3,27678	3,93218	3,2768	3,27682
580	3,27678	3,93217	3,27679	3,93219
600	3,27678	4,58754	2,62143	3,93218
620	2,62141	3,93218	2,62143	3,27682
640	1,96606	2,62145	1,96607	1,9661
660	1,96607	2,62144	1,96607	1,96609
680	1,31071	1,96608	1,96608	1,31072
700	1,31071	1,31071	1,31073	0,65535
720	1,31071	0,65534	1,31073	-1,0000000003174E-5
740	1,31072	0,65534	1,31073	-1,0000000003174E-5
760	1,31073	-1,9999999999243E-5	1,31074	-1,9999999999243E-5
780	1,31073	-2,9999999995312E-5	1,31074	-0,65538
800	1,31073	-0,65539	0,65538	-0,65538
820	0,65537	-0,65539	1,31074	-0,65539
840	0,65537	-0,65539	1,31073	-1,31075
860	5,89827	0,65532	16,38416	3,27674
880	20,97172	5,24281	19,661	5,89819
900	19,66098	6,55355	20,31634	6,55355
920	20,31633	6,55354	20,31633	6,55355
940	20,31632	7,20891	20,31633	5,89819
960	19,66095	5,89818	19,66097	5,89819
980	19,66096	5,89817	19,66096	5,24282
1000	19,66095	5,89817	19,66096	4,58745
1020	19,66095	4,58744	19,0056	3,93208
1040	19,66094	3,93208	19,0056	3,27672
1060	19,00558	3,27671	19,0056	3,27672
1080	18,35022	3,27671	17,69488	2,62135
1100	18,35022	2,62134	17,69488	2,62135
1120	18,35023	2,62134	17,69488	1,96599
1140	18,35023	1,96598	17,69488	1,31062
1160	17,69487	1,31061	17,69488	1,31062
1180	17,69487	1,96597	17,03952	0,65526
1200	17,03951	1,31061	17,03952	0,65526
1220	17,03952	0,65525	16,38417	0,65526
1240	16,38416	0,65525	16,38417	-0,00010999999999939
1260	16,38416	-0,00010999999999939	16,38418	-0,00010999999999939
1280	16,38416	-0,00010999999999939	16,38418	-0,00010000000000332
1300	16,38416	-0,00011999999999546	15,07346	-0,65547
1320	15,72881	-0,00011999999999546	15,07346	-0,65547
1340	15,07345	-0,65548	15,07346	-1,31083
1360	15,07345	-0,65548	20,31639	-0,00012000000000256
1380	32,113	3,27664	39,32207	5,24272
1400	40,63536	6,55344	39,97745	6,55346
1420	39,97744	7,20882	39,97745	7,20883
1440	40,6328	7,86418	39,97745	7,86419
1460	39,97744	7,86419	39,32208	7,86419
1480	39,97744	7,86418	39,32209	7,20883
1500	39,32208	7,20883	39,32209	7,20883
1520	38,66671	6,55347	33,42379	5,89812
1540	32,11305	6,55348	31,45771	6,55349
1560	32,11305	6,55349	31,4577	6,5535
1580	31,45769	6,55349	31,4577	6,55349
1600	30,80234	6,55348	30,80235	5,89813
1620	30,80233	5,89812	30,14699	5,24277
1640	30,14698	5,24276	30,80235	5,24276
1660	41,28824	9,83027	52,42956	12,45169
1680	57,01714	13,7624	55,70642	13,76242
1700	55,70641	13,76241	56,36178	12,45169
1720	56,36176	13,10704	56,36177	12,45169
1740	56,36175	11,79632	55,7064	11,79633
1760	56,36174	11,14095	57,01712	11,14096
1780	56,36174	11,14095	57,01712	9,83024
1800	58,32782	9,83022	58,32782	9,17486
1820	59,63853	9,83021	58,32781	8,5195
1840	52,42949	7,20878	50,46338	7,2088
1860	51,11874	7,86415	51,11875	7,86416
1880	51,11872	7,86415	50,46337	7,2088
1900	51,11872	7,20878	50,46337	6,55343
1920	50,46335	6,55342	50,46336	5,89807
1940	50,46335	5,89806	50,46336	5,89807
1960	50,46334	5,89806	51,1187	5,24271
1980	51,11869	5,24269	51,1187	4,58734
2000	51,11869	4,58733	51,1187	4,58734
2020	51,77405	4,58732	51,1187	3,93197
2040	51,11869	4,58732	51,1187	3,93197
2060	51,77404	3,93196	57,01699	4,58731
2080	68,15823	7,86408	72,74584	9,1748
2100	72,74583	9,83016	72,74583	9,17481
2120	73,40117	9,1748	73,40118	8,51945
2140	73,40117	8,51944	73,40117	7,86408
2160	72,7458	7,86408	72,74581	7,20872
2180	72,74579	7,20871	72,7458	6,55336
2200	72,09043	6,55335	71,43508	6,55336
2220	71,43506	5,89798	70,77971	5,89799
2240	70,7797	5,89799	70,77971	5,89799
2260	70,12434	5,89798	70,12435	5,89798
2280	70,12434	5,89798	69,46899	5,24262
2300	70,12434	4,58724	65,53679	3,93191
2320	55,70627	3,93194	51,1187	4,58733
2340	50,46333	5,24268	-42,59778	4,58733
2360	50,46333	4,58732	49,80797	3,93196
2380	49,80796	3,93195	49,80796	3,2766
2400	49,15259	3,93195	49,1526	3,27659
2420	49,15259	3,27658	49,1526	2,62122
2440	49,15258	2,62121	49,15259	1,96587
2460	49,15258	1,96585	49,15259	1,96586
2480	48,49722	1,96585	49,15258	1,31049
2500	48,49722	0,65512	48,49722	0,65513
2520	48,49721	0,65511	48,49722	-0,6556
2540	48,49721	-0,65562	47,84186	-1,31098
2560	57,01697	-0,00027999999999651	74,71195	4,58721
2580	89,1301	8,51934	96,3392	9,83007
2600	94,37309	11,79616	94,37309	11,79617
2620	94,37308	12,45153	94,37308	13,1069
2640	95,02841	13,76225	95,02841	13,76226
2660	94,37303	13,76225	94,37302	13,1069
2680	93,71762	13,10689	93,06226	12,45153
2700	93,06223	12,45153	92,40686	11,79617
2720	91,75148	11,14081	91,75147	10,48545
2740	91,09609	10,48545	91,09609	10,48546
2760	91,09608	10,48545	90,44072	10,48546
2780	91,09607	11,14081	91,09609	11,1408
2800	91,75144	11,1408	92,40681	10,48544
2820	93,71753	11,14078	90,44071	7,864
2840	69,46894	-0,65565	40,63277	-9,83061
2860	14,41814	-13,76272	0,00010999999999939	-13,76268
2880	-1,966	-11,7966	-1,31063	-10,48588
2900	-1,96602	-9,83052	-2,62138	-9,17514
2920	-1,96605	-8,5198	-3,27677	-8,51979
2940	-3,2768	-7,86444	-3,93215	-8,5198
2960	-3,27681	-8,51981	-3,27682	-8,51981
2980	-3,93218	-8,51982	-3,93218	-9,17517
3000	-4,58755	-8,51982	-5,24291	-9,17517
3020	-13,76268	-9,83051	-19,00558	-9,83049
3040	-19,00559	-9,17514	-18,35022	-9,17513
3060	-19,00559	-9,17514	-19,00559	-9,83049
3080	-19,0056	-9,83051	-19,66095	-10,48586
3100	-19,66097	-10,48587	-19,66096	-11,14123
3120	-19,66097	-11,14124	-19,66096	-11,7966
3140	-19,66097	-11,79661	-19,66095	-12,45196
3160	-19,66096	-12,45197	-19,66095	-13,10733
3180	-19,00561	-13,10734	-9,83046	-11,79664
3200	7,20909	-7,86453	15,72888	-5,89846
3220	17,03959	-5,89846	16,38424	-5,89845
3240	17,69495	-5,89846	17,69495	-6,55382
3260	17,69494	-6,55382	18,35031	-7,20918
3280	17,69493	-6,55383	17,69494	-6,55381
3300	17,69493	-7,20918	17,69494	-7,20918
3320	17,69493	-7,20919	17,69494	-7,86454
3340	17,69493	-7,20919	17,69494	-8,5199
3360	17,69493	-8,51991	22,93787	-7,20919
3380	36,04523	-3,93243	41,94356	-2,62172
3400	42,59892	-2,62171	41,94356	-2,6217
3420	41,94355	-2,62172	42,59892	-3,27707
3440	42,5989	-3,27709	42,59891	-3,93244
3460	41,94354	-3,93245	42,59891	-4,5878
3480	42,59889	-4,58781	41,94354	-5,24317
3500	41,94353	-5,24317	41,94354	-5,89853
3520	41,94353	-5,89854	41,28818	-5,89853
3540	41,94353	-6,55391	41,94354	-6,5539
3560	41,94353	-7,20927	42,59889	-7,86462
3580	43,25424	-7,20927	43,25424	-7,86462
3600	43,25422	-7,86463	43,25423	-8,51999
3620	43,25421	-8,51999	43,25422	-8,51998
3640	43,90957	-8,51999	43,90957	-8,51998
3660	43,90955	-9,17535	43,90957	-9,83071
3680	43,90955	-9,83072	43,90957	-10,48607
3700	39,97736	-11,14143	30,80223	-11,79674
3720	26,87003	-10,48601	26,87005	-9,83064
3740	26,87003	-9,83065	26,87004	-9,83064
3760	27,52539	-9,83065	27,5254	-9,83064
3780	36,04514	-7,20923	59,63841	-0,65566
3800	76,02267	3,27646	77,9888	4,5872
3820	76,67805	5,89793	76,67805	5,89795
3840	77,98876	6,55329	77,98877	6,5533
3860	77,98875	6,55329	77,98876	6,5533
3880	79,29947	6,55329	79,29948	5,89793
3900	79,29947	6,55329	79,29948	5,89793
3920	79,95483	5,89792	79,95484	5,89793
3940	79,95483	5,89792	79,95484	5,89792
3960	79,95483	5,89792	76,67801	4,58722
3980	68,81358	3,93187	67,50286	4,58725
4000	68,15822	4,58724	68,15822	5,24261
4020	68,15821	5,89797	68,81358	5,89798
4040	68,81357	6,55333	68,15822	7,2087
4060	68,81357	7,86406	68,81358	7,20871
4080	68,81357	7,86406	68,81358	7,86407
4100	69,46893	7,86407	77,98873	9,17477
4120	86,50854	11,79618	88,47467	12,45155
4140	87,81929	13,10692	87,16394	13,10693
4160	88,47466	13,10692	87,81931	13,10692
4180	88,47465	13,10691	88,47467	13,10692
4200	89,13002	13,1069	88,47467	12,45156
4220	88,47466	13,1069	89,13003	12,45156
4240	89,78539	12,45154	86,50857	10,48548
4260	66,84754	3,27656	38,01139	-4,58767
4280	13,76286	-9,17515	-0,65518	-9,83049
4300	-0,65519	-8,51978	0,65553999999999	-7,20905
4320	1,31087	-6,55369	1,31088	-6,55368
4340	1,96622	-5,89833	1,96623	-5,24296
4360	2,62157	-4,58761	3,27693	-4,58761
4380	3,27692	-4,58761	3,27693	-4,58761
4400	3,93227	-4,58762	3,93228	-4,58761
4420	4,58763	-5,24299	4,58764	-5,24298
4440	5,89835	-5,89835	1,96618	-7,20905
4460	-6,5536	-7,86439	-8,51967	-7,86438
4480	-7,86432	-7,20903	-7,20895	-7,86439
4500	-7,86433	-8,51975	-7,20896	-8,51975
4520	-7,20897	-8,51977	-7,20896	-9,17512
4540	-6,55361	-9,17513	-5,89825	-9,17513
4560	-5,89827	-9,8305	-5,24291	-9,8305
4580	-5,24293	-10,48586	-4,58756	-11,14122
4600	-4,58758	-10,48587	-4,58757	-11,14122
4620	-4,58758	-11,14124	-4,58757	-11,79586
4640	5,2429	-11,14127	20,31637	-8,51986
4660	26,21466	-7,20916	25,5593	-7,20915
4680	24,90392	-7,20916	25,55929	-7,20915
4700	26,21463	-7,86452	26,21464	-8,51988
4720	26,21462	-8,51989	26,86998	-8,51988
4740	26,86997	-8,51989	26,86998	-9,17524
4760	26,86996	-9,17525	26,86997	-9,17525
4780	26,86996	-9,17526	26,86997	-9,83061
4800	26,86996	-9,83062	32,11289	-7,86454
4820	41,28804	-5,24312	44,56489	-3,9324
4840	43,90951	-3,93241	43,90952	-4,58775
4860	44,56487	-4,58777	44,56487	-5,24312
4880	45,22022	-5,24313	45,22023	-5,89849
4900	45,22022	-5,24313	45,22023	-5,89849
4920	45,22021	-6,55386	45,22022	-6,55386
4940	45,22021	-6,55387	45,22022	-7,20922
4960	45,22021	-7,86459	39,97729	-10,48602
4980	37,3558	-10,48602	37,35582	-9,83065
5000	37,35581	-9,83066	37,35582	-9,83066
5020	37,3558	-9,83066	37,35581	-10,48602
5040	36,70044	-10,48603	36,70045	-11,14138
5060	36,70043	-11,1414	36,04508	-11,14139
5080	36,04507	-11,79676	35,38971	-11,79676
5100	36,04506	-12,45213	35,38971	-12,45213
5120	37,35579	-11,79678	51,11853	-7,86464
5140	63,57056	-4,58788	68,81352	-3,93252
5160	67,50277	-3,93252	67,50278	-4,58787
5180	67,50277	-4,58788	68,15813	-5,24324
5200	68,15812	-5,24326	68,15812	-5,89861
5220	68,15811	-5,24326	68,81348	-5,24325
