T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	-0,65536
40	0	-1,0000000003174E-5	0,65536	-1,0000000003174E-5
60	0,65536	-1,0000000003174E-5	0,65537	-1,0000000003174E-5
80	0,65536	0,65535	0,65537	-1,0000000003174E-5
100	1,0000000003174E-5	0,65535	0,65537	-1,0000000003174E-5
120	0	1,31072	0,65537	-1,0000000003174E-5
140	0	1,31071	0,65537	-1,0000000003174E-5
160	0,65536	1,31072	0,65537	0,65535
180	0,65537	1,96608	0,65537	1,31071
200	0,65537	1,96608	0,65537	1,96608
220	1,0000000003174E-5	2,62144	0,65537	1,96608
240	0	2,62143	0	1,96607
260	-0,65537	3,2768	0	1,96607
280	-9,9999999960687E-6	3,27679	0	1,96607
300	-9,9999999960687E-6	2,62143	0	1,96606
320	0,65536	1,3107	2,62158	-2,62147
340	3,93238	-1,31076	3,93237	-1,96612
360	3,27699	-1,31075	3,277	-2,62147
380	3,27699	-1,31075	3,27699	-2,62147
400	3,27699	-1,96611	3,27699	-3,27684
420	2,62163	-2,62147	2,62163	-3,27684
440	2,62163	-2,62148	3,277	-3,27685
460	3,27699	-2,62149	3,277	-3,27685
480	3,277	-2,62148	3,277	-3,93222
500	3,277	-3,27685	2,62164	-3,93222
520	2,62164	-3,27686	3,27701	-3,93222
540	2,62164	-3,27686	3,27701	-3,93223
560	2,62164	-3,27686	2,62165	-4,58759
580	2,62164	-3,93223	3,27701	-5,24296
600	2,62165	-4,5876	3,27701	-5,89832
620	2,62165	-5,24296	3,27701	-6,55369
640	2,62165	-5,89833	3,27701	-7,20905
660	2,62164	-7,20905	3,277	-7,86441
680	2,62164	-6,55369	3,277	-7,20905
700	2,62163	-5,89832	2,62164	-5,89832
720	2,62163	-4,58759	1,96627	-5,24294
740	1,96627	-3,93221	1,96627	-3,93221
760	1,96627	-3,27685	1,96627	-3,27685
780	1,31091	-1,96514	1,31091	-2,62148
800	1,31091	-1,31076	0,65555	-1,96611
820	0,65554	-0,65537999999999	0,65554	-1,31074
840	0,65553000000001	-1,0000000003174E-5	0,65554	-0,65537
860	0,00017000000000422	0,65536	0,00016999999999712	-1,0000000003174E-5
880	0,65553000000001	1,31072	0,00016999999999712	0,65535999999999
900	0,00017000000000422	1,31072	0,00018999999999636	1,31072
920	1,31096	3,93218	1,96633	2,62146
940	1,31095	3,27683	1,31096	3,27683
960	1,31096	3,9322	1,31096	2,62147
980	0,6556	3,27683	1,31097	2,62146
1000	1,31096	3,27682	0,65561	1,9661
1020	0,6556	2,62146	0,65561	1,96609
1040	0,65561	2,62145	1,31097	1,31073
1060	0,65561	1,31072	-1,31053	3,93218
1080	-5,24287	10,48585	-7,209	10,48586
1100	-5,89825	11,14121	-5,24288	10,48585
1120	-5,89825	10,48584	-5,89824	9,17511
1140	-5,24288	9,83047	-5,24288	8,51974
1160	-5,24288	9,1751	-4,58751	7,86438
1180	-4,58752	9,1751	-4,58751	7,86437
1200	-4,58752	7,86438	-3,93216	6,55365
1220	-4,58752	7,86437	-3,93216	6,55364
1240	-4,58752	6,55364	-4,58752	6,55363
1260	-4,58753	6,55363	-3,93216	5,89827
1280	-4,58752	5,89826	-3,93216	4,58754
1300	-4,58753	5,2429	-3,93216	3,93217
1320	-4,58752	4,58753	-3,93216	3,2768
1340	-4,58752	3,93216	-3,93216	3,27679
1360	-3,93216	2,62143	-3,93216	1,96606
1380	-3,93216	1,96607	-3,93215	0,65533
1400	-3,93216	0,65534	-3,93215	-1,31076
1420	-3,93216	-0,65539	-3,93216	-1,96612
1440	-3,93216	-1,96613	-3,27679	-4,58758
1460	-1,31057	-7,8644	6,55395	-7,86443
1480	6,55397	-6,5537	5,24322	-7,86441
