T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0,65536	-0,65537
40	0	0	0,65536	-0,65537
60	0	0	0,65536	-0,65536
80	0	0	0,65537	0
100	0,65537	0	0,65537	0
120	0,65537	0	0,65538	0
140	0,65537	0	0,65537	-0,65536
160	0,65537	-0,65535999999999	0,65537	-0,65537
180	0	-0,65535999999999	0,65537	-1,31073
200	1,0000000003174E-5	-0,65537	1,0000000003174E-5	-0,65537
220	-0,65536	-0,65535999999999	0	-1,31073
240	-0,65536	-0,65470999999999	0	-0,65537
260	0	-0,65535999999999	0	-1,31072
280	0	-0,65535	0	-1,31072
300	0	-1,31071	0,65537	-1,31071
320	0,65537	-1,31071	1,31073	-1,3107
340	1,31073	-1,31069	1,9661	-1,3107
360	1,31074	-0,65532	2,62146	-0,65532
380	2,62146	6,0000000004834E-5	3,27683	5,9999999997729E-5
400	3,27682	8,0000000004077E-5	3,27683	-0,65528
420	3,27682	-1,31063	3,93219	-1,96599
440	3,93219	-1,96598	4,58755	-1,96598
460	4,58755	-1,96597	5,89827	-1,96597
480	5,24291	-1,3106	5,89828	-0,65525
500	5,89827	-0,65524	5,89828	-0,65525
520	5,89828	0,00012000000000256	5,89828	0,00011999999999546
540	5,89828	0,00013000000000574	5,89828	0,00012999999999863
560	5,89828	0,6555	6,55364	0,65549
580	5,89828	0,65551	5,89828	0,6555
600	5,89827	1,31087	6,55364	1,31087
620	5,89827	1,96623	5,89827	1,96624
640	5,89827	2,6216	5,89827	3,27696
660	5,89827	3,93233	5,89827	3,93233
680	5,89827	3,93234	5,89827	3,93233
700	5,24291	4,5877	5,89827	4,5877
720	5,24291	4,58771	5,89827	4,5877
740	5,24291	4,58771	5,89827	4,58771
760	5,24291	4,58772	6,55363	4,58772
780	5,89827	3,93236	7,20899	4,58772
800	6,55363	4,58773	7,20899	3,93236
820	6,55363	3,93237	7,20899	3,93236
840	7,20898	3,93237	7,20899	3,93237
860	7,20899	3,93237	7,86435	3,93236
880	7,20899	3,93237	7,86435	3,93236
900	7,86435	3,93237	7,86436	3,93237
920	7,86435	3,93237	8,51974	3,93236
940	9,83051	4,58774	10,48588	4,58773
960	10,48588	5,2431	11,14125	4,58774
980	10,48588	4,58774	11,14124	3,93237
1000	10,48588	3,93237	11,14125	3,93237
1020	10,48588	3,93237	11,14124	3,93236
1040	10,48588	3,93237	11,14124	3,93236
1060	10,48588	4,58773	11,14124	3,93236
1080	10,48588	3,93237	11,14124	3,93236
1100	10,48588	3,93237	13,10735	3,93236
1120	23,59323	5,89846	30,8023	5,89846
1140	29,49158	6,55382	29,49158	6,55382
1160	29,49157	7,20919	30,14694	7,20919
1180	29,49157	7,20919	30,14694	6,55383
1200	29,49157	6,55383	30,14694	6,55383
1220	29,49157	7,20919	29,49157	6,55383
1240	28,83621	7,20919	29,49157	6,55383
1260	28,18084	7,20919	28,8362	7,20919
1280	28,18084	7,86456	28,18084	7,20919
1300	27,52548	7,2092	28,18085	7,20919
1320	36,70056	6,55382	61,60443	8,51987
1340	66,84743	8,51987	66,19207	9,83059
1360	65,5367	10,48597	66,84742	9,8306
1380	66,19206	10,48598	66,84741	10,48597
1400	66,84741	10,48598	66,84741	10,48597
1420	66,84741	10,48598	66,84741	9,83062
1440	66,8474	10,48598	67,50277	10,48598
1460	67,50276	10,48598	68,15812	10,48598
1480	67,50276	10,48598	68,15813	10,48598
1500	68,15812	10,48598	68,81349	10,48598
