T	LX	LY	RX	RY
0	0	0	0	0
20	0	-0,65536	-9,9999999960687E-6	0
40	-9,9999999960687E-6	-0,65537	0,65534	-1,96609
60	0,65534	-2,62145	1,3107	-2,62146
80	1,31069	-2,62145	1,96605	-1,31074
100	1,96606	-1,96609	1,31069	-1,31074
120	1,31069	-1,31073	1,96605	-1,31074
140	1,31069	-1,96609	1,96605	-1,31073
160	1,31069	-1,96609	1,96604	-1,9661
180	1,96605	-1,9661	1,96604	-1,96611
200	1,31068	-2,62146	1,96603	-2,62147
220	1,31067	-3,27682	1,31066	-2,62147
240	1,31067	-3,27683	1,31067	-2,62147
260	1,31067	-3,27683	1,96603	-2,62147
280	1,31068	-2,62147	1,96603	-1,96611
300	1,96604	-1,9661	1,96604	-1,31075
320	1,96604	-1,9661	1,96604	-0,65537
340	-3,27685	-1,31073	1,31067	-0,65537
360	0,6553	-0,65537	0,6553	-9,9999999960687E-6
380	0,6553	0	0,6553	-9,9999999960687E-6
400	0,6553	-9,9999999960687E-6	1,31067	0,65536
420	4,5875	1,31073	2,62142	2,62145
440	1,96606	2,62145	2,62142	3,93218
460	1,96606	3,27683	1,96605	3,93219
480	1,96606	2,62147	1,96606	3,27682
500	1,3107	2,62146	1,96606	3,27682
520	1,96607	2,62147	1,96606	3,93219
540	1,96607	3,9322	1,96607	3,93219
560	1,96608	3,9322	1,96608	4,58755
580	1,96609	4,58756	1,96608	5,24292
600	1,9661	4,58757	1,96609	5,24293
620	1,31073	5,24293	1,96609	5,89829
640	1,31074	5,24294	1,31073	5,89829
660	0,65537	5,8983	1,31074	6,55366
680	0,65537	6,55367	0,65538	6,55367
700	0,65538	6,55367	1,31074	7,20902
720	0,65538	7,20903	1,31074	7,20902
740	0,65539	7,20902	1,31074	7,20902
760	0,65539	7,20903	1,31075	7,20903
780	1,31075	6,55367	1,31075	7,20903
800	0,65539	7,20903	1,31075	7,20903
820	1,31075	6,55367	1,31074	6,55367
840	1,31075	5,89831	1,9661	5,8983
860	1,96609	6,55367	1,96608	6,55366
880	1,31072	5,89831	1,96608	7,20902
900	1,96608	5,89831	1,31072	6,55366
920	1,31072	6,55367	1,31072	7,20903
940	1,31072	7,20903	1,31073	6,55366
960	1,31073	5,8983	1,31072	5,8983
980	1,31072	4,58757	1,31072	3,9322
1000	0,65537	3,27685	0,65536	3,27685
1020	0,65536	3,27685	0,65535000000001	3,93221
1040	0	2,62149	0,65535000000001	3,27684
1060	0,65536	2,62148	0,65536	2,62148
1080	0,65536	2,62148	1,31072	3,27684
1100	1,31072	2,62148	1,31072	3,27684
1120	1,31072	3,27684	1,31072	3,93221
1140	1,31072	3,27684	1,31071	3,9322
1160	0,65536	3,93221	0,65536	3,93221
1180	0,65536	3,27685	0,65535000000001	3,9322
1200	0,65536	3,27685	0,65535000000001	3,93221
1220	0,65536	2,62149	0,65535000000001	3,27684
1240	0	2,62149	0,65536	2,62148
1260	0,65536	2,62149	0,65536	3,27685
1280	0,65537	1,96613	0,65536	1,96612
1300	1,31073	1,96612	13,76264	2,62148
1320	28,83605	2,62147	28,18073	2,62147
1340	25,55928	3,27684	26,21464	4,58756
1360	25,55928	5,24293	25,55927	6,55366
1380	24,24855	7,20903	24,90391	8,51975
1400	24,90392	8,51977	25,55927	9,17512
1420	25,55928	9,17513	26,21464	9,17512
1440	26,21464	9,17513	26,87	10,48585
1460	26,87001	9,83049	27,52537	9,83048
1480	27,52538	9,17513	27,52537	9,83049
1500	27,52538	9,17513	27,52537	9,17512
1520	26,87002	8,51977	26,87002	9,17513
1540	26,87001	8,51976	26,87001	8,51976
1560	26,87001	7,20905	26,21465	8,51977
