T	LX	LY	RX	RY
0	0	0	0	0
20	0	-0,65536	-1,0000000003174E-5	0
40	-0,65538	-0,65537	-0,65536	0
60	-0,65537	-1,0000000003174E-5	2,62148	1,31073
80	13,1074	2,62147	19,00574	3,27685
100	19,00572	3,93222	18,35036	5,24295
120	18,35034	4,58758	19,00571	4,58758
140	19,0057	3,27685	19,0057	3,93221
160	19,00569	2,62148	19,00569	3,27684
180	19,00569	2,62148	19,66105	2,62147
200	19,00569	2,62147	19,0057	3,27684
220	19,00569	2,62147	19,0057	3,27684
240	19,00569	2,62147	19,0057	3,27683
260	18,35032	2,62212	18,35034	3,27684
280	18,35033	2,62148	18,35034	3,9322
300	17,69497	2,62148	17,69498	3,27684
320	17,69497	3,27683	17,69499	3,9322
340	17,03962	2,62147	17,03962	2,62147
360	20,97181	3,27683	36,04534	5,89832
380	43,9098	5,89832	43,25444	7,20907
400	42,59906	7,20908	43,25443	7,86444
420	43,25443	7,20907	43,90979	7,20907
440	43,90978	6,55369	44,56514	7,20905
460	45,22048	5,89831	45,87584	5,89831
480	45,87582	5,24294	46,53118	4,58758
500	47,18653	3,93221	47,18653	3,93221
520	47,18652	3,93221	47,18653	3,93221
540	47,18652	3,93221	47,84188	3,27686
560	47,84188	2,62149	47,84188	3,27685
580	47,18652	2,62149	47,84189	3,27685
600	47,84189	2,62148	47,84189	2,62149
620	47,84188	1,96612	47,8419	2,62149
640	47,84188	1,96613	47,84189	2,62148
660	47,18653	1,31076	26,2148	0,00010999999999939
680	-27,5252	-4,58734	-55,05076	-3,9319
700	-55,05088	-2,6212	-55,05087	0,00019999999999953
720	-55,05088	0,00016000000000105	-55,05087	0,00012999999999863
740	-55,05088	-1,96599	-55,05087	-2,62138
760	-55,05088	-3,27677	-55,05087	-3,27677
780	-55,05088	-4,58751	-55,05087	-3,93215
800	-55,05088	-5,89824	-55,05087	-5,24288
820	-55,05088	-5,89825	-55,05087	-5,89826
840	-55,05088	-6,55362	-55,05087	-6,55362
860	-55,05088	-7,20899	-55,05087	-6,55363
880	-55,05088	-7,20899	-55,05087	-6,55363
900	-55,05088	-7,86436	-55,05087	-7,209
920	-55,05088	-8,51972	-55,05087	-7,86436
940	-55,05088	-8,51973	-55,05087	-7,86437
960	-55,05088	-8,51973	-55,05087	-8,51973
980	-55,05088	-9,1751	-55,05087	-8,51974
1000	-55,05088	-9,17511	-55,05087	-8,51974
1020	-55,05088	-8,51974	-55,05087	-7,86438
1040	-55,05088	-7,86439	-55,05087	-8,51975
1060	-55,05088	-8,51976	-55,05087	-8,51975
1080	-55,05088	-9,17512	-55,05087	-9,17511
1100	-55,05088	-10,48585	-55,05087	-9,17512
1120	-55,05088	-9,17512	-55,05087	-9,17512
1140	-55,05088	-10,48584	-55,05087	-10,48585
1160	-55,05088	-11,14122	-55,05087	-10,48586
1180	-55,05088	-11,14122	-55,05087	-11,14122
1200	-55,05088	-11,79659	-55,05087	-11,79659
1220	-55,05088	-12,45196	-55,05087	-11,79659
1240	-55,05088	-12,45196	-55,05087	-11,7966
1260	-55,05088	-13,10733	-55,05087	-13,10733
1280	-55,05088	-13,10734	-55,05087	-11,79662
1300	-52,42932	-11,14127	-51,11858	-11,14125
1320	-51,77397	-11,14125	-51,77397	-11,14125
1340	-51,11862	-12,45198	-51,11862	-13,10734
1360	-51,11863	-13,76272	-50,46327	-13,76273
1380	-51,11864	-14,41809	-50,46328	-14,41809
1400	-50,46329	-15,07346	-50,46329	-15,07345
1420	-51,11866	-15,07347	-50,4633	-15,07346
1440	-51,11866	-15,72883	-51,11866	-15,07347
1460	-51,11866	-15,72883	-51,11866	-15,07347
1480	-51,11867	-15,72883	-51,11866	-15,72883
1500	-46,53108	-15,07347	-36,70051	-13,76275
1520	-34,07904	-15,07348	-34,7344	-14,4181
1540	-34,73442	-14,4181	-34,07906	-14,4181
1560	-34,73443	-15,07347	-34,73443	-15,07347
1580	-34,73444	-15,72884	-34,07907	-15,72884
1600	-34,07908	-16,38421	-34,07908	-16,38421
1620	-34,07909	-17,03958	-34,07908	-17,03957
1640	-34,07909	-17,69494	-34,07908	-17,03958
1660	-34,73445	-17,69494	-34,07908	-17,69494
1680	-34,07909	-18,35031	-34,73445	-17,69494
1700	-34,73445	-18,35031	-34,0791	-17,69495
1720	-34,73446	-19,00567	-34,0791	-19,00567
1740	-34,07912	-19,66105	-32,76839	-19,66104
1760	-32,11304	-20,97178	-32,11303	-20,31641
1780	-32,11304	-20,97178	-31,45767	-20,97177
1800	-32,11304	-20,97179	-32,11304	-21,62713
1820	-31,45769	-22,28251	-28,83622	-20,31642
1840	-15,07346	-18,35032	-6,55364	-17,69495
1860	-5,24291	-18,3503	-5,89829	-17,69493
1880	-5,89829	-19,00565	-4,58757	-19,00566
1900	-4,58759	-20,31639	-4,58758	-20,3164
1920	-3,93224	-20,97177	-3,93223	-20,3164
1940	-3,93225	-20,97177	-3,93224	-20,97176
1960	-3,93225	-21,62713	-3,93225	-20,97177
1980	-3,93226	-21,62713	-3,93225	-21,62713
2000	-3,93225	-21,62714	-3,93225	-21,62713
2020	-3,93226	-22,2825	-3,93225	-21,62714
2040	-3,93225	-22,2825	-3,93225	-21,62713
2060	-4,58762	-22,2825	-4,58761	-21,62714
2080	-3,93226	-22,2825	-3,27688	-21,62714
2100	7,86441	-19,66106	20,97183	-16,38423
2120	26,2148	-13,76277	25,55942	-11,79665
2140	24,90403	-11,14127	24,90403	-9,17518
2160	24,90401	-7,86447	24,90401	-6,55374
2180	24,24864	-5,89839	24,90399	-4,58767
2200	24,24862	-4,58768	24,24862	-3,27695
2220	24,24861	-3,27695	24,24862	-1,96623
2240	24,24861	-2,6216	24,24861	-1,96623
2260	23,59325	-1,96624	24,24862	-1,96623
2280	23,59325	-1,96623	23,59326	-1,96623
2300	23,59325	-1,96624	23,59326	-1,96624
2320	23,59325	-2,6216	24,24861	-1,96624
2340	23,59324	-2,6216	24,24861	-2,6216
2360	24,2486	-3,27697	24,24861	-3,27697
2380	30,80227	-1,96623	45,8758	0,65526
2400	51,11878	-0,65546	50,4634	1,31066
2420	50,46337	1,31066	51,77409	1,96602
2440	52,42944	1,31064	53,08479	1,31064
2460	53,74014	0,65526	53,74014	1,31063
2480	53,74012	-0,00010999999999939	53,74013	1,31062
2500	53,74012	0,65604	54,39549	0,65526
2520	54,39548	0,65525	55,05085	0,65525
2540	54,39549	-0,00010999999999939	55,05086	-0,00011000000000649
2560	53,08475	-1,31083	19,66112	-4,58755
2580	-30,1467	-9,17502	-55,05074	-7,86423
2600	-55,05086	-7,20892	-55,05087	-5,24286
2620	-55,05088	-5,2429	-55,05087	-5,89829
2640	-55,05088	-7,8644	-55,05087	-7,20906
2660	-55,05088	-9,17516	-55,05087	-8,5198
2680	-55,05088	-9,83054	-55,05087	-9,17518
2700	-55,05088	-10,48592	-55,05087	-9,83056
2720	-55,05088	-10,48593	-55,05087	-11,14129
2740	-55,05088	-11,79666	-55,05087	-11,79666
2760	-55,05088	-12,45204	-55,05087	-11,79667
2780	-55,05088	-12,45204	-55,05087	-12,45203
2800	-55,05088	-12,45204	-55,05087	-12,45205
2820	-55,05088	-13,76277	-55,05087	-13,10741
2840	-55,05088	-13,10742	-55,05087	-13,10742
2860	-55,05088	-13,76279	-55,05087	-13,76278
2880	-55,05088	-14,41815	-55,05087	-13,76279
2900	-55,05088	-13,7628	-54,39548	-11,79671
2920	-51,11863	-13,10745	-51,77147	-12,45207
2940	-51,77403	-13,10743	-51,77403	-12,45207
2960	-51,77404	-13,7628	-51,11868	-13,10744
2980	-51,77405	-14,41817	-51,11869	-13,76281
3000	-51,1187	-14,41817	-51,11869	-13,7628
3020	-51,1187	-14,41818	-51,11869	-13,76281
3040	-51,1187	-14,41818	-51,11869	-14,41818
3060	-51,1187	-15,07355	-51,11869	-14,41818
3080	-50,46334	-14,41818	-50,46333	-14,41817
3100	-50,46334	-15,07355	-49,80799	-15,07354
3120	-49,15264	-15,72892	-48,49727	-16,38427
