T	LX	LY	RX	RY
0	0	0	0	0
20	0	-0,65536	-0,65536	-0,65536
40	0	-0,65535	-0,65536	-0,65535
60	0	-1,31071	-0,65536	-0,65535
80	0	-1,31071	-0,65536	-1,96607
100	0,65536	-1,96606	0	-1,96607
120	1,0000000003174E-5	-1,96606	0	-2,62143
140	0,65537	-3,27679	0,65538	-2,62143
160	1,31075	-3,27679	1,31075	-2,62143
180	2,62148	-3,27679	2,62149	-3,27679
200	3,93223	-3,27679	3,27687	-2,62143
220	4,5876	-3,27679	3,93224	-3,27679
240	4,58761	-3,27679	3,93224	-3,93215
260	4,5876	-3,93215	3,93224	-3,93216
280	4,5876	-5,24287	3,93224	-4,58752
300	4,5876	-5,24287	5,24296	-5,24288
320	7,2091	-5,24287	7,2091	-5,89824
340	7,20909	-5,89824	6,55374	-5,24288
360	6,55374	-4,58751	6,55374	-4,58752
380	7,2091	-3,93215	5,89838	-4,58672
400	7,20911	-5,24287	6,55374	-5,24287
420	7,2091	-5,89822	5,89838	-6,55358
440	6,55374	-6,55357	5,89838	-6,55357
460	6,55374	-7,20894	5,24302	-7,20894
480	6,55375	-7,8643	14,41819	-5,89823
500	20,97195	-7,20895	20,31659	-7,86433
520	19,00586	-6,55361	18,35051	-5,89826
540	19,00588	-6,55362	18,35051	-7,20899
560	18,3505	-6,55362	17,69513	-7,20899
580	18,3505	-7,86434	17,69512	-7,86434
600	17,69512	-8,5197	16,38439	-9,17506
620	16,38439	-9,17505	15,07365	-9,17506
640	15,07364	-9,17506	13,76291	-9,83041
660	13,10754	-10,48577	12,45216	-11,14113
680	12,45217	-11,14113	11,79679	-11,79649
700	11,79679	-12,45185	11,14142	-12,45185
720	11,79678	-12,45185	11,14141	-11,79649
740	19,6612	-10,48579	32,11326	-9,83044
760	34,73481	-10,48579	32,7687	-9,83044
780	33,42406	-9,17507	32,76869	-9,17508
800	33,42404	-9,17508	32,76867	-9,17507
820	33,42403	-9,83043	32,76865	-9,83042
840	33,42401	-10,48579	32,76864	-10,48578
860	33,424	-11,14114	32,76864	-11,14114
880	33,42401	-11,14114	32,76864	-11,14114
900	34,07937	-11,14113	34,07937	-11,7965
920	36,04547	-11,79649	34,07937	-12,45185
940	34,73473	-13,10722	35,39011	-13,10722
960	38,01157	-12,45185	38,01158	-11,7965
980	39,32232	-11,79648	39,32232	-11,14113
1000	39,9777	-11,79648	39,97769	-11,79648
1020	40,63305	-11,79648	40,63304	-12,45183
1040	40,63304	-13,10719	39,97767	-13,10719
1060	39,97767	-13,10719	46,53135	-11,79647
1080	57,67268	-11,14109	58,98347	-11,79646
1100	58,3281	-10,48574	57,67272	-9,83038
1120	58,98344	-10,48574	58,32808	-10,48574
1140	58,32808	-10,48574	57,6727	-10,48574
1160	58,32806	-11,1411	57,67269	-11,1411
1180	57,67268	-11,14109	57,67267	-11,1411
1200	57,67266	-11,79646	56,36193	-11,79646
1220	56,36192	-12,45181	55,05118	-11,79646
1240	54,39581	-12,45181	53,74043	-13,10718
1260	53,74042	-13,10718	58,32801	-11,79646
1280	64,88175	-12,45181	65,53714	-12,45182
1300	64,88177	-11,79645	64,2264	-11,14109
1320	64,88177	-10,48574	64,22639	-11,1411
1340	64,88174	-10,48574	63,57102	-9,83038
1360	63,57102	-10,48573	62,91565	-9,83038
1380	62,91565	-9,83037	62,26028	-9,83038
1400	62,26028	-9,17502	60,94955	-9,17502
1420	60,94956	-9,17502	59,63882	-9,17502
1440	60,29419	-9,17502	59,63882	-9,17503
1460	60,29417	-9,17503	59,6388	-9,17503
1480	65,53713	-8,51967	76,02309	-7,20894
1500	79,95537	-7,86429	77,98927	-7,20894
1520	78,64463	-5,24285	79,29999	-5,89822
1540	79,95536	-5,89822	79,95535	-6,55358
1560	80,61072	-6,55358	80,6107	-6,55359
1580	81,26607	-6,55358	80,61071	-6,55358
1600	81,92144	-6,55358	81,26608	-6,55358
1620	81,92144	-7,20893	81,92144	-7,20894
1640	81,92144	-7,20893	81,92144	-6,55358
1660	82,5768	-7,20894	81,92144	-6,55358
1680	83,23217	-6,55358	82,57681	-6,55358
1700	84,54291	-5,89822	86,50904	-5,89822
1720	87,8198	-5,89821	86,50906	-5,24286
1740	86,50907	-5,24286	86,50907	-5,24286
1760	87,16444	-5,24286	86,50907	-5,24287
1780	87,16443	-5,89823	86,50906	-5,24287
