T	LX	LY	RX	RY
0	0	0	0	0
20	-1,9999999999243E-5	-1,0000000003174E-5	-1,0000000003174E-5	-9,9999999960687E-6
40	-0,65539	-1,9999999999243E-5	-0,65283	0,65535000000001
60	-1,31075	-1,9999999999243E-5	-1,31074	0,65534
80	-1,31076	0,65534	-1,31075	0,65534
100	-1,96612	1,31069	-1,96611	0,65534
120	-1,96613	1,31069	-1,96612	0,65533
140	-2,62149	1,31068	-1,96612	0,65533
160	-2,6215	1,31067	-2,62148	0,65533
180	-2,6215	0,65532	-1,96612	0,65533
200	-1,96614	1,31068	-1,96613	1,31069
220	-1,96615	1,31069	-1,96613	0,65533
240	-2,62151	1,31069	-1,96613	1,31069
260	-1,96614	1,31068	-1,96613	1,31069
280	-2,62151	1,31068	-2,62149	1,96604
300	-2,6215	1,31067	-2,62149	1,31068
320	-2,6215	1,96604	-2,62149	1,96604
340	-1,96614	2,62139	2,62145	3,27678
360	3,27683	2,62139	3,27684	3,27676
380	2,62147	3,93213	2,62149	3,93213
400	1,96611	3,93212	1,96613	3,93213
420	1,31076	3,27676	1,96614	3,93213
440	1,96612	3,93212	1,31078	3,93213
460	0,6554	3,93213	0,65542	4,58749
480	0,65541	4,58748	0,65543	4,58749
500	5,000000000166E-5	4,58749	-0,65529	4,5875
520	-1,31066	5,24285	-1,31065	5,24287
540	-1,96602	5,89822	-1,31064	5,89823
560	-2,62138	6,55358	-2,62136	6,55359
580	-3,27673	7,20895	-2,62135	7,20896
600	-3,27673	7,86432	-3,27671	7,20896
620	0,00010000000000332	8,51968	7,86454	9,17506
640	9,83066	10,48576	9,83067	9,83041
660	9,83066	10,48577	10,48602	10,48577
680	11,14137	10,48576	11,79674	10,48576
700	12,45209	10,48576	11,79674	10,48577
720	12,45208	10,48576	13,10745	9,83042
740	12,45207	9,83042	13,10745	9,83042
760	13,10743	9,83042	13,10744	9,17506
780	12,45207	9,17505	12,45208	8,51969
800	12,45206	9,17505	12,45208	8,5197
820	12,45207	8,51969	12,45208	9,17506
840	11,7967	9,17506	11,79671	9,17507
860	11,7967	9,17506	12,45207	9,83043
880	16,38426	9,17506	24,90408	9,17506
900	29,49165	9,17502	32,76851	9,17507
920	32,11314	9,17505	32,11314	9,17507
940	32,76849	9,17506	32,76851	9,17507
960	33,42385	8,51969	33,42387	8,51971
980	33,42385	8,5197	34,07922	7,86434
1000	33,42385	8,5197	34,07922	7,86435
1020	34,07921	7,86434	34,73458	7,20899
1040	34,73456	7,20898	34,73458	7,20899
1060	34,73457	7,20898	34,73459	5,89826
1080	34,73457	5,89825	34,73458	5,2429
1100	34,07921	5,24289	36,70069	5,2429
1120	39,97753	5,24291	41,94365	5,24292
1140	41,94364	5,24292	41,28829	5,24293
1160	40,63291	5,24293	40,63293	4,58758
1180	40,63291	4,58757	40,63292	3,93222
1200	39,97754	3,93221	39,97756	3,27685
1220	39,97755	3,27684	39,3222	2,62149
1240	39,32218	2,62148	39,3222	2,6215
1260	39,32218	2,62149	38,66684	2,6215
1280	38,66682	2,6215	38,66684	1,96614
1300	38,66682	1,96613	38,66684	1,96614
1320	38,01147	1,96613	38,66684	1,31078
1340	38,66683	0,65541	39,32221	5,000000000166E-5
1360	38,66683	3,0000000002417E-5	39,3222	-0,65467
1380	39,97753	-0,65533	40,63291	-0,65533
1400	-43,25319	-1,3107	41,28826	-1,3107
1420	41,28825	-0,65534	41,28826	-1,3107
1440	45,87581	1,9999999999243E-5	60,9493	1,31078
1460	73,40134	1,96615	78,64434	2,62154
1480	79,29969	1,96617	79,2997	1,96619
1500	79,95504	1,31082	80,61041	0,65546000000001
1520	80,61294	0,65546	80,61041	0,00010000000000332
1540	81,26575	9,9999999996214E-5	81,26576	0,00010000000000332
1560	80,61038	9,9999999996214E-5	81,26575	0,00010000000000332
1580	80,61038	9,9999999996214E-5	81,92111	-0,65526
1600	81,26573	-0,65526	81,92111	-1,31062
1620	81,92109	-0,65527	82,57646	-1,31063
1640	82,57645	-1,31064	82,57646	-1,31064
