T	LX	LY	RX	RY
0	0	0	0	0
20	-3,9322	-1,31072	-12,45202	-0,65537
40	-11,14127	-1,31072	-7,86444	1,31072
60	-9,17516	2,62146	-9,17516	2,62145
80	-9,17515	3,27682	-9,17515	3,27681
100	-9,17515	2,62146	-8,51979	3,27681
120	-8,51978	2,62145	-8,51978	2,62144
140	-8,51978	2,62144	-7,86442	1,96607
160	-7,86442	1,31071	-7,86442	1,96606
180	-7,86443	1,31071	-7,86444	1,96606
200	-7,86444	1,31071	-7,20908	1,3107
220	-7,20909	0,65534	-5,24299	1,31069
240	-2,9999999995312E-5	1,31071	-0,65539	1,96605
260	-1,31076	1,31069	-0,65541	2,62141
280	-0,65541	2,62142	-0,65541	2,6214
300	-0,65541	1,96605	-1,31077	2,6214
320	-0,65541	2,62141	-1,31077	2,6214
340	-0,65541	2,62141	-1,31077	3,27677
360	-0,65541	3,27677	-0,65541	3,27676
380	-1,31077	2,6214	-1,31077	3,27676
400	-1,31077	2,6214	-0,6554	3,27676
420	-1,31076	2,62139	-0,6554	1,96603
440	-0,6554	1,31067	-0,6554	1,31066
460	-3,9999999998486E-5	0,6553	-0,65539	1,31066
480	-0,6554	1,31066	-0,6554	1,31065
500	-0,6554	1,31065	-3,9999999998486E-5	1,31065
520	-0,6554	1,31065	-0,6554	1,31064
540	-0,6554	0,65529	-2,9999999995312E-5	1,31064
560	-2,9999999995312E-5	1,31064	-3,9999999998486E-5	1,966
580	-0,6554	1,31064	0,65532	1,31063
600	-3,9999999998486E-5	1,966	-3,9999999998486E-5	1,96599
620	-2,9999999995312E-5	1,96599	-3,9999999998486E-5	1,96598
640	-3,9999999998486E-5	1,96598	0,65532	1,96598
660	0,65532	1,96598	0,65532	1,96598
680	0,65532	1,96598	1,31068	1,96597
700	1,31068	1,96597	1,31068	1,96597
720	1,31068	1,96597	1,96604	1,96596
740	2,6214	1,96596	2,6214	1,96596
760	2,6214	1,96596	3,27677	2,62131
780	3,27677	1,96595	3,27677	2,6213
800	3,27678	2,6213	3,93214	3,27666
820	3,27678	3,27666	3,93215	3,27665
840	3,93215	3,27665	4,58751	3,932
860	4,58751	3,27664	5,24286	2,62127
880	4,5875	2,62127	5,24286	2,62126
900	5,24286	2,62126	5,89822	2,62125
920	5,24285	1,96589	5,89821	2,62124
940	5,24285	2,62124	5,8982	3,27659
960	5,8982	2,62123	5,8982	2,62122
980	5,8982	2,62122	5,89821	2,62121
1000	5,89821	1,96586	6,55357	1,96586
1020	6,55357	1,96586	6,55357	1,96585
1040	6,55357	1,31049	6,55356	1,31049
1060	6,55357	1,31049	7,20893	1,31049
1080	6,55357	1,3105	7,20893	1,31048
1100	6,55357	0,65513	6,55357	0,65513
1120	6,55358	0,65513	6,55357	0,65512
1140	6,55358	-0,00023999999999802	6,55357	-0,6556
1160	6,55357	-1,31097	2,62136	-0,00023999999999802
1180	2,62136	0,65514	3,9321	1,3105
1200	3,93211	1,96586	3,93211	1,96586
1220	3,93212	1,96587	3,93212	1,96586
1240	3,93212	3,2766	3,27676	5,2427
1260	3,27676	7,86416	2,6214	11,79635
1280	1,96603	15,72856	1,96602	19,00539
1300	1,31067	21,62686	1,96603	24,24832
1320	1,96603	24,9037	1,96603	26,8698
1340	1,96603	28,18054	2,6214	27,52518
1360	3,93212	25,55911	5,24285	25,5591
1380	5,24285	23,59302	5,89821	22,93764
1400	5,89821	21,62692	6,55357	20,31619
1420	5,89822	19,66082	5,89822	19,00546
1440	5,24286	18,35009	7,20896	17,69472
1460	15,72877	16,384	16,38416	16,38398
1480	14,41806	17,69472	13,7627	18,35007
1500	13,10734	18,35007	12,45198	18,35006
1520	9,83054	17,6947	8,51982	18,35005
1540	7,20909	17,69469	7,20909	17,03931
1560	6,55373	16,38394	7,20908	15,72857
1580	7,86444	14,41784	18,35032	11,14101
1600	25,55938	9,17493	24,904	9,83028
1620	24,24864	9,83028	24,90399	9,83027
1640	25,55935	9,17491	26,2147	8,51955
1660	26,2147	7,86419	26,87006	7,86418
1680	26,21469	7,20883	26,21469	7,20883
1700	25,55932	6,55347	25,55933	6,55347
1720	25,55932	5,89811	24,90396	5,8981
1740	24,24859	4,58739	36,70058	5,24276
1760	51,77413	5,24278	55,05099	5,24278
1780	51,11878	4,58741	51,11878	5,24276
1800	50,46343	5,2435	49,15271	4,5874
1820	48,49735	3,27667	47,18663	2,6213
1840	45,22056	3,27666	43,25448	-0,00016999999999712
1860	40,63305	-3,93234	39,32233	-9,83061
1880	39,9777	-25,55935	40,63305	-39,32202
1900	37,35624	-43,90955	32,7687	-41,94346
1920	28,83653	-42,59881	25,55972	-41,28809
1940	19,66147	-38,66662	14,41858	-36,04518
1960	9,83106	-34,07909	7,86498	-32,113
1980	14,41865	-32,11298	32,11362	-30,80224
2000	33,42695	-28,83616	30,14757	-24,24863
2020	28,18149	-20,97181	27,52614	-17,695
2040	27,52614	-15,72891	28,83685	-13,10747
2060	28,83684	-13,10746	28,83683	-11,79674
2080	28,83683	-11,14136	28,18147	-9,83064
2100	28,18146	-10,48599	28,18146	-9,83063
