T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65536	-0,65536	0,65537
40	-0,65535999999999	0,65537	-0,65535	0,65537
60	1,0000000003174E-5	1,31074	-0,65535	1,31073
80	-0,65535	0,65537	-0,65535	0,65537
100	-0,65535	1,31074	-1,3107	1,31073
120	-1,3107	1,31073	-1,96605	1,31073
140	-1,31069	1,31073	-2,62141	1,31074
160	-1,31068	1,96611	-1,96604	1,31075
180	-1,96604	1,9661	-1,96604	1,9661
200	-1,96603	1,9661	-2,62139	1,9661
220	-1,96603	1,31074	-3,27674	1,31074
240	-1,96602	1,96611	-2,62139	1,31074
260	-2,62139	1,31074	-2,62139	1,31074
280	-1,31067	1,31074	-1,31067	1,31075
300	-1,31066	1,96611	-1,31067	1,31075
320	-0,65531	1,96611	-1,31067	1,31075
340	-1,31066	1,96611	-1,31066	1,31076
360	-1,31065	1,96613	-1,31065	2,62149
380	-1,31064	3,27687	-1,31063	3,93224
400	-0,65526999999999	4,58761	-0,65526	5,24299
420	-0,65525	5,243	-1,31061	5,24299
440	-1,31059	5,243	-1,96595	5,24299
460	-1,31059	5,243	-1,96594	4,58764
480	-1,96595	3,93226	-1,96594	3,27691
500	-1,96594	3,93227	-3,27667	3,93227
520	-2,62131	4,58763	-2,6213	5,243
540	-1,96594	5,89836	-3,27665	5,89837
560	-1,96593	6,55373	-3,27666	5,89836
580	-2,62129	5,89837	-2,62128	5,89836
600	-2,62129	5,89837	-2,62128	5,89837
620	-1,96592	5,89837	-3,27664	5,89836
640	-2,62128	6,55373	-2,62127	5,243
660	4,58774	5,24302	5,89849	5,89839
680	5,24314	7,20912	4,58779	7,20912
700	5,24315	7,86449	4,58779	7,86449
720	5,24316	8,51986	4,5878	8,51986
740	5,24317	8,51986	4,5878	8,51986
760	5,24317	9,17522	5,24319	9,17523
780	5,89856	10,48597	5,24321	10,48598
800	5,89858	11,79672	5,89861	12,4521
820	6,55397	12,45211	5,89861	13,10748
840	6,55399	13,76285	6,55399	14,41823
860	7,20935	14,41823	6,55399	13,76287
880	6,55399	13,10749	5,89863	11,14139
900	7,8647	9,83065	29,49167	7,20921
920	52,42944	5,89851	53,7402	6,55387
940	52,42945	7,8646	51,77409	8,51997
960	52,42945	9,17534	51,77408	9,8307
980	51,77408	10,48606	51,11872	10,48607
1000	51,77408	11,14143	51,11872	10,48606
1020	51,11872	11,79679	50,46336	12,45216
1040	51,11873	12,45216	50,46337	12,45216
1060	51,11873	13,10753	51,11872	12,45217
1080	51,77409	13,10754	51,77409	13,10754
1100	52,42945	13,7629	51,77409	13,10754
1120	52,42945	13,76291	52,42945	13,76291
1140	53,74017	14,41827	53,08481	13,76292
1160	53,74017	14,41828	53,74017	15,07364
1180	54,39553	15,07365	53,74017	15,72901
1200	55,0509	16,38438	54,39553	15,72902
1220	55,0509	15,72902	64,22602	15,72905
1240	72,09045	16,38444	74,05658	17,69518
1260	73,40123	18,35055	73,40122	19,66127
1280	73,40122	20,31664	73,40122	19,66128
1300	73,40121	20,31664	72,74586	20,31664
1320	73,40121	20,97201	72,74585	20,972
1340	73,40122	21,62736	72,74586	21,62737
1360	73,40122	22,28274	72,74586	22,9381
1380	73,40123	22,9381	72,74586	23,59346
1400	73,40122	24,24884	73,40121	24,90419
1420	73,40121	24,9042	72,74585	24,9042
1440	76,67805	24,90422	85,85324	26,21497
1460	95,02843	28,83645	96,33917	30,80254
1480	95,68379	33,424	95,02841	34,73473
1500	95,68376	36,70083	95,02839	36,70083
1520	95,68375	37,3562	95,68374	37,3562
1540	95,68373	38,66692	95,68372	38,01156
1560	96,33907	38,01156	95,6837	38,01157
1580	96,33906	38,66693	96,33905	38,66692
1600	96,99441	38,66693	95,68369	38,66693
1620	96,99441	39,32229	96,33904	39,32229
1640	96,9944	39,97766	96,33903	39,32229
1660	96,99439	39,97766	95,68367	40,63303
1680	96,99438	40,63303	95,68365	40,63303
1700	96,99438	40,63304	96,33901	40,63304
1720	96,99437	41,28841	96,339	41,28841
1740	96,339	42,59913	99,61583	41,28842
1760	108,79101	42,59919	113,37864	43,90993
1780	114,68935	45,87603	112,72325	46,5314
1800	114,03397	47,84213	113,3786	47,84213
1820	114,03395	48,4975	113,37858	48,4975
1840	114,03394	48,4975	113,37858	48,4975
1860	114,03393	48,4975	113,37857	48,4975
1880	113,37857	48,4975	113,37857	48,4975
1900	114,03393	48,4975	113,37857	48,4975
1920	114,03393	48,4975	113,37857	48,4975
1940	114,03393	48,4975	113,37857	48,4975
1960	-53,08287	48,4975	112,72321	48,4975
