T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65536	0	-0,65535999999999
40	0,65536	0	9,9999999960687E-6	-0,65535999999999
60	0,65536	0	0	0
80	0,65535	-0,65537	0	-0,65535999999999
100	0,65536	-1,0000000003174E-5	0,65535999999999	-0,65535999999999
120	0,65535	0	9,9999999960687E-6	-0,65535
140	1,31072	0	0	1,0000000003174E-5
160	0,65536	0	9,9999999960687E-6	1,0000000003174E-5
180	0,65536	0	9,9999999960687E-6	1,0000000003174E-5
200	0,65537	0	9,9999999960687E-6	0
220	0,65537	0,65536	1,96613	1,9661
240	3,93223	2,62147	3,27688	2,62148
260	3,27687	3,27683	2,62151	3,27684
280	3,27687	3,93219	1,96616	3,93221
300	3,27687	4,58756	2,62152	4,58757
320	2,62152	4,58757	1,96616	4,58758
340	2,62152	5,24293	1,96617	5,24294
360	2,62152	5,89829	1,31081	5,89831
380	1,96617	6,55366	1,31081	6,55367
400	1,31081	6,55366	0,65544999999999	6,55367
420	1,31081	6,55366	0,65544999999999	7,20904
440	0,65546	7,20903	9,9999999996214E-5	7,20904
460	0,65545	7,86439	-0,65526000000001	7,8644
480	9,9999999996214E-5	7,8644	-0,65526000000001	7,86441
500	9,9999999996214E-5	8,51976	-1,31061	8,51977
520	-0,65526	8,51977	-1,31061	8,51977
540	-0,65525	9,17513	-1,96597	9,17514
560	-0,65525	9,17513	-1,31061	9,17514
580	9,9999999996214E-5	9,17512	-0,65526000000001	8,51977
600	0,65546	9,17512	9,9999999996214E-5	8,51977
620	1,31081	9,17512	0,65546	9,17512
640	1,96617	8,51975	1,31082	9,17513
660	8,51985	11,1412	17,69503	11,79658
680	22,28261	11,79656	20,31652	11,79657
700	20,97187	12,45192	20,31652	12,45193
720	20,97187	13,10729	20,97187	12,45193
740	20,97187	12,45193	20,31651	12,45194
760	20,97187	12,45193	20,31651	12,45193
780	20,97186	12,45192	20,31651	12,45193
800	20,97187	12,45193	20,31651	12,45194
820	20,31651	12,45193	19,66115	12,45194
840	20,3165	12,45193	19,66115	12,45193
860	20,31651	12,45192	19,66115	11,79657
880	20,31651	12,45192	19,00579	11,1412
900	20,3165	11,14119	19,00578	11,1412
920	19,66114	11,1412	19,00578	10,48584
940	20,3165	10,48583	19,66115	11,1412
960	28,83629	15,07337	36,04539	15,72876
980	38,66687	15,72875	36,70078	15,07339
1000	37,35613	15,07338	36,70078	15,07339
1020	37,35613	15,07338	36,04541	15,07338
1040	36,70077	15,07337	36,04541	14,41802
1060	36,04541	14,41801	35,39005	14,41802
1080	36,04541	14,41801	35,39005	13,76266
1100	36,04541	14,41801	35,39005	13,76266
1120	36,04541	13,76265	34,73469	13,76266
1140	36,04541	13,76265	34,73469	13,1073
1160	34,73469	13,10728	34,7347	12,45193
1180	35,39005	13,10729	34,07934	12,45193
1200	34,73469	12,45193	33,42398	12,45193
1220	34,73469	12,45192	33,42398	11,79657
1240	34,07933	11,79656	33,42398	11,79657
1260	34,07933	11,79656	33,42398	11,79657
1280	33,42398	11,79656	32,76862	11,14121
1300	33,42398	11,1412	32,76862	11,14121
1320	34,07933	11,1412	33,42397	10,48584
1340	34,73468	10,48582	34,07932	10,48583
1360	35,39004	9,83045	35,39003	9,1751
1380	36,04539	9,17509	35,39003	9,17509
1400	36,70075	9,17508	36,04539	8,51973
1420	36,70075	9,17508	36,70075	7,86437
1440	37,35611	8,51972	36,70075	7,86437
1460	38,01146	7,86435	36,70075	7,209
