T	LX	LY	RX	RY
0	0	0	0	0
20	9,9999999960687E-6	0,65536	0	-0,65537
40	9,9999999960687E-6	0,65535000000001	0	-9,9999999960687E-6
60	9,9999999960687E-6	0,65535000000001	-0,65536	-9,9999999960687E-6
80	0	1,31071	-0,65536	0,65535
100	-0,65536	1,96608	-0,65536	0,65536
120	-0,65536	1,96608	-0,65536	0,65536
140	-0,65536	1,31072	-0,65537	0
160	-0,65536	1,31072	-0,65537	0
180	-0,65537	1,31072	-0,65537	0,65536
200	-1,31073	1,31072	-0,65537	0,65536
220	-0,65536	1,31072	-0,65537	0,65536
240	-0,65536	1,31072	-0,65537	0
260	-0,65537	1,31072	-0,65538	0
280	-0,65537	0,65536	-0,65538	0
300	-1,31073	1,31073	-1,31074	0,65537
320	-1,31073	1,96609	-1,9661	1,31073
340	-1,31074	2,62146	-1,31074	1,9661
360	-1,31074	3,27683	-1,31074	2,62146
380	-1,96609	3,93219	-1,9661	3,27683
400	-1,96608	4,58756	-1,96608	3,93219
420	-1,96608	5,24292	-1,96609	4,58756
440	-2,62144	5,24292	-1,96608	4,58756
460	-2,62144	5,24292	-4,58755	5,24293
480	-8,51976	6,55367	-7,86438	6,55366
500	-7,86436	8,51976	-8,51973	7,86441
520	-8,51974	9,17513	-8,51974	7,20904
540	-9,17509	7,86441	-9,17509	7,20905
560	-9,1751	7,86441	-9,1751	7,20904
580	-9,1751	7,8644	-8,51974	6,55367
600	-9,17511	7,20903	-8,51975	5,8983
620	-9,1751	7,20903	-8,51974	6,55366
640	-9,1751	7,86439	-9,17511	7,20903
660	-8,51975	8,51975	-8,51974	7,86439
680	-8,51974	7,86438	-8,51975	6,55366
700	-8,51974	7,86438	-8,51975	7,20902
720	-8,51975	7,86438	-8,51975	6,55366
740	-8,51975	7,86438	-8,51975	7,20901
760	-4,58754	8,51972	-1,31068	6,55362
780	-1,96605	7,20899	-2,62143	7,86436
800	-2,62142	9,83044	-2,62142	8,51972
820	-2,62142	8,51972	-2,62142	7,86435
840	-3,27678	8,51972	-2,62142	7,20899
860	-2,62142	7,86436	-2,62143	7,209
880	-2,62142	7,86436	-2,62143	6,55364
900	-3,27679	7,209	-3,27678	6,55363
920	-3,27678	7,20899	-2,62142	5,89826
940	-3,27678	6,55363	-3,27678	5,2429
960	-3,27678	5,89826	-3,27678	5,2429
980	-3,27677	5,89826	-3,27677	4,58753
1000	-3,93213	5,2429	-3,27677	3,93217
1020	-3,27676	4,58753	-3,27676	3,27681
1040	-3,27676	3,93217	-3,27676	2,62144
1060	-2,62139	3,27681	-3,27675	1,96608
1080	-2,62139	2,62145	-2,62139	1,31073
1100	-3,27675	1,96609	-2,62139	1,31072
1120	-3,27675	1,96608	-2,6214	0,65536
1140	-2,6214	0,65536	-2,6214	0
1160	-3,27674	0,65536	-3,27674	0
1180	-3,27674	0,65536	-3,27674	-0,65536
1200	-3,27674	0,65536	-3,27674	-0,65536
1220	-3,27672	0,65537	4,58769	0,65536
1240	12,45215	-0,65537	14,41823	-1,31074
1260	13,1075	1,31072	13,1075	1,31134
1280	12,45215	1,96609	12,45215	1,31073
1300	12,45215	1,31073	12,45214	0
1320	12,45214	0,65537	11,79678	0
1340	11,79678	1,0000000003174E-5	11,79678	-0,65536
1360	11,79677	-0,65535999999999	12,45212	-1,31073
1380	11,79676	-0,65537	11,79676	-1,96609
1400	11,79676	-1,96609	11,14139	-2,62145
1420	11,79675	-1,31073	11,79675	-2,62145
1440	11,79675	-1,31073	11,79675	-3,27681
1460	12,45211	-1,9661	12,45211	-2,62146
1480	11,79675	-1,96609	12,4521	-3,27682
1500	11,79675	-2,62145	12,4521	-3,27682
1520	12,4521	-2,62146	13,76282	-3,93218
1540	23,59335	-3,93219	32,76854	-5,24292
1560	37,35613	-3,9322	38,01149	-4,58755
1580	37,35613	-2,62146	36,70076	-3,27682
1600	36,70076	-2,62146	36,70076	-3,93218
1620	36,04539	-2,62146	36,04538	-3,93218
1640	35,39002	-3,27682	36,04538	-3,93218
1660	35,39003	-3,93218	36,04538	-4,58755
1680	36,04538	-3,93218	36,04538	-5,24291
1700	36,04538	-3,93218	36,04537	-5,24291
