T	LX	LY	RX	RY
0	0	0	0	0
20	0	1,0000000003174E-5	0	1,0000000003174E-5
40	-0,65537	0,65538	-9,9999999960687E-6	0,65538
60	-1,9999999999243E-5	1,31075	-9,9999999960687E-6	1,31075
80	-1,9999999999243E-5	1,31075	0,65534	1,96611
100	0,65533	2,62148	0,65533	3,27684
120	-3,9999999998486E-5	3,27685	0,65533	3,93221
140	-3,9999999998486E-5	4,58758	-3,9999999998486E-5	5,24295
160	-5,000000000166E-5	5,24295	0,65532	5,24296
180	-5,000000000166E-5	5,89832	-4,9999999994554E-5	5,89832
200	-5,9999999997729E-5	6,55369	-5,9999999997729E-5	6,55369
220	-0,65542	7,20906	-0,65542	7,20906
240	-0,65542	7,86442	-1,30823	7,86443
260	-1,31079	8,5198	-1,96614	7,86444
280	-1,96615	8,5198	-1,96614	8,5198
300	-1,96615	9,17517	-2,6215	9,17517
320	-3,27687	9,17517	-3,27686	9,17517
340	-3,27686	9,83054	-3,93221	9,17517
360	-3,93222	9,17518	-3,27685	8,51982
380	-3,93222	9,17518	-3,93221	8,51981
400	-4,58757	9,17517	-4,58757	8,51981
420	-4,58757	8,51982	-4,58756	7,86445
440	-4,58757	7,86445	-4,58756	7,86444
460	-3,93221	7,20908	-3,93221	6,55371
480	-2,61895	5,89835	-1,31077	5,24298
500	-1,31078	4,58761	-0,65541	3,93224
520	-7,0000000000903E-5	3,93223	-7,0000000000903E-5	3,93223
540	-8,0000000004077E-5	3,93223	0,65529	3,93222
560	0,65528	3,93222	1,31066	3,27686
580	1,31064	2,62149	1,31065	2,62149
600	1,31065	2,62149	1,96601	1,96612
620	1,96601	1,96612	2,62138	0,65539
640	2,62137	3,0000000002417E-5	2,62139	-1,3107
660	2,62137	-1,96606	3,27675	-1,96608
680	3,27675	-2,62143	3,27676	-3,2768
700	2,62139	-3,27681	3,27676	-3,93217
720	3,27676	-4,58754	11,79654	1,31072
740	13,10727	3,27683	11,14118	3,93219
760	11,14117	4,58756	11,14116	5,89828
780	9,83043	5,24292	9,83044	4,58757
800	9,17508	4,58756	9,1751	3,93219
820	9,17508	3,27684	8,51973	3,27683
840	7,86437	3,27683	7,86438	2,62146
860	7,20902	1,9661	6,55368	0,65538
880	5,89832	0,65538	5,89833	-0,65535
900	5,24298	-1,31072	5,24299	-1,96609
920	5,24299	-2,62144	4,58765	-2,62145
940	4,58765	-2,62144	4,58767	-3,27681
960	3,9323	-3,27681	3,93232	-3,93217
980	3,93231	-4,58753	3,93232	-4,58753
1000	3,27696	-5,24289	3,93233	-5,89826
1020	3,27697	-5,2429	4,58769	-6,55362
1040	5,24305	-7,20898	5,8984	-7,86435
1060	6,55375	-7,86435	6,55376	-8,51972
1080	7,20911	-7,86436	7,20911	-7,86436
1100	7,20909	-7,86437	7,20911	-7,20901
1120	6,55374	-7,209	6,55374	-7,209
1140	6,55373	-7,20901	5,89838	-7,20901
1160	5,89837	-7,20901	6,55374	-6,55365
1180	5,89837	-6,55364	6,55374	-6,55365
1200	6,55373	-7,20901	6,55375	-7,86438
1220	6,55375	-7,86438	6,55376	-7,86438
1240	7,20911	-7,86438	7,20913	-8,51975
1260	7,20912	-7,86438	7,20913	-7,86438
1280	7,20913	-7,86438	7,86449	-7,86439
1300	7,86449	-8,51974	7,86449	-8,51974
1320	7,20912	-7,86438	6,55377	-8,51975
1340	7,20913	-7,86439	7,20913	-8,51975
1360	6,55631	-7,86439	6,55377	-8,51975
1380	6,55377	-8,51974	6,55377	-8,51975
1400	5,89841	-7,86438	6,55378	-8,51975
1420	5,8984	-8,51975	5,89841	-8,51975
1440	5,24305	-9,17511	5,89841	-9,17511
1460	5,24304	-8,51974	5,24305	-9,1751
1480	5,24304	-8,51974	5,24305	-8,51973
1500	4,58768	-7,86437	5,24304	-7,86437
1520	4,58768	-7,209	4,58768	-7,209
1540	4,58767	-7,209	5,24304	-7,209
1560	4,58767	-6,55363	4,58768	-6,55363
1580	4,58767	-5,89827	4,58768	-6,55363
1600	3,93231	-5,89826	4,58768	-5,89826
1620	4,58767	-5,2429	3,93232	-5,2429
1640	3,93231	-5,2429	3,93232	-5,2429
1660	3,93231	-5,2429	5,24303	-5,89827
1680	5,89838	-5,89827	6,55374	-6,55363
1700	6,55372	-5,89827	7,20908	-6,55363
1720	7,86442	-6,55363	7,86443	-5,89827
1740	7,86441	-4,58754	7,86441	-5,24291
1760	7,8644	-4,58754	7,8644	-4,58755
1780	7,86439	-4,58754	12,45196	-0,65538
1800	26,87002	6,55364	27,52543	4,58757
1820	26,87004	5,24293	26,87003	6,55366
1840	26,87002	6,55367	27,52538	5,89831
1860	27,52537	6,55367	27,52538	5,89831
1880	27,52536	6,55368	27,52537	6,55368
1900	27,52536	6,55368	26,87	5,89832
1920	26,86999	6,55369	26,87	6,55369
1940	26,86999	6,55368	26,87	6,55368
1960	26,21463	6,55369	26,86999	6,55368
1980	26,21462	6,55369	26,21463	7,20905
2000	25,55926	6,55369	25,55926	6,55369
2020	24,9039	7,20905	24,90391	7,20904
2040	24,24854	7,20905	24,24854	6,55369
2060	24,24854	7,20905	23,5932	6,55368
2080	23,59319	6,55369	22,93784	6,55368
2100	22,28247	6,55368	22,28248	7,20904
2120	21,62711	7,20904	21,62712	7,20905
2140	20,97175	7,86441	20,3164	7,20905
2160	19,66104	7,20905	19,66105	7,20905
2180	19,00568	7,86441	19,00569	7,20905
2200	18,35032	7,86441	18,35033	7,86441
2220	18,35033	8,51977	32,7684	13,76266
2240	49,80804	17,69485	50,46346	19,00558
2260	48,49734	20,97168	47,84197	22,93777
2280	47,1866	24,24851	47,1866	24,90387
2300	45,87587	26,21459	45,22052	26,2146
2320	44,56515	26,2146	45,22052	25,55923
2340	45,87587	25,55923	45,87586	24,90386
2360	47,18657	24,90386	47,84194	24,90386
2380	47,84192	26,21458	47,84192	26,21458
2400	47,8419	27,5253	48,49726	27,5253
2420	48,49725	28,83603	47,8419	28,83603
2440	47,84189	28,83603	48,49725	28,18067
2460	48,49725	28,83604	49,15262	27,52532
2480	49,1526	27,52532	49,80797	26,86995
2500	49,80796	26,86996	50,46333	26,86995
2520	50,46333	26,86996	50,46333	25,55923
