T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	0	0,65536	-0,65537
40	-0,65536	-0,65536	0	-0,65536
60	-0,65536	0	0	-0,65537
80	-0,65536	-0,65536	-0,65535	-0,65537
100	-1,96607	-0,65536	-1,96607	-0,65537
120	-2,62143	-0,65536	-2,62142	0
140	-3,93214	0	-3,93213	0
160	-5,24284	0,65537	-4,58747	0
180	-5,89819	0,65537	-5,8982	0,65535999999999
200	-10,48575	0,65537	-11,14112	9,9999999960687E-6
220	-11,79647	0,65537	-11,14111	0,65537
240	-11,79647	0,65537	-11,14111	0,65537
260	-11,79647	0,65537	-11,14111	9,9999999960687E-6
280	-11,14111	9,9999999960687E-6	-9,8304	-0,65536
300	-10,48576	-0,65536	-9,17505	-0,65536
320	-9,17506	-1,31072	-8,5197	-1,96609
340	-8,51971	-1,96608	-7,86435	-1,96609
360	-8,51971	-1,96609	-7,86435	-2,62145
380	-7,86435	-2,62145	-7,20899	-2,62146
400	-7,86436	-2,62146	-2,62144	-2,62147
420	4,58761	-1,31076	8,51982	-0,65541
440	7,86445	-0,6554	8,51981	-0,65541
460	7,2091	-1,31076	8,51981	-1,31076
480	7,2091	-1,31077	7,86446	-1,96613
500	6,55374	-1,96613	7,2091	-2,62149
520	6,55375	-1,96612	5,89839	-1,96613
540	5,24303	-1,96613	5,8984	-2,62148
560	4,58769	-2,62148	5,24305	-3,27685
580	2,6216	-3,27684	-13,10725	-7,86437
600	-40,63271	-12,45189	-59,63837	-13,7626
620	-60,29371	-12,45186	-59,63832	-11,7965
640	-60,29367	-11,79649	-59,63831	-12,45185
660	-60,29366	-11,79649	-59,6383	-11,79648
680	-60,29367	-11,79648	-59,6383	-11,79648
700	-60,29367	-11,79648	-59,63831	-12,45185
720	-60,29367	-12,45185	-59,63831	-13,10721
740	-60,29367	-13,10721	-59,63831	-13,76257
760	-60,29367	-13,76256	-59,63831	-13,76257
780	-60,29367	-14,41793	-59,63832	-14,41793
800	-60,29368	-15,0733	-59,63833	-15,07331
820	-60,2937	-15,07331	-59,63834	-15,07331
840	-60,2937	-15,07331	-59,63834	-15,07332
860	-60,2937	-15,07331	-59,63833	-15,07332
880	-60,29368	-15,07331	-59,63831	-15,07331
900	-60,29366	-14,41795	-59,63829	-15,07331
920	-60,29364	-15,07331	-59,63827	-15,07331
940	-60,29362	-14,41794	-59,63826	-15,0733
960	-60,29358	-14,41794	-59,6381	-15,07331
980	-57,67195	-15,07332	-57,67194	-15,07332
1000	-60,29338	-15,07331	-59,638	-15,72867
1020	-60,29335	-16,38403	-59,63798	-17,69475
1040	-60,29332	-18,3501	-59,63795	-19,00546
1060	-60,29329	-19,00546	-59,63792	-19,66081
1080	-60,29327	-19,66081	-59,63791	-20,31617
1100	-60,29327	-20,97153	-59,63792	-21,6269
1120	-60,29328	-22,28226	-59,63793	-22,93763
1140	-60,2933	-22,93763	-59,63795	-23,59299
1160	-60,29331	-24,24836	-59,63796	-24,90372
1180	-60,29332	-24,24835	-59,63796	-24,90371
1200	-60,29331	-24,24835	-59,63784	-22,93764
1220	-57,67167	-23,59301	-56,36094	-23,59301
1240	-58,98239	-22,93764	-58,98239	-23,59301
1260	-60,29311	-22,93764	-59,63775	-22,93764
1280	-60,29311	-22,28228	-59,63774	-22,93764
1300	-60,2931	-22,28229	-59,63774	-22,28228
1320	-60,29309	-22,28228	-59,63773	-22,28228
1340	-60,29308	-22,28228	-59,63771	-22,28228
1360	-60,29307	-22,28228	-59,63771	-22,93764
1380	-60,29307	-22,93764	-59,63771	-23,59301
1400	-60,29307	-22,93765	-59,63771	-23,59301
1420	-60,29308	-23,593	-59,63772	-24,24837
1440	-60,29308	-24,24837	-59,63772	-24,24837
1460	-60,29309	-24,24837	-59,63774	-24,90373
1480	-60,2931	-24,24837	-59,63774	-24,24837
1500	-60,29308	-23,59301	-57,67153	-22,28231
1520	-51,11781	-21,62695	-51,1178	-21,62695
1540	-53,0839	-20,97159	-52,42854	-21,62695
1560	-54,39461	-21,62694	-53,73926	-21,62694
1580	-55,70533	-21,62694	-55,04998	-21,62694
1600	-56,36069	-21,62693	-55,70534	-21,62693
1620	-57,01605	-21,62693	-57,01605	-21,62693
1640	-57,67141	-20,97157	-57,01605	-21,62693
1660	-57,6714	-20,97157	-56,36068	-20,97157
1680	-57,01603	-20,31621	-56,36067	-20,97157
1700	-56,36066	-20,97157	-55,70529	-20,97157
1720	-55,70528	-20,31621	-55,04992	-20,31621
1740	-56,36064	-20,31621	-57,016	-20,31621
1760	-60,29284	-20,97158	-59,63748	-21,62694
1780	-60,29284	-20,31621	-59,63747	-20,31621
1800	-60,29283	-20,3162	-59,63747	-20,31621
1820	-60,29283	-20,31621	-59,63748	-20,31621
1840	-60,29284	-20,31621	-59,63748	-20,31622
1860	-60,29285	-19,66085	-59,63748	-19,66086
1880	-60,29284	-19,66086	-59,63748	-20,31622
1900	-60,29284	-20,31622	-59,63748	-20,31621
1920	-60,29283	-19,66085	-59,63748	-20,31622
1940	-60,29284	-19,66086	-59,63748	-20,31622
1960	-60,29284	-20,31622	-59,63754	-20,97158
1980	-60,29297	-20,97159	-59,63762	-21,62695
2000	-60,29297	-20,97158	-59,6376	-20,31622
2020	-60,29297	-20,31622	-59,63761	-20,97159
2040	-60,29296	-20,31622	-59,6376	-20,31622
2060	-60,29296	-20,31622	-59,6376	-20,31622
2080	-60,29296	-20,31621	-59,63761	-20,97158
2100	-60,29295	-20,31621	-59,6375	-20,31622
2120	-60,2928	-19,66086	-59,63744	-19,66085
2140	-60,29281	-19,00549	-59,63744	-19,00549
2160	-60,2928	-19,00549	-59,63744	-19,00549
2180	-60,29279	-19,00549	-59,63743	-19,66085
2200	-60,29279	-19,00549	-59,63743	-19,00549
2220	-60,29278	-19,00549	-59,63742	-19,0055
2240	-60,29278	-19,00549	-59,63742	-19,00549
2260	-60,29278	-19,00549	-59,63742	-19,66085
2280	-60,29278	-19,00548	-59,63742	-19,00549
2300	-60,29278	-19,00548	-59,63739	-19,00549
2320	-53,08365	-17,69478	-46,52993	-17,03943
2340	-49,15138	-16,38406	-49,80676	-16,38406
2360	-50,46211	-15,72869	-50,46211	-15,7287
2380	-51,11747	-15,72869	-51,11747	-16,38405
2400	-51,77283	-16,38405	-51,77283	-16,38405
2420	-52,42819	-16,38405	-51,77283	-17,03941
2440	-53,08355	-17,03941	-52,42819	-17,03941
2460	-53,08355	-16,38405	-53,08355	-17,03941
2480	-53,73892	-17,69477	-53,73891	-17,69477
2500	-54,39428	-17,69477	-54,39428	-17,69477
2520	-53,73892	-17,69477	-53,73892	-17,69477
2540	-53,73893	-17,69477	-53,08358	-17,69478
2560	-53,73894	-17,69478	-53,08358	-18,35014
2580	-53,73894	-17,69478	-53,08358	-17,69478
2600	-53,73894	-17,69478	-55,04967	-18,35014
2620	-57,67113	-18,35014	-57,01576	-18,35014
2640	-57,01576	-17,69478	-57,01576	-17,69477
