T	LX	LY	RX	RY
0	0	0	0	0
20	1,0000000003174E-5	2,62146	-0,65536	1,31074
40	-1,31071	3,27683	-1,31072	1,31075
60	-1,31071	3,93221	-1,96607	2,62148
80	-1,96606	4,58759	-2,62143	3,93222
100	-2,62142	5,24296	-3,27678	3,93224
120	-3,27677	5,89833	-3,27679	5,24296
140	-2,62142	7,20906	-1,96608	6,55368
160	-1,96607	7,86442	-1,96609	7,20905
180	-1,31072	9,17515	-1,31073	7,20906
200	-1,96608	9,17515	-13,10734	8,51979
220	-28,1808	11,14126	-34,07912	11,14127
240	-33,42373	13,76274	-32,76837	13,10737
260	-32,76836	15,72883	-32,76836	14,41811
280	-32,76835	17,03956	-32,113	15,72883
300	-32,11299	17,69492	-32,113	17,03956
320	-32,76834	19,00565	-32,76836	18,35028
340	-32,76835	20,31638	-32,76835	19,66101
360	-32,76833	22,28248	-33,4237	21,62711
380	-33,42369	24,24857	-33,4237	22,93784
400	-34,07905	25,55931	-34,07906	25,5593
420	-34,07905	27,5254	-34,73442	26,87003
440	-34,07904	28,83614	-34,07905	28,83612
460	-34,7344	30,14687	-35,38977	29,4915
480	-35,38975	30,80224	-35,38976	29,49151
500	-35,38975	31,45761	-35,38976	30,14687
520	-36,0451	32,11297	-36,04511	30,80224
540	-36,04509	32,11297	-36,0451	30,80224
560	-36,04509	32,76834	-36,0451	31,4576
580	-36,70044	33,4237	-36,70045	31,45761
600	-36,70044	33,42371	-36,70044	31,45761
620	-36,70043	32,76834	-36,04508	31,45761
640	-36,70043	32,11298	-36,04508	30,80224
660	-36,04507	31,45762	-36,04508	30,14688
680	-36,04506	31,45761	-36,04507	29,49152
700	-36,04505	30,80225	-36,04507	29,49151
720	-36,04505	30,80224	-36,04506	28,83615
740	-36,04505	30,14688	-36,04505	28,83615
760	-33,42359	29,49152	-17,69479	28,18079
780	-7,20887	29,49153	-4,58739	28,83615
800	-4,58738	30,80225	-3,93204	29,49151
820	-3,27668	30,80225	-3,2767	29,49151
840	-3,27669	30,80224	-2,62134	30,14687
860	-3,27669	31,4576	-2,62135	30,14687
880	-3,2767	30,80224	-2,62135	28,83615
900	-3,2767	30,80224	-3,27672	29,49151
920	-3,27671	30,14688	-3,27672	28,83615
940	-3,93208	30,14688	-3,27673	28,83614
960	-3,27672	30,14688	-3,27673	28,18078
980	-3,93208	29,49152	-3,27674	28,18077
1000	-3,27672	29,49151	-3,27673	28,18077
1020	-3,27672	29,4915	-3,27673	27,52541
1040	-3,93207	28,83614	-3,27673	26,87004
1060	-3,27671	28,18078	-3,27672	26,87004
1080	-3,27672	28,18078	-3,27673	26,21468
1100	-3,27672	27,52541	-3,27673	26,21468
1120	-3,27672	27,52541	-3,27673	26,21468
1140	-2,62136	27,52541	-2,62136	25,55932
1160	-3,27671	27,52541	-2,62136	25,55932
1180	-0,65524	26,87005	5,89846	26,21468
1200	9,83072	27,52542	11,14145	26,21469
1220	10,4861	27,52543	9,83072	26,2147
1240	10,48611	27,52543	10,4861	26,2147
1260	10,48612	27,52543	10,48611	25,55933
1280	9,83076	26,87006	10,48611	25,55933
1300	9,83077	26,87006	10,48611	24,90397
1320	14,41835	25,55934	20,97206	24,24861
1340	22,28285	24,90398	22,28282	24,24862
1360	22,28284	26,21471	22,28283	24,24862
1380	21,62748	25,55935	21,62746	24,24861
1400	20,97212	25,55935	21,62747	23,59325
1420	21,62748	24,90398	21,62747	22,93789
1440	20,97213	24,24862	21,62748	23,59325
1460	20,97213	24,24863	21,62747	22,93789
1480	22,28283	24,90398	23,59354	22,93788
1500	23,59354	24,90397	24,24888	22,93788
1520	24,24889	24,90397	24,24888	22,93788
1540	24,24889	24,90397	24,24888	23,59324
1560	24,24889	24,90397	24,90424	22,93787
1580	24,2489	24,24861	24,90424	23,59324
1600	26,87035	24,90397	38,66701	24,24863
1620	53,08519	26,21475	58,98354	24,90403
1640	58,98355	27,52549	58,32816	25,55939
1660	58,32818	27,52549	58,32816	26,21476
1680	58,32817	27,52548	58,32815	25,55939
1700	58,32817	27,52548	58,32816	26,21475
1720	57,67281	27,52548	58,32815	26,87011
1740	58,32817	28,18085	58,32815	26,87011
1760	58,32816	28,18085	59,63888	26,87012
1780	65,53722	28,18086	68,81407	26,87013
1800	69,46946	28,18087	69,46944	26,87014
1820	69,46945	28,83624	69,46944	27,5255
1840	68,81409	28,83624	68,81408	27,5255
1860	68,15873	28,18088	68,81407	26,87014
1880	68,81409	28,18087	68,81407	26,87014
1900	68,15873	27,52551	68,16126	26,21478
1920	68,15873	27,52551	68,15871	26,21478
1940	67,50337	28,18087	67,50336	26,21478
1960	67,50337	28,18087	68,15872	26,87014
1980	68,81411	27,52552	79,95536	26,21483
2000	95,02891	28,18096	101,5826	27,5256
2020	100,92726	29,4917	100,92724	28,18096
2040	100,27189	29,4917	100,27188	28,18097
2060	100,27189	29,4917	99,61652	27,5256
2080	99,61653	28,83634	98,96115	27,5256
2100	98,96117	28,83634	98,96115	27,52561
2120	98,96117	28,83634	98,3058	26,87025
2140	97,65045	28,18098	98,96116	26,87025
2160	98,30581	28,83634	99,61651	27,52561
2180	100,27188	28,83634	100,27185	27,52561
2200	100,92722	29,49169	101,58257	27,52561
2220	100,92722	29,4917	101,58257	28,18096
2240	101,58258	29,4917	101,58256	28,18097
2260	101,58257	29,4917	100,9272	28,18097
2280	90,44133	30,14706	62,9158	28,83629
2300	29,49193	28,1809	-0,65513	25,55943
2320	-14,4179	28,83624	-13,76254	28,83625
2340	-13,10714	31,45771	-13,10716	31,4577
2360	-13,10714	33,4238	-12,45179	32,76843
2380	-12,45179	34,07916	-11,79644	33,42378
2400	-12,45178	34,73452	-12,45179	33,42379
2420	-12,45178	35,38988	-12,45179	33,42378
2440	-12,45178	35,38988	-12,45179	34,07915
2460	-12,45178	35,38987	-12,45179	34,07914
2480	-12,45178	36,04524	-12,45179	34,07914
2500	-12,45178	36,04523	-21,62693	35,38987
2520	-32,11283	36,70061	-34,07897	35,38988
2540	-34,07895	36,70061	-33,42359	35,38988
2560	-34,07893	36,70061	-33,42359	35,38987
2580	-33,42357	36,7006	-33,42357	35,38987
2600	-33,42356	36,04524	-33,42357	34,7345
2620	-33,42355	36,04523	-33,42356	34,7345
2640	-34,07891	35,38987	-33,42356	34,07913
2660	-33,42354	34,73451	-33,42356	32,7684
2680	-34,07891	34,07914	-33,42356	32,7684
2700	-33,42354	34,07913	-33,42356	32,11303
2720	-33,42354	33,42377	-33,42356	31,45767
2740	-33,42354	32,7684	-33,42356	30,8023
2760	-33,42354	32,11303	-32,76819	30,8023
2780	-32,76817	31,45767	-32,76818	29,49157
2800	-32,76817	30,80231	-33,42353	29,49157
2820	-32,76816	30,14694	-32,76817	28,8362
2840	-33,42351	30,14693	-32,76817	27,52547
2860	-32,76815	28,18084	-32,76816	26,8701
2880	-33,42351	27,52547	-32,1128	26,21473
2900	-32,76815	26,8701	-32,11281	24,90401
2920	-31,45745	26,87009	-30,80211	24,904
2940	-30,80211	26,21473	-30,80212	24,24863
2960	-30,80212	25,55936	-30,14677	24,24862
2980	-30,14676	24,90399	-29,49142	22,93789
3000	-24,24847	24,24863	-11,79644	21,62718
3020	-3,93196	22,93791	-1,96586	21,62718
3040	-2,62121	23,59328	-1,96587	21,62718
3060	-1,96585	22,93792	-1,96587	21,62718
3080	-1,96586	22,93791	-1,31052	21,62717
3100	-1,3105	22,9379	-1,31052	21,62717
3120	-1,31051	22,28254	-1,31052	20,9718
3140	-1,31051	22,28253	-1,31052	20,31644
3160	-1,3105	21,62717	2,62168	20,31644
3180	16,3845	22,28255	26,87043	21,6272
3200	30,14731	23,59329	30,1473	21,6272
3220	29,49195	23,59359	30,1473	22,28257
3240	30,80267	23,59329	30,80266	21,6272
3260	30,80267	22,93793	31,45802	21,62719
3280	31,45803	22,28256	31,45801	20,97183
3300	31,45803	22,28256	31,45801	20,31646
3320	30,80267	21,62719	31,45801	20,31646
3340	31,45803	21,62719	31,45801	19,6611
3360	31,45803	20,97182	31,45801	19,00572
3380	25,55971	20,97182	13,76304	20,31644
3400	10,48619	20,97181	11,14155	19,66109
3420	11,14157	20,97182	11,79692	19,66108
3440	11,79693	20,97182	11,14156	19,00572
3460	11,14158	20,97182	11,14156	19,00572
3480	11,14158	20,31646	11,14157	19,00573
3500	11,14159	20,97182	11,14157	19,00573
3520	11,14159	20,97183	11,14158	19,00573
3540	10,48623	20,31647	10,48622	19,00574
3560	10,48624	20,31647	10,48623	19,00574
3580	10,48624	20,31648	10,48624	19,00575
3600	10,48625	20,31648	10,48624	19,00575
3620	10,48626	20,31649	10,48624	18,35039
3640	10,48626	19,66112	11,1416	18,35039
3660	12,45233	19,00575	22,28284	16,3843
3680	38,01174	17,69504	49,15302	15,72895
3700	51,77452	17,69505	51,11914	15,07359
3720	51,77451	15,72896	51,7745	14,41822
3740	51,77451	15,07359	51,7745	13,76286
3760	51,77451	15,07359	51,7745	13,10749
3780	51,77451	14,41823	51,7745	13,10749
3800	51,77451	15,07359	51,77449	13,76285
3820	51,11915	15,07358	51,77449	13,76285
3840	51,77451	15,07358	51,77449	13,76285
3860	51,77451	16,3843	51,77449	14,41821
3880	51,7745	16,38431	51,77449	15,07357
3900	51,77451	16,3843	51,11913	15,72893
3920	51,11914	17,03967	51,11912	15,72894
3940	51,77449	17,69503	51,11912	15,72894
3960	51,11914	17,69503	47,18692	16,38431
3980	32,76882	18,3504	22,28287	17,03966
4000	18,35065	19,00576	17,69529	17,69503
4020	18,35068	19,66112	18,35066	18,35039
4040	17,69531	19,66112	17,69531	18,35039
4060	17,69533	19,66113	17,69532	18,35039
4080	17,69533	19,66112	17,69532	18,35039
4100	17,03998	19,66112	17,69532	17,69503
4120	17,69534	19,00575	17,69533	17,03965
4140	17,69534	18,35039	17,69533	17,03965
4160	17,69535	18,35039	17,69534	17,03965
4180	26,87052	17,69503	49,15308	16,38433
4200	68,81422	17,03972	74,71256	16,38436
4220	74,05721	18,35046	73,40183	17,69509
4240	73,40185	19,00582	73,40183	17,69509
4260	72,74649	19,00581	73,40183	17,03972
4280	72,74648	19,00582	72,74647	17,03971
4300	73,40184	19,00581	74,05718	17,69507
4320	74,05719	19,00581	74,71253	17,69507
4340	75,36789	19,0058	75,36788	17,69507
4360	75,36789	19,0058	76,02323	17,69506
4380	75,36788	19,66116	76,02323	17,69506
4400	75,36788	19,66115	76,02323	17,69506
4420	83,23229	20,31655	91,7521	19,66121
4440	95,02898	21,62732	94,3736	20,97194
4460	94,37361	22,28267	94,37359	20,97194
4480	94,3736	22,28267	95,02895	20,97194
4500	94,37361	22,28267	95,02895	20,31657
4520	94,3736	21,6273	94,37358	20,31657
4540	94,3736	21,6273	94,37359	20,31657
4560	94,3736	21,6273	94,37358	20,31656
4580	93,71823	22,28266	94,37358	20,97193
4600	93,71823	22,28266	93,71821	20,31655
4620	81,92159	19,66117	49,15309	16,3843
4640	13,1077	14,4182	-13,7625	12,4521
4660	-20,31617	13,76281	-18,35006	13,76281
4680	-18,35003	16,38427	-18,35004	15,72889
4700	-18,35002	17,69498	-17,69467	16,38425
4720	-17,69465	18,35034	-17,03931	17,03961
4740	-17,69465	19,0057	-17,69467	17,69497
4760	-17,69465	19,66106	-51,77339	17,69496
4780	-17,69465	19,66106	-17,69466	18,35032
4800	-18,35001	19,66105	-17,69467	17,69496
4820	-17,69465	19,66105	-17,69466	17,69496
4840	-17,69465	19,00569	-17,0393	17,69496
4860	-17,69464	18,35032	-20,97149	16,38423
4880	-32,11275	17,03959	-36,70037	15,72886
4900	-37,35571	17,69497	-36,70035	17,03959
4920	-37,3557	18,35032	-37,35571	16,38422
4940	-36,70034	17,69496	-37,35571	16,38423
4960	-36,70033	17,69496	-36,04498	16,38422
4980	-36,04497	17,03959	-34,73428	16,38422
5000	-34,07891	17,69494	-33,42357	16,3842
5020	-32,7682	17,69493	-32,76822	15,72884
5040	-33,42357	17,03957	-32,76823	15,72883
5060	-32,76821	17,03957	-32,11287	15,07347
5080	-32,11286	16,3842	-32,11287	15,07347
5100	-32,76821	16,3842	-32,11287	14,4181
5120	-32,11286	16,3842	-32,11287	14,4181
5140	-32,11287	16,38419	-31,45752	14,4181
5160	-31,4575	15,72883	-31,45752	13,76273
5180	-31,45751	15,07346	-30,80216	13,76272
5200	-20,97162	15,07347	-9,17496	13,76274
5220	-5,89807	15,72884	-5,89808	13,76275
5240	-5,89807	15,72884	-5,89809	13,76275
5260	-5,89807	15,07348	-5,89809	13,76274
5280	-5,89809	15,07347	-5,8981	13,10737
5300	-6,55345	14,4181	-5,89811	12,45201
5320	-5,89809	14,4181	-5,8981	12,452
5340	-5,89809	13,76274	-5,89811	12,452
5360	-5,89809	13,76273	-5,8981	12,45199
5380	-5,89809	13,76273	-5,8981	11,79663
5400	-6,55345	13,76272	-5,8981	11,14127
5420	-5,89808	13,10736	-6,55346	11,14127
5440	-6,55345	12,452	3,27706	10,48591
5460	17,69526	11,79666	24,90434	10,48593
5480	23,59364	11,79667	23,59362	11,14129
5500	24,249	11,79667	24,24899	10,48594
5520	23,59364	12,45203	23,59363	10,48594
5540	23,59365	12,45203	23,59363	9,83058
5560	22,93828	11,79667	22,93827	9,83057
5580	22,93828	11,1413	22,93827	9,83057
5600	22,93829	11,1413	22,28291	9,17521
5620	22,28293	11,1413	22,93828	9,17521
5640	22,28293	10,48594	22,28293	9,1752
5660	22,93829	10,48593	22,93827	9,1752
5680	18,3507	10,48593	15,72918	9,83056
5700	15,72918	11,79666	16,38452	9,83056
5720	16,38453	11,79665	16,38451	9,83055
5740	16,38452	11,14129	16,38451	9,83055
5760	17,03987	11,14128	16,3845	9,83055
5780	16,38452	11,14128	16,3845	9,17518
5800	16,38451	11,14128	16,3845	9,83054
5820	16,38452	11,14127	16,3845	9,83054
5840	17,03987	11,14127	17,03986	9,83054
5860	17,03987	10,48591	26,21501	8,51982
5880	43,91002	9,83057	51,77447	8,51985
5900	51,77449	10,48594	50,46375	9,17521
5920	51,11913	11,14131	51,11911	8,51984
5940	50,46376	10,48593	51,1191	8,51984
5960	50,46375	10,48593	51,11909	9,1752
5980	50,46375	9,83056	51,1191	8,51983
6000	50,46375	9,83057	51,11909	8,51983
6020	51,1191	10,48592	51,11909	8,51982
