T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535999999999	0,65536	-0,65536	0,65536
40	-0,65535999999999	0	-0,65536	0,65536
60	-1,31073	0,65536	-1,31072	0,65536
80	-1,31073	0,65537	-1,31073	0,65537
100	-1,31074	0,65537	-1,96609	0,65537
120	-1,31074	0,65537	-1,31073	0,65536
140	-1,9661	0	-1,9661	0
160	-1,96611	0	-1,9661	0
180	-2,62147	-0,65536	-2,62147	-0,65536
200	-2,62148	-1,31072	-2,62148	-1,31073
220	-2,62149	-1,96609	-2,62149	-1,9661
240	-2,6215	-1,9661	-2,62149	-1,9661
260	-3,27686	-1,9661	-2,62149	-1,9661
280	-2,62149	-1,9661	-2,62226	-1,9661
300	-2,62149	-1,31074	-2,62148	-1,31074
320	-2,62149	-1,31073	-2,62148	-1,31074
340	-3,9322	-0,65537	-3,27683	-0,65537
360	-3,9322	-1,31073	-3,93219	-0,65537
380	-3,93219	-0,65537	-4,58754	-0,65537
400	-4,58755	-0,65536	-4,58754	-0,65537
420	-3,93218	-0,65537	-4,58753	-1,0000000003174E-5
440	-5,2429	-1,0000000003174E-5	-3,93216	-1,0000000003174E-5
460	7,86444	-1,0000000003174E-5	17,03962	0,65536
480	19,6611	0,65538	19,00574	1,31074
500	18,35038	1,9661	18,3504	1,9661
520	19,00575	1,96611	18,35041	2,62147
540	17,69504	2,62148	18,35041	2,62147
560	17,69505	2,62148	17,69505	2,62147
580	17,69505	2,62148	17,69506	1,96611
600	18,35041	1,96611	18,35041	1,96611
620	19,00575	1,96611	19,00576	1,96611
640	19,00575	1,31075	19,6611	1,31075
660	19,66109	0,65538	26,21475	1,31075
680	41,94364	2,62152	51,11886	3,27689
700	52,42961	2,62152	51,77424	3,27688
720	51,77422	3,2769	51,77423	3,93226
740	51,11886	3,93226	51,77423	3,93226
760	51,77422	3,93226	51,77423	3,93226
780	51,77422	3,93227	51,77423	3,2769
800	51,77422	3,2769	52,42958	3,93226
820	51,77421	3,93226	51,77422	3,2769
840	52,42957	3,93226	51,77422	3,27689
860	47,842	3,27689	45,87589	3,27689
880	45,87588	3,93225	46,53125	3,93225
900	46,53124	3,93226	46,53125	3,93226
920	46,53124	3,93226	46,53124	3,27689
940	46,53124	3,2769	46,53124	3,27689
960	46,53123	3,2769	46,53124	2,62153
980	46,53123	2,62153	46,53124	2,62153
1000	46,53123	2,62153	48,49734	2,62154
1020	58,98328	3,9323	66,19238	4,58769
1040	68,1585	4,5877	68,1585	5,89842
1060	68,15849	5,89842	68,1585	5,89843
1080	68,15849	6,55379	67,50314	6,55379
1100	67,50313	6,5538	67,50314	6,5538
1120	67,50313	6,5538	67,50314	6,5538
1140	67,50313	6,5538	67,50314	5,89843
1160	67,50313	5,89843	66,84778	5,89843
1180	66,84777	5,89843	66,19241	5,89843
1200	66,84777	5,89843	66,84778	5,89843
1220	70,77998	5,24308	78,64445	5,89846
1240	82,57668	5,24309	82,57671	5,24309
1260	81,92133	5,89846	81,92134	5,89846
1280	81,92133	5,89846	81,92134	5,89846
1300	81,26597	5,89846	81,26598	5,89846
1320	81,26597	5,89847	81,26598	5,89846
1340	81,92132	5,89846	82,57668	5,89846
1360	82,57666	5,89846	82,57667	5,89846
1380	83,23201	5,89846	83,88738	5,89846
1400	83,88737	6,55382	83,88737	6,55382
1420	83,88736	6,55382	83,88737	6,55382
1440	83,88736	6,55382	83,88736	6,55382
1460	85,85345	6,55382	97,65019	6,55385
1480	108,13613	7,86459	108,79153	8,51996
1500	107,48079	9,17534	107,4808	10,48607
1520	107,4808	10,48608	107,4808	11,7968
1540	107,4808	12,45217	107,48081	13,10754
1560	107,48081	13,10756	107,48082	13,76292
1580	106,82545	13,76293	106,82545	13,76292
1600	106,17009	14,41829	106,82546	14,41829
1620	106,17009	15,07365	106,1701	15,07365
1640	105,51473	15,07366	105,51474	15,72902
1660	106,1701	16,3844	108,13622	17,03977
1680	108,13623	17,69515	108,13624	18,35051
1700	106,82551	19,00588	106,82552	19,66124
1720	106,82551	19,66124	104,85943	19,00587
1740	85,19825	15,07365	45,22058	9,17533
1760	6,55369	4,58775	-18,35022	3,27702
1780	-17,03942	5,24313	-15,72864	5,89851
1800	-16,38401	6,55387	-16,38401	6,55386
1820	-15,72865	6,55386	-15,72863	7,20922
1840	-15,72863	7,20923	-15,72862	7,86459
1860	-15,72862	7,20923	-15,07325	7,20922
1880	-15,07326	7,20922	-15,07325	7,20923
1900	-15,07325	6,55386	-15,07324	6,55385
1920	-15,07326	6,55385	-15,07324	5,89848
1940	-15,07325	5,89848	-15,07324	5,89847
1960	-14,41789	5,24311	-14,41789	4,58774
1980	-14,41789	4,58774	-14,41788	3,93237
2000	-14,41789	3,277	-14,41788	3,27699
2020	-13,76253	2,62163	-1,31058	2,62163
2040	9,83071	2,62165	13,10757	2,62164
2060	12,4522	3,27701	11,79685	3,277
2080	11,79684	3,277	12,45221	2,62163
2100	11,79684	2,62163	11,79685	1,96627
2120	11,79684	2,62163	12,45221	1,96626
2140	12,4522	1,96625	11,79685	1,31089
2160	12,45219	1,31089	13,10755	0,65552
2180	13,10754	0,65551	14,41826	0,00014000000000181
2200	14,41824	0,00014999999999787	15,0736	-0,65523
2220	15,07359	-0,65523	15,72895	-0,65523
2240	15,72893	-1,3106	15,72894	-0,65525
2260	17,69501	-1,96597	31,45777	-0,65522
2280	40,63297	-0,6552	43,90984	-1,31057
2300	42,5991	-1,31057	41,94374	-0,65522
2320	42,59909	-0,65521	43,25446	-0,65522
2340	42,59908	-0,65522	43,25445	-0,65522
2360	43,25443	-1,31059	43,25443	-1,3106
2380	43,25442	-1,96596	43,25443	-1,31061
2400	43,25442	-1,96597	43,25443	-1,96597
2420	43,25441	-1,96598	43,90978	-2,62134
2440	43,90977	-2,62134	43,90977	-2,62134
2460	43,90977	-2,62134	44,56513	-2,62134
2480	44,56512	-2,62135	45,22049	-2,62135
2500	54,39567	-2,62133	58,98329	-1,96597
2520	59,63865	-2,62133	58,98328	-2,62134
2540	58,98327	-2,62134	58,98328	-1,96598
2560	58,98327	-2,62134	59,63864	-2,62135
2580	58,98327	-1,96598	59,63864	-1,96599
2600	58,98327	-2,62135	58,98328	-2,62135
2620	58,98327	-1,96599	58,98328	-2,62135
2640	59,63863	-1,96599	58,98328	-2,62135
2660	58,98327	-1,96599	59,63864	-1,96599
2680	59,63864	-1,96599	59,63864	-1,31062
2700	59,63864	-1,96599	58,98329	-1,31063
2720	59,63864	-1,96599	59,63865	-1,966
2740	61,60475	-1,966	73,40138	-1,31062
2760	88,47493	-0,65523	96,99483	0,00014000000000181
2780	98,30561	0,00014999999999787	97,65024	1,31087
2800	97,65023	1,31088	97,65024	1,96624
2820	97,65024	1,96624	97,65025	1,96624
2840	97,65023	2,6216	96,99488	1,96624
2860	96,99487	1,96625	96,99489	2,62161
2880	96,33952	1,96625	96,33953	2,6216
2900	96,33952	2,62161	96,33953	2,62161
2920	96,33953	2,62161	95,68418	3,27697
2940	95,68417	3,27697	96,33954	3,27697
2960	96,33954	3,27697	97,6503	3,93234
2980	97,65031	4,58771	97,65031	4,58771
3000	98,30566	4,58772	98,30566	4,58772
3020	98,96101	3,93236	98,96101	4,58772
3040	99,61635	4,58772	99,61636	4,58772
3060	99,61634	4,58772	99,61635	4,58771
3080	99,61634	4,58771	101,58244	4,58771
3100	106,17004	4,58773	108,79153	4,58774
3120	110,10227	5,2431	109,44691	5,2431
3140	109,4469	5,24311	109,4469	5,89846
3160	109,4469	5,2431	109,4469	5,89846
3180	109,44689	5,2431	109,44689	5,2431
3200	109,44689	5,24309	110,10225	5,24309
3220	110,10224	5,24309	110,10225	5,24309
3240	110,10224	5,89845	110,10224	5,24308
3260	110,10224	5,24308	110,7576	5,24308
3280	110,10223	5,24307	95,0287	1,96623
3300	60,94934	-1,31064	24,90392	-7,20895
3320	-2,62159	-10,48579	-12,45205	-9,83043
3340	-9,83055	-9,17505	-9,17516	-7,86432
3360	-9,17517	-7,20896	-8,5198	-7,20897
3380	-7,86444	-7,20896	-7,20906	-6,55361
3400	-7,20907	-6,5536	-7,20906	-6,5536
3420	-7,20907	-6,55361	-7,20906	-6,55361
3440	-6,55116	-6,55361	-7,20906	-6,55362
3460	-6,5537	-6,55361	-5,89833	-5,89825
3480	1,31072	-3,27676	5,24298	-0,65527
3500	4,58762	-0,65526	5,24298	9,9999999996214E-5
3520	4,58762	0,00010999999999939	4,58763	9,9999999996214E-5
3540	5,24299	9,9999999996214E-5	5,243	9,9999999996214E-5
3560	5,24299	9,9999999996214E-5	5,243	9,0000000000146E-5
3580	5,243	9,0000000000146E-5	5,24301	-0,65528
3600	5,243	-0,65528	5,243	-1,31065
3620	5,243	-1,31065	7,86446	-1,31066
