T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65539	1,9661	-0,65537	1,31074
40	4,58754	3,9322	11,1413	1,96611
60	13,10741	3,27684	13,10742	2,62148
80	13,76273	5,89831	13,76275	5,89831
100	14,41808	7,20905	14,4181	6,55368
120	14,41808	7,86441	14,4181	6,55368
140	14,41807	8,51978	14,41809	7,86441
160	15,07342	9,17514	14,41808	7,86441
180	15,07342	9,8305	14,41808	8,51977
200	15,07342	10,48586	15,07344	8,51977
220	15,07342	9,8305	14,41808	9,17513
240	14,41805	10,48586	14,41807	9,17513
260	14,41804	9,8305	15,07342	8,51977
280	14,41803	9,17514	14,41804	7,86441
300	14,41801	8,51978	13,1073	5,89832
320	12,45191	5,89832	12,45193	5,24295
340	12,4519	7,20905	12,45192	6,55368
360	12,45189	7,86442	12,45192	6,55368
380	12,45189	7,86442	12,45192	6,55368
400	13,10726	7,86441	13,10729	7,20904
420	13,10726	9,17514	13,10729	7,86441
440	13,10727	9,17514	13,1073	7,8644
460	13,76264	9,8305	14,41802	8,51977
480	13,76264	9,8305	13,76267	8,51977
500	13,76264	9,8305	14,41803	7,8644
520	11,79654	7,8644	1,31071	7,20905
540	-2,62153	8,51979	-1,31078	8,51978
560	-8,0000000004077E-5	10,48588	-0,65543	9,17514
580	-1,31081	10,48588	-0,65543	9,17514
600	-0,65546	10,48588	-0,65544	9,83051
620	-0,65545	10,48588	-1,31079	9,83051
640	-1,31081	10,48588	-1,3108	9,83051
660	-1,96619	11,7966	-2,62153	10,48588
680	-2,62156	11,79661	-2,62154	10,48589
700	-3,27693	12,45199	-3,27692	11,14126
720	-3,27693	13,10736	-3,93228	11,79663
740	-3,9323	13,76272	-3,93228	13,10736
760	-5,24303	13,76274	-11,14129	11,14128
780	-11,14134	13,10737	-10,48595	12,45201
800	-10,48598	14,41811	-10,48597	13,10737
820	-10,486	15,07347	-11,14134	13,10738
840	-11,14136	14,41812	-11,14134	12,45202
860	-11,14137	13,76275	-11,14135	11,14129
880	-7,86454	12,45201	13,10722	10,4859
900	21,62709	9,17517	21,62715	8,5198
920	20,97172	11,14127	21,62711	10,48591
940	20,97173	12,452	20,97175	11,14127
960	20,97172	12,452	21,62711	11,79663
980	20,97173	13,10736	20,97175	11,79663
1000	20,97172	13,10736	20,97174	11,79662
1020	20,97171	13,10736	20,31638	11,79662
1040	19,661	12,45199	19,66101	11,79662
1060	19,00563	12,45199	19,00565	11,14126
1080	19,66098	12,45199	19,661	11,14126
1100	19,66097	13,10735	19,661	11,14125
1120	19,00561	11,79662	19,00564	11,14125
1140	19,66098	12,45199	19,661	11,14125
1160	19,66098	11,79662	22,28251	10,48589
1180	26,87013	11,79663	27,52557	9,83053
1200	27,52554	11,79664	27,52556	10,4859
1220	27,52554	11,79663	27,52556	10,4859
1240	27,52553	12,45199	27,52556	11,14126
1260	27,52553	12,452	27,52556	11,14126
1280	27,52553	12,45199	27,52555	11,14126
1300	27,52552	12,45199	27,52555	11,14126
1320	27,52553	13,10736	27,52555	10,4859
1340	27,52553	11,79663	28,83638	10,4859
1360	33,42409	12,45201	38,01172	9,83055
1380	36,70096	11,79665	36,70096	11,14129
1400	36,70093	13,10738	36,04559	11,79665
1420	36,04556	13,10738	36,70095	11,79665
1440	36,70092	13,76275	36,70094	12,45201
1460	36,70091	13,10738	36,70094	11,79664
1480	37,35627	11,79665	51,11897	10,48591
1500	67,50311	9,17517	69,46923	8,5198
1520	66,84772	10,48591	67,5031	9,83055
1540	68,15844	11,14128	68,81382	10,48591
1560	68,15844	11,79664	67,5031	10,48591
1580	68,15843	11,79664	68,15846	11,14127
1600	68,15844	12,452	68,81383	11,14127
1620	68,8138	12,452	68,15846	11,79662
1640	68,15844	13,10736	68,15846	11,14126
1660	68,15844	13,10736	68,15847	11,79662
1680	67,50308	12,452	67,50311	11,79662
1700	67,50309	12,452	67,50311	11,14126
1720	66,84773	12,45199	66,84775	11,14126
1740	66,84773	12,45199	66,84776	11,14126
1760	66,19237	11,79663	67,50312	10,48589
1780	66,84774	11,14126	68,15849	9,17516
1800	81,92118	11,14126	96,33937	11,14126
1820	98,30551	11,14127	96,33941	9,83055
1840	96,33937	12,45201	96,99476	11,14127
1860	96,99473	11,79664	97,65011	11,14127
1880	96,99473	12,45199	96,99475	9,83053
1900	96,99472	9,83054	97,65011	7,86443
1920	97,65009	9,17517	98,30547	7,86443
1940	98,30545	8,5198	98,30546	7,20907
1960	98,30544	7,86444	98,30546	5,89834
1980	99,61616	7,20908	98,30545	4,58762
2000	77,33371	0,65544	28,18138	-6,55356
2020	13,1077	-8,51966	-3,27659	-7,86431
2040	-13,76251	-5,24284	-12,45176	-4,58749
2060	-9,83034	-1,31066	-9,17499	-1,31067
2080	-8,51967	5,9999999997729E-5	-7,8643	5,000000000166E-5
2100	-7,86434	2,62151	-7,86433	1,96613
2120	-7,86436	2,6215	-7,86434	1,31075
2140	-8,51973	1,96612	-8,51972	1,9999999999243E-5
2160	-9,83047	0,65538	-10,48582	-1,31072
2180	-11,14122	-1,31072	-11,79657	-3,27681
2200	-13,10733	-2,62144	-13,10732	-4,58754
2220	-17,03953	-3,93217	-22,93781	-5,89825
2240	-22,28247	-3,27679	-20,31636	-3,27679
2260	-20,97174	-0,65532	-20,97172	-1,31069
2280	-20,31637	0,6554	-19,66099	-0,65533
2300	-19,66101	1,31076	-19,00563	2,9999999995312E-5
2320	-19,00565	1,96612	-19,00562	0,65539
2340	-18,35029	2,62148	-17,03955	1,31074
2360	-17,03957	2,62147	-16,38419	1,31074
2380	-16,38421	2,62146	-16,38418	1,31073
2400	-15,72884	1,9661	-15,72883	9,9999999960687E-6
2420	-15,72886	1,31074	-15,72884	9,9999999960687E-6
2440	-16,38423	1,31074	-16,38421	-0,65535
2460	-17,03959	1,9999999999243E-5	-13,10739	-1,31072
2480	-0,65543	-0,65536	6,55368	-3,27682
2500	9,8305	-2,62145	10,4859	-3,93218
2520	10,48587	-1,96608	10,48589	-3,93217
2540	10,48587	-3,2768	10,48589	-3,93217
2560	10,48587	-2,62144	10,48589	-3,27681
2580	9,8305	-1,96608	9,83053	-3,27682
2600	9,17514	-1,96608	9,17517	-3,27682
2620	9,83051	-1,31072	9,83053	-2,62145
2640	9,17514	-1,31072	9,17516	-2,62146
2660	8,51978	-1,9661	9,17517	-3,93219
2680	8,51978	-1,96609	8,5198	-4,58755
2700	7,86441	-3,93219	7,20907	-5,89828
2720	10,48589	-6,55363	18,35044	-8,51972
2740	21,62741	-9,17507	22,93822	-10,48581
2760	21,62747	-9,83044	21,62747	-10,48581
2780	21,62745	-9,17508	21,62746	-9,83045
2800	20,97209	-8,51973	20,97212	-9,83047
2820	20,31674	-8,51974	20,31678	-9,83048
2840	20,31675	-7,86438	20,97214	-9,83048
2860	20,97212	-8,51976	20,97214	-9,17513
2880	21,62747	-7,8644	21,6275	-9,17513
2900	20,97211	-7,20904	20,97213	-9,17513
2920	20,97211	-7,20904	21,62749	-8,51978
2940	21,62746	-6,55368	21,62749	-7,86442
2960	20,97212	-7,20906	22,28287	-8,51979
2980	20,97213	-7,20906	21,62752	-8,51979
