T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65536	0,65536	0
40	1,31072	-0,65535	0,65536	2,0000000006348E-5
60	1,31072	-0,65534	0,65536	0,65537
80	1,96608	-0,65534	1,31072	1,0000000003174E-5
100	1,96608	-0,65535	1,31072	1,0000000003174E-5
120	2,62144	-0,65535	1,31073	-0,65535
140	2,62145	-0,65535	1,96608	-0,65535
160	2,62145	-1,31071	1,96609	-1,31071
180	2,62144	-1,31071	1,96608	-1,31072
200	2,62144	-1,96608	1,96608	-1,31073
220	3,2768	-2,62144	2,62144	-1,96609
240	3,2768	-3,27681	3,2768	-2,62145
260	3,93216	-3,27681	3,2768	-2,62146
280	3,93216	-3,27682	3,93216	-3,27682
300	4,58752	-3,93218	3,93216	-3,27683
320	4,58752	-3,93218	3,93215	-3,27683
340	4,58752	-3,93218	3,93215	-3,93219
360	4,58751	-4,58755	3,93215	-3,93219
380	4,58751	-4,58755	4,58751	-3,93219
400	5,24287	-5,24291	4,58751	-4,58755
420	5,24287	-5,24291	4,58751	-4,58755
440	5,24287	-4,58755	4,58751	-4,58755
460	5,24287	-5,24291	4,58751	-5,24291
480	5,89824	-5,24291	5,24288	-5,24291
500	5,89824	-5,89827	5,89824	-5,24292
520	6,55359	-5,89827	5,89823	-5,89827
540	6,55359	-5,89827	5,89823	-5,89828
560	6,55359	-6,55364	7,86432	-7,86438
580	24,24849	-13,76267	38,01129	-20,31635
600	47,84187	-26,87002	46,53114	-26,21468
620	48,49719	-27,5254	48,49718	-26,87005
640	50,46325	-27,52541	49,80788	-27,52542
660	51,1186	-28,18078	50,46323	-27,52543
680	51,77395	-28,83614	51,11859	-28,18079
700	52,42931	-28,83615	52,4293	-28,83615
720	53,08467	-29,49151	52,42931	-28,83615
740	53,74003	-29,49151	53,08467	-28,83615
760	54,39539	-28,83615	53,74003	-28,83615
780	54,39539	-29,49151	55,05075	-28,83616
800	55,05075	-29,49151	55,05075	-28,18079
820	55,70611	-28,83615	55,70611	-28,1808
840	55,70611	-28,18079	55,05075	-28,18079
860	56,36147	-28,18079	50,46318	-21,62716
880	37,35585	-9,17518	17,69491	-0,65539
900	5,89836	1,96609	3,93227	2,62144
920	5,24298	1,96608	4,58761	3,2768
940	5,24295	2,62145	4,58759	3,2768
960	5,24295	3,27681	4,58758	3,27681
980	5,24295	3,27681	5,24294	3,93217
1000	5,89831	3,27682	5,89831	4,58754
1020	6,55367	3,93219	6,55367	4,58755
1040	7,20903	4,58755	6,55368	5,24291
1060	7,20904	4,58756	7,20904	5,24363
1080	7,8644	5,24291	7,20905	5,24291
1100	8,51977	5,24291	7,20906	5,89827
1120	7,86442	5,24291	7,20906	5,89827
1140	7,86442	5,89827	7,20906	6,55363
1160	7,86442	6,55364	7,20907	6,55364
1180	7,86443	7,20901	7,20907	7,20901
1200	7,20907	7,20902	6,55371	7,86438
1220	7,20907	8,51976	4,58764	13,76269
1240	3,93231	15,07345	1,96623	16,38419
1260	1,96623	17,69493	0,6555	19,00566
1280	0,65551	18,35032	0,00014999999999787	18,35033
1300	0,65551	17,69497	0,00014999999999787	17,69498
1320	0,00015000000000498	17,69499	-0,65522	17,695
1340	0,00014000000000181	17,03964	-1,31058	17,69501
1360	-1,31059	16,38429	-1,96595	17,03965
1380	-1,31059	16,38429	-2,62132	16,38429
1400	-1,96595	16,38429	-2,62132	17,03964
1420	-1,96596	16,38429	-1,31059	17,03964
1440	9,17527	17,69501	16,38434	19,00573
1460	16,38436	19,00574	15,72899	20,31647
1480	16,38435	20,31647	15,72899	20,97184
1500	17,03971	20,97184	16,38436	21,6272
1520	17,69508	21,6272	17,69508	21,6272
1540	18,35044	21,62721	18,35045	21,6272
1560	19,00581	20,97185	18,35045	21,62721
1580	19,00581	20,97185	18,35045	21,62721
1600	19,00581	20,97185	17,69508	20,97185
1620	17,03971	20,97185	15,72898	21,62721
1640	15,72897	21,62721	13,76288	20,97185
1660	13,76287	20,97185	11,79678	20,97184
1680	11,1414	20,31648	9,83067	20,31648
1700	10,48603	20,31648	8,51994	20,97184
1720	9,1753	20,31649	8,51994	20,31648
1740	8,51993	19,66113	8,51993	19,66112
1760	9,17528	19,00577	8,51992	19,66112
1780	9,83064	19,00576	9,17528	19,66113
1800	9,83064	19,00577	9,17528	19,00576
1820	9,83064	18,35041	9,17528	18,35041
1840	9,83063	18,35041	9,17528	18,35041
1860	9,83063	17,69505	9,17527	18,3504
1880	9,83064	17,69505	8,51992	18,35041
1900	9,17528	17,69506	8,51991	17,69505
1920	9,17527	17,69506	13,10746	18,35042
1940	26,2148	20,31652	32,76852	20,9719
1960	33,4239	20,31655	32,11318	20,97191
1980	32,76854	20,97191	32,11318	21,62727
2000	32,76853	21,62728	32,11318	21,62728
2020	32,76854	21,62728	32,11317	22,28263
2040	32,76853	21,62728	31,45781	22,93799
2060	32,11317	22,28264	31,45781	22,938
2080	31,45781	22,938	30,80244	23,59336
2100	31,4578	22,938	30,80244	23,59336
2120	30,80243	23,59336	28,18098	24,24872
2140	24,90413	24,24873	24,24877	25,55944
2160	25,55949	24,90409	24,90413	25,55945
2180	25,55948	24,9041	24,90412	25,55946
2200	25,55948	25,55947	24,90412	25,55946
2220	25,55947	25,55947	24,90411	25,55947
2240	25,55947	25,55948	24,24874	26,21483
2260	24,9041	25,55948	24,24874	26,21484
2280	24,90411	25,55948	24,24874	26,21484
2300	24,24874	25,55948	23,59338	25,55948
2320	26,8702	25,55949	35,39001	28,18095
2340	41,94371	27,5256	41,28836	27,5256
2360	41,94372	27,52561	41,28836	27,5256
2380	42,59909	26,87025	41,94373	27,5256
2400	42,59909	26,87025	41,94373	27,5256
2420	42,59909	26,87025	41,94374	27,52561
2440	42,5991	26,87025	41,94374	26,87025
2460	42,5991	26,21489	41,28838	27,52561
2480	41,94374	26,87025	41,28838	26,87025
2500	41,94374	26,87025	41,28838	26,87024
2520	41,28837	26,21489	41,28837	26,87024
2540	41,28837	26,21489	40,633	26,87025
2560	41,94372	25,55953	41,28836	26,21489
2580	41,28836	25,55953	40,63299	26,21489
2600	41,28835	25,55953	40,63298	26,21489
2620	41,28834	25,55953	40,63298	25,55953
2640	40,63298	25,55953	39,97761	24,90418
2660	40,63297	24,90418	39,97761	24,90418
2680	40,63297	24,24882	39,97761	24,90418
2700	39,97761	24,24883	39,32224	24,24883
2720	39,9776	23,59347	39,32225	24,24883
2740	39,32224	23,59348	38,66688	24,24883
2760	38,66688	23,59348	38,01152	24,24885
2780	39,32224	24,24885	43,25446	25,55958
2800	45,87594	24,24887	44,56522	24,90422
2820	45,22057	24,90423	44,56522	25,55958
2840	45,22058	24,90423	44,56522	25,55959
2860	44,56522	24,90423	44,56522	25,55959
2880	45,87594	25,55959	45,22057	25,55959
2900	45,87594	24,90423	45,87594	25,55959
2920	47,18666	25,5596	47,18666	25,55959
2940	47,84202	25,5596	47,18665	26,21495
2960	47,84201	25,5596	47,18664	26,21496
2980	47,842	26,21496	47,18664	26,87032
3000	47,84199	26,21497	45,8759	27,52568
3020	42,59906	27,5257	41,9437	28,18106
3040	42,59907	28,18106	41,9437	28,83642
3060	42,59906	28,18106	41,28834	28,83643
3080	42,59906	28,18107	41,28834	29,49179
3100	41,9437	29,49179	41,28834	30,14715
3120	41,9437	29,4918	40,63298	30,14716
3140	41,28834	29,4918	39,97762	30,14716
3160	41,28834	30,14716	47,18665	30,80252
3180	53,085	31,4579	53,74038	31,4579
3200	54,39573	31,45791	53,74037	32,11327
3220	54,39573	32,11327	53,74037	32,76863
3240	54,39573	32,11328	53,74037	32,76863
3260	53,74037	32,11328	53,74037	32,76864
3280	53,74036	32,11328	53,085	32,76864
3300	53,74037	32,11328	53,08501	32,76864
3320	53,08501	32,76865	52,42965	32,76864
3340	53,085	32,11329	52,42965	32,76864
3360	53,08501	32,11329	52,42965	32,76865
3380	53,08501	32,11329	52,42965	32,76865
3400	53,08501	32,1133	52,42964	32,76865
3420	53,085	32,76866	53,085	32,76866
3440	53,085	32,76866	52,42964	32,76867
3460	53,085	32,11331	52,42964	32,76867
3480	53,085	32,11331	52,42964	32,76867
3500	53,085	32,11331	52,42964	32,76867
3520	53,74036	32,76868	55,70647	34,73476
3540	57,0172	34,07941	56,36184	34,73477
3560	58,32792	34,73478	58,32793	34,73477
3580	59,63865	34,73477	59,63866	35,39013
3600	60,94939	34,73477	60,94939	35,39012
3620	62,26012	34,73477	61,60476	35,39012
3640	62,26012	34,73477	61,60476	35,39012
3660	62,26013	35,39012	61,60477	35,39011
3680	62,26013	34,73475	61,60478	35,39011
3700	62,9155	34,73476	61,60478	34,73475
3720	62,26014	34,07939	64,88161	34,73475
3740	73,40142	35,39013	77,33368	34,73478
3760	77,98906	33,42406	77,33369	34,07941
3780	77,98906	33,42405	77,98906	33,42405
3800	78,64441	32,76869	77,33369	32,76868
3820	78,64441	32,11332	77,98905	32,11332
3840	79,29976	31,45796	78,6444	31,45796
3860	79,29976	31,45796	78,6444	31,45795
3880	79,29976	31,45796	78,6444	31,45795
3900	79,29975	30,80259	78,64439	30,80259
3920	79,95511	30,14724	79,29975	30,80259
3940	79,95511	30,14723	79,29975	30,80259
3960	79,95511	29,49187	79,9551	30,14723
3980	80,61046	30,14723	83,88733	30,14723
4000	85,19806	30,14723	84,54269	30,14723
4020	85,19805	29,49187	84,54269	30,14723
4040	85,85341	29,49188	85,19805	30,14723
4060	85,85341	30,14723	85,19805	30,14724
4080	85,85341	30,14724	85,19805	30,8026
4100	86,50877	30,14724	85,85341	30,8026
4120	86,50877	30,14724	85,85341	31,45795
4140	86,50877	30,8026	86,50877	31,45795
4160	87,16413	30,8026	86,50877	31,45796
4180	87,81949	30,80259	87,16412	30,80259
4200	87,81948	30,8026	87,16412	30,80259
4220	87,81948	30,80259	87,16411	30,80259
4240	88,47483	30,14723	87,81947	30,14723
4260	88,47483	29,49186	87,81946	30,14722
4280	89,13019	30,14722	87,81946	30,14722
4300	88,47483	29,49186	87,81946	29,49185
4320	88,47482	28,8365	87,1641	29,49185
4340	88,47482	28,8365	87,1641	28,83649
4360	87,81946	28,18113	87,16409	28,83649
4380	83,88725	28,18113	65,53695	28,83649
4400	37,35617	28,18114	2,62178	26,87038
4420	-24,24817	24,90428	-28,83572	26,87034
4440	-26,21428	26,87034	-26,21429	27,5257
4460	-25,55894	26,87034	-26,2143	27,52569
4480	-24,90359	26,87033	-24,90359	27,52569
4500	-24,24823	26,87033	-24,90359	27,52568
4520	-23,59288	26,87032	-24,24824	26,87031
4540	-22,93752	26,87031	-22,93752	26,8703
4560	-22,28216	26,21494	-22,28216	26,8703
4580	-22,93753	25,55958	-28,83582	25,55956
4600	-28,83584	25,55956	-28,83583	26,87028
4620	-27,52511	26,21492	-28,83583	26,21492
4640	-27,52511	26,21491	-27,52511	26,21492
4660	-26,86974	26,21492	-27,5251	26,21491
4680	-26,21438	25,55955	-26,86974	26,21491
4700	-26,21438	25,55955	-26,86974	26,21491
4720	-25,55901	25,55955	-26,21437	26,21491
4740	-25,55901	25,55955	-26,21437	25,55954
4760	-24,90365	25,55955	-25,55901	26,2149
4780	-24,90365	24,90418	-24,90365	25,55954
4800	-24,24828	24,90418	-24,90365	25,55954
4820	-24,24828	24,90418	-24,90364	24,90417
4840	-24,24828	24,90418	-24,24828	24,90417
4860	-23,59292	24,24881	-24,24828	24,24881
4880	-23,59292	24,24881	-24,24829	24,2488
4900	-22,93756	23,59345	-18,34999	25,55953
4920	-7,20876	25,55954	-5,24264	24,90418
4940	-5,24264	24,24882	-5,89801	24,90417
4960	-4,58729	24,24882	-5,24265	24,24882
4980	-5,24265	23,59345	-5,24265	23,59345
5000	-4,58729	22,93809	-5,24265	23,59344
5020	-5,24265	22,28273	-5,89801	22,93808
5040	-5,24265	22,28272	-5,89801	22,93808
5060	-5,24266	21,62736	-5,89802	22,28271
5080	-4,5873	21,62735	-5,24266	22,28271
5100	-4,5873	21,62735	-5,24267	21,62735
5120	-3,93195	20,97199	-4,58731	20,97198
5140	-4,5873	20,97199	-4,58731	20,97198
5160	-3,93194	20,97198	-4,58731	20,97198
5180	-3,93195	20,31662	-4,58731	20,97197
5200	-3,27659	20,31661	-3,93195	20,31661
5220	-2,62123	19,66125	-3,2766	20,3166
5240	-2,62124	19,66124	-3,2766	19,66124
5260	-1,96588	19,66124	-2,62124	19,66124
5280	-1,96588	19,00587	-1,96588	19,66123
5300	3,27703	19,00587	5,24315	19,66123
5320	5,89851	19,00587	5,24315	19,00586
5340	5,89851	19,00586	5,8985	19,00586
5360	6,55387	18,3505	5,24314	18,3505
5380	6,55386	18,3505	5,8985	18,35049
5400	6,55386	18,35049	5,24314	18,35049
5420	6,55386	17,69513	5,8985	18,35049
5440	6,55386	17,69513	5,8985	18,35049
5460	6,55386	18,35049	5,8985	18,35048
5480	6,55386	17,69512	6,55386	17,69512
5500	14,41826	19,00585	20,31659	20,31658
5520	22,93807	19,00587	21,62734	19,66122
5540	22,2827	19,00586	21,62734	19,00586
5560	22,2827	18,3505	21,62734	19,00586
5580	21,62734	18,3505	21,62734	19,00586
5600	21,62734	18,3505	20,97198	18,35049
5620	22,2827	18,3505	21,62734	18,35049
5640	21,62734	17,69513	20,97198	17,69513
5660	22,2827	17,69513	21,62734	17,69513
5680	21,62734	17,03977	20,97198	17,03976
5700	21,62734	16,3844	20,97198	17,03976
5720	21,62734	16,3844	20,97198	16,38439
5740	21,62734	15,72904	20,97198	15,72903
5760	26,87027	17,03976	34,73471	19,00587
5780	39,32229	17,69515	38,66693	17,69515
5800	39,32229	17,69516	38,66692	18,35051
5820	38,66692	17,69516	38,01156	17,69515
5840	38,66692	17,69516	38,01155	18,35051
5860	38,66691	17,69516	38,01154	17,69516
5880	38,01155	17,69516	38,01154	18,35052
