T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535	0	0	0
40	-0,65535	0,65536	-0,65536	0
60	-1,31071	1,31073	-0,65535000000001	0,65536
80	-1,31071	1,31073	-0,65536	1,31072
100	-0,65534	1,96609	-0,65535000000001	1,31072
120	-0,65534	1,31073	-0,65535000000001	1,31072
140	-1,31071	1,96609	-1,31072	1,96609
160	-1,96607	1,96609	-1,96608	1,31073
180	-1,96607	1,96609	-1,96608	1,96609
200	-1,96607	2,62146	-1,96608	1,96608
220	-1,96607	2,62146	-1,96608	1,96608
240	-2,62143	2,62146	-1,96608	1,96609
260	-2,62144	2,62146	-1,96608	2,62145
280	-2,62144	3,27682	-1,96609	2,62145
300	-2,62144	3,27682	-1,96608	3,27681
320	-1,96607	3,27682	-1,96608	3,27681
340	-2,62143	3,93217	-1,96607	3,2768
360	-1,96607	3,93218	-1,96607	3,93217
380	-2,62142	4,58753	-1,31071	3,93216
400	-1,96606	3,93217	-1,31071	3,27681
420	-1,96606	4,58753	-1,96607	4,58752
440	-1,96606	4,58753	-1,96607	4,58752
460	-1,3107	5,24289	-1,96607	4,58752
480	-1,96606	5,24289	-1,31071	4,58753
500	-1,96606	5,24289	-1,31071	4,58753
520	-1,3107	5,24289	-1,31072	4,58752
540	-1,3107	4,58753	-1,3107	4,58752
560	-1,31069	5,24289	-1,3107	4,58752
580	-1,31069	4,58753	-0,65534	4,58752
600	-1,31069	5,2429	-0,65534	4,58753
620	-1,3107	5,24289	-0,65534	5,24289
640	-0,65533	5,89826	2,9999999995312E-5	4,58753
660	-1,31069	5,89825	1,9999999999243E-5	5,24289
680	-1,31069	5,89826	-0,65535000000001	5,24289
700	-1,3107	5,89826	-1,3107	5,89826
720	1,9999999999243E-5	5,89827	8,51976	3,93219
740	10,48588	5,24293	9,83049	5,24293
760	9,8305	5,8983	9,83049	5,24293
780	9,8305	5,89831	10,48585	5,89829
800	9,17514	5,8983	9,83049	5,24293
820	9,17513	5,89829	9,83048	5,24293
840	9,83049	5,89829	9,83048	4,58757
