T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535	0	0	-0,65535000000001
40	0,65536	-0,65537	0,65535	-1,96609
60	0,65535	-0,65538	1,31071	-1,9661
80	1,31071	-1,96611	1,96607	-2,62147
100	1,96607	-2,62148	-7,209	-3,27682
120	-17,69482	1,0000000003174E-5	-19,66094	0,65537
140	-17,69485	3,2768	-17,69484	3,93219
160	-17,69484	5,24291	-18,35021	4,58756
180	-18,35021	5,89828	-18,35022	4,58757
200	-19,00558	4,58756	-18,35022	3,9322
220	-19,00558	5,24292	-18,35022	3,93221
240	-18,35023	5,24292	-18,35023	5,24294
260	-18,35022	6,55365	-18,35022	5,89831
280	-17,69486	7,86438	-17,0395	7,20903
300	-17,0395	8,51974	-16,38414	8,51975
320	-16,38413	10,48583	-15,72877	10,48584
340	-15,0734	11,14119	-14,41805	11,1412
360	-14,41804	12,45192	-13,76268	12,45193
380	-13,76268	13,76264	-13,76268	13,10729
400	-13,10732	14,41802	-13,10732	13,76267
420	-13,76268	15,72873	-13,10732	15,07339
440	-13,76268	16,38411	-14,41804	16,38412
460	-14,41803	17,03947	-15,0734	16,38411
480	-15,07339	17,03947	-15,0734	16,38411
500	-15,72876	17,69483	-15,72876	17,03948
520	-16,38412	18,35019	-16,38412	17,69484
540	-17,03947	19,00556	-17,69484	19,00557
560	-17,69483	19,66093	-18,3502	19,00557
580	-18,3502	20,97165	-18,35019	20,3163
600	-19,00555	20,31629	-18,35019	20,31631
620	-18,35019	22,28239	-18,35019	21,62703
640	-18,35018	22,93775	-18,35019	22,93776
660	-18,35018	23,59311	-18,35018	22,93776
680	-18,35018	23,59311	-17,69482	22,93776
700	-18,35018	23,59312	-18,35018	23,59313
720	-19,00554	24,24848	-19,00555	22,93777
740	-19,00555	23,59312	-19,00555	22,93777
760	-19,00555	23,59312	-19,00556	22,93777
780	-19,00557	24,24848	-18,35021	23,59313
800	-19,00558	24,90384	-19,00558	23,59313
820	-19,00558	24,90384	-18,35022	24,24849
840	-18,35023	24,90384	-24,90385	20,31632
860	-30,14678	19,66096	-29,49142	20,31633
880	-28,83605	22,28241	-29,49142	20,9717
900	-30,14678	21,62704	-30,14679	20,31633
920	-30,14679	20,97168	-30,14679	20,31633
940	-30,80215	20,97169	-30,1468	20,31633
960	-30,80216	20,97169	-30,80216	20,31634
980	-31,45752	20,97169	-32,11288	19,66098
1000	-31,45752	19,66096	-31,45752	17,69487
1020	-31,45752	19,00558	-32,11288	19,00559
1040	-31,45752	19,66094	-32,11288	18,35023
1060	-32,11288	19,66094	-32,11288	19,00559
1080	-32,11288	19,66094	-32,11288	19,00559
1100	-32,76824	19,66094	-32,76823	19,66095
1120	-32,76823	20,97167	-32,76823	20,97168
1140	-33,42359	22,2824	-34,07895	22,28241
1160	-34,07894	23,59312	-34,73431	22,93829
1180	-35,38966	23,59312	-35,38967	22,93777
1200	-35,38967	24,24848	-36,70039	23,59313
1220	-37,35575	24,24849	-37,35575	23,59314
1240	-38,0111	24,90385	-38,0111	24,90387
1260	-38,66646	25,55922	-38,66646	24,90387
1280	-39,32182	25,55923	-39,97718	25,55924
1300	-39,97718	25,55923	-39,97718	24,90388
1320	-40,63253	26,2146	-40,63254	25,55925
1340	-41,28789	26,86996	-41,28789	26,21461
1360	-41,28789	27,52532	-41,94324	26,86998
1380	-41,94324	27,52533	-41,94324	27,52534
1400	-43,25396	28,18069	-43,25396	27,52534
1420	-43,90931	28,1807	-43,90932	27,52534
1440	-44,56468	27,52533	-43,90933	25,55925
1460	-44,56469	26,2146	-44,5647	24,90388
1480	-45,22005	26,86996	-44,5647	26,21461
1500	-43,90934	26,86996	-43,90934	25,55925
1520	-43,25399	26,21459	-42,59863	24,90388
1540	-41,94326	25,55923	-41,94327	23,59316
1560	-41,28791	24,24851	-40,63255	22,93779
1580	-40,63256	22,93778	-40,63256	20,9717
1600	-40,63256	20,97169	-40,63257	19,66098
1620	-38,01111	21,62704	-35,38964	21,62706
1640	-36,045	22,28242	-36,70038	21,62707
1660	-36,04502	22,28242	-36,70038	21,62707
1680	-36,70038	21,62705	-36,70039	19,66097
1700	-36,70038	19,00559	-37,35576	18,35024
1720	-38,01112	18,35023	-38,01114	17,69487
