T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65537	0	-0,65537
40	0	-1,31074	0	-0,65538
60	0	-1,31074	0	-1,31074
80	-1,0000000003174E-5	-1,9661	0	-1,96611
100	0,65535	-1,96612	0,65536	-1,96611
120	1,31071	-2,62148	1,31071	-2,62148
140	1,96606	-2,62148	1,96606	-2,62148
160	1,96605	-3,27685	2,62395	-2,62149
180	2,62395	-3,27685	3,27676	-2,62149
200	2,6214	-3,27686	2,6214	-3,27686
220	3,93212	-3,27686	3,93212	-3,27686
240	3,93212	-3,93222	3,93212	-3,93222
260	3,93212	-3,93223	4,58748	-3,27686
280	4,58747	-3,27687	4,58747	-3,93223
300	4,58748	-3,27687	4,58748	-3,27686
320	4,58747	-3,27687	4,58748	-2,62149
340	5,24284	-2,6215	5,24283	-1,96613
360	4,58748	-1,96613	5,24284	-1,96613
380	5,24284	-1,31077	5,24284	-1,31076
400	5,24539	-1,31076	5,24284	-3,9999999998486E-5
420	5,24284	-0,6554	5,24284	-0,6554
440	5,8982	-0,6554	5,24284	-3,9999999998486E-5
460	5,24284	-3,9999999998486E-5	5,24284	0,65532
480	5,24284	-3,9999999998486E-5	5,24283	0,65533
500	5,24284	0,65533	5,24284	0,65532
520	5,24284	0,65533	5,24284	0,65532
540	5,24284	0,65532	5,24285	0,65533
560	4,58748	0,65532	5,24284	1,31069
580	4,58749	0,65532	4,58748	1,31068
600	5,24284	0,65532	4,58748	1,31069
620	9,83043	1,96605	20,97176	2,62142
640	22,28254	2,62142	21,62716	3,27679
660	21,62715	3,27678	20,9718	3,93215
680	20,97179	5,24288	20,97179	5,24288
700	20,31642	5,89823	20,97179	6,5536
720	20,97178	7,20896	20,97178	7,86433
740	22,28249	7,20895	22,93785	7,20895
760	22,93786	6,55358	22,28249	6,55358
780	22,28249	5,89821	22,28249	5,89822
800	22,28249	5,89821	22,28249	6,55357
820	22,28249	6,55357	20,97177	6,55358
840	21,62713	6,55357	20,97177	7,20894
860	20,97177	7,20893	20,31642	7,8643
880	20,31642	7,20894	20,31642	7,20894
900	20,31642	7,20894	20,31642	7,8643
920	20,31642	7,20894	27,52546	7,86431
940	42,59904	9,83043	46,53134	11,14118
960	45,87596	11,79655	45,2206	12,45192
980	46,53131	13,76265	45,87596	14,41802
1000	46,53131	15,07338	47,18667	15,07339
1020	47,18667	15,72874	47,84203	16,38411
1040	47,84203	15,72875	48,49739	16,38411
1060	48,49738	15,72875	49,15275	15,72876
1080	49,8081	15,72875	49,8081	15,72876
1100	49,15274	15,72875	49,80809	15,72876
1120	53,08493	15,0734	65,53699	15,07341
1140	74,71222	15,72878	74,71225	17,03951
1160	74,05686	17,03952	73,4015	18,35026
1180	73,40149	19,00563	72,74612	19,00564
1200	72,09075	19,66101	72,09074	20,97175
1220	71,43538	21,62712	71,43538	22,2825
1240	70,78	22,2825	70,78	23,59324
1260	70,12462	23,59325	69,46925	24,24862
1280	70,77997	23,59326	79,29979	24,24863
1300	83,88744	24,90399	85,19819	25,55937
1320	84,54282	25,55938	84,54281	26,87011
1340	84,5428	27,52547	83,88744	28,18084
1360	83,88744	28,18083	83,88744	28,18083
1380	84,5428	28,18082	84,5428	28,18083
1400	85,19816	28,18082	84,5428	28,18082
1420	85,19816	27,52545	85,19816	27,52545
1440	85,85352	26,87008	85,85352	26,21472
1460	85,85352	25,55936	85,85352	25,55936
1480	86,50887	25,55935	86,50888	25,55936
1500	87,16423	24,90399	87,16423	24,90399
1520	92,40716	24,24863	107,48072	22,28256
1540	114,68989	22,28256	113,37918	23,5933
1560	112,72381	22,93793	113,37917	23,5933
1580	113,37918	23,5933	114,03454	23,5933
1600	114,6899	22,28257	114,6899	22,28257
1620	114,68989	21,6272	115,34525	21,62719
1640	115,34524	20,97182	116,0006	19,66109
1660	115,34523	19,00572	115,34523	19,0057
1680	115,34521	17,69497	115,34521	17,69496
1700	115,3452	17,03959	115,34519	17,03958
1720	114,68982	16,3842	114,68981	16,3842
1740	114,6898	15,72882	114,03443	15,07346
1760	113,37906	14,41808	114,03441	15,07344
1780	114,0344	13,76271	113,37903	13,76271
1800	114,03438	13,10734	114,03438	13,10733
1820	114,03437	12,45197	106,8253	11,14123
1840	72,09072	1,96609	32,11308	-5,89829
1860	-3,9999999998486E-5	-8,51973	-7,2091	-5,24291
1880	-5,24297	-2,62146	-4,5876	-0,65536
1900	-4,58761	0,65537	-3,93224	2,62147
1920	-2,62152	3,93219	-1,96616	5,24292
1940	-1,3108	5,89829	-0,65545	7,20902
1960	-0,65546	7,86438	-9,0000000000146E-5	9,17511
1980	0,65526	9,83048	0,65527	11,14121
2000	1,96598	10,48584	3,27671	11,79657
2020	3,93208	11,1412	3,93208	12,45192
2040	0,65525	13,76267	-0,00010000000000332	14,41803
2060	1,31064	15,07339	1,96602	15,72875
2080	1,96603	15,72874	2,6214	15,72875
2100	3,27676	15,07338	3,93214	15,07338
2120	4,5875	13,76265	4,5875	13,76265
2140	4,5875	12,45192	4,5875	12,45193
2160	5,24285	11,79656	14,41802	11,1412
2180	28,18084	10,48584	32,1131	10,48584
2200	31,45774	9,83048	30,14701	9,83049
2220	29,49164	9,8305	28,18091	9,17514
2240	26,87018	7,86441	25,55943	7,20905
2260	24,24869	5,89833	22,93795	5,24297
2280	22,28256	3,93225	21,62717	3,93226
2300	20,31643	3,27689	19,66104	2,62153
2320	26,21471	1,96618	38,66678	3,27691
2340	43,25441	3,27691	42,59906	4,58765
2360	41,94367	4,58764	41,2883	5,24301
2380	41,28828	5,89837	40,63293	5,89837
2400	39,97756	6,55373	39,97756	6,55373
2420	39,97755	6,55372	39,32219	7,20908
2440	39,32219	7,20908	39,32219	7,20908
2460	39,32219	7,20908	39,97756	7,20908
2480	39,97756	7,20908	39,97756	7,20908
2500	40,63292	6,55372	40,63294	7,20908
2520	41,2883	6,55372	41,28831	7,20908
2540	42,59903	6,55372	42,59904	7,20907
2560	52,42957	6,55372	70,12461	7,20911
2580	77,98915	7,86448	76,67844	8,51984
2600	76,67842	8,51984	77,98916	9,17521
2620	77,98915	9,17521	77,98916	9,83057
2640	78,64451	9,83057	77,98915	10,48594
2660	78,64452	9,83057	78,64451	11,1413
2680	79,29987	10,48594	79,95523	11,1413
2700	79,95523	11,14129	80,61059	11,79665
2720	80,61058	11,14129	81,26594	11,79665
2740	81,26594	11,79665	81,26594	11,79666
2760	81,26593	11,79665	80,61057	12,45201
2780	83,23202	11,79665	93,71797	11,79666
2800	100,2717	11,14131	100,27172	11,79668
2820	98,96098	11,79669	98,96097	13,10742
2840	98,96098	13,10742	98,96097	13,76279
2860	98,96097	13,76279	98,30561	13,7628
2880	98,30561	13,76279	98,96097	13,7628
2900	98,96097	13,76279	98,96097	13,7628
2920	98,96097	13,76279	98,96097	14,41816
2940	99,61633	14,41816	98,96097	14,41816
2960	99,61633	15,07352	99,61634	15,72889
2980	100,2717	15,72888	100,92706	15,72888
3000	100,92707	15,72888	100,27171	15,72889
3020	101,58243	15,72888	101,58244	16,38425
3040	101,58244	16,38425	101,58245	16,38425
3060	102,89316	15,72889	102,89316	16,38425
3080	102,89316	15,72888	103,54852	15,72888
3100	103,54852	15,07352	104,20387	15,07352
3120	104,20387	14,41816	104,20386	14,41816
3140	104,85923	14,41815	104,85923	14,41815
3160	105,51458	13,76279	105,51459	13,76279
3180	105,51458	13,76278	105,51459	13,76278
3200	106,82531	13,10742	106,82531	13,76278
3220	106,82531	13,10741	106,82531	13,10741
3240	106,82531	12,45204	107,48067	13,1074
3260	107,48066	11,79667	107,48066	12,45204
3280	107,48066	11,79667	106,8253	12,45203
3300	107,48066	11,79667	106,8253	12,45203
3320	106,16993	11,79666	89,78573	9,83055
3340	76,02293	8,51982	77,33367	9,17519
3360	79,29982	9,17518	79,2998	9,83055
3380	79,2998	9,83054	79,2998	10,48591
3400	79,95516	9,83054	79,2998	9,83055
3420	79,95516	9,83054	79,95517	9,83054
3440	77,98909	9,83053	76,67841	9,17517
3460	79,29982	9,17517	77,98913	9,83052
3480	77,33378	9,17516	77,98914	8,51979
3500	77,98914	5,89831	78,6445	4,58757
3520	79,29986	3,27684	79,29986	3,9322
3540	79,29986	3,9322	79,29985	3,93302
3560	79,95521	3,27684	79,9552	3,27684
3580	85,85348	3,27685	98,96093	3,27688
3600	103,54859	3,2769	102,8932	4,58762
3620	102,89319	5,24298	104,20391	5,89835
3640	104,20391	5,24299	104,85926	5,89835
3660	105,51463	5,89834	106,16999	5,89834
3680	106,82534	5,24298	106,82534	5,89835
3700	106,82534	5,89834	107,48069	6,55371
3720	107,48069	6,55371	107,48069	7,20908
3740	107,48069	7,20907	107,48069	7,20908
3760	108,13604	7,20907	108,13605	7,86444
3780	95,02867	4,58761	58,32795	-1,31067
3800	22,9379	-7,20895	1,31071	-7,8643
3820	1,96609	-3,9321	2,62149	-1,31064
3840	2,62146	-0,65527	3,27683	1,31082
3860	2,62146	1,96618	3,27682	3,27691
3880	3,93218	4,58764	3,93217	5,89837
3900	3,93216	6,55373	3,93216	7,2091
3920	3,93215	7,2091	3,27679	7,86446
3940	3,93214	7,20909	3,27678	7,86445
3960	0,6553	7,86445	-4,58766	7,86446
3980	-5,24303	8,51981	-4,58766	9,17518
4000	-4,58766	8,52054	-5,24303	8,51981
4020	-4,58767	7,20909	-4,58767	7,86444
4040	-4,58767	6,55372	-4,58767	5,89836
4060	-3,93232	5,24298	-3,93231	5,24298
4080	-3,93231	3,93225	-3,27695	4,58761
4100	-3,27694	3,27688	-2,62159	3,27687
4120	-2,62158	1,96614	-2,62159	1,96614
4140	-1,96623	1,31077	-2,62158	0,65541
4160	-1,96623	3,9999999998486E-5	-2,62159	3,9999999998486E-5
4180	-1,96623	-0,65533	-2,62159	-1,31069
4200	-1,96623	-1,96606	-2,6216	-1,96606
4220	-2,6216	-2,62143	1,3106	-3,2768
4240	17,03953	-4,58754	26,21477	-4,58754
4260	25,55942	-4,58754	24,90404	-3,93218
4280	25,5594	-4,58754	25,55939	-4,58754
4300	25,55939	-4,58755	25,55939	-5,2429
4320	26,21474	-5,24292	25,55938	-5,24291
4340	25,55938	-5,24292	25,55938	-5,89828
4360	25,55938	-5,89829	25,55938	-5,89829
4380	30,14695	-6,55366	42,59902	-7,20902
4400	48,4974	-7,20903	47,84204	-7,20902
4420	47,84203	-6,55367	48,49739	-7,20902
4440	48,49738	-7,20903	48,49738	-7,20903
4460	49,15274	-7,20903	49,15273	-7,20903
4480	49,80808	-7,20904	49,80808	-7,20903
4500	50,46343	-7,8644	49,80807	-7,8644
4520	50,46343	-7,8644	50,46343	-7,8644
4540	50,46343	-7,86441	51,11878	-8,51977
4560	53,74024	-9,17514	64,22618	-8,51976
4580	71,43529	-8,51882	71,4353	-7,8644
4600	71,43529	-8,51976	71,43529	-7,8644
4620	72,09064	-8,51977	72,09065	-8,51976
4640	72,09064	-8,51977	72,09064	-8,51977
4660	72,09063	-9,17514	72,09064	-9,17513
4680	72,74599	-9,17513	72,74599	-9,17513
4700	72,74599	-9,8305	72,74599	-9,8305
4720	73,40134	-9,83051	72,74598	-9,8305
4740	72,74598	-10,48587	73,40134	-11,14123
4760	73,40134	-11,14124	73,40133	-11,14124
4780	73,40133	-11,7966	73,40133	-11,14124
4800	73,40133	-11,79661	73,40134	-11,79661
4820	73,40133	-11,79661	73,40133	-12,45197
4840	73,40133	-12,45198	73,40133	-12,45198
4860	73,40133	-13,10735	74,05669	-13,10735
4880	74,05669	-13,76271	74,05669	-13,10735
4900	72,74596	-13,76272	58,32786	-16,38418
4920	39,32208	-17,69491	35,38988	-17,03954
4940	38,66674	-16,38417	38,01138	-15,72881
4960	38,66673	-15,72882	38,66673	-15,72882
4980	38,66673	-16,38418	38,66673	-16,38419
5000	38,66672	-17,03955	38,66672	-17,03955
5020	39,32208	-17,69492	39,32208	-17,69492
5040	39,32208	-17,69493	39,32208	-17,69492
5060	39,32208	-18,35029	38,66672	-17,69492
5080	38,66672	-17,69493	38,66673	-17,69493
5100	38,66672	-18,35029	38,01136	-17,69493
5120	38,01136	-17,69493	38,01136	-17,69492
5140	38,01136	-17,69493	38,01136	-18,3503
5160	38,66671	-19,00567	48,49722	-19,00566
5180	76,02282	-19,00458	100,27163	-17,69489
5200	104,85933	-16,38416	103,54859	-15,07342
5220	103,54857	-13,76269	104,20394	-12,45196
5240	104,20392	-12,45196	104,85928	-11,14123
5260	105,51463	-11,79659	105,51464	-10,48587
5280	104,85927	-10,48587	105,51463	-9,8305
5300	106,16998	-10,48587	106,16998	-9,8305
5320	106,16998	-9,83051	106,16997	-9,17514
5340	106,82533	-9,83051	109,4468	-9,17514
5360	117,96664	-9,8305	119,9328	-9,17512
5380	119,93279	-8,51976	119,93278	-7,8644
5400	120,58814	-7,8644	119,93278	-7,20904
5420	119,93277	-7,20904	120,58813	-7,20904
5440	119,93277	-7,20904	119,93277	-6,55367
5460	120,58813	-7,20904	120,58813	-6,55367
5480	120,58813	-7,20903	120,58812	-6,55367
5500	120,58812	-6,55368	120,58812	-7,20903
5520	119,93276	-7,20904	120,58812	-6,55367
5540	120,58812	-7,20904	120,58812	-7,20904
5560	120,58811	-7,86441	119,93275	-7,86441
5580	121,24346	-7,86441	121,24347	-7,86442
5600	121,24347	-8,51978	121,89882	-8,51978
5620	122,55417	-9,17516	120,58806	-10,48589
5640	95,02864	-15,07345	56,36177	-20,97172
5660	21,62715	-25,55923	-1,96616	-24,90385
5680	-5,89837	-21,62702	-3,93226	-18,3502
5700	-3,93227	-17,03948	-3,93228	-15,72874
5720	-3,27693	-15,72875	-2,62158	-14,41802
5740	-1,31086	-15,07339	-1,31087	-13,76266
5760	-0,65552	-13,76267	-0,65552	-13,1073
5780	-0,00016999999999712	-13,76267	-0,00016999999999712	-13,76268
5800	-0,00018000000000029	-14,41805	0,65518	-15,07341
5820	0,65517	-15,72878	1,31053	-15,72879
5840	0,65517	-16,38416	1,31053	-17,03952
5860	1,31053	-17,69489	1,31053	-17,69489
5880	1,31052	-18,35025	1,96588	-18,35026
5900	3,93197	-19,00563	16,38405	-20,97172
5920	28,18079	-22,28247	28,18083	-21,62711
5940	27,52544	-21,62711	28,1808	-20,97174
5960	28,1808	-20,97176	28,18079	-20,97175
5980	28,83615	-21,62712	28,83615	-21,62712
6000	28,83615	-22,28248	28,83615	-22,28248
6020	28,83615	-22,28249	29,49151	-22,28249
6040	28,83615	-22,93785	29,4915	-22,93785
6060	29,4915	-22,93785	29,4915	-22,93786
6080	29,4915	-23,59322	37,35593	-23,59321
6100	50,46338	-24,24858	52,42955	-24,24858
6120	51,1188	-24,24857	51,1188	-23,59321
6140	51,1188	-23,59321	50,46344	-22,93784
6160	50,46343	-22,93784	50,46343	-22,93784
6180	50,46342	-22,93784	50,46342	-22,28248
6200	50,46343	-22,28248	50,46343	-22,28248
6220	50,46343	-22,28248	50,46343	-22,28248
6240	50,46343	-22,28248	50,46342	-21,62712
6260	50,46342	-22,28248	50,46342	-21,62712
6280	50,46342	-21,62713	49,80806	-21,62713
6300	57,0171	-21,62712	72,09067	-20,31637
6320	79,9552	-19,00562	80,61059	-18,35025
6340	79,9552	-17,69489	79,9552	-17,03951
6360	79,95519	-16,38415	79,95519	-15,72878
6380	80,61055	-16,38415	80,61055	-15,72879
6400	80,61054	-17,03952	81,2659	-17,03952
6420	81,2659	-17,69489	81,2659	-17,69489
6440	81,92125	-19,00562	81,26589	-18,35026
6460	81,92125	-19,00562	81,92124	-18,35025
6480	81,26588	-18,35026	81,92124	-18,35026
6500	81,92124	-19,00562	81,26587	-19,00562
6520	81,92123	-19,00563	81,92123	-19,00562
6540	81,92123	-19,00563	81,92123	-19,66099
6560	81,92123	-19,661	81,92122	-19,661
6580	88,47491	-20,31636	102,89309	-20,97171
6600	108,79149	-20,9717	108,13612	-20,31634
6620	106,82538	-20,31634	107,48074	-20,31634
6640	107,48074	-20,31634	107,48073	-19,66098
6660	107,48073	-19,66098	106,82537	-19,66098
6680	107,48072	-19,66099	108,13608	-19,66098
6700	108,13607	-20,31635	108,13607	-19,66098
6720	108,13605	-20,31635	108,79141	-20,31635
6740	108,79141	-20,31635	108,7914	-20,31635
6760	109,44676	-20,31636	108,7914	-20,31635
6780	110,10211	-20,97173	110,10211	-20,97173
6800	116,65581	-21,62709	123,20956	-22,28244
6820	122,55421	-21,62708	122,55419	-20,31635
6840	122,55419	-20,31635	122,55418	-20,31635
6860	-44,56262	-20,31635	121,89882	-20,31634
6880	123,20953	-20,31635	122,55418	-20,31635
6900	122,55417	-20,31635	123,20953	-20,31635
6920	123,20952	-20,31636	123,20952	-20,31635
6940	123,86488	-20,31636	122,55415	-19,66099
6960	123,86487	-20,31636	123,86487	-20,31636
6980	123,86487	-20,31636	123,86486	-20,31636
7000	123,86486	-20,97172	124,52022	-20,31637
7020	124,52022	-20,31637	123,86485	-20,31637
7040	124,52021	-20,97174	124,52021	-20,31637
7060	125,17556	-21,62709	120,58798	-22,28247
7080	91,09636	-28,18076	53,08486	-34,07904
7100	17,6949	-38,01119	-1,31082	-37,35583
7120	-1,31083	-34,07901	-0,65544	-32,76827
7140	-0,65546	-31,45754	-0,00010999999999939	-30,14682
7160	0,65524	-29,49146	0,65524	-28,83609
7180	0,65523	-28,83609	1,31058	-28,8361
7200	1,31057	-28,8361	1,31057	-28,18073
7220	1,31056	-28,83609	1,31056	-27,52537
7240	1,31054	-27,52537	1,31054	-27,52537
7260	1,31054	-26,87001	1,31054	-26,87
7280	1,31053	-26,21465	1,31053	-26,21464
7300	1,31053	-26,21464	0,65517	-26,21464
7320	1,31052	-26,87001	1,31052	-26,87001
7340	1,31053	-26,87002	1,96588	-26,87002
7360	1,96588	-27,52539	5,24272	-28,18075
7380	17,69481	-29,49149	23,5932	-28,83613
7400	24,24858	-28,83612	23,59321	-28,83612
7420	24,24857	-28,83613	24,24857	-28,83613
7440	24,90392	-29,4915	24,90392	-28,83614
7460	25,55928	-30,14686	25,55928	-30,14686
7480	25,55928	-30,14687	25,55928	-29,49151
7500	25,55928	-30,14687	25,55928	-30,14687
7520	26,21464	-30,80224	26,21463	-30,80224
7540	26,21463	-30,80224	26,21463	-30,80224
7560	26,21463	-30,80224	26,21463	-30,80224
7580	26,21463	-30,80224	25,55927	-31,45761
7600	26,21463	-31,45761	26,21462	-31,45761
7620	25,55926	-32,11298	25,55926	-32,11297
7640	25,55926	-32,11298	26,21462	-31,45762
7660	25,55926	-32,11298	25,55926	-32,11298
7680	29,49146	-32,76835	41,28815	-32,76834
7700	45,22042	-32,76834	43,9097	-32,76833
7720	43,90968	-32,76834	44,56504	-32,11298
7740	45,22039	-32,76834	45,22039	-32,76835
7760	45,87574	-33,42371	45,87573	-33,4237
7780	45,87572	-33,42372	45,87572	-33,42372
7800	46,53107	-34,07908	46,53107	-34,07908
7820	45,87571	-34,73444	46,53106	-34,73444
7840	46,53106	-34,73444	47,18642	-34,73445
7860	47,18642	-35,38981	47,18642	-35,38981
7880	47,84178	-36,04518	47,84178	-35,38982
7900	53,74009	-36,70054	62,25994	-36,70054
7920	63,5707	-36,70054	63,5707	-36,04517
7940	63,57069	-36,70054	63,57069	-36,70054
7960	63,57069	-36,70054	62,91533	-36,70054
7980	62,91533	-37,3559	62,25997	-37,3559
8000	62,91533	-37,3559	62,25996	-37,3559
8020	62,91532	-37,35591	60,29385	-37,35591
8040	41,94352	-39,32201	23,59315	-39,32199
8060	22,28241	-39,32199	24,24853	-38,01126
8080	24,24852	-38,01126	24,2485	-37,3559
8100	24,90386	-38,01126	25,55922	-37,3559
8120	25,55922	-38,01127	25,55922	-38,01127
8140	25,55922	-38,01128	26,21458	-38,66664
8160	25,55922	-38,66664	26,21458	-38,66665
8180	25,55922	-39,32202	25,55921	-39,32201
