T	LX	LY	RX	RY
0	0	0	0	0
20	0	9,9999999960687E-6	9,9999999960687E-6	0,65536
40	0,65535999999999	0,65537	9,9999999960687E-6	0,65536
60	0,65535999999999	0,65535999999999	9,9999999960687E-6	0,65536
80	0,65535999999999	0,65537	0,65537	0,65536
100	0,65535999999999	0,65537	0,65537	-9,9999999960687E-6
120	0,65535999999999	0,65535999999999	0,65537	0
140	0,65535999999999	0,65537	1,31072	0,65536
160	1,31071	0,65537	0,65535999999999	1,31072
180	0,65535	0,65537	1,31071	0,65536
200	1,31071	9,9999999960687E-6	0,65535	0,65536
220	0,65535999999999	0,65537	0,65535	0,65536
240	1,31071	0,65537	1,31071	0,65536
260	1,31071	0,65537	0,65535	1,31072
280	0,65535	0,65537	0,65535	0,65536
300	1,31071	0,65537	1,31072	1,31072
320	1,31071	1,31073	1,31072	1,31072
340	1,31071	0,65537	0,65535999999999	0,65536
360	0,65535999999999	0,65537	3,27681	0,65535
380	18,35019	-4,0000000005591E-5	20,97167	-0,65542
400	20,31627	-1,31078	20,31628	-0,65542
420	20,31627	-1,31078	20,97162	-1,31078
440	21,62696	-1,31077	21,62696	-1,31078
460	21,62694	-1,31077	21,62694	-0,65542
480	22,28229	-0,65541	22,2823	-1,31077
500	22,28229	-0,65541	21,62694	-0,65542
520	22,2823	-0,65541	22,28231	-5,000000000166E-5
540	22,28231	-0,65541	22,28231	-0,65542
560	22,28231	-0,65542	21,62695	-5,000000000166E-5
580	21,62695	-0,65541	22,28231	-0,65541
600	22,2823	-0,6554	22,28231	-5,000000000166E-5
620	22,28231	-4,0000000005591E-5	22,28231	-5,000000000166E-5
640	22,28231	-4,0000000005591E-5	22,93768	-5,000000000166E-5
660	30,14672	-0,65543	32,11285	-1,31081
680	32,11283	-1,96616	31,45747	-1,96617
700	31,45746	-1,96617	32,11281	-1,96617
720	32,11281	-2,62153	31,45746	-1,96617
740	32,1128	-1,96617	31,45745	-1,96617
760	32,1128	-1,96616	31,45744	-1,31081
780	31,45744	-1,96616	31,45744	-1,31081
800	32,11279	-1,3108	31,45743	-1,31082
820	31,45743	-1,31081	31,45743	-1,31081
840	30,80206	-1,31081	30,80207	-1,31081
860	30,80206	-1,96616	30,80206	-1,3108
880	30,80206	-1,3108	30,80207	-0,65544
900	31,45743	-1,31079	30,80207	-0,65544
920	30,80207	-1,31079	30,80208	-0,65544
940	30,80208	-1,31079	30,80209	-0,65543
960	30,80209	-0,65543	30,80209	-0,65543
980	30,8021	-0,65543	30,14673	-0,65543
1000	30,14673	-7,0000000000903E-5	30,14674	-7,0000000000903E-5
1020	30,14674	-0,65543	28,83602	0,65531
1040	14,41806	3,27683	4,58762	5,89829
1060	4,58763	5,89828	5,24298	5,89827
1080	5,89832	5,24291	5,89832	5,2429
1100	5,89832	5,24291	5,89832	5,2429
1120	6,55368	4,58755	6,55369	5,2429
1140	6,55369	5,24291	7,20906	5,2429
1160	7,20906	4,58755	7,86443	4,58754
1180	7,86443	4,58754	7,86444	4,58753
1200	7,86444	4,58754	7,86444	4,58753
1220	9,17515	3,93218	9,17515	3,93217
1240	9,17514	3,93218	9,17514	4,58754
1260	9,83049	3,93218	9,8305	3,93218
1280	9,8305	3,93218	9,83051	3,93217
1300	10,48587	3,27681	9,83052	3,27681
1320	10,48589	2,62145	13,7627	3,27679
1340	24,90396	3,27677	26,87009	2,62138
1360	27,52543	1,96603	27,52544	1,96603
1380	27,52542	1,96603	28,18076	1,96603
1400	28,18076	1,31067	28,83612	0,6553
1420	28,83612	0,65531	28,83612	0,65529
1440	29,49148	-6,0000000004834E-5	28,83612	-5,9999999997729E-5
1460	28,18076	0,6553	28,83612	-7,0000000000903E-5
1480	29,49148	-6,0000000004834E-5	28,83612	-5,9999999997729E-5
1500	28,83612	-6,0000000004834E-5	28,18076	-0,65542
1520	28,18075	-0,65542	28,83613	-5,9999999997729E-5
1540	28,18075	-5,000000000166E-5	28,18077	-5,9999999997729E-5
1560	28,83612	-0,65541	28,83613	-0,65542
1580	28,83613	-0,65542	28,18078	-0,65542
