T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65536	-0,65536	0
40	1,0000000003174E-5	0,65536	-0,65535	0
60	1,0000000003174E-5	0,65536	1,9999999999243E-5	1,0000000003174E-5
80	1,0000000003174E-5	0,65536	1,9999999999243E-5	0,65537
100	1,0000000003174E-5	0,65536	1,9999999999243E-5	0,65536
120	1,0000000003174E-5	1,31072	-0,65535	1,31073
140	-0,65535	1,96609	-1,31071	1,31073
160	-0,65536	1,96609	-1,31071	1,31073
180	-1,31072	2,62145	-1,96608	1,9661
200	-1,96608	2,62146	-1,96607	1,9661
220	-1,31072	2,62146	-1,96608	2,62146
240	-1,31072	2,62146	-1,96607	2,62145
260	-1,31071	3,27682	-1,31071	2,62146
280	-1,31071	3,27682	-1,96607	3,27682
300	-1,96607	3,93218	-2,62143	3,27682
320	-1,96607	3,93218	-2,62143	3,93218
340	-1,96607	3,93218	-2,62142	3,93219
360	-2,62143	4,58754	-2,62142	3,9322
380	-2,62142	4,58755	-2,62141	3,9322
400	-2,62141	4,58755	-3,27677	4,58755
420	-3,27676	5,24291	-3,27676	4,58755
440	-3,27677	4,58755	-3,27677	4,58755
460	-3,27678	4,58755	-2,62143	3,93219
480	-2,62144	3,93218	-2,62144	3,27682
500	0,65538	5,89827	0,6554	5,24292
520	0,65539	5,24291	0,65539	5,24291
540	0,65539	5,89828	0,65539	5,24292
560	0,65539	5,89828	0,65539	5,24292
580	1,31075	5,89828	0,65539	5,89828
600	0,65538	5,89828	0,65539	5,24292
620	1,31074	5,89828	1,31074	5,24292
640	1,31074	5,24292	1,31074	4,58756
660	1,31074	5,24292	1,31074	4,58756
680	1,31073	5,24291	1,31074	3,93219
700	5,8983	5,89827	20,31641	7,20899
720	24,90404	6,55361	24,90405	6,55361
740	24,90404	7,20898	24,90405	6,55362
760	25,5594	7,20898	24,90404	6,55362
780	25,55939	7,20898	25,55939	6,55362
800	25,55938	7,20897	25,55938	6,55362
820	25,55938	6,55362	25,55938	5,8989
840	25,55937	6,55362	25,55938	5,89826
860	25,55937	6,55362	24,90401	6,55362
880	25,55936	6,55362	25,55936	5,89826
900	25,55936	6,55362	24,904	5,89827
920	24,90399	6,55362	24,24863	6,55363
940	24,24862	6,55363	24,24862	5,89827
960	22,93789	5,89828	20,31641	3,93219
980	20,31642	3,93218	20,31642	3,93218
1000	20,31641	3,93219	19,66106	3,93219
1020	-42,59816	4,58756	19,00569	3,9322
1040	19,00569	5,24292	19,00569	3,9322
1060	19,00569	4,58756	19,00568	4,58756
1080	18,35032	4,58756	18,35032	3,9322
1100	19,00567	3,9322	20,3164	3,93219
1120	31,45767	7,86432	39,97754	9,17505
1140	39,97757	9,17505	38,66683	9,83042
1160	38,66683	10,48579	38,66682	10,48579
1180	38,66682	11,14115	38,66682	9,83043
1200	38,66682	11,14115	38,66681	10,4858
1220	39,32217	11,14115	38,6668	10,48579
1240	38,6668	11,14115	38,6668	10,4858
1260	39,32215	11,14115	38,6668	11,14116
1280	38,6668	11,14115	38,6668	10,48579
1300	39,32215	11,14115	39,32215	10,4858
1320	39,32215	11,14115	38,66679	9,83043
1340	41,94361	11,79651	54,39565	13,7626
1360	60,94941	13,10724	59,63868	13,76262
1380	58,32794	14,41798	57,67259	13,76262
1400	58,32794	14,41798	57,67258	14,41799
1420	57,67257	15,07335	57,01721	15,07335
1440	57,01721	15,07336	57,01721	14,418
1460	57,0172	15,07336	56,36184	14,418
1480	56,36184	15,07337	56,36184	14,41801
1500	55,70648	15,07336	55,70648	14,41801
1520	56,36184	15,07336	56,36183	15,07337
1540	56,36182	14,418	56,36181	14,418
1560	57,01715	14,41799	56,36179	13,76264
1580	57,01713	14,41799	57,01712	14,41799
1600	57,01712	15,07335	57,01712	15,07335
1620	57,01711	15,07335	57,01711	15,07336
1640	57,67246	15,7293	57,0171	15,07336
1660	57,0171	15,72871	57,67246	15,72872
1680	68,15836	20,97163	76,0229	22,93776
1700	75,36757	24,24849	74,05684	28,18067
1720	73,40148	32,11286	72,74611	34,73431
1740	72,09074	37,35576	71,43538	38,6665
1760	70,78001	40,63259	70,78001	40,6326
1780	70,78001	41,94332	70,12464	42,59869
1800	70,78	43,25406	70,12464	42,5987
1820	70,12464	43,25406	70,12464	42,5987
1840	70,77999	43,25406	70,12463	42,5987
1860	70,77999	43,25406	70,12462	42,59871
1880	70,77997	43,25406	70,77998	42,5987
1900	76,02293	43,25406	77,98906	42,59869
1920	77,98906	43,25405	77,33369	42,5987
1940	77,33369	43,25406	77,3337	42,5987
1960	77,98905	43,25406	77,98906	42,59869
1980	77,33369	43,25406	77,33369	42,5987
2000	77,98905	43,25406	77,3337	42,5987
2020	77,98906	43,25406	77,33369	42,5987
2040	77,33369	43,25406	77,33369	42,59871
2060	77,98905	43,25406	77,98906	42,5987
2080	71,43536	39,32189	45,87586	26,21467
2100	9,83049	17,03962	-24,24864	13,10749
2120	-29,49156	17,03966	-28,83613	19,66112
2140	-28,18076	20,97183	-28,83612	20,31648
2160	-28,83611	21,6272	-28,18074	21,6272
2180	-28,18075	21,6272	-28,18074	21,6272
2200	-28,18074	22,28256	-28,18074	22,28256
2220	-28,18074	22,93792	-28,8361	22,28256
2240	-28,18074	22,93792	-28,8361	22,93792
2260	-28,8361	22,93826	-28,18074	22,28256
2280	-28,18074	22,93791	-28,18073	22,28255
