T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	0,65535	-1,31073	-0,65537
40	-1,31073	0,65536	-1,31074	-1,31073
60	-1,31074	-1,9999999999243E-5	-1,31075	-0,65538
80	-1,9661	-0,65537	-1,96611	-1,9661
100	-1,96611	-1,31074	-2,62147	-1,31074
120	-3,27683	-1,0000000003174E-5	-2,62148	-0,65536
140	-3,27684	0	-3,27684	-0,65536
160	-3,9322	0,65536	-4,58756	0
180	-4,58756	0,65536	-5,24292	9,9999999960687E-6
200	-5,24292	0,65537	-5,24293	1,9999999999243E-5
220	-5,89829	0,65537	-5,24294	9,9999999960687E-6
240	-5,89829	0,65537	-5,8983	1,9999999999243E-5
260	-6,55365	1,31074	-6,55366	-0,65534
280	-6,55366	0,65538	-7,20902	1,9999999999243E-5
300	-7,20902	1,31075	-7,20902	3,9999999998486E-5
320	-7,20903	1,31075	-7,20902	0,6554
340	-7,86439	1,31076	-6,55367	3,9999999998486E-5
360	-6,55367	1,9999999999243E-5	-4,58757	-1,96606
380	1,31078	-3,93211	3,93226	-4,58747
400	3,93224	-1,31064	2,62151	9,0000000000146E-5
420	3,27687	1,31082	3,93222	1,31083
440	3,93222	2,62156	3,93222	1,96621
460	4,58759	2,62157	4,58758	1,31086
480	4,58758	2,62158	4,58758	1,31087
500	4,58757	1,96622	4,58758	1,31087
520	4,58758	1,31088	4,58757	0,00015999999999394
540	4,58757	1,31089	4,58757	0,65553999999999
560	3,93221	2,62162	4,58756	1,96625
580	4,58757	2,62162	4,58756	1,96625
600	3,9322	2,62161	4,58756	1,96625
620	3,9322	2,62161	4,58756	1,96624
640	4,58757	1,96624	4,58757	1,96623
660	3,93222	3,27696	3,93222	1,96625
680	2,62149	3,27695	-11,7966	-1,96605
700	-28,8362	-5,24292	-36,04527	-6,55362
720	-34,73454	0,65544	-32,1131	3,9323
740	-32,1131	5,24303	-32,76848	5,24304
760	-32,11311	6,55376	-32,11312	5,8984
780	-32,11313	6,55376	-32,76849	5,8984
800	-33,42385	7,20913	-33,42386	6,55376
820	-33,42386	7,86448	-34,07923	7,20912
840	-34,07922	7,86447	-34,07923	7,86447
860	-34,73459	8,51983	-34,7346	7,20911
880	-36,04532	7,86447	-35,38996	6,55373
900	-35,38995	7,2091	-36,04532	7,20909
920	-36,70068	7,86444	-36,70069	7,20908
940	-36,70069	7,20908	-36,04534	6,55371
960	-36,7007	5,89835	-36,7007	5,89835
980	-36,7007	5,89834	-36,7007	5,24299
1000	-37,35607	5,24298	-37,35607	4,58761
1020	-38,01142	4,58761	-37,35607	3,93224
1040	-38,01142	4,5876	-38,01143	3,93223
1060	-38,01143	4,58759	-38,01143	3,93223
1080	-38,66679	3,93224	-36,04532	1,96616
1100	-30,14695	-0,65526	-26,8701	0,65546
1120	-29,49156	3,27693	-29,49156	5,24303
1140	-29,49156	6,55376	-28,83621	5,8984
1160	-29,49157	6,55375	-30,14694	5,24302
1180	-30,14693	6,55374	-30,14694	5,89838
1200	-30,14694	7,86446	-30,14694	5,89837
1220	-30,14694	5,89834	-29,49159	4,58761
1240	-30,14696	5,24296	-30,14697	3,93224
1260	-30,14697	3,93224	-30,14699	3,27688
1280	-29,49162	3,93224	-29,49162	3,93224
1300	-29,49162	4,58761	-30,14698	4,5876
1320	-30,14697	5,24297	-29,49161	5,24296
1340	-29,4916	5,89832	-29,4916	5,24296
1360	-30,14695	5,89833	-29,49159	5,24297
1380	-29,49158	7,20904	-28,83622	5,89831
1400	-28,18084	6,55366	-27,52548	5,8983
1420	-26,8701	6,55366	-17,03955	0,65544
1440	-7,86436	7,9999999996971E-5	-7,20898	3,27691
