T	LX	LY	RX	RY
0	0	0	0	0
20	1,0000000003174E-5	9,9999999960687E-6	0	0,65537
40	0	9,9999999960687E-6	0	0,65537
60	-0,65535999999999	9,9999999960687E-6	0	0,65536
80	-0,65535999999999	9,9999999960687E-6	0	0,65537
100	-0,65535999999999	0,65537	-0,65535999999999	0,65537
120	-1,31072	0,65538	-1,31072	0,65537
140	-0,65535999999999	0,65537	-0,65535999999999	1,31073
160	-1,31072	0,65537	-1,31072	1,31073
180	-1,31072	0,65538	-1,31072	1,31073
200	-1,31072	9,9999999960687E-6	1,31083	9,9999999960687E-6
220	9,1753	-0,65534	10,48604	9,9999999960687E-6
240	9,1753	1,9999999999243E-5	9,1753	9,9999999960687E-6
260	9,1753	9,9999999960687E-6	9,1753	9,9999999960687E-6
280	9,83066	9,9999999960687E-6	9,83066	0
300	9,83066	9,9999999960687E-6	9,83065	9,9999999960687E-6
320	9,1753	-0,65535000000001	9,83066	0
340	9,1753	-0,65535000000001	9,1753	0
360	9,1753	-0,65535000000001	9,1753	0
380	9,1753	-0,65536	9,83066	0
400	9,17529	-0,65536	9,83064	0
420	9,83064	-0,65536	10,486	0
440	11,14136	0	11,14135	0
460	11,14135	0	11,79671	0,65536
480	12,45208	0	13,10744	0,65536
500	13,76281	0,65537	14,41817	1,31073
520	14,41818	0,65537	15,7289	1,31072
540	16,38426	9,9999999960687E-6	16,38426	0,65536
560	16,38426	9,9999999960687E-6	17,03962	0,65536
580	17,03962	9,9999999960687E-6	16,38425	0,65536
600	16,38425	0,65537	17,03961	0
620	9,17524	1,31073	1,31079	3,27682
640	3,0000000002417E-5	3,93219	0,6554	4,58755
660	0,6554	3,9322	0,6554	4,58755
680	0,6554	4,58755	3,0000000002417E-5	5,24291
700	3,0000000002417E-5	4,58755	3,0000000002417E-5	5,2429
720	-0,65532	4,58755	3,0000000002417E-5	4,58754
740	-0,65532	4,58755	-0,65533	5,2429
760	4,0000000005591E-5	4,58755	-0,65532	5,24291
780	-0,65532	4,58755	-0,65532	5,2429
800	-1,31068	4,58754	-0,65532	4,58754
820	2,6216	3,27682	15,72897	3,27682
840	17,69508	3,27682	16,38434	3,93218
860	16,38434	3,27682	16,38434	3,27682
880	17,0397	2,62146	16,38434	2,62146
900	16,38434	2,62146	16,38433	3,27681
920	15,72898	2,62146	15,72898	2,62145
940	15,72898	2,62145	15,72898	3,27681
960	15,72898	1,9661	15,07362	3,27681
980	15,07362	1,96609	15,07361	3,27681
1000	15,07362	2,62145	15,72898	2,62145
1020	15,72898	1,96609	15,72898	2,62145
1040	15,07362	1,9661	15,72898	1,96609
1060	15,07362	1,31073	15,07362	1,96609
1080	15,07362	1,31073	17,03971	1,31073
1100	28,83627	9,9999999960687E-6	40,63284	0,65537
1120	40,63286	9,9999999960687E-6	39,97748	0,65537
1140	40,63285	9,9999999960687E-6	41,28821	0,65537
1160	41,94357	-0,65535000000001	41,28821	0
1180	41,94357	9,9999999960687E-6	42,59893	-0,65535
1200	-51,11755	-1,31071	43,25429	-0,65536
1220	43,25429	-1,31071	43,90964	-0,65536
1240	43,90964	-1,31071	43,90964	-1,31072
1260	43,90964	-1,96607	50,46327	-1,31008
1280	64,8813	-1,3107	71,43496	-0,65534
1300	72,09033	-0,65534	71,43496	-0,65534
1320	72,09032	-0,65533	72,09032	-0,65534
1340	72,74568	-1,31069	72,09032	-0,65534
1360	72,09031	-1,96606	72,74567	-0,65534
1380	72,74567	-1,96605	72,74567	-1,3107
1400	72,0903	-1,96606	72,0903	-1,3107
1420	71,43493	-1,31069	72,0903	-1,3107
1440	72,0903	-1,31069	71,43494	-1,3107
1460	79,95467	-1,96605	93,06202	-0,65532
1480	97,64961	-1,31068	97,64961	-0,65532
1500	96,99423	-0,65532	97,64959	-0,65533
1520	97,6496	-1,31068	98,30495	-1,31069
1540	98,30495	-1,31068	97,64959	-1,31068
1560	98,30495	-1,31068	98,30495	-1,31069
1580	98,30495	-1,96604	97,64959	-1,31069
1600	96,99423	-1,31068	97,64959	-1,31069
1620	96,99423	-1,31069	96,99423	-1,31069
1640	102,89254	-1,96604	113,37846	-0,65531
