T	LX	LY	RX	RY
0	0	0	0	0
20	0	-0,65537	-9,9999999960687E-6	0
40	0	-0,65537	0	-0,65535999999999
60	-0,65535999999999	-1,31073	-0,65537	-0,65535999999999
80	-0,65535999999999	-1,31073	-0,65535999999999	-0,65535999999999
100	-0,65535999999999	-1,31073	-0,65537	-1,31072
120	-1,31072	-1,96609	-1,31072	-1,31072
140	-1,31072	-1,31073	-1,31072	-0,65535999999999
160	-1,31072	-1,31072	-1,31071	-1,31072
180	-1,31072	-1,31072	-1,96607	-0,65535
200	-1,96607	-0,65536	-1,96607	-0,65535
220	-1,31071	-1,31072	-1,96607	-1,31071
240	-1,96607	-1,31072	-1,96607	-0,65535
260	-1,96606	-1,31072	-1,96607	-0,65535
280	-1,96606	-1,31072	-1,96607	-0,65535
300	-1,96606	-1,31072	-1,96606	-1,31071
320	-1,96606	-1,96608	-1,96606	-0,65535
340	-2,62142	-1,31072	-1,96606	-1,31071
360	-1,96606	-1,31072	-1,96605	-1,31072
380	-3,27677	-1,31072	-1,96605	-0,65535
400	-2,62141	-1,31072	-3,27678	-0,65535
420	-3,27677	-1,31072	1,3108	-1,31071
440	5,24304	-2,62144	6,55379	-1,96607
460	5,89843	-1,96608	6,55379	-1,31071
480	6,55379	-0,65534	6,55379	3,0000000002417E-5
500	6,55379	-0,65535	6,5538	2,0000000006348E-5
520	5,89844	1,9999999999243E-5	5,89844	0,65539
540	5,89844	1,9999999999243E-5	5,89844	0,65539
560	5,89844	1,9999999999243E-5	5,24308	0,65539
580	5,24309	1,9999999999243E-5	5,89844	0,65539
600	5,89845	1,9999999999243E-5	5,89844	3,0000000002417E-5
620	5,89845	-0,65534	6,5538	2,0000000006348E-5
640	6,5538	-0,65534	7,20916	-0,65534
660	11,14138	-1,96607	13,1075	-1,31071
680	12,45214	-1,31071	12,45213	2,0000000006348E-5
700	13,10749	1,9999999999243E-5	12,45213	3,0000000002417E-5
720	12,45213	-0,65535	12,45213	2,0000000006348E-5
740	12,45213	-1,31071	13,10749	-0,65534
760	13,1075	-1,96607	13,1075	-0,65535
780	13,10751	-1,96607	13,76287	-1,3107
800	13,76288	-1,96607	-59,63744	-1,3107
820	13,76289	-1,96607	13,76289	-1,3107
840	13,76289	-1,3107	13,76289	-1,3107
860	13,76289	-1,96606	13,76289	-1,31069
880	14,41825	-1,96606	13,76288	-1,3107
900	13,76289	-1,96607	13,76289	-1,96606
920	13,76289	-2,62143	13,76289	-1,96606
940	13,76289	-1,96607	13,76289	-1,96606
960	13,7629	-3,27679	16,38439	-2,62141
980	15,72905	-2,62143	15,07367	-2,62142
1000	14,41832	-1,96606	14,41832	-1,31069
1020	13,76297	-1,96606	13,76297	-1,31069
1040	13,10761	-1,96606	13,10762	-1,31069
1060	12,45226	-1,96606	11,7969	-1,31069
1080	11,14155	-1,96605	11,7969	-1,31069
1100	11,79691	-1,96606	11,79691	-1,96605
1120	11,79691	-2,62142	11,79691	-1,96605
1140	11,79691	-2,62142	12,45227	-2,62141
1160	12,45227	-2,62142	12,45226	-2,62142
1180	13,10762	-3,27678	13,10762	-1,96605
1200	13,10762	-3,27679	13,10762	-2,62142
1220	13,10761	-3,27679	13,10761	-2,62142
1240	12,45225	-3,27679	12,45225	-2,62142
1260	12,45225	-3,27678	13,10762	-3,27678
