T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	0
40	0	0	0	0
60	0	0	0	0,65536
80	0	0	-0,65536	0,65536
100	0	0	0	0,65536
120	-0,65536	0,65536	-0,65536	0,65536
140	-0,65536	0,65536	-0,65535	0,65536
160	-0,65535	0,65537	-0,65535	1,31073
180	-0,65534	1,31073	-0,65534	1,31073
200	-0,65534	1,31073	1,9999999999243E-5	1,31073
220	1,9999999999243E-5	1,31073	-0,65534	1,31073
240	-0,65534	1,31073	1,9999999999243E-5	1,96609
260	-0,65533	1,9661	2,9999999995312E-5	2,62146
280	2,9999999995312E-5	1,9661	2,9999999995312E-5	2,62147
300	1,9999999999243E-5	1,96611	1,9999999999243E-5	2,62147
320	9,9999999960687E-6	2,62148	0,65537	2,62149
340	9,9999999960687E-6	2,62149	9,9999999960687E-6	3,27686
360	9,9999999960687E-6	3,93222	0,65537	4,58759
380	0,65537	4,5876	0,65538	5,89833
400	0,65538	6,5537	0,65539	7,86443
420	0,6554	8,5198	0,6554	9,17517
440	3,9999999998486E-5	9,83054	0,65541	11,14128
460	0,65541	11,14128	5,9999999997729E-5	11,79665
480	0,65541	12,45201	0,65542	12,45202
500	5,9999999997729E-5	13,10738	2,9999999995312E-5	12,45203
520	-0,65534	11,79667	-0,65532	13,1074
540	-0,65532	13,1074	-0,65532	14,41814
560	-0,65532	14,41814	-0,65531	14,41814
580	-0,65532	14,41814	-0,65531	14,41814
600	-0,65532	13,76278	-0,65532	13,76278
620	-0,65532	13,76278	-0,65531	14,41814
640	-1,31067	14,41814	-0,65531	14,41815
660	-1,31067	14,41814	-1,31067	15,07351
680	-1,31067	15,07351	-1,31066	16,38424
700	-1,31066	16,38424	-1,31065	17,03961
720	-1,31065	17,03961	-1,31065	17,69498
740	-1,31065	18,35034	-1,31065	19,0057
760	-1,96601	18,35035	-1,966	19,00571
780	-1,96601	19,00571	-1,96601	19,66108
800	-1,96601	19,66108	-1,31063	20,9718
820	-0,65523	20,97179	-1,31059	20,9718
840	-1,31059	21,62716	-1,31059	22,28253
860	-1,31059	22,93789	-1,31059	22,9379
880	-1,31059	22,93789	-1,31059	23,59325
900	-1,96595	23,59325	-1,31059	23,59325
920	-1,31059	22,93789	-1,31059	23,59325
940	-1,31059	23,59325	-1,31058	23,59325
960	-1,31059	22,93788	-1,31059	22,28252
980	-1,31059	22,28251	-1,31059	22,28251
1000	-1,31059	20,97178	-1,3106	20,97177
1020	-1,3106	20,3164	-0,65525	20,3164
1040	-0,65526	20,31639	-0,65527	20,31639
1060	9,0000000000146E-5	19,66101	9,0000000000146E-5	19,66101
1080	7,9999999996971E-5	19,661	7,9999999996971E-5	19,66099
1100	7,0000000000903E-5	19,66098	0,65543	19,66096
1120	0,65543	19,00559	1,96616	20,97167
1140	7,86449	22,93775	10,48596	22,28237
1160	9,83059	22,28236	9,83059	22,28235
1180	9,83059	21,62699	9,83058	20,97162
1200	9,83058	20,31625	9,83058	19,66088
1220	9,83057	19,0055	9,83057	17,69478
1240	10,48592	17,0394	10,48592	16,38403
1260	10,48591	15,0733	10,48591	14,41793
1280	10,48591	13,1072	10,48591	12,45183
1300	10,4859	11,1411	10,4859	10,48573
1320	10,4859	9,83036	10,48589	9,17498
1340	10,48589	7,86426	10,48589	7,20888
1360	10,48588	5,89815	11,14124	5,24279
1380	10,48588	4,58741	10,48588	3,93204
1400	10,48587	2,62131	10,48588	1,96594
1420	10,48587	1,31058	10,48588	1,31057
1440	13,10734	1,96594	16,38419	1,96593
1460	17,03955	1,96592	17,03956	1,96592
1480	17,03956	1,31056	16,3842	1,31056
1500	16,38421	0,6552	16,3842	0,6552
1520	16,3842	-0,00016999999999712	15,72884	-0,65553
1540	15,72884	-0,65553999999999	15,72884	-1,3109
