T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65535999999999	9,9999999960687E-6	0
40	0	0,65535999999999	0	0,65535999999999
60	-0,65535999999999	1,31072	0	0,65535999999999
80	-0,65535999999999	0,656	-0,65535	0,65535999999999
100	-0,65535999999999	1,31072	-1,31071	0,65535999999999
120	-0,65535999999999	1,31072	-0,65536	0,65535999999999
140	-1,31073	0,65535999999999	-1,31072	0,65535
160	-1,31073	0,65535	-1,31072	0,65535999999999
180	-1,31073	0,65537	-1,31072	0,65535999999999
200	-1,96609	0,65535999999999	-1,31072	0,65535
220	-1,96609	1,31072	-1,96608	0,65535
240	-1,96609	0,65535	-1,96608	-1,0000000003174E-5
260	-9,17511	-1,31075	-14,41806	-0,65538
280	-15,72879	0,65535999999999	-15,72876	0,65537
300	-15,72877	2,62146	-16,38413	2,62147
320	-16,38414	2,62148	-16,38413	3,27684
340	-16,38414	2,62148	-16,38413	2,62147
360	-17,0395	3,27684	-17,03949	2,62147
380	-17,03949	2,62148	-17,03949	2,62147
400	-17,03953	2,62148	-17,03949	2,62147
420	-17,0395	2,62146	-16,38413	1,9661
440	-16,38414	2,62145	-16,38413	1,96608
460	-16,38414	1,96608	-16,38414	1,96608
480	-16,38414	2,62144	-16,38413	1,96608
500	-16,38414	2,62144	-16,38413	2,62144
520	-16,38414	2,62143	-16,38413	1,96607
540	-16,38414	1,96607	-16,38413	1,96607
560	-16,38414	1,96606	-15,72877	1,3107
580	-16,38414	1,3107	-16,38413	1,3107
600	-16,38414	1,96607	-16,38413	1,96607
620	-16,38414	1,96607	-16,38413	1,96607
640	-17,0395	2,62143	-16,38414	1,96606
660	-17,0395	1,96607	-16,38414	1,96606
680	-17,0395	1,96606	-17,0395	1,96607
700	-17,0395	2,62143	-17,0395	2,62143
720	-17,0395	2,62143	-17,0395	2,62144
740	-17,69486	3,27681	-17,69485	3,93216
760	-17,69486	3,93217	-17,69485	3,93217
780	-18,35022	3,93217	-18,35021	3,93217
800	-18,35022	3,93217	-18,35021	4,58753
820	-18,35022	3,93218	-18,35021	3,93217
840	-18,35021	3,93217	-19,00557	3,93217
860	-19,00558	3,27681	-19,00557	3,2768
880	-19,00557	3,2768	-19,66093	3,2768
900	-19,66094	2,62144	-19,66093	2,62143
920	-20,3163	2,62144	-20,31629	2,62143
940	-20,97165	3,2768	-20,31629	3,27679
960	-19,66094	4,58751	-19,66093	5,89823
980	-18,35021	6,55359	-18,35021	7,20895
1000	-19,00557	7,20896	-19,00556	7,86432
1020	-19,00557	8,51969	-18,3502	7,86432
1040	-19,00556	7,86433	-19,00556	7,20896
1060	-19,00556	7,20896	-19,66092	6,5536
1080	-19,66093	6,5536	-19,66092	5,89823
1100	-19,66092	5,89824	-15,72872	5,89826
1120	-14,41797	5,89828	-15,72869	6,55364
1140	-16,38406	6,55364	-16,38406	5,89828
1160	-16,38406	5,89828	-17,03942	5,24291
1180	-17,03943	5,89827	-16,38406	5,2429
1200	-17,03943	5,89826	-17,03942	5,24289
1220	-17,03944	4,58752	-18,35015	4,58752
1240	-17,69479	4,58752	-9,17503	3,93217
1260	-3,93207	3,27683	-5,89814	2,62147
1280	-7,20889	4,58756	-7,86424	5,24292
1300	-8,51961	5,89828	-9,17496	5,89829
1320	-41,94298	6,55365	-9,83033	5,89828
1340	-9,17497	5,89828	-9,83033	5,89827
1360	-9,83034	5,89828	-9,83033	5,24291
1380	-9,83034	5,89828	-9,83033	5,24291
1400	-9,83034	5,24291	-9,83033	4,58754
1420	-9,83034	5,2429	-10,4857	5,24291
1440	-10,4857	5,89828	-9,83034	5,24291
1460	-10,4857	5,24291	-9,83034	4,58754
1480	-10,48571	5,24291	-10,4857	4,58754
1500	-10,48571	4,58755	-10,4857	4,58754
1520	-10,4857	4,58754	-10,4857	4,58754
1540	-10,4857	4,58754	-10,48569	5,2429
1560	-10,48569	4,58755	-10,48569	4,58754
1580	-10,48569	4,58755	-10,48569	4,58754
1600	-9,83033	4,58754	-8,51959	5,89829
1620	-8,51958	7,20904	-8,51957	7,20904
1640	-8,51957	7,8644	-8,51957	8,51977
1660	-9,17494	8,51978	-9,17492	7,86441
1680	-9,17493	8,51978	-9,17492	9,17514
1700	-9,17493	9,17515	-9,17492	9,8305
1720	-9,83028	9,83051	-9,83028	10,48586
1740	-9,17491	10,48586	-9,83026	11,14123
1760	-10,48563	11,79659	-9,83025	12,45194
1780	-9,83026	12,45195	-10,4856	14,41804
1800	-10,48561	15,0734	-10,48559	16,38413
1820	-11,14095	16,38414	-6,55339	17,69488
1840	2,62176	19,00567	5,24328	20,31642
1860	4,58792	22,93789	3,93256	26,21472
1880	3,27721	28,83618	2,62186	30,80229
1900	1,96649	32,11303	1,9665	33,42377
1920	1,31114	34,73452	1,31115	36,04525
1940	0,65579	37,35599	0,6558	38,01137
1960	0,00043000000000148	38,01137	0,00043000000000148	37,35601
1980	-0,65494	38,66673	0,00041999999999831	38,01137
2000	0,00042000000000542	37,35601	0,65577	36,70064
2020	0,65577	36,70064	0,65576	36,04528
2040	0,65575	36,04528	0,65575	36,04528
2060	1,3111	36,04527	1,96646	36,04527
2080	1,96645	36,04527	1,96646	36,04527
2100	2,62181	36,04527	2,62182	36,04527
2120	2,62181	36,04527	2,62182	36,04526
2140	3,93253	36,04526	3,93254	35,38989
2160	7,86472	34,73454	15,07379	35,38995
2180	15,72919	36,04532	15,72919	36,70069
2200	15,72919	38,01141	15,07384	39,32214
2220	15,07383	39,32214	15,07384	39,32213
2240	15,07383	39,9775	14,41848	39,32214
2260	14,41847	39,32213	14,41848	39,32213
2280	13,76311	38,66677	14,41847	38,0114
2300	13,7631	37,35604	13,76311	36,0453
2320	13,7631	35,38993	14,41847	34,73457
2340	14,41845	33,42384	14,41846	32,76847
2360	14,41845	32,1131	14,41845	31,45773
2380	14,41844	30,80237	14,41845	30,147
2400	14,41844	29,49164	14,41844	29,49164
2420	14,41843	29,49163	14,41844	28,83626
2440	14,41843	28,18091	14,41843	27,52554
2460	19,66136	27,52556	22,93823	26,87021
2480	22,28286	27,52559	22,28285	28,18095
2500	22,28285	28,83631	21,6275	28,18095
2520	21,62749	28,83631	21,6275	28,18095
2540	21,62749	28,83631	21,6275	28,83631
2560	21,62749	28,8363	21,6275	28,83629
2580	22,28285	28,8363	22,28286	28,18092
2600	22,28285	28,18092	22,28286	27,52556
2620	22,93821	28,18092	22,93822	27,52555
2640	23,59357	27,52554	23,59357	26,87018
2660	24,24892	26,87017	24,24893	26,87017
2680	24,24892	26,87017	24,24893	26,87017
2700	25,55965	26,87016	25,55965	26,2148
2720	25,55964	26,21479	26,21501	25,55943
2740	26,215	26,21479	26,21501	26,21479
2760	26,215	25,55942	26,87037	25,55942
2780	27,52572	25,55942	27,52572	24,90405
2800	27,52572	24,90404	28,18108	24,24866
2820	28,83643	23,59331	28,83644	23,5933
2840	30,14716	24,24868	31,45792	25,55943
2860	30,1472	27,52554	30,14721	26,87016
2880	30,1472	27,52552	30,14721	27,52552
2900	30,1472	28,18088	30,14721	27,52552
2920	29,49184	28,18088	30,14721	28,18088
2940	29,49184	27,52552	29,49185	27,52551
2960	29,49184	27,52552	30,14721	26,87016
2980	30,1472	26,87015	29,49185	26,87015
3000	29,49184	26,87015	29,49184	26,87015
3020	29,49055	26,87015	29,49185	26,87015
3040	29,49183	26,21478	29,49183	26,21478
3060	29,49183	25,55942	29,49184	25,55942
3080	29,49183	25,55941	29,49183	25,55941
3100	28,83646	24,24868	28,83646	24,24868
3120	28,18109	24,24868	28,83646	24,24868
3140	28,18109	24,24867	28,1811	24,24867
3160	29,49181	22,93794	33,42403	21,62721
3180	34,0794	22,28258	33,42404	23,5933
3200	33,42403	23,59331	33,42404	23,5933
3220	33,42404	24,24867	33,42404	24,24867
3240	32,76867	24,90402	33,42404	24,24866
3260	33,42403	24,24866	32,76868	24,24866
3280	32,76867	24,24866	32,76868	23,5933
3300	32,11331	23,5933	32,76868	23,59329
3320	32,11332	23,59329	32,11332	22,93793
3340	31,45796	22,93793	31,45797	22,28256
3360	31,45796	22,28256	31,45797	21,62719
3380	31,45796	21,6272	31,45797	20,31646
3400	30,8026	20,31646	31,45797	19,6611
3420	30,8026	19,66109	30,8026	19,66108
3440	30,8026	19,66109	30,8026	19,00572
3460	30,80259	19,00572	30,14724	19,00572
3480	30,14723	19,00572	30,14724	18,35035
3500	30,14723	18,35035	30,8026	17,69499
3520	36,70089	18,35037	41,94387	18,35041
3540	43,25461	18,35041	41,94389	18,3504
3560	41,94388	19,66112	41,28853	20,31648
3580	41,94388	20,97185	41,28853	20,31649
3600	41,28853	21,62722	41,28853	21,62721
3620	41,28853	21,62721	41,28854	22,28258
3640	41,28853	22,28258	41,28854	21,62722
3660	41,28854	21,62721	41,28854	21,62721
3680	41,28854	20,97185	41,94391	20,31648
3700	41,94391	20,31648	41,94391	19,66111
3720	42,59927	19,00574	43,25463	17,69501
3740	43,25463	17,03964	44,56535	16,38426
3760	44,56534	15,72889	45,22071	15,07353
3780	45,2207	14,41816	45,87606	13,76279
3800	45,2207	13,76279	45,2207	13,76278
3820	44,56533	13,76278	44,56534	13,76277
3840	44,56534	13,76277	44,56535	13,76277
3860	43,90999	13,76277	44,56535	13,76277
3880	43,90999	14,41814	43,91	14,41814
3900	43,91	14,41814	43,25464	14,41814
3920	43,25463	14,41813	43,25464	13,76277
3940	43,90999	14,41813	47,84222	13,10743
3960	49,15298	13,76282	48,49762	14,41819
3980	47,84225	15,72892	47,84226	15,72892
4000	47,84226	16,38429	47,1869	16,38428
4020	47,18689	16,38428	47,1869	16,38428
4040	46,53153	17,03965	45,87617	17,03964
4060	45,87617	17,03965	45,87617	17,03964
4080	45,87616	17,03963	45,2208	17,03962
4100	45,87615	17,69498	45,87616	17,03962
4120	45,87615	17,03962	45,2208	17,03961
4140	45,22079	16,38425	44,56544	15,72888
4160	44,56543	15,07351	43,91008	13,76279
4180	43,25471	13,10743	42,59937	11,14134
4200	41,944	10,48598	40,63329	9,83061
4220	39,32256	9,17526	38,66721	8,5199
4240	45,22091	7,20921	58,98387	7,20927
4260	62,91623	7,20931	61,60554	8,52005
4280	60,29479	10,48613	60,29481	11,79686
4300	59,63945	12,45224	59,63945	13,1076
4320	59,63944	13,10761	59,63944	13,76297
4340	59,63942	14,41834	59,63942	15,07371
4360	59,63941	15,72907	60,29477	15,72908
4380	60,29476	16,38445	60,95011	16,38444
4400	61,60546	17,03981	62,26082	17,69517
4420	62,26081	18,35054	62,26081	18,35053
4440	62,2608	18,35054	62,91616	19,0059
4460	62,91615	19,0059	62,91616	19,66127
4480	63,57151	20,31663	63,57152	20,31664
4500	63,57151	20,31664	64,22687	20,31664
4520	64,22686	21,62738	64,22687	21,62737
4540	63,5715	22,28274	64,22687	22,93811
4560	64,88223	23,59347	64,88223	23,59347
4580	64,88223	24,24884	65,5376	24,24884
4600	65,53759	24,9042	66,19296	24,24883
4620	65,5376	24,90419	66,19296	25,55955
4640	66,19296	25,55955	66,84833	24,90419
4660	66,84832	25,55955	66,84833	25,55955
4680	66,84833	25,55955	66,84834	25,55955
4700	67,50369	26,21491	67,5037	25,55955
4720	66,84832	24,90419	67,50369	24,90418
4740	67,50368	24,24882	67,50369	24,24882
4760	66,84832	24,24881	67,50368	24,2488
4780	66,8483	24,24881	66,84831	24,2488
4800	66,84831	24,2488	66,84831	23,59344
4820	66,8483	23,59344	66,8483	23,59344
4840	66,19294	23,59345	66,8483	23,59344
4860	66,19293	23,59344	65,53758	23,59344
4880	66,19294	22,93808	65,53758	22,93807
4900	65,53757	22,93807	65,53757	22,2827
4920	64,8822	21,62734	65,53756	21,62734
4940	65,53755	20,97197	64,88219	20,31661
4960	64,88218	20,31661	64,88218	19,66124
4980	64,88217	19,66123	60,29454	16,38439
5000	42,59933	10,48602	19,66139	1,31084
5020	0,65568	-4,58748	-9,83019	-5,89821
5040	-11,79629	-1,966	-11,79626	0,65548
5060	-12,45162	2,62157	-12,45161	3,9323
5080	-12,45162	5,24302	-11,79626	4,58765
5100	-11,79627	4,58764	-11,14091	4,58763
5120	-10,48556	4,58762	-10,48555	3,93225
5140	-10,48556	4,58761	-10,48556	4,5876
5160	-9,8302	3,93224	-9,17483	3,27687
5180	-9,17485	3,27686	-10,48557	2,62149
5200	-19,6607	3,93222	-24,24828	4,5876
5220	-24,24828	4,58759	-23,59291	4,58759
5240	-23,59292	4,5876	-23,59291	5,24295
5260	-23,59292	4,58759	-22,2822	4,58758
5280	-22,93756	4,58758	-22,2822	3,93221
