T	LX	LY	RX	RY
0	0	0	0	0
20	9,9999999960687E-6	-1,0000000003174E-5	-0,65535	-0,65537
40	-0,65535	-1,0000000003174E-5	-0,65534	-0,65537
60	-0,65534	0,65535	-0,65533	0,65535000000001
80	-1,31069	1,96608	-1,31069	1,96608
100	-1,31069	2,62144	-1,96605	1,96608
120	-1,96605	2,62144	-2,6214	1,96608
140	-2,62141	2,62143	-2,6214	2,62144
160	-1,96605	3,27679	-1,96604	2,62143
180	-1,96605	2,62142	-1,96604	1,96606
200	-1,31069	1,96605	-1,96605	1,96605
220	-1,96604	1,96605	-1,96604	1,31069
240	-1,96604	1,31068	-2,6214	1,31068
260	-2,62141	1,31067	-3,27676	0,65532
280	-3,27676	1,31067	-2,6214	-4,9999999994554E-5
300	-2,6214	0,65531	-3,27676	0,65531
320	-3,27677	0,65531	-3,93212	0,65531
340	-3,27677	1,96603	-3,93212	1,96604
360	-3,27677	3,27675	-3,93212	2,62139
380	-3,93212	3,27675	-3,93212	3,27675
400	-3,93212	3,93211	-1,96602	3,27675
420	5,89842	5,24283	14,41824	6,55355
440	17,03973	7,2089	15,72901	6,55355
460	16,38437	7,86428	15,72901	7,86428
480	16,38437	9,175	15,72901	9,17501
500	16,38437	10,48573	15,72901	10,48573
520	15,72901	11,14109	15,72902	11,79646
540	15,72902	13,10719	15,07366	13,76255
560	15,07366	14,41791	15,07367	14,41791
580	15,07366	15,07327	15,07367	15,07328
600	15,07367	16,384	15,07368	17,03937
620	15,07367	18,35009	15,07368	19,00546
640	15,07367	20,31618	14,41832	20,31619
660	14,41831	22,28227	14,41831	22,28228
680	14,41832	23,593	14,41832	23,59301
700	14,41831	25,55909	13,76296	25,55911
720	14,41832	26,21446	14,41832	26,86983
740	13,76295	28,18054	1,96634	28,18056
760	-13,76254	26,86987	-22,93773	26,86989
780	-22,28239	28,83599	-22,28238	30,14672
800	-22,28239	30,80208	-22,28239	29,49135
820	-21,62703	28,83597	-21,62702	28,83597
840	-21,62703	28,83596	-21,62703	28,1806
860	-21,62704	27,52523	-21,62704	26,86986
880	-21,62704	26,86986	-21,62704	26,2145
900	-21,62704	26,86985	-22,2824	26,86986
920	-22,2824	26,21449	-22,2824	25,55914
940	-21,62704	25,55913	-21,62703	24,90377
