T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	0,65535999999999	-0,65537	3,27685
40	-0,65537	3,93222	-0,65537	3,93223
60	-1,0000000003174E-5	3,93222	-0,65538	4,58759
80	-1,0000000003174E-5	3,93222	-1,9999999999243E-5	3,93222
100	0,65534	4,58758	-1,9999999999243E-5	4,58759
120	0,65534	3,93222	-1,9999999999243E-5	4,58758
140	0,65534	3,93222	-1,9999999999243E-5	4,58759
160	-1,9999999999243E-5	4,58758	-3,0000000002417E-5	4,58759
180	0,65533	4,58759	-3,9999999998486E-5	4,58759
200	0,65532	5,24295	-3,9999999998486E-5	5,89832
220	0,65532	5,24296	-5,000000000166E-5	5,89832
240	0,65531	5,24296	-6,0000000004834E-5	5,89833
260	-5,000000000166E-5	5,24296	0,6553	6,55368
280	0,65531	5,89832	0,65531	5,89832
300	0,6553	5,89832	0,6553	6,55369
320	1,31066	5,89832	0,65529	6,55369
340	-7,0000000000903E-5	6,55369	-5,89836	8,51979
360	-7,86447	9,83054	-7,86447	10,48592
380	-7,2091	9,83055	-7,20911	10,48592
400	-7,20911	11,14128	-8,51983	11,79665
420	-7,86447	11,79664	-8,51983	12,45201
440	-7,86446	12,452	-8,51983	12,45201
460	-7,86446	12,452	-8,51982	12,452
480	-8,51982	12,452	-8,51982	12,45201
500	-8,51982	12,452	-9,17518	12,452
520	-7,86446	11,79663	-9,17518	12,45199
540	-8,51982	11,79663	-9,17518	12,452
560	-9,17518	11,79663	-9,17518	12,45199
580	-9,17518	11,79662	-9,83054	11,79663
600	-9,17518	11,79662	-9,17518	11,79663
620	-9,17517	11,14126	-9,17517	11,79662
640	-8,51981	11,14125	-9,17517	11,79662
660	-8,51981	11,14125	-9,83053	11,79661
680	-8,5198	11,14125	-9,17517	11,14125
700	-9,17517	11,14124	-9,17517	11,14125
720	-8,5198	9,83052	-11,79662	10,48587
740	-13,10737	10,48588	-12,452	11,14124
760	-11,14127	9,83051	-11,79663	10,48588
780	-11,14127	10,48587	-11,79663	10,48587
800	-11,14127	9,83106	-11,79663	9,8305
820	-11,14126	9,17513	-11,14127	9,17513
840	-10,48591	8,51976	-11,14127	9,17512
860	-11,14126	8,51975	-11,14126	8,51975
880	-10,4859	7,86438	-11,14126	7,86439
900	-10,4859	7,20901	-11,14126	7,20902
920	-9,83053	7,209	-10,4859	7,20901
940	-9,83053	6,55364	-9,83053	7,209
960	-9,17516	5,89827	-9,83052	6,55363
980	-9,17516	5,89826	-9,83052	5,89826
1000	-8,5198	5,89825	-9,17516	5,89825
1020	-8,5198	5,24288	-9,17516	5,24288
1040	-7,86443	4,58751	-8,51725	4,58752
1060	-7,86444	3,93215	-9,17516	4,58752
1080	-8,51979	3,93216	-9,17516	4,58753
1100	-8,51979	4,58752	-9,17516	5,24289
1120	-8,51979	4,58752	-9,17516	5,24289
1140	-8,5198	5,24289	-9,17516	5,89825
1160	-8,51979	4,58752	-9,17515	5,24289
1180	-8,51979	4,58752	-8,51979	5,24288
1200	-8,51978	4,58752	-8,51986	4,58752
1220	-8,51978	4,58752	-9,17514	5,24288
1240	-8,51978	4,58751	-9,17514	3,93216
1260	-8,51978	3,93215	-9,17514	4,58752
1280	-9,17514	3,93215	-9,17514	3,93215
1300	-9,17514	3,27678	-9,17515	3,93215
1320	-8,51978	3,27678	-9,17514	3,93214
1340	-8,51977	3,27678	-9,17514	3,27678
1360	-7,86441	3,27677	-8,51977	2,62141
1380	-7,86441	2,62141	-8,51977	3,27677
1400	-7,8644	2,62141	-8,51977	3,27677
1420	-7,86441	2,6214	-8,51977	2,62141
1440	-7,86441	1,96604	-8,51977	2,6214
1460	-7,8644	1,96604	-7,86441	2,6214
1480	-7,20904	1,96603	-7,20904	1,96603
1500	-6,55368	1,96602	-7,20904	1,96603
1520	-6,55367	1,96602	-7,20903	1,96602
1540	-6,55367	1,31066	-7,20904	1,96602
1560	-6,55368	1,31065	-7,20904	1,31065
1580	-6,55368	0,65528	-6,55367	0,65529
1600	-5,89831	-8,0000000004077E-5	-6,55367	0,65528
1620	-5,89831	-9,0000000000146E-5	-5,89831	0,65528
1640	-5,8983	0,65526999999999	-6,55366	-7,9999999996971E-5
1660	-5,24294	-0,65546000000001	-5,8983	-9,0000000000146E-5
1680	-5,24294	-0,65546000000001	-5,8983	-0,65544999999999
1700	-5,24293	-0,65546000000001	-5,8983	-0,65546
1720	-5,24294	-1,31082	-5,8983	-0,65544999999999
1740	-4,58758	-1,31082	-5,8983	-1,31082
1760	-5,24294	-1,96618	-5,89829	-1,31082
1780	-5,24293	-1,31082	-5,89829	-0,65544999999999
1800	-5,24294	-1,31082	-5,89829	-0,65544999999999
1820	-5,89829	-0,65545	-6,55366	-7,9999999996971E-5
1840	-5,89829	-0,65544000000001	-6,55366	-0,65544
1860	-5,24292	-8,0000000004077E-5	-1,31072	2,62141
1880	1,9999999999243E-5	2,62143	-1,3107	2,62144
1900	-0,65534	3,93216	-0,65534	3,93217
1920	-0,65534	3,93217	-1,3107	4,58754
1940	-1,3107	4,58754	-1,96606	4,58755
1960	-1,96607	4,58754	-2,62142	5,24291
1980	-1,96606	4,58754	-2,62142	5,24291
2000	-1,96606	4,58755	-2,62142	5,89828
2020	-1,96606	5,89828	-3,27678	6,55365
2040	-2,62142	5,89828	-3,27678	5,89829
2060	-2,62142	5,89828	-0,65532	6,55365
2080	17,69492	6,55369	25,55938	7,86443
2100	24,90403	7,20908	23,59329	8,5198
2120	24,24865	8,5198	23,59329	8,51981
2140	24,24866	8,5198	24,24866	9,17517
2160	24,24866	9,17516	23,59329	9,17517
2180	24,24865	9,17516	23,59329	9,17517
2200	24,24865	9,17516	23,59329	9,17516
2220	24,24865	46,53068	23,59328	9,17517
2240	23,59329	8,5198	23,59328	9,17517
2260	24,24865	8,5198	23,59329	8,5198
2280	24,24865	8,51978	26,21476	8,51979
2300	27,52551	8,5198	26,87014	8,5198
2320	27,5255	8,51979	26,87014	9,17515
2340	27,5255	8,51978	26,87014	8,51979
2360	27,5255	7,86442	26,87014	8,51978
2380	27,5255	8,51978	26,87014	7,86442
2400	27,5255	7,86441	26,87013	7,86441
2420	27,5255	7,20904	27,52549	7,20905
2440	27,52549	7,20904	27,5255	7,86441
2460	27,5255	7,20904	30,14696	7,86442
2480	43,25436	9,17517	49,15276	9,83055
2500	49,15276	9,17519	47,84201	10,48591
2520	48,49737	10,48591	48,49738	11,14128
2540	48,49738	10,48591	48,49738	10,48592
2560	49,15274	10,48592	48,49738	11,14128
2580	49,15274	10,48592	48,49738	11,14128
2600	49,15274	10,48591	48,49739	11,14127
2620	49,15275	11,14127	48,49738	11,14127
2640	49,15274	11,14127	48,49738	11,14127
2660	49,15275	11,14126	49,15274	11,14126
2680	49,80811	9,83053	41,9437	8,51979
2700	26,21481	7,86442	17,69499	7,86442
2720	20,31645	8,51978	20,97182	8,51979
2740	20,97182	7,86442	19,66109	8,51979
2760	20,31644	7,86442	19,66107	8,51978
2780	19,66108	7,86441	18,35034	8,51977
2800	18,35034	7,86441	18,35033	7,86441
2820	18,35033	7,20904	17,69496	7,20904
2840	17,69497	7,20903	17,03959	7,86441
2860	17,69496	7,20905	17,0396	7,86441
2880	17,69496	7,8644	17,0396	7,86441
2900	17,69497	7,20903	11,79668	5,8983
2920	-5,24286	5,8983	-13,10728	6,55366
2940	-11,79654	7,20902	-11,14117	7,20903
2960	-10,48581	7,20902	-11,14117	7,20903
2980	-10,4858	6,55365	-10,4858	6,55366
3000	-9,83044	5,89829	-10,4858	5,89829
3020	-9,83044	5,89828	-10,4858	6,55364
3040	-9,83044	5,89828	-10,48581	5,89829
3060	-10,48581	5,89828	-11,14117	5,89828
3080	-10,48581	5,24292	-10,48581	5,24292
3100	-10,48581	4,58755	-11,14117	5,24292
