T	LX	LY	RX	RY
0	0	0	0	0
20	0,65537	-9,9999999960687E-6	0,65536	0
40	0	0	0	0,65536
60	0	0,65536	0	0,65535
80	0,65791	0,65535	0,65536	0,65535
100	0,65536	0,65535	0	0,65601
120	0,65537	0,65535	0,65536	1,31071
140	1,31072	0,65535	1,31073	1,31071
160	1,31072	1,31071	1,96608	1,31071
180	1,31073	1,31072	1,31073	1,96608
200	1,31074	1,96607	1,31073	1,96608
220	1,31074	1,96608	1,31074	2,62144
240	1,31074	2,62143	1,31074	3,27679
260	1,31074	2,62142	1,31074	3,27678
280	1,31074	3,27678	1,31074	3,27678
300	1,31074	3,27678	1,9661	3,27678
320	1,31075	3,93214	1,31074	3,93214
340	1,31075	3,93213	1,31075	4,58749
360	1,31075	4,58748	1,31075	5,24285
380	1,31075	5,24285	1,31076	5,89821
400	1,31076	5,89821	1,31076	5,89821
420	1,31075	5,89821	1,31076	6,55358
440	0,6554	7,20894	1,31076	6,55358
460	0,6554	6,55357	1,31076	7,20893
480	1,31076	7,20892	1,31075	7,20893
500	1,31076	7,20893	1,31076	7,20893
520	1,31076	7,20892	1,31075	7,20893
540	1,31075	7,20892	1,31075	7,20892
560	1,96611	7,20892	1,31075	7,86428
580	1,31075	7,20892	1,31075	7,86429
600	1,31075	8,51965	1,31075	8,51966
620	1,31076	9,17502	0,6554	9,17503
640	0,6554	9,83039	0,6554	10,48576
660	0,6554	11,14113	5,000000000166E-5	11,79649
680	5,000000000166E-5	12,45186	5,9999999997729E-5	13,10723
700	-0,65529	13,76259	-0,65529	14,41796
720	-0,65529	15,07333	-1,31064	16,38406
740	-1,966	16,38407	-1,31064	17,69479
760	-1,96599	17,69479	-1,96599	17,6948
780	-1,96599	18,35016	-2,62134	19,00553
800	-2,62134	19,66089	-3,27669	19,66089
820	-2,62133	20,31625	-2,62133	20,31626
840	-3,27669	20,97162	-3,27668	21,62699
860	-3,27668	21,627	-3,27668	21,627
880	-3,27668	21,627	-3,27413	22,28237
