T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65537	-9,9999999960687E-6	-0,65537
40	0,65536	-1,31074	-9,9999999960687E-6	-1,31073
60	0,65537	-1,31074	-9,9999999960687E-6	-0,65537
80	0,65536	-1,31074	0,65535000000001	-1,31073
100	0,65537	-1,31074	0,65535000000001	-1,31073
120	1,31073	-1,31074	0	-1,31073
140	1,31073	-1,9661	0,65536	-1,31074
160	1,31073	-1,9661	0,65536	-1,9661
180	0,65537	-1,96611	0,65536	-1,9661
200	1,31005	-2,62148	0,65536	-1,96612
220	1,31073	-2,62148	1,0000000003174E-5	-2,62147
240	1,31074	-2,62149	0,65536	-2,62149
260	1,31073	-3,27685	1,31072	-3,93222
280	1,96609	-6,55369	2,62142	-10,48591
300	3,93219	-24,90395	-2,62125	-49,15254
320	-15,07278	-98,96029	-22,93663	-157,9433
340	-25,55724	-209,7172	-22,93414	-249,69405
360	-17,03589	-271,97573	-20,96829	-271,31953
380	-19,65757	-271,97438	-20,9683	-271,31878
400	-16,38082	-271,97408	-10,48266	-271,31886
420	0,65827	-271,97461	6,55587	-271,31987
440	15,73033	-271,97595	19,66236	-264,76749
460	11,79802	-231,99981	7,86529	-197,26567
480	8,52007	-165,80821	9,83037	-137,62745
500	11,79626	-113,37889	9,8301	-92,40713
520	9,17471	-74,71221	6,55326	-60,94949
540	6,55328	-50,4636	5,24257	-41,9438
560	4,58724	-35,39011	3,27652	-30,14715
580	3,27654	-28,18102	1,96582	-25,55953
600	1,96839	-23,59342	1,31048	-21,6273
620	1,3105	-20,97192	0,65513	-19,66117
640	1,31051	-19,66116	0,65515000000001	-19,00579
660	1,31052	-19,00579	0,65515000000001	-19,00578
680	1,31053	-19,00577	0,65516	-18,35039
700	1,31053	-18,35039	0,65516	-18,35038
720	1,31054	-18,35039	1,31053	-17,69502
740	1,96591	-17,69502	1,31054	-17,03965
760	1,96591	-17,03964	1,31054	-16,38427
780	1,31056	-16,38427	0,65518	-15,7289
800	1,31056	-16,38426	0,65518	-15,72889
820	1,3131	-16,38426	0,65518	-15,72889
840	1,31056	-15,7289	0,65519	-15,72888
860	1,31055	-16,38425	0,65518	-15,72888
880	1,31059	-15,72888	1,31066	-15,07353
900	1,31067	-15,7289	0,65528	-14,41815
920	1,31067	-14,41815	0,6553	-14,41815
940	0,65531	-14,41815	-5,9999999997729E-5	-13,76278
960	0,65531	-14,41814	0,6553	-13,76277
980	0,65786	-15,0735	-5,9999999997729E-5	-14,41813
1000	0,65531	-14,41814	0,6553	-14,41813
1020	1,31067	-15,0735	0,6553	-14,41813
1040	1,31067	-15,0735	-4,9999999994554E-5	-14,41813
1060	0,65532	-15,0735	-4,9999999994554E-5	-14,41813
1080	0,65532	-14,41813	0,65532	-14,41813
1100	1,31068	-15,0735	-43,90916	-14,41813
1120	1,31069	-15,0735	1,31068	-14,41813
1140	1,96605	-15,0735	1,31068	-15,07349
1160	1,96605	-15,0735	1,31068	-15,07349
1180	1,96605	-15,0735	1,31068	-14,41813
1200	1,96605	-15,0735	1,31068	-15,0735
1220	2,6215	-12,45206	9,17527	-11,14133
1240	10,48606	-11,14134	9,83067	-10,48596
1260	9,83068	-10,48596	9,17532	-9,83059
1280	9,83068	-10,48596	9,17531	-9,83059
1300	9,17532	-9,8306	8,51995	-9,83059
1320	9,17532	-9,17523	9,17531	-8,51985
1340	9,17532	-9,17522	8,51995	-8,51985
1360	9,17532	-8,51984	8,51995	-7,20911
1380	8,51996	-7,86448	7,86459	-7,20911
1400	7,8646	-6,55375	7,86459	-6,55375
1420	17,69511	-1,9662	36,70077	2,62136
1440	38,01156	3,27672	34,73473	5,24284
1460	34,07938	7,20894	32,76865	9,17505
1480	31,45796	10,48579	30,14722	11,14116
1500	30,14723	11,14116	30,14722	11,14116
1520	30,14722	10,48578	30,14721	10,48577
1540	30,14721	9,8304	29,49184	9,17503
1560	29,49184	7,8643	28,18111	7,8643
1580	28,83647	7,20892	27,52572	6,55356
1600	27,52572	5,89819	29,49181	6,55356
1620	41,9438	7,20893	42,59921	7,8643
1640	40,63312	7,86431	39,32237	9,17504
1660	39,32238	8,51968	38,667	9,17505
1680	38,66701	9,17505	38,01164	9,83043
1700	38,01165	9,83042	38,01164	10,48579
1720	38,01165	9,83042	37,35628	10,48579
1740	38,01166	9,83043	37,35629	10,48579
1760	38,66702	9,83043	47,84218	11,79654
1780	53,7406	11,79654	53,08528	11,79655
1800	53,08528	11,14118	52,42989	11,14119
1820	52,4299	10,48582	51,11915	10,48582
1840	51,11915	9,17508	50,46375	9,17508
1860	51,11911	7,86435	51,11908	8,51971
1880	53,08515	7,86433	53,08513	8,5197
1900	54,39585	7,86434	53,08512	8,5197
1920	53,74049	7,86433	53,08512	7,86433
1940	53,74049	7,20896	53,08513	7,20897
1960	53,74051	6,5536	53,08515	6,5536
1980	53,08517	6,55359	53,08516	6,55359
2000	53,08519	5,89822	52,42981	5,89823
2020	53,0852	5,89822	52,42983	5,89822
2040	52,42984	5,24285	51,77447	5,89821
2060	52,42984	5,24285	51,77447	5,89821
2080	52,42984	4,58748	51,77447	4,58748
2100	51,77448	4,58748	51,11911	4,58748
2120	51,77447	3,93212	51,1191	3,93212
2140	51,77447	3,27675	51,1191	3,27675
2160	50,46373	1,96601	41,28849	0,65528
2180	33,42404	-0,65548	31,45792	-0,00010999999999939
2200	32,76867	-0,00012000000000256	32,1133	0,65525
2220	32,11331	0,65524	32,1133	0,65525
2240	32,76867	-0,00010999999999939	32,1133	1,31061
2260	32,11332	-0,00010999999999939	32,1133	0,65525
2280	32,11332	0,65525	31,45795	1,31062
2300	32,11332	0,65525	31,45795	0,65525
2320	32,11333	0,65524	31,45795	0,65525
2340	32,11333	0,65524	31,45796	0,65525
2360	32,76869	-0,00012000000000256	31,45796	0,65525
2380	32,11333	-0,00012000000000256	31,45796	0,65524
2400	31,45797	-0,00012000000000256	30,80259	-0,00012000000000256
2420	35,39016	-0,00012000000000256	51,11907	1,96602
2440	58,32844	1,96605	60,29467	1,3107
2460	57,67321	1,96606	55,7071	2,62143
2480	56,36248	2,62143	55,70711	3,2768
2500	55,70711	3,27681	54,39638	4,58753
2520	55,05174	3,93217	53,74101	4,58754
2540	54,39638	4,58754	53,08565	4,58754
2560	53,74102	4,58754	53,08564	4,58754
2580	53,08565	3,93217	53,08564	5,2429
2600	53,74101	4,58754	53,08564	5,24291
2620	53,74101	4,58754	53,08564	5,24291
2640	53,741	4,58754	53,08563	5,24291
2660	53,08565	5,24291	53,08563	5,89828
2680	53,08564	5,89828	51,77491	6,55364
2700	52,43028	5,89828	51,77491	6,55365
2720	52,43028	6,55364	52,43026	6,55364
2740	52,43028	6,55364	51,7749	6,55365
2760	52,43028	5,89827	51,77491	5,89827
2780	52,43028	5,24291	51,7749	5,89827
2800	52,43027	5,2429	52,43025	5,24289
2820	52,43025	4,58752	52,43024	4,58752
2840	54,39635	1,96606	70,78064	3,27679
2860	90,44179	1,96608	88,47571	2,62144
2880	87,16498	3,2768	86,50961	3,93218
2900	86,50962	3,93218	84,54353	5,24291
2920	85,1989	4,58755	84,54353	5,24291
2940	85,1989	4,58756	84,54352	5,89828
2960	84,54353	5,24292	83,88816	5,89829
2980	83,88817	5,24292	83,2328	5,89828
3000	83,88816	5,24292	83,23279	5,89829
3020	83,88816	5,89828	83,23278	5,89829
3040	83,88816	5,89828	83,23278	5,89828
3060	83,88815	5,24291	83,23278	5,89828
3080	83,88815	5,24291	83,23278	5,24291
3100	83,88815	4,58755	83,88813	5,2429
3120	84,5435	3,2768	84,54347	1,96606
3140	84,54347	-3,9999999998486E-5	64,22702	-5,24298
3160	47,84248	-17,03961	38,66703	-23,59332
3180	34,07935	-25,55943	34,73472	-23,59333
3200	35,39011	-22,93796	34,73474	-22,28259
3220	35,39011	-22,28259	35,3901	-20,97186
3240	35,39011	-20,97186	34,73474	-19,66113
3260	35,39011	-19,66113	34,73474	-19,66113
3280	35,39011	-19,00576	34,73473	-19,00576
3300	34,73475	-19,66113	34,73473	-18,35039
3320	34,73474	-19,00576	34,07937	-18,3504
3340	34,73474	-19,66112	34,73473	-19,66113
3360	34,73475	-20,97186	34,73474	-20,97187
3380	36,04547	-22,2826	36,04545	-22,2826
3400	36,70082	-22,93797	36,70081	-22,93797
3420	37,35617	-23,59334	37,35616	-23,59333
3440	38,01152	-24,2487	37,35614	-23,59334
3460	38,01151	-24,2487	37,35613	-23,59334
3480	38,0115	-23,59334	37,35613	-22,93797
3500	37,35614	-22,93797	37,35612	-22,93797
3520	37,35614	-22,93797	36,70077	-22,2826
3540	38,0115	-22,28261	36,70076	-22,28261
3560	43,25444	-21,62724	57,67269	-12,45206
3580	74,05723	-9,83053	89,13091	-10,48587
3600	85,85413	-9,17516	83,23265	-6,55369
3620	83,23265	-5,89832	81,92192	-4,58759
3640	81,92192	-4,58759	79,95583	-3,27685
3660	80,6112	-2,62149	79,95582	-1,31075
3680	79,95584	-0,65539	79,30048	-1,9999999999243E-5
3700	79,95586	-1,9999999999243E-5	79,30048	0,65534
3720	79,95586	0,65534	79,95585	1,31071
3740	80,61123	1,3107	79,95586	2,62143
3760	80,61124	1,96607	79,95587	2,62144
3780	80,61123	1,96607	77,98975	1,3107
3800	61,60542	-1,96616	52,43005	-5,243
3820	51,77461	-6,55375	51,77462	-5,24301
3840	52,43	-5,24302	50,4639	-5,89838
3860	50,46392	-7,20912	49,80854	-8,51986
3880	49,80855	-10,48597	48,49782	-11,7967
3900	49,15319	-12,45208	47,84246	-13,76281
3920	48,49784	-14,41819	47,84248	-14,4182
3940	48,49787	-15,72893	48,49787	-15,72893
3960	49,15325	-15,72894	49,15326	-15,07357
3980	49,80864	-15,07357	49,15328	-13,76284
4000	49,80867	-13,10747	49,1533	-12,4521
4020	49,80867	-11,79674	49,1533	-10,486
4040	49,80868	-9,83064	49,1533	-9,83063
4060	49,80867	-9,17526	48,49793	-9,17526
4080	49,15329	-9,17526	47,84255	-8,51988
4100	49,15328	-9,17525	48,49791	-7,86452
4120	49,15328	-7,86452	48,49792	-7,20914
4140	49,15329	-7,86452	48,49793	-6,55379
4160	49,1533	-6,55379	49,1533	-6,55378
4180	49,15331	-6,55378	48,49794	-6,55378
4200	49,1533	-7,20915	48,49793	-6,55378
4220	49,80866	-7,20915	49,15328	-6,55378
4240	50,464	-7,20915	49,80861	-7,20915
4260	50,46397	-7,86451	49,80859	-7,20914
4280	50,46395	-8,51987	53,08544	-9,17522
4300	68,81439	-7,20911	82,57721	-5,89836
4320	81,26651	-5,89836	78,64503	-4,58763
4340	79,30041	-4,58762	77,98968	-3,93225
4360	78,64504	-3,93226	77,98967	-3,93225
4380	78,64504	-3,93226	77,33431	-3,93224
4400	78,64505	-3,93225	77,98967	-3,93225
4420	78,64503	-4,58762	77,98966	-4,58762
4440	78,64501	-5,89835	77,98963	-5,24299
4460	78,64499	-5,89836	77,98961	-5,89835
4480	78,64498	-6,55373	77,9896	-6,55372
4500	78,64497	-7,20908	78,64496	-6,55372
4520	79,30033	-7,20909	79,30032	-6,55372
4540	79,95571	-6,55373	79,9557	-5,89836
4560	81,26645	-5,89836	81,26644	-5,89836
4580	81,92181	-5,89836	81,26644	-5,24299
4600	81,92181	-5,243	81,9218	-5,243
4620	81,92181	-5,243	80,61106	-5,243
4640	80,61107	-5,24301	79,9557	-5,89837
4660	79,9557	-5,89838	79,30032	-5,24301
4680	79,30033	-5,89838	77,9896	-5,24301
4700	78,64496	-5,89838	78,64496	-5,24301
4720	78,64497	-5,24302	77,9896	-5,24301
4740	78,64497	-5,24302	77,9896	-4,58765
4760	77,98961	-5,24301	77,33424	-4,58765
4780	78,64497	-4,58766	77,33424	-3,93229
4800	77,98961	-3,93229	76,67889	-3,27692
4820	77,98962	-3,27692	76,67889	-2,62156
4840	77,98963	-3,27692	77,33425	-2,62156
4860	77,33427	-1,9662	76,6789	-1,31083
4880	77,33428	-1,9662	76,67891	-1,31083
4900	76,67893	-1,31083	76,67892	-0,65546000000001
4920	76,67893	-1,31083	76,67892	-0,65546000000001
4940	76,67894	-0,65547	76,67892	-1,31083
4960	61,60544	-5,24302	45,87625	-11,1413
4980	20,31664	-17,69499	-7,20888	-22,28256
5000	-10,48576	-20,97185	-8,51964	-17,69501
5020	-7,86424	-17,03965	-7,86425	-15,72892
5040	-6,5535	-15,07356	-6,5535	-14,41819
5060	-5,89812	-13,76284	-5,89813	-13,10748
5080	-4,58485	-13,76284	-5,24277	-13,10748
5100	-3,93203	-12,45213	-3,93204	-11,79675
5120	-2,62131	-11,79676	-3,27668	-11,79676
5140	-1,96595	-11,1414	-1,96597	-11,1414
5160	-1,31059	-12,45214	-0,65525	-16,38434
5180	0,65547	-25,55948	2,62151	-41,94364
5200	6,55364	-63,57072	9,17501	-83,88705
5220	11,79642	-96,99439	11,7964	-94,37293
5240	13,10713	-88,47464	11,7964	-83,23171
5260	-7,20925	-90,44067	-20,31676	-91,09602
5280	-18,35068	-82,5763	-16,38452	-73,40118
5300	-16,38449	-65,53679	-17,6952	-58,98314
5320	-17,03979	-55,05096	-18,3505	-52,42949
5340	-18,35047	-51,11876	-18,35046	-49,15267
5360	-18,35044	-47,84194	-19,00581	-46,5312
5380	-19,00579	-45,87584	-19,0058	-45,22047
5400	-18,35043	-44,56511	-19,00579	-43,90975
5420	-18,35042	-43,90975	-19,00578	-43,25438
5440	-18,35041	-42,59903	-18,35041	-41,94366
5460	-17,69502	-41,2883	-18,35039	-40,63294
5480	-17,03964	-41,28831	-17,69501	-39,97759
5500	-17,03963	-41,28832	-17,695	-40,63296
5520	-17,03962	-41,28834	-17,69499	-40,63297
5540	-17,03962	-40,63297	-17,695	-40,63298
5560	-17,03963	-41,28834	-18,35036	-40,63296
5580	-17,03963	-40,63297	-18,35036	-41,28833
5600	-17,69499	-41,94371	-20,31648	-44,56514
5620	-20,97189	-45,22051	-21,62725	-43,90977
5640	-19,66114	-42,59905	-20,97187	-41,94367
5660	-19,66112	-41,94368	-19,66113	-41,28831
5680	-19,00575	-41,28832	-19,00574	-40,63295
5700	-18,35036	-40,63297	-18,35035	-39,97761
5720	-17,69497	-39,97762	-18,35033	-39,32225
5740	-17,69495	-38,01153	-18,35032	-37,35616
5760	-17,69495	-37,35616	-18,35032	-36,04542
5780	-18,35031	-36,70079	-19,00568	-36,04541
5800	-18,35032	-36,70078	-19,0057	-36,70077
5820	-15,72885	-34,07933	0,65539	-28,83642
5840	7,86449	-29,4918	3,93229	-28,83643
5860	3,93227	-28,18106	3,93226	-26,87032
5880	3,27692	-26,87033	3,2769	-26,21495
5900	3,93228	-25,55959	3,2769	-24,90422
5920	3,93228	-24,90422	3,93227	-23,59349
5940	4,58765	-23,59349	4,58764	-22,93812
