T	LX	LY	RX	RY
0	0	0	0	0
20	1,31071	0	0,65535000000001	-1,31072
40	1,96606	-1,31072	1,96606	-3,2768
60	2,62142	-3,2768	2,62142	-5,24288
80	3,93214	-5,89824	3,93214	-8,51968
100	3,93213	-8,51968	3,93213	-10,48576
120	4,58748	-10,48576	3,27676	-10,48576
140	3,27675	-9,8304	2,6214	-10,48575
160	2,62139	-9,83039	1,31068	-11,14111
180	1,96602	-9,17503	0,65532	-9,17502
200	1,31067	-7,8643	0,65531	-7,86429
220	0,65532	-6,55357	-3,9999999998486E-5	-8,51967
240	0,65532	-9,83041	-3,9999999998486E-5	-13,76259
260	-7,0000000000903E-5	-22,28237	-0,65547	-35,38988
280	-3,27681	-83,88729	-9,83008	-271,97693
300	20,31751	-290,32755	59,63954	-290,98069
320	81,9216	-290,32371	49,15327	-290,97907
340	11,14221	-290,32371	1,96709	-290,97907
360	11,1421	-290,32371	26,21557	-290,97907
380	43,25533	-290,32371	54,39651	-290,97992
400	36,04626	-290,32588	13,76396	-290,98194
420	6,55539	-290,32688	3,27826	-290,98224
440	-3,93155	-279,84094	-16,38377	-236,58691
460	-24,24818	-193,9882	-32,11256	-154,66629
480	-34,07869	-119,93196	-33,42338	-95,0281
500	-30,14662	-76,02252	-29,49127	-64,88128
520	-26,86984	-55,70616	-26,86984	-49,80786
540	-25,55913	-43,2542	-24,90377	-39,32199
560	-22,93769	-34,07908	-23,59304	-31,45761
580	-22,93768	-28,83615	-23,59305	-28,83613
600	-24,24841	-26,87004	-25,55912	-26,21467
620	-25,55913	-25,55931	-27,52521	-26,21465
640	-28,18057	-25,55928	-29,49128	-25,55928
660	-29,49129	-24,24855	-30,802	-24,24855
680	-30,14664	-24,24854	-31,45736	-24,24853
700	-30,802	-21,62707	-31,45736	-22,28243
720	-30,14663	-20,97171	-30,14663	-21,62706
740	-28,83592	-19,66097	-28,83591	-19,0056
760	-26,86983	-17,69488	-26,21447	-17,69487
780	-24,2484	-16,38416	-23,59303	-16,38416
800	-21,62696	-15,07344	-21,62695	-15,07343
820	-15,72869	-14,41807	-3,2767	-14,41805
840	1,31089	-11,7966	1,31088	-11,14123
860	2,62159	-8,51977	3,27696	-7,8644
