T	LX	LY	RX	RY
0	0	0	0	0
20	0,65535	0	0,65536	-0,65537
40	1,31071	-0,65537	0,65536	-0,65538
60	1,31072	-0,65537	1,31072	-1,31073
80	1,96608	-1,9661	1,96608	-1,9661
100	1,96608	-2,62146	1,96609	-1,96611
120	2,62144	-1,9661	2,62145	-3,27683
140	3,2768	-3,27683	2,62145	-3,9322
160	3,27681	-3,9322	3,27681	-4,58756
180	3,93217	-4,58756	3,27681	-4,58756
200	3,93218	-4,58757	3,27682	-5,24293
220	3,93218	-4,58757	3,27683	-5,24294
240	3,93219	-5,24293	3,27684	-5,24294
260	3,9322	-5,24294	3,27685	-5,8983
280	3,9322	-5,24294	3,27686	-5,8983
300	3,93222	-6,55366	3,93222	-7,20902
320	3,93221	-7,20902	3,93222	-8,51973
340	4,58757	-9,83045	4,58757	-10,48579
360	5,89828	-10,48578	5,24293	-11,14112
380	5,89828	-10,48574	5,89828	-10,48572
400	7,20898	-9,17497	5,89826	-7,86426
420	6,5536	-5,89816	5,24289	-3,27671
440	4,58751	-1,31062	3,93215	0,00010000000000332
460	3,27678	1,31082	1,96605	2,62155
480	1,96604	1,96619	1,31068	1,9662
500	1,31068	1,31084	0,65531	0,00012000000000256
520	0,65531	-0,65524	-0,65541	-1,31062
540	-5,000000000166E-5	-1,31062	-1,31075	-1,31064
560	-0,6554	-1,31065	-1,31075	-1,31065
580	-1,31075	-1,31066	-1,9661	-1,31067
600	-0,65538	-0,65532	-1,96609	-0,65532
620	-0,65537	-0,65533	-1,31072	-1,31069
640	5,24292	12,45192	22,28254	45,22017
660	40,63283	45,22045	44,56504	45,22052
680	41,28818	45,22052	36,04526	45,22052
700	30,80234	45,22052	26,2148	45,22052
720	22,93798	45,22052	19,66118	45,22052
740	19,00581	45,22052	17,69765	45,22052
760	17,6951	45,22052	16,38439	45,22052
780	17,03975	45,22052	17,03976	45,22052
800	17,03976	45,22052	17,03977	45,22052
820	17,69513	45,22052	17,03978	45,22052
840	17,69514	45,22052	17,69515	45,22052
860	17,69514	45,22052	17,69515	45,22052
880	18,3505	45,22052	17,69514	45,22052
900	18,3505	45,22052	18,35051	45,22052
920	18,3505	45,22052	19,00587	45,22052
940	19,00587	45,22052	19,00588	45,22052
960	15,72902	45,22052	14,4183	45,22052
980	15,07365	45,22052	14,41829	45,22052
1000	15,07364	45,22052	15,07364	45,22052
1020	15,72899	45,22052	15,72899	45,22052
1040	17,0397	45,22052	17,03971	45,22052
