T	LX	LY	RX	RY
0	0	0	0	0
20	4,9999999994554E-5	0,65537	-0,65535	0,65537
40	-0,6553	1,31074	-1,31071	0,65537
60	-0,65531	1,31074	-0,65535	0,65537
80	-0,6553	1,31074	-1,3107	0,65537
100	-0,6553	1,31074	-1,96606	0,65537
120	-0,6553	1,31074	-1,96606	0,65537
140	-0,6553	1,31074	-1,3107	0,65537
160	-0,65531	0,65537	-0,65535	-0,65537
180	0,65539999999999	0,65536000000001	0,65535000000001	-1,31073
200	1,31075	0	0,65534	-1,31073
220	1,31074	0	0,65533000000001	-1,31073
240	1,31073	0	0,65533000000001	-1,31073
260	1,31073	0	0,65533000000001	-1,31074
280	1,31074	-0,65535999999999	0,65534	-1,31074
300	11,79669	0	17,69503	-0,65537
320	16,38434	0,65537	15,07357	0,65536
340	15,72897	1,31074	14,4182	0,65537
360	15,0736	1,9661	14,4182	1,31072
380	15,07359	1,9661	13,76283	0,65536
400	15,07359	1,31073	14,41818	0,65537
420	14,41822	1,31073	13,76282	0,65536
440	14,41821	0,65537	13,76281	0
460	13,10748	0,65537	12,45208	-0,65536
480	13,10748	1,0000000003174E-5	12,45206	-0,65536
500	13,10747	-0,65535	12,45206	-0,65536
520	13,10746	-0,65535	12,45206	-1,31073
540	13,10746	-0,65535999999999	12,45207	-1,31073
560	13,10747	-1,31072	11,79671	-1,31073
580	13,10748	-0,65535999999999	11,79671	-1,96609
600	12,45212	-1,31072	11,79671	-1,96609
620	12,45212	-1,31072	11,79672	-1,96609
640	11,79676	-1,96608	11,14136	-2,62145
660	12,45212	-1,96608	11,14135	-3,27681
680	12,45212	-2,62144	11,79672	-3,27682
700	12,45212	-2,62145	11,79672	-3,27682
720	13,10748	-2,62145	12,45208	-3,27682
740	13,10748	-3,27681	12,45207	-3,93219
760	14,41818	-3,27682	14,41813	-4,58755
780	15,07352	-4,58755	15,07348	-5,24292
800	16,38423	-4,58755	15,72882	-5,89829
820	17,03958	-5,89828	17,03953	-6,55366
840	17,69493	-5,89829	17,03954	-6,55367
860	18,35029	-6,55366	18,35026	-7,20903
880	19,00566	-6,55366	18,35026	-7,8644
900	20,97175	-7,20902	29,49156	-7,86439
920	33,42383	-6,55366	30,80232	-7,20903
940	30,80235	-5,89829	30,80231	-6,55366
960	30,80235	-5,89829	30,14694	-6,55366
980	30,14698	-5,89828	30,14694	-6,55366
1000	30,14698	-5,89828	30,14693	-6,55366
1020	30,14697	-5,89828	30,14693	-6,55366
1040	30,14697	-5,24292	30,14692	-5,8983
1060	30,14696	-5,24293	29,49156	-6,55366
1080	30,80232	-5,89829	29,49156	-6,55366
1100	30,14696	-5,24293	29,49156	-6,55366
1120	30,14696	-5,89829	29,49156	-6,55366
1140	29,4916	-5,24293	28,8362	-6,55366
1160	29,4916	-5,89829	30,14694	-5,8983
1180	35,38997	-5,24292	36,04531	-5,89829
1200	35,38998	-4,58755	34,73458	-5,24292
1220	34,73462	-4,58754	34,07922	-5,24292
1240	34,73462	-4,58754	33,42386	-4,58755
1260	33,4239	-3,93218	32,11315	-3,93218
1280	32,76856	-1,96609	31,4578	-1,96609
1300	31,45784	2,0000000006348E-5	30,14708	0,65537
1320	30,14713	1,96611	29,49172	1,96611
1340	30,14712	3,27685	29,49172	3,27684
1360	30,14711	4,58757	29,49171	3,9322
1380	30,1471	5,24293	29,4917	4,58757
1400	30,1471	5,24293	29,4917	4,58756
1420	30,1471	5,89829	29,4917	5,24292
1440	30,14711	5,89829	29,4917	5,24292
1460	30,14711	5,8983	29,49171	5,24292
1480	29,49175	5,8983	28,83634	5,24292
1500	29,49175	5,8983	28,83634	5,24292
1520	29,49174	5,8983	29,4917	5,89828
1540	29,49174	6,55365	28,83634	5,24292
1560	30,1471	5,8983	29,4917	5,24292
1580	30,1471	6,55365	29,4917	5,24292
1600	36,70081	6,55365	45,87603	5,89828
1620	48,49756	6,55365	46,53141	6,55365
1640	46,53146	7,20903	46,53141	6,55365
1660	47,18681	7,86439	46,53141	7,20902
1680	46,53144	7,8644	45,87604	7,20903
1700	46,53144	7,8644	45,22068	7,86439
1720	45,87608	8,51976	45,22068	7,86439
1740	45,87608	8,51977	44,56532	8,51976
1760	45,22073	8,51977	44,56532	7,8644
1780	44,56537	9,17513	43,90997	8,51976
1800	44,56536	8,51978	43,90996	7,8644
1820	44,56537	9,17514	43,2546	8,51977
1840	43,91	9,17514	43,2546	7,86441
1860	43,91	9,17514	43,2546	8,51977
1880	49,80835	9,17515	56,36207	8,51977
1900	58,32822	9,17515	57,67279	8,51978
1920	58,98354	9,17515	58,98349	8,51977
1940	59,63888	8,51978	59,63883	7,86441
1960	59,63887	8,51977	60,29418	7,20904
1980	60,94957	7,86441	60,29417	7,86439
2000	60,94957	8,51977	60,29417	7,86439
2020	60,94957	8,51976	60,29417	7,86439
2040	60,94957	8,51977	60,29417	7,86439
2060	60,94956	7,8644	60,29416	7,20904
2080	61,60491	7,8644	60,94951	7,20903
2100	61,6049	7,8644	60,9495	7,20903
2120	61,6049	7,86441	60,9495	7,20903
2140	62,26026	7,20904	65,53709	7,20903
2160	72,09088	7,86441	72,09085	7,20904
2180	71,43551	7,86441	71,43546	7,20904
2200	72,74622	7,86441	72,09081	6,55367
2220	72,74621	7,20904	72,74617	6,55367
2240	73,40157	7,20904	72,74616	5,8983
2260	73,40156	6,55368	72,74615	5,8983
2280	73,40156	5,89831	73,40151	5,24294
2300	73,40155	6,55367	73,40151	5,24293
2320	73,40156	6,55367	73,40151	5,24293
2340	74,05691	5,8983	73,4015	4,58757
2360	74,0569	5,24293	77,98908	4,58757
2380	91,09662	5,24295	95,02887	4,58759
2400	94,37351	6,55369	92,40738	7,20905
2420	93,71815	7,86442	93,06274	6,55368
2440	93,71814	7,86441	93,06274	6,55369
2460	93,71814	7,86442	93,06274	6,55368
2480	93,71813	7,86441	93,71809	6,55367
2500	95,68421	5,89831	96,33951	4,58756
2520	97,65027	4,58757	97,65022	2,62147
2540	98,96098	2,62148	98,30557	1,31074
2560	98,96097	1,96611	98,30556	1,31074
2580	98,96096	1,96611	97,6502	1,31074
2600	98,3056	2,62147	97,6502	1,9661
2620	98,96096	1,96612	97,65019	1,96611
2640	98,30559	3,27684	96,99483	2,62147
2660	98,30558	3,27684	98,30554	2,62146
2680	92,40727	1,31076	61,60487	-5,89823
2700	20,97198	-10,48574	1,31084	-12,45183
2720	3,93232	-9,175	5,89839	-8,51965
2740	5,89842	-7,20892	5,24301	-7,20893
2760	7,20913	-5,8982	7,20907	-6,55357
2780	7,86446	-5,89821	7,86442	-7,20894
2800	9,17517	-5,89821	8,51975	-7,20895
2820	9,17514	-7,20894	9,1751	-8,51968
2840	9,83049	-7,86431	9,17509	-8,51969
