T	LX	LY	RX	RY
0	0	0	0	0
20	-1,3107	0	1,0000000003174E-5	-0,65535999999999
40	-1,3107	-1,31071	-0,65535	-1,31072
60	-1,3107	-1,31071	1,0000000003174E-5	-1,31072
80	-0,65534	-1,31072	5,24286	2,62144
100	-7,20915	9,17505	-10,48601	10,48579
120	-7,20914	11,79652	-5,89842	12,45188
140	-7,20913	12,45189	-5,89841	13,10725
160	-6,55376	12,45189	-5,89841	13,10726
180	-6,55374	13,76263	-7,2091	13,76264
200	-8,51981	14,41801	-7,20909	15,07337
220	-9,17515	15,72874	-8,5198	15,72875
240	-10,48587	15,72875	-9,17516	15,07339
260	-10,48587	16,38412	-9,17514	17,03949
280	-9,83047	17,69487	-8,51973	19,00559
300	-7,86433	20,31634	-9,83041	24,90387
320	-13,10721	24,24853	-7,20893	22,28245
340	-3,93208	26,21461	-1,96595	24,90391
360	-3,93194	21,62713	-4,58724	19,66106
380	-7,86396	18,35036	-9,82998	17,69501
400	-15,07275	17,69502	-16,38339	17,69501
420	-19,00476	17,69501	-19,66009	17,03964
440	-20,97077	17,03964	-20,31542	17,03962
460	-19,00471	17,69496	-15,07259	19,00566
480	-13,10652	20,97174	-9,82974	22,93782
500	-9,82972	24,9039	-8,51901	24,90389
520	-9,8297	25,55926	-13,76183	25,55927
540	-5,24193	24,90394	8,52073	25,55931
560	1,96709	26,87004	1,3117	26,87004
580	0,0009900000000016	27,5254	1,31168	28,83612
600	0,65632	28,83612	2,62238	29,49147
620	3,27774	29,49148	5,89916	29,49148
640	6,55453	29,49148	9,83133	30,14685
660	11,14206	29,4915	13,76349	29,49149
680	13,10813	29,4915	14,41884	29,49149
700	12,45277	28,83613	13,10811	28,83613
720	10,48667	28,83612	39,32254	28,83609
740	63,57108	28,83609	68,15863	28,83609
760	64,88179	29,49145	65,53713	29,49144
780	65,53715	28,83607	66,1925	27,52534
800	66,19254	25,55926	66,19254	24,24855
820	66,19258	22,93784	67,50332	22,93785
840	68,15873	23,59323	69,46948	24,24861
860	69,46952	26,21472	71,43562	28,18082
880	72,09102	30,8023	74,05711	33,42378
900	74,05715	35,3899	75,36788	36,70064
920	74,71255	38,01138	76,02327	38,01138
940	76,67865	38,66674	77,33401	38,01139
960	76,67865	36,70067	76,67865	36,04531
980	77,33401	35,38995	80,61082	34,7346
1000	89,13062	33,42389	93,06279	32,11317
1020	91,0967	31,45781	91,75201	29,49172
1040	90,44127	26,87025	91,75193	23,59342
1060	90,44116	19,66122	90,4411	15,72902
1080	89,13034	14,41828	89,78565	9,83072
1100	87,81951	4,58779	88,4748	0,00021000000000271
1120	93,71772	-3,27664	97,64988	-6,55346
1140	96,33913	-7,20883	95,02835	-8,51957
1160	94,37296	-9,8303	93,71757	-10,48568
1180	93,71758	-11,14104	94,37294	-11,14102
1200	93,7176	-11,14101	95,02831	-11,79637
1220	94,37298	-11,79636	95,68369	-11,79638
1240	95,02834	-11,79638	95,68369	-13,10712
1260	93,7176	-13,10713	95,0283	-14,41786
1280	94,37295	-15,07324	94,37293	-15,07325
1300	100,92662	-15,07326	114,034	-16,38397
1320	115,34476	-16,38397	115,34473	-14,41787
1340	115,34474	-12,45177	116,0001	-11,14104
1360	114,68939	-10,48567	115,34474	-11,79638
1380	114,03401	-10,48566	113,3786	-11,14104
1400	110,75714	-15,07323	110,10173	-17,69471
1420	108,13562	-19,66083	109,44629	-20,31621
1440	108,79092	-20,31622	112,72307	-20,31623
1460	127,14123	-20,97159	143,52547	-20,31619
1480	144,83622	-15,7286	144,83623	-13,76246
1500	144,83628	-13,76241	146,14703	-14,41775
1520	145,49168	-15,72845	146,14702	-18,3499
1540	144,18094	-20,97137	144,83627	-24,24819
1560	143,52554	-25,55892	143,52552	-26,2138
1580	142,21479	-26,21429	142,21477	-26,2143
1600	140,90404	-25,55896	140,90402	-24,9036
1620	140,90403	-24,24824	140,90402	-24,9036
1640	140,24866	-24,9036	140,904	-25,55897
1660	140,90402	-25,55898	137,62716	-27,52508
1680	106,16949	-38,0109	58,98302	-50,46282
1700	36,04518	-51,11819	42,59877	-46,53065
1720	45,87562	-45,87528	45,22024	-46,53065
1740	42,5988	-45,21993	43,90951	-44,56458
1760	42,5988	-44,56458	43,25414	-43,90922
1780	42,59878	-43,90923	42,59877	-44,56459
1800	42,59877	-43,90924	43,25411	-44,5646
1820	43,25413	-44,5646	43,90948	-45,21996
1840	42,59877	-45,21996	39,32193	-47,18604
1860	-8,51953	-49,80747	-23,59296	-51,77355
1880	-20,97146	-48,49673	-19,00537	-47,186
1900	-21,62681	-46,53064	-21,62683	-46,53065
1920	-22,28218	-45,21993	-20,97147	-45,21993
1940	-22,93754	-43,90921	-22,93756	-43,90922
1960	-24,90365	-43,90923	-24,2483	-43,90924
1980	-24,90365	-43,90924	-24,90368	-43,90925
2000	-27,52512	-43,25389	-24,90368	-43,25389
2020	-26,86975	-41,94315	-24,24839	-41,28776
2040	-24,90373	-39,32166	-24,24834	-38,01093
2060	-25,55904	-37,35555	-25,55906	-38,01092
2080	-26,2144	-38,01091	-26,86977	-38,66628
2100	-27,52512	-38,66628	-27,52514	-39,32165
2120	-28,18048	-38,66628	-27,52515	-39,32166
