T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	-9,9999999960687E-6	-1,0000000003174E-5
40	-9,9999999960687E-6	-0,65537	-9,9999999960687E-6	-0,65537
60	-9,9999999960687E-6	-0,65537	-9,9999999960687E-6	-0,65537
80	-9,9999999960687E-6	-1,31073	-1,9999999999243E-5	-1,31073
100	0,65534	-1,31073	0,65533	-1,31073
120	0,65534	-1,96609	0,65533	-1,31074
140	0,65534	-1,31073	0,65534	-1,9661
160	0,65534	-1,96609	0,65533	-1,9661
180	0,65534	-1,96609	0,65533	-1,9661
200	0,65533	-1,9661	0,65532	-1,96611
220	0,65533	-1,9661	1,31069	-2,62146
240	0,65533	-2,62146	0,65532	-2,62146
260	0,65533	-2,62146	0,65532	-2,62147
280	0,65533	-3,27683	0,65532	-3,27683
300	0,65532	-3,27682	0,65531	-3,27683
320	0,65531	-3,27683	1,31067	-3,27683
340	1,31067	-3,27683	1,31067	-3,27683
360	1,31067	-2,62147	1,96603	-3,27683
380	1,31067	-3,27683	1,31066	-3,27683
400	1,31067	-2,62147	1,31066	-3,27683
420	0,6553	-2,62147	1,96602	-2,62147
440	1,31067	-2,62147	1,31066	-2,62147
460	0,6553	-2,62147	0,65531	-3,27683
480	0,65531	-2,62147	0,65531	-2,62147
500	0,65531	-2,62147	-4,9999999994554E-5	-2,62147
520	-4,9999999994554E-5	-2,62146	-4,9999999994554E-5	-1,9661
540	-0,6554	-1,9661	-0,6554	-1,31074
560	-0,6554	-1,31073	-0,6554	-0,65537
580	-1,31075	0	-1,31075	0
600	-1,31075	0,65537	-1,96611	1,31074
620	-1,9661	1,96611	-1,9661	2,62147
640	-2,62144	3,27685	-2,62145	3,93222
660	-0,6553	5,24296	1,96622	5,89834
680	1,31089	7,86445	0,65554	9,83055
700	0,00019999999999953	11,79667	0,00022000000000588	13,76278
720	-0,65513	14,41815	-0,65513	15,07353
740	-1,31047	16,38426	-1,31048	17,03963
760	-1,31047	16,38428	-1,31047	17,03964
780	-1,31047	17,03964	-1,31047	17,03964
800	-1,96583	17,03964	-3,27658	17,69499
820	-6,55343	19,0057	-6,55344	18,35034
840	-5,89806	18,35035	-5,89807	17,69498
860	-5,89806	18,35034	-5,89807	18,35034
880	-5,89806	17,69498	-5,89806	17,69497
900	-5,89806	17,69497	-5,89806	17,0396
920	-6,55341	17,03961	-6,55341	17,03959
940	-6,5534	17,0396	-6,5534	17,0396
960	-7,20875	16,38423	-7,20875	16,38423
980	-7,86411	16,38423	-7,20875	15,72886
1000	-7,86411	15,72886	-7,86411	15,0735
1020	-7,8641	15,0735	-8,51947	15,07349
1040	-8,51947	14,41813	-8,51947	14,41813
1060	-9,17483	13,76277	-9,17483	13,1074
1080	-9,17483	13,76276	-9,83019	13,1074
1100	-9,83019	13,1074	-9,83019	12,45203
1120	-10,48555	12,45203	-9,8302	11,79666
1140	-7,86408	10,48594	-1,31034	10,48594
1160	5,89874	11,1413	5,89876	11,1413
1180	4,58803	11,1413	5,24339	11,1413
