T	LX	LY	RX	RY
0	0	0	0	0
20	-1,0000000003174E-5	-0,65537	0,65536	-0,65537
40	-1,0000000003174E-5	-0,65537	0,65536	-1,31073
60	0,65535	-1,31072	0,65537	-1,96609
80	0	-1,31072	0,65537	-1,96609
100	0	-1,31071	0,65538	-1,31072
120	0,65537	-1,31072	0,65539	-1,31072
140	0,65537	-1,31072	1,31075	-1,31073
160	0,65537	-1,31072	1,31074	-1,96609
180	1,31073	-1,31072	1,9661	-1,96608
200	1,31073	-1,96607	2,62146	-2,62145
220	2,62144	-1,96608	2,62145	-2,62144
240	2,62143	-1,96607	3,27681	-2,62144
260	2,62143	-2,62143	2,62144	-2,62143
280	2,62143	-1,96607	3,2768	-2,62143
300	2,62142	-1,96607	3,2768	-1,96607
320	3,27678	-2,62143	3,93215	-2,62144
340	3,93124	-2,62143	4,58751	-2,62144
360	4,58749	-3,2768	5,24286	-2,62144
380	5,24285	-2,62144	5,24286	-2,62144
400	5,24284	-2,62143	5,24286	-2,62144
420	5,89821	-2,62144	6,55358	-2,62144
440	5,24284	-2,62143	-6,55371	-0,65529
460	-12,45203	7,0000000000903E-5	-11,14131	-1,31065
480	-9,17522	-0,6553	-9,17522	-0,65531
500	-8,51988	-0,65531	-8,51986	-1,31067
520	-8,51988	-1,31067	-8,51986	-1,31067
540	-7,86452	-1,31066	-8,51986	-0,6553
560	-7,86451	-1,31066	-7,20914	-0,65531
580	-7,86452	-1,31066	-7,20914	-0,6553
600	-7,86451	-1,31066	-7,20914	-1,31066
620	-7,20916	-0,6553	-7,20914	-0,6553
640	-7,86451	-0,6553	-7,20914	-0,6553
660	-7,86452	-0,6553	-7,20915	-0,6553
680	-7,86452	-0,65529	-7,20915	-0,65531
700	-7,86452	-0,6553	-7,20915	-1,31067
720	-7,20917	-0,6553	-6,55379	-0,65531
740	-7,20917	-1,31067	-6,55379	-1,31067
760	-6,5538	-0,65531	-5,89844	-1,31068
780	-5,89845	-0,65532	-5,89844	-1,31068
800	-5,24309	-1,31068	-5,24308	-1,31069
820	-5,24309	-1,31068	-4,58772	-1,96606
840	-5,2431	-1,31069	-4,58772	-1,96606
860	-5,2431	-1,96605	-4,58773	-2,62142
880	-5,24311	-1,96606	-4,58773	-2,62143
900	-5,2431	-1,96606	-5,24309	-2,62143
