T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65535999999999	0,65536	-0,65536
40	0,65535000000001	-1,31072	0,65536	-0,65536
60	1,31072	-1,31072	1,31071	-1,31072
80	1,31072	-1,96608	1,96608	-1,31072
100	1,31072	-1,96607	1,96609	-1,96608
120	1,96608	-1,96608	1,96608	-1,31072
140	1,96608	-2,62143	1,96607	-1,31071
160	1,96606	-1,96607	1,96606	-1,96607
180	2,62141	-1,96607	2,62141	-1,31071
200	2,6214	-1,96607	2,62141	-1,31071
220	3,27677	-1,96607	2,62141	-1,31071
240	2,6214	-1,96607	2,6214	-1,31071
260	2,62139	-1,31071	2,6214	-0,65535000000001
280	2,62139	-1,3107	3,27676	1,9999999999243E-5
300	3,27675	-0,65534	3,27676	1,9999999999243E-5
320	3,27674	-0,65534	3,27674	1,9999999999243E-5
340	3,27674	-0,65534	3,27674	1,9999999999243E-5
360	3,27674	1,9999999999243E-5	2,62138	1,9999999999243E-5
380	3,27674	1,9999999999243E-5	5,24285	0,65537999999999
400	5,24285	3,0000000002417E-5	5,24285	0,65539
420	5,24284	3,0000000002417E-5	5,24285	1,31075
440	5,24284	0,65539	5,24284	1,31075
460	4,58748	0,65539	5,24284	0,65539
480	4,58748	0,65539	5,24284	1,31075
500	4,58748	0,65539	4,58749	1,96611
520	4,58748	1,31076	4,58749	1,96611
540	4,58748	1,31075	4,58749	1,96611
560	4,58748	1,31075	4,58748	1,96611
580	4,58748	1,31075	3,93213	1,31075
600	4,58748	1,31075	3,93213	1,96611
620	3,93212	0,65539	3,93213	1,96611
640	3,93212	0,65539	3,93213	1,96612
660	3,93212	1,31076	3,93213	1,96676
680	3,93212	1,96612	3,93213	2,62147
700	3,93212	2,62148	3,27677	3,27684
720	3,93212	3,27684	3,27676	3,9322
740	3,27675	4,58757	3,27675	5,89829
760	3,9321	5,8983	3,9321	8,51975
780	4,58744	10,48584	9,83041	14,41803
800	11,14115	16,38413	10,48577	20,97166
820	9,17502	23,59313	8,51966	26,86994
840	7,20892	28,83604	7,20891	31,4575
860	6,55354	32,11288	5,89818	34,07896
880	5,24281	34,07898	5,24281	34,07898
900	4,58745	33,42362	4,58746	34,73434
920	3,9321	33,42362	3,9321	34,07898
940	7,86433	32,76826	12,45198	30,80217
960	11,79663	29,49145	11,14126	30,80217
980	11,14127	29,49145	10,48591	29,49145
1000	10,48592	28,83609	10,48593	28,83609
1020	10,48593	28,18072	10,48593	28,18072
1040	11,14128	27,52536	11,79664	28,18072
1060	11,79663	27,52536	11,79664	28,18072
1080	12,45199	27,52536	11,79664	28,18072
1100	11,79663	27,52536	12,45199	27,52536
1120	12,45199	26,21464	11,79664	26,87
1140	11,14127	26,21464	11,79664	26,21464
1160	16,38421	25,55928	22,93798	25,55929
1180	23,59335	24,90394	22,28261	25,5593
1200	22,2826	24,90394	22,28261	25,5593
1220	22,28259	24,90394	22,93796	25,55931
1240	22,93795	25,55931	22,93795	26,87003
1260	22,28258	26,21467	22,93794	28,18076
1280	22,28257	28,83613	22,28256	30,80222
1300	21,62719	31,45759	21,62719	33,42368
1320	21,62718	34,07905	28,18086	36,04514
1340	33,42385	36,04516	33,42385	37,35589
1360	32,1131	37,3559	32,1131	38,01126
1380	32,11309	37,3559	32,11309	37,3559
1400	31,45773	36,04517	31,45774	36,04517
1420	31,45774	35,38981	30,80238	34,73445
1440	31,45774	34,07908	30,80239	34,73444
1460	30,80239	33,42372	30,8024	33,42372
1480	30,8024	32,76836	30,80241	32,76835
1500	30,8024	32,113	30,14704	33,42371
1520	30,8024	32,113	30,14705	32,76835
1540	30,14704	32,11299	30,80241	32,76835
1560	38,66684	32,113	45,87596	31,45765
1580	45,87595	30,80229	44,56521	32,11301
1600	45,22056	31,45765	44,56521	31,45764
1620	43,90985	30,80229	44,56522	31,45764
1640	43,90986	30,14693	43,90987	30,80228
1660	44,56523	29,49156	43,90987	30,14691
1680	43,90988	29,49155	43,90988	29,49155
1700	43,90988	28,18083	43,90989	28,18081
1720	43,25453	26,87009	43,25454	26,87009
1740	43,9099	25,55936	43,25455	25,55936
1760	43,25455	24,24863	43,25456	24,90399
1780	43,25456	23,59326	43,25458	23,59326
1800	43,25457	22,28254	43,90994	22,28253
1820	43,90993	20,97181	43,90994	21,62716
1840	44,56529	20,9718	44,56529	21,62716
1860	44,56528	20,9718	45,22065	21,62716
1880	44,56527	20,9718	44,56528	22,28292
1900	44,56528	20,9718	45,22319	21,62716
1920	44,56528	20,9718	45,22065	20,97179
1940	45,22064	20,9718	45,22065	21,62716
1960	44,56528	20,9718	45,22065	21,62715
1980	47,84211	20,9718	49,80824	21,62716
2000	49,80824	20,97181	49,15287	22,28253
2020	49,15286	21,62717	49,15287	22,93789
2040	49,15286	22,28253	49,15287	22,93789
2060	49,15287	22,9379	49,15287	23,59325
2080	49,15287	22,9379	49,15287	23,59326
2100	49,15287	22,9379	49,15288	23,59325
2120	49,15288	22,9379	49,15288	23,59325
2140	47,84216	22,28253	48,49752	22,9379
2160	47,84215	22,93789	47,84216	23,59325
2180	48,49752	22,28253	47,84217	22,93789
2200	47,84216	22,93789	47,84217	22,93789
2220	47,1868	22,28253	47,18681	22,93789
2240	47,84216	22,28253	49,1529	23,59325
2260	51,11903	22,28254	51,11904	22,9379
2280	51,11903	22,28254	51,11903	23,59326
2300	51,11903	23,59326	51,11903	23,59326
2320	50,46367	22,9379	51,11903	24,24863
2340	50,46366	23,59327	50,46368	24,24863
2360	50,46367	23,59327	51,11904	24,24863
2380	50,46367	22,9379	50,46369	23,59327
2400	53,74051	23,59327	62,26037	24,90401
2420	63,57111	23,5933	62,91573	24,90401
2440	62,26037	23,5933	62,91574	24,24865
2460	62,26036	23,5933	62,91573	24,24866
2480	62,26037	23,59329	62,26037	24,24865
2500	62,26037	23,5933	62,26037	23,5933
2520	62,26036	22,93793	61,60502	23,59329
2540	61,60501	22,93793	61,60502	22,93793
2560	61,60501	22,28257	62,26038	22,93792
2580	62,26036	22,28256	62,91572	23,59328
2600	62,91572	22,28256	62,91572	22,93792
2620	63,57107	22,93792	63,57108	23,59328
2640	63,57107	22,28256	63,57107	22,93792
2660	62,91571	22,28256	62,91572	22,28256
2680	62,91571	22,28256	62,91572	22,93792
2700	62,91571	22,28256	62,91572	22,93791
2720	62,91571	22,28255	62,91572	22,93791
2740	62,91571	22,28256	63,57108	22,93791
2760	62,26035	22,93792	63,57108	22,93792
2780	68,15867	22,93792	69,46942	22,93792
2800	68,81404	22,93793	68,81404	22,93793
2820	68,15868	22,28257	68,15868	22,93793
2840	68,15867	22,28257	68,15868	22,93793
2860	68,15868	22,28257	68,15868	23,59329
2880	68,15867	22,28257	67,50332	23,59329
2900	68,15868	22,28256	68,15868	22,93792
2920	68,15868	22,28256	68,15868	22,28256
2940	68,15867	22,28257	68,15868	22,28256
2960	67,50332	22,28256	68,15869	22,93792
2980	67,50331	22,28256	67,50332	22,93792
3000	68,15867	22,28256	68,15868	22,93792
3020	67,50331	22,93793	68,15868	22,93792
3040	68,15868	22,28256	68,15868	22,93792
3060	68,15867	22,28256	67,50332	22,93792
3080	67,50332	22,28257	68,15868	22,93792
3100	68,15868	22,28256	68,15869	22,93792
3120	68,15868	22,28256	67,50333	22,93792
3140	67,50332	22,28256	66,84797	22,93792
3160	67,50332	22,93792	67,50333	23,59328
3180	66,84797	22,93792	66,84798	23,59328
3200	66,19258	22,93793	64,22648	24,24865
3220	64,22648	23,59329	64,88184	24,90401
3240	64,88184	24,90402	64,22649	24,90402
3260	64,88184	24,24866	64,22649	25,55937
3280	64,22648	24,90402	64,22649	25,55938
3300	64,22649	24,90401	64,2265	24,90401
3320	64,22649	24,24865	63,57114	24,90401
3340	62,91577	24,24865	63,57114	24,24865
3360	63,57113	24,24865	62,91578	23,59329
3380	63,57113	23,59329	64,88187	23,59329
3400	70,12485	22,93794	70,12486	22,93793
3420	70,12484	22,93794	70,12484	23,59329
3440	70,7802	22,93794	70,12484	22,93794
3460	70,12483	22,28258	70,12484	22,93793
3480	69,46948	22,28258	70,12484	22,93793
3500	70,12483	21,62721	70,78019	22,28257
3520	71,43554	20,97185	71,43554	22,28256
3540	72,09089	22,28256	72,09089	22,28256
3560	72,09088	22,28256	72,74624	22,28256
3580	72,74623	21,6272	72,74623	22,28255
3600	72,74623	20,97183	72,74622	21,62719
3620	72,74622	20,97183	75,36769	21,6272
3640	88,4751	20,97186	94,37346	20,97188
3660	92,40734	20,31651	91,75196	21,62724
3680	91,75196	20,97188	91,75196	21,62724
3700	91,75194	20,97188	91,75195	22,2826
3720	91,75194	20,97188	91,75194	21,62724
3740	91,75194	20,97188	91,75194	22,2826
3760	91,75194	21,62724	91,75194	21,62724
3780	91,09658	20,97188	91,75195	21,62723
3800	91,09657	20,97187	91,75194	20,97188
3820	91,75194	20,31651	91,75194	20,97187
3840	91,09657	20,31651	91,75194	20,97187
3860	91,75192	19,66115	91,75193	20,31651
3880	91,75193	19,66116	91,75193	20,31651
3900	91,75193	19,00579	91,75193	19,66115
3920	91,75193	18,35043	91,75449	19,00579
3940	91,75193	18,35043	91,09657	18,35043
3960	91,09657	18,35043	91,75193	18,35043
3980	91,75193	17,69507	91,09657	18,35043
4000	91,09657	17,69507	91,09657	18,35043
4020	91,75192	17,03971	91,09657	18,35043
4040	91,09656	17,69507	91,09657	17,69507
4060	91,09657	17,03971	91,75194	17,03971
4080	91,09657	16,38435	91,75194	17,0397
4100	91,75194	15,72898	91,75194	16,38434
4120	92,4073	15,72898	92,40731	15,72898
4140	92,4073	15,07362	92,4073	15,07362
4160	92,40729	13,7629	92,40729	13,7629
4180	92,40728	13,10754	92,40728	12,45217
4200	92,40728	11,79682	92,40728	11,79681
4220	92,40728	10,48609	92,40728	11,14145
4240	92,40728	10,48609	92,40729	10,48609
4260	92,40728	10,48609	92,40729	10,48609
4280	92,40728	9,83073	92,40729	10,48609
4300	92,40728	9,83073	92,40729	9,83073
4320	93,71802	9,17537	98,96098	9,83074
4340	98,30562	9,17539	97,65025	10,4861
4360	97,65025	9,83075	97,65026	10,48611
4380	97,65025	9,83075	97,65027	11,14147
4400	97,65026	10,48611	96,99491	11,79684
4420	97,65027	11,14147	96,99493	12,45219
4440	96,99492	11,14147	96,99492	11,79683
4460	97,65028	10,48611	96,99493	11,14147
4480	96,99491	10,48611	96,99492	11,79683
4500	96,33955	10,48611	89,78586	11,79683
4520	61,60494	13,10755	28,18108	19,00578
4540	5,24313	22,28258	-1,96592	24,24865
4560	0,65554	24,90401	1,3109	26,87009
4580	1,31087	27,52545	1,96622	28,83618
4600	2,62157	28,83618	3,27692	29,49154
4620	3,93224	28,83618	6,55368	30,80226
4640	7,86437	32,11298	10,48581	34,07904
4660	13,10723	35,38976	15,72866	37,35582
4680	18,35009	38,66653	20,97153	39,97723
4700	23,59295	40,63258	26,21439	41,28792
4720	28,83581	40,63255	31,45726	41,2879
4740	32,11259	40,63253	24,24812	41,28788
4760	23,59271	40,6325	26,21416	41,28786
4780	27,52487	40,6325	29,49094	41,28785
4800	30,14629	40,63249	31,45702	41,28784
4820	32,11236	40,63248	32,76772	41,28784
4840	33,42306	40,63248	33,42305	41,28785
4860	33,42304	40,6325	34,07838	41,28787
4880	35,38908	40,6325	37,35516	41,28784
4900	39,32123	40,63247	41,28732	41,2878
4920	43,2534	40,63243	44,56414	41,28777
4940	46,53021	40,6324	47,84095	38,66631
4960	47,84095	37,35559	47,84096	37,35558
4980	47,84096	35,3895	47,18561	35,3895
5000	45,8749	33,42342	43,90885	34,07878
5020	41,94277	32,76805	39,32135	33,42342
5040	37,35527	32,76806	34,07849	33,42343
5060	32,11242	34,0788	29,491	36,70025
5080	28,18028	36,70027	25,55885	38,66635
5100	23,59277	39,32172	21,6267	40,63245
5120	20,31598	40,63246	19,00528	41,28782
5140	17,69457	40,63246	16,38386	41,28781
5160	16,38385	40,63246	16,38387	41,28782
5180	15,72851	40,63246	15,07316	41,28783
5200	15,07316	40,63246	21,62687	41,28783
5220	28,18062	40,63248	30,14676	41,28784
5240	29,49138	40,63248	28,83602	41,28784
5260	28,18065	39,97712	28,18067	40,63248
5280	26,86993	39,32177	26,21459	39,97713
5300	25,55923	38,66641	25,55922	38,66641
5320	24,90386	37,35569	24,90387	38,01105
5340	24,90386	37,35569	24,24851	37,35569
5360	24,2485	36,70033	24,24851	37,35568
5380	23,59314	35,38961	23,59315	36,04497
5400	22,93778	34,73425	22,93779	34,73425
5420	22,28243	33,42353	22,28243	33,42353
5440	22,28242	32,11281	21,62706	32,76817
5460	20,9717	30,80209	20,31634	30,80209
5480	19,66097	29,49137	19,00562	29,49137
5500	19,00561	28,83601	19,00561	28,83601
5520	17,69488	27,52529	17,69488	27,52528
5540	17,69488	26,86992	17,69488	26,86992
5560	17,03951	24,90384	17,03952	25,5592
5580	17,0395	24,24848	17,03951	24,90384
5600	16,38415	23,59312	17,03951	23,59311
5620	17,0395	22,93775	16,38414	24,24848
5640	17,0395	22,93775	17,0395	24,24848
5660	16,38414	22,93776	17,03951	24,24847
5680	17,0395	23,59312	17,03951	24,24848
5700	17,69487	23,59311	17,69487	24,24847
5720	17,69487	23,59311	17,69487	24,90383
5740	17,69487	24,24847	17,03951	24,24847
5760	17,0395	23,59311	17,03951	23,59311
5780	17,0395	22,93774	17,0395	23,59311
5800	17,69485	22,93775	17,03951	22,93775
5820	17,69486	22,28238	17,03951	22,93774
5840	17,69486	22,28238	17,69487	22,93774
5860	17,03951	22,28237	17,69487	22,93773
5880	17,69486	22,28237	17,69487	22,93773
5900	17,69486	22,28237	17,69487	22,93773
5920	17,03951	22,28238	18,35024	22,28237
5940	27,52543	22,28238	32,76844	21,62703
5960	32,76844	20,97167	32,11307	20,97166
5980	32,11307	20,3163	32,11307	20,3163
6000	32,11307	20,3163	32,11307	20,3163
6020	32,11306	19,66094	32,11307	20,3163
6040	32,11305	19,66094	32,11305	20,3163
6060	32,11304	20,3163	32,76841	20,3163
6080	32,11304	19,66094	32,11305	20,3163
6100	32,11303	19,00558	31,45768	19,66094
6120	31,45767	18,35022	31,45768	19,00558
6140	31,45768	17,69486	31,45768	19,00558
6160	31,45767	18,35022	31,45768	19,00558
6180	31,45767	18,35022	31,45768	18,35022
6200	31,45767	17,69486	30,80232	19,00558
6220	30,80231	17,69486	30,14695	19,00558
6240	32,11304	17,69486	39,97749	19,00559
6260	41,94362	17,03952	41,28826	18,35024
6280	41,28824	17,69488	41,29079	18,35024
6300	-59,6372	17,69488	40,63289	18,35024
6320	40,63288	17,69488	41,28824	17,69488
6340	40,63288	17,03952	40,63288	17,69488
6360	40,63288	17,03952	40,63288	17,69488
6380	39,97752	17,03951	39,97752	17,69488
6400	39,97751	17,03952	39,97752	17,69487
6420	40,63289	17,03952	46,53123	17,69488
6440	49,15271	16,38417	49,15272	17,69489
6460	48,49735	17,03953	49,15271	17,6949
6480	48,49734	17,6949	47,84199	18,35026
6500	47,84198	17,6949	47,84199	18,35026
6520	47,84198	18,35026	47,18662	19,00562
6540	47,18662	18,35027	46,53127	18,35026
6560	46,53126	18,35027	46,53127	19,00563
6580	45,8759	18,35027	45,87591	19,00563
6600	45,22054	18,35027	45,22055	19,00562
6620	45,22054	18,35027	45,22055	19,00563
6640	45,22055	18,35027	45,87591	19,66098
6660	47,84198	20,31635	49,15271	21,62706
6680	49,80806	21,62706	53,08489	22,93778
6700	57,01712	22,28243	58,32785	23,59314
6720	58,32783	23,59315	58,9832	24,24851
6740	59,63855	24,24851	59,63856	25,55923
6760	59,63855	24,90387	60,94928	26,21459
6780	62,25999	26,21459	62,91535	27,52531
6800	64,88141	27,52532	66,19213	28,18068
6820	68,1582	28,18068	70,77964	29,4914
6840	73,40106	28,83604	75,36715	30,14676
6860	77,98857	30,14676	79,95465	31,45747
6880	82,57608	31,45748	84,54216	32,11283
6900	86,50822	31,45747	88,47431	32,11283
6920	90,44038	31,45747	100,92627	32,7682
6940	112,06758	32,11287	117,9659	31,45751
6960	117,96587	31,4575	118,62123	31,4575
6980	118,62123	30,80214	119,27658	31,4575
7000	119,27657	30,80214	117,3105	31,4575
7020	115,99978	30,14677	113,37835	30,80213
7040	109,44619	29,49141	106,82476	28,83605
7060	102,23725	26,86998	97,64974	26,86998
7080	93,71759	24,9039	90,4408	24,24853
7100	87,81936	22,93781	86,50866	22,9378
7120	85,19793	22,28245	83,88722	22,9378
7140	83,23187	22,28245	82,57651	22,28245
7160	81,92115	21,62709	81,2658	22,28244
7180	81,2658	20,97172	80,61045	21,62708
7200	79,95508	20,97172	79,29973	20,97172
7220	79,95508	20,97172	80,61044	21,62708
7240	79,95507	20,31636	80,61044	21,62708
7260	79,95506	20,31636	79,95507	20,97172
7280	79,2997	20,31636	79,29971	20,31636
7300	83,23192	19,661	91,75178	19,00566
7320	95,02865	18,35031	93,06255	18,35031
7340	93,06254	17,03958	93,06254	17,69495
7360	92,40718	15,72887	91,75182	17,03959
7380	91,75182	15,72887	91,09646	16,38423
7400	91,09645	15,07352	90,4411	15,72887
7420	90,44109	15,07352	90,44109	15,72888
7440	89,78572	14,41816	89,78573	15,07352
7460	89,78573	14,41816	89,13037	14,41816
7480	89,13037	13,7628	88,47501	13,7628
7500	87,81965	13,10744	88,47501	13,7628
7520	87,81964	13,10744	87,16429	13,7628
7540	87,16429	12,45208	86,50893	13,10744
7560	85,85356	13,10745	85,19822	13,10745
7580	85,19821	12,45209	85,19821	13,10745
7600	84,54285	11,79674	84,54285	12,45209
7620	84,54285	11,79674	84,54285	11,79673
