T	LX	LY	RX	RY
0	0	0	0	0
20	0,65535999999999	0	-9,9999999960687E-6	0
40	-1,0000000003174E-5	0	-0,65537	-0,65537
60	0,65535999999999	0	0	-0,65537
80	-1,0000000003174E-5	0	-9,9999999960687E-6	-0,65536
100	0	0	0	-0,65537
120	0	0,65536	0	0
140	0,65535999999999	0,65536	0	0
160	0,65535	0,65537	-0,65535999999999	0
180	1,31072	1,31073	1,96611	1,31073
200	2,62148	1,9661	1,31076	1,9661
220	1,96612	3,27683	1,31075	2,62146
240	1,96611	2,62146	1,31075	1,9661
260	2,62148	2,62146	1,31076	1,9661
280	1,96612	2,62146	1,31076	1,9661
300	1,96612	3,27682	1,31076	2,62145
320	1,96612	2,62146	1,31076	1,96609
340	1,31076	1,96609	0,6554	1,31073
360	1,31077	1,31073	1,31077	0,65536
380	1,31077	1,31073	0,65541	1,31072
400	1,96613	1,31072	0,65541	1,31072
420	1,31077	1,31072	0,65541	0,65536
440	1,31077	0,65536	0,65541	0,65535
460	1,31078	0,65536	6,0000000004834E-5	0,65536
480	0,65542	0,65536	6,0000000004834E-5	-1,0000000003174E-5
500	0,65542	0	6,0000000004834E-5	-1,9999999999243E-5
520	0,65542	-1,0000000003174E-5	-0,6553	-0,65537
540	5,9999999997729E-5	-1,0000000003174E-5	-0,6553	-0,65537
560	7,0000000000903E-5	-0,65537	7,0000000000903E-5	-1,31073
580	0,65544	-0,65537	-0,65528999999999	-0,65537
600	7,9999999996971E-5	-0,65536	-0,65528	-0,65537
620	7,9999999996971E-5	0	-0,65528	-0,65536
640	9,0000000000146E-5	0	-0,65526999999999	-0,65536
660	-0,65526000000001	0	-1,31063	-0,65536
680	-1,31063	-0,65536	-1,96598	-1,31072
700	-1,31062	-0,65536	-1,96598	-1,31072
720	-1,31062	-0,65535	-1,31062	-1,31072
740	-0,65526000000001	-1,31072	-1,31062	-1,31073
760	-0,65527	-1,31073	-0,65528	-1,31073
780	7,9999999996971E-5	-0,65537	-0,65528999999999	-1,31073
800	7,0000000000903E-5	-0,65537	-0,65528999999999	-1,31074
820	7,0000000000903E-5	-0,65537	-0,6553	-1,31074
840	7,0000000000903E-5	-1,31074	-0,65528999999999	-1,31074
860	7,0000000000903E-5	-1,9661	7,0000000000903E-5	-1,96611
880	7,0000000000903E-5	-1,31074	-0,6553	-2,62147
900	5,9999999997729E-5	-2,62147	13,1074	-3,93221
920	23,59335	-3,93221	20,97191	-3,27686
940	20,97188	-1,31076	20,97189	-1,31077
960	21,62725	-1,31076	20,97188	-1,31077
980	21,62724	-1,31077	20,97188	-1,31077
1000	21,62724	-0,6554	20,97188	-1,31077
1020	21,62724	-0,65541	20,97188	-1,31077
1040	21,62724	-0,65541	20,97188	-1,31077
1060	21,62724	-0,65541	20,97187	-0,65542
1080	22,2826	-0,65542	21,62724	-0,65542
1100	21,62724	-5,000000000166E-5	20,97187	-0,65542
1120	22,28259	-5,000000000166E-5	21,62723	-0,65542
1140	21,62724	-0,65542	21,62724	-1,96615
1160	22,2826	-1,31078	21,62724	-1,96615
1180	21,62724	-1,96615	21,62724	-2,62152
1200	22,2826	-2,62153	20,97188	-3,2769
1220	21,62725	-3,27689	20,97188	-3,93227
1240	21,62725	-3,93226	20,97444	-4,58763
1260	21,62725	-4,58763	20,97189	-5,24299
1280	21,62725	-5,24299	20,97189	-6,55372
1300	21,62725	-6,55372	20,97189	-7,20908
1320	21,62726	-7,20908	20,9719	-7,86445
1340	21,62726	-7,20909	21,62726	-7,86446
1360	22,28262	-7,86445	21,62727	-8,51982
1380	21,62727	-7,86446	20,97191	-9,17518
1400	21,62728	-8,51982	21,62728	-9,83054
1420	21,62728	-9,17518	21,62728	-9,83054
1440	21,62728	-9,83054	21,62729	-11,14127
1460	22,28265	-10,48591	21,62729	-11,14127
1480	22,28265	-10,48591	21,6273	-11,79664
1500	22,28266	-11,79664	21,6273	-12,452
1520	22,28266	-12,452	21,6273	-13,10737
1540	22,28267	-13,10738	21,62731	-13,76274
1560	22,28268	-13,76274	21,62732	-15,07347
1580	22,28268	-15,07346	21,62732	-16,3842
1600	21,62733	-16,3842	22,28269	-17,69492
1620	22,93805	-17,69492	22,28269	-17,69493
1640	23,5934	-17,69493	23,5934	-18,3503
1660	24,90411	-18,3503	24,24874	-19,00566
