T	LX	LY	RX	RY
0	0	0	0	0
20	0,65538000000001	0,65537	2,0000000006348E-5	1,31073
40	3,0000000009522E-5	1,31073	-0,65532999999999	1,31073
60	5,000000000166E-5	1,9661	-0,65532999999999	1,31073
80	-0,65530999999999	1,96611	-1,31068	2,62147
100	-0,65530999999999	2,62147	-1,96603	2,62148
120	-1,96602	1,96613	-2,61884	1,96612
140	-1,96602	1,96613	-2,62138	1,96613
160	-1,96601	1,96613	-3,27675	2,62149
180	-1,96601	1,96613	-2,62138	1,96613
200	-1,966	1,96613	-2,62138	1,31077
220	-1,31066	1,96614	-1,31067	1,31078
240	-0,6553	1,31078	3,9999999998486E-5	1,31078
260	0,6554	1,31078	2,9999999995312E-5	1,31078
280	1,31076	1,31078	0,65538000000001	1,31078
300	0,6554	1,96615	0,65539	1,31078
320	0,6554	1,31078	-0,65532999999999	1,31078
340	4,0000000012697E-5	1,31078	2,9999999995312E-5	0,65543
360	-0,65530999999999	0,65542	-0,65532	6,0000000004834E-5
380	-0,65530999999999	0,65542	-1,31067	0,65542
400	5,000000000166E-5	6,0000000004834E-5	-1,31067	6,0000000004834E-5
420	-0,65528999999999	6,0000000004834E-5	-1,31066	6,0000000004834E-5
440	-0,65527999999999	6,0000000004834E-5	-1,31065	6,0000000004834E-5
460	-0,65527999999999	0,65542	-1,31065	6,0000000004834E-5
480	-0,65526999999999	0,65543	-1,31063	6,0000000004834E-5
500	-0,65526	0,65542	-0,65528	0,65542
520	-0,65526	0,65542	-0,65527	6,0000000004834E-5
540	0,00010000000000332	6,0000000004834E-5	-65,53591	6,0000000004834E-5
560	0,00012000000000967	0,65542	-1,31061	5,000000000166E-5
580	-0,65522999999999	6,0000000004834E-5	-1,3106	-0,6553
600	-0,65522	-0,6553	-1,31059	-0,65531
620	-1,31057	-0,6553	-1,31057	-0,6553
640	-1,31055	-0,6553	-7,20882	-1,31063
660	-10,48561	-1,96597	-9,83025	-1,96599
680	-9,17488	-1,31063	-9,83025	-1,31063
700	-9,83023	-1,31062	-10,48559	-1,31062
720	-10,48558	-1,31062	-10,48558	-1,96598
740	-10,48556	-1,31061	-10,48558	-1,96597
760	-9,83021	-1,96596	-9,83022	-2,62132
780	-9,17486	-2,62132	-9,83022	-3,27668
800	-9,17485	-2,62131	-9,83022	-3,27667
