T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	-0,65535999999999	-1,0000000003174E-5
40	-0,65535999999999	-0,65536	-0,65535999999999	-1,0000000003174E-5
60	-0,65535	-0,65536	-0,65535	-1,0000000003174E-5
80	-0,65535	-0,65536	-0,65535	-1,0000000003174E-5
100	-0,65535	-0,65537	-0,65535	-1,0000000003174E-5
120	-0,65534	0	-0,65534	-1,0000000003174E-5
140	-1,3107	-0,65536	-1,31071	-1,0000000003174E-5
160	-1,3107	0	-1,3107	-1,0000000003174E-5
180	-1,3107	-0,65537	-1,3107	-1,0000000003174E-5
200	-1,3107	-0,65537	-0,65534	-1,0000000003174E-5
220	-1,3107	-0,65537	-1,3107	0
240	-1,3107	-1,0000000003174E-5	-1,3107	-1,0000000003174E-5
260	-1,31069	-1,0000000003174E-5	-1,31069	-1,0000000003174E-5
280	-1,31069	0	-1,31069	-1,0000000003174E-5
300	-1,31069	-0,65536	-1,96605	-1,0000000003174E-5
320	-1,96604	-0,65537	-1,96605	-1,0000000003174E-5
340	-1,31068	-1,0000000003174E-5	-1,96604	0,65535
360	-1,96604	-1,0000000003174E-5	-1,96604	-1,0000000003174E-5
380	-1,31068	-0,65536	-1,31068	0,65535
400	-1,31068	-1,0000000003174E-5	-1,96604	-1,9999999999243E-5
420	-1,96604	-1,0000000003174E-5	-1,96604	-1,9999999999243E-5
440	-1,96604	-1,0000000003174E-5	-1,96604	-1,0000000003174E-5
460	-1,96604	-1,0000000003174E-5	-1,96604	-1,0000000003174E-5
480	-1,96604	-0,65537	-2,6214	-1,9999999999243E-5
500	-1,96604	-1,0000000003174E-5	-1,96604	-1,9999999999243E-5
520	-1,96605	-0,65537	-1,96606	-0,65538
540	-1,3107	-1,31074	-0,65534	-1,31075
560	-0,65534	-1,31075	-0,65535	-0,65539
580	1,0000000003174E-5	-1,31075	-0,65535	-0,6554
600	-0,65534	-1,31075	-1,31071	-0,65539
620	-0,65535	-1,31075	-1,31071	-0,65539
640	-1,31071	-1,31074	-1,31071	-0,65539
660	-1,3107	-1,31075	-1,96606	-0,65539
680	-1,96606	-1,31075	-1,96605	-0,6554
700	3,9323	-1,31076	8,51992	-1,31076
720	7,86457	-0,6554	7,2092	1,31069
740	7,2092	1,3107	6,55384	2,62142
760	6,55384	2,62143	6,55383	3,27678
780	6,55384	2,62142	6,55385	2,62142
800	5,8985	1,96607	5,8985	1,96605
820	6,55387	1,3107	5,89851	1,31069
840	5,89851	0,65534	5,89851	1,31069
860	5,89851	-2,0000000006348E-5	-41,94276	-3,0000000002417E-5
880	5,24316	-0,65538	5,24315	-0,65539
