T	LX	LY	RX	RY
0	0	0	0	0
20	1,0000000003174E-5	9,9999999960687E-6	0	0
40	1,0000000003174E-5	0	0	0
60	0	0	-1,0000000003174E-5	-0,65537
80	0	-0,65536	-1,9999999999243E-5	-0,65537
100	-9,9999999960687E-6	0	0,65534	0
120	0,65535000000001	0	0,65533	-1,0000000003174E-5
140	0,65535000000001	0	4,58755	0
160	5,89831	0,65537999999999	5,89829	0,65539
180	5,24294	1,31075	5,24292	0,65537999999999
200	5,8983	0,65539	5,89829	0,65537999999999
220	5,24294	0,65541	5,89829	9,9999999960687E-6
240	5,24294	9,9999999960687E-6	5,8983	9,9999999960687E-6
260	5,24294	-0,65535000000001	5,24293	-0,65535000000001
280	5,24295	-0,65535000000001	5,24293	-0,65535000000001
300	5,24295	-0,65536	5,24295	-0,65536
320	5,24296	-0,65536	5,89831	-0,65536
340	5,89832	-0,65536	5,89831	-0,65537
360	5,89832	-0,65536	5,24295	-0,65536
380	5,89833	-0,65536	5,89831	-0,65537
400	5,24297	-0,65536	5,89831	-0,65537
420	5,89833	-1,0000000003174E-5	5,89832	-0,65537
440	5,89833	-1,0000000003174E-5	5,89832	-0,65537
460	5,89833	-1,0000000003174E-5	6,55368	0
480	6,55369	0,65535999999999	6,55368	0
500	6,55369	0,65535999999999	7,20903	0
520	6,55368	0,65535999999999	7,20903	0,65535999999999
540	6,55368	0,65537	7,20903	0,65535999999999
560	7,20904	1,31073	7,20903	1,31073
580	7,8644	1,31074	7,86439	1,31074
600	7,8644	1,9661	7,86439	1,9661
620	8,51976	2,62147	8,51975	2,62147
640	8,51976	2,62147	8,51974	2,62147
660	9,17511	2,62148	9,1751	2,62147
680	9,17511	2,62148	9,17509	2,62147
700	10,48583	3,27684	19,661	3,27685
720	26,21473	3,93222	25,55936	3,93222
740	24,90399	4,58758	24,90397	3,93222
760	24,90399	4,58758	24,90397	3,93222
780	24,90398	4,58759	24,90397	4,58758
800	25,55935	4,58758	25,55933	4,58758
820	25,55934	4,58758	25,55933	4,58758
840	26,2147	5,24294	26,21469	5,24294
860	26,2147	4,58758	26,21469	4,58757
880	26,2147	5,24293	26,87005	5,24293
900	26,87007	5,24294	26,21469	4,58757
920	26,21726	4,58757	26,87006	4,58756
940	26,87008	4,58757	26,87006	4,58756
960	26,87008	5,24292	26,87007	4,58756
980	26,87008	4,58756	26,87006	4,58755
1000	26,87007	5,24292	26,21471	4,58756
1020	26,87007	5,24292	26,87007	4,58755
1040	26,87008	5,24291	26,87007	4,58755
1060	26,87009	5,24291	31,45767	4,58755
1080	34,07918	4,58755	33,4238	4,58755
1100	32,76845	5,24291	33,42379	5,24291
1120	33,4238	5,24291	33,4238	5,2429
1140	33,4238	5,24291	33,42379	5,2429
1160	32,76845	5,24291	32,76843	5,2429
1180	32,76845	5,2429	32,76844	4,58754
1200	32,1131	5,24291	32,11309	5,24291
1220	31,45775	4,58755	31,45774	5,24291
1240	31,45776	5,24291	30,8024	5,24291
1260	31,45777	5,89828	31,45776	5,24291
1280	32,11314	5,89827	38,66682	7,20901
1300	51,1189	8,51975	55,70651	8,51976
1320	55,05115	8,51977	54,39576	8,51976
1340	55,05112	8,51976	55,05111	7,86439
1360	55,70647	7,86439	56,36182	7,86438
1380	56,36182	7,20902	56,36181	7,20902
1400	56,36182	7,20903	57,01717	7,20902
1420	57,01718	7,20903	57,01717	7,20902
1440	56,36182	7,20902	57,67252	7,20901
1460	57,01718	7,20902	57,67252	7,20902
