T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	0,65536	0,65535000000001	0,65535999999999
40	1,31071	1,31072	1,31071	1,31072
60	1,96607	1,31072	1,96607	1,31071
80	5,89827	1,3107	9,17512	1,3107
100	9,17512	1,96606	9,17511	2,62143
120	9,17511	3,27679	9,1751	3,2768
140	9,17511	3,93216	9,17511	3,2768
160	9,83047	3,27681	9,17512	3,27681
180	9,83048	3,93217	9,17512	3,93217
200	9,83048	3,93216	9,17512	3,27681
220	9,83048	3,93216	9,17512	3,27681
240	9,17512	3,2768	9,17512	2,62144
260	9,17512	2,62143	8,51976	-3,0000000002417E-5
280	7,86441	-3,27688	7,86442	-10,48592
300	7,20906	-21,62716	6,5537	-38,01132
320	3,93225	-53,74014	1,31083	-68,15823
340	0,00010999999999939	-78,64416	2,62158	-91,75151
360	8,51986	-100,27131	15,07349	-102,23739
380	19,661	-95,68369	19,661	-85,19779
400	20,97172	-74,05654	22,9378	-68,1582
420	23,59315	-62,25988	24,2485	-58,98304
440	24,90386	-55,70621	24,90386	-55,05083
460	25,55922	-52,42938	26,21458	-49,80791
480	26,21458	-49,15255	26,21458	-49,80791
500	26,21458	-49,80792	25,55923	-51,77402
520	24,90387	-54,39549	24,90386	-57,67232
540	24,90386	-58,98307	24,24851	-59,63842
560	23,59314	-60,94917	23,59313	-60,94916
580	24,2485	-58,3277	23,59314	-57,01696
600	23,59314	-54,3955	23,59314	-52,42939
620	24,2485	-50,4633	23,59315	-50,46328
640	24,24851	-49,80792	24,24851	-49,80791
660	24,24851	-48,49718	24,90388	-47,18644
680	25,55924	-45,8757	26,2146	-45,8757
700	26,21459	-43,90961	26,21459	-43,25423
720	26,86996	-41,28814	27,52533	-40,63276
740	27,52533	-39,9774	28,18069	-39,97739
760	28,18069	-39,32202	24,24849	-39,32201
780	22,93774	-38,01128	24,24846	-36,70054
800	25,55919	-34,73444	25,55919	-34,07906
820	25,55919	-32,76833	26,21455	-32,11296
840	26,86991	-30,80223	26,86991	-30,14685
860	27,52527	-29,49149	28,18063	-28,83612
880	28,18063	-27,52539	28,18063	-26,87002
900	28,836	-26,21465	28,836	-25,55928
920	29,49136	-25,55928	28,836	-25,55928
940	29,49136	-24,90392	28,836	-25,55928
960	29,49137	-25,55928	28,83601	-25,55928
980	28,83602	-24,90392	28,83602	-25,55928
1000	28,83602	-25,55928	29,49138	-25,55927
1020	29,49138	-24,24855	30,14673	-24,90391
1040	30,14673	-25,55928	30,14672	-26,87002
1060	30,14672	-29,49149	29,49135	-36,70052
1080	28,18065	-51,11862	24,9039	-74,05652
1100	24,24848	-102,23751	29,49112	-146,80273
1120	35,38911	-190,0571	30,1463	-214,9609
1140	20,97158	-203,16407	26,21462	-184,81378
1160	27,52546	-171,70646	32,11292	-170,3958
1180	43,25388	-174,32809	60,29289	-183,50335
1200	71,43379	-190,05697	84,54099	-186,77997
1220	78,64287	-173,01714	63,56967	-160,56508
1240	53,08644	-147,45762	45,21966	-133,69482
1260	38,0108	-117,96596	32,76795	-102,89251
1280	31,45724	-86,50836	32,76797	-74,0564
1300	34,0787	-64,88128	34,07872	-58,3276
1320	34,73408	-52,42931	35,38945	-49,15247
1340	36,04481	-45,22028	36,04481	-43,25417
1360	36,70017	-40,63272	36,70016	-38,01126
1380	37,35552	-36,70052	38,01088	-34,73442
1400	38,01087	-32,76833	38,01086	-32,11296
1420	38,01086	-30,14687	38,01086	-29,49149
1440	38,66622	-28,18076	38,01085	-27,5254
1460	38,6662	-26,87003	38,01084	-26,87004
1480	38,01084	-26,87005	37,35548	-27,52541
1500	43,90914	-25,55934	53,73972	-22,28251
1520	62,25954	-19,66106	64,22565	-18,35032
1540	64,22563	-15,72886	63,57026	-15,07348
1560	64,88099	-13,76275	64,88098	-13,76275
1580	64,88098	-13,76275	64,22561	-14,4181
1600	64,2256	-13,76274	64,88096	-13,76273
1620	64,22559	-13,10736	64,88095	-12,45199
1640	64,88095	-11,14126	64,88095	-10,48589
1660	64,88094	-9,83052	64,88093	-9,17515
1680	64,22557	-7,86443	64,22557	-7,86442
1700	63,57019	-7,20906	63,57019	-7,20906
1720	63,57018	-6,55369	62,91482	-6,55369
1740	62,91482	-5,24297	62,91482	-5,24296
1760	63,57018	-4,58759	61,60409	-4,5876
1780	57,67189	-3,93223	56,36114	-3,27687
1800	57,67187	-1,96613	57,67187	-1,31076
1820	58,32723	-0,6554	57,67188	-3,0000000002417E-5
1840	57,67188	0,65533	57,67188	-3,0000000002417E-5
1860	57,67188	0,65533	57,67188	1,3107
1880	58,32724	1,96606	58,32724	1,96606
1900	58,98259	2,62142	58,32723	1,96606
1920	58,98259	2,62142	58,98258	1,96606
1940	58,98258	2,62142	59,63794	1,96605
1960	62,91478	3,27677	66,84701	3,93213
1980	69,46848	4,58749	68,81311	4,5875
2000	69,46847	5,24287	68,81311	5,24286
2020	69,46847	5,89822	69,46847	5,89822
2040	69,46848	5,89821	69,46848	5,24285
2060	70,12384	5,24284	69,46848	5,24285
2080	69,46847	5,24285	69,46848	5,24285
2100	69,46848	5,24284	68,15775	4,58748
2120	61,60408	3,27675	58,9826	3,27674
2140	60,94869	4,58748	60,94869	4,58749
2160	60,9487	5,24284	60,9487	5,24284
2180	60,29334	5,8982	60,9487	5,24284
2200	60,9487	5,24284	60,9487	5,24284
2220	61,60406	5,8982	60,9487	5,24284
2240	61,60406	5,24284	62,25943	4,58748
2260	70,77921	6,55356	77,98831	7,20893
2280	79,95442	7,8643	79,9544	7,86431
2300	79,9544	8,51968	79,9544	7,86432
2320	81,26512	7,86433	81,26512	7,86433
2340	81,92047	8,51969	82,57582	7,86433
2360	83,23118	8,51969	83,88653	8,51969
2380	83,88653	9,17505	83,88653	8,51969
2400	84,54189	9,17505	84,54189	9,17505
2420	84,54189	9,83041	84,54189	9,83041
2440	84,54189	9,83041	85,19725	9,83041
2460	85,19725	9,83041	85,19725	9,83041
2480	85,19724	9,83041	84,54188	9,83041
2500	85,19724	9,83041	84,54188	9,83041
2520	85,19723	9,83041	84,54187	9,17504
2540	83,88651	9,17504	81,26503	9,17504
2560	78,64355	9,83042	78,64355	10,48578
2580	79,29892	11,14114	79,29892	11,14115
2600	79,29891	11,14114	79,29892	10,48579
2620	78,64356	11,14114	78,64355	10,48578
2640	78,64355	11,14114	78,64355	10,48578
2660	78,64355	11,14114	77,98819	10,48578
2680	78,64355	10,48578	77,98819	10,48579
2700	77,98819	11,14114	77,33283	9,83042
2720	77,33283	9,83041	77,33283	9,83041
2740	76,67747	10,48577	77,33283	9,83041
2760	76,67747	9,83041	76,02211	9,8304
2780	76,67747	9,8304	76,02211	9,8304
2800	76,02211	9,8304	75,36674	9,17503
2820	75,36674	9,83039	74,71138	9,83039
2840	74,71138	10,48575	74,05602	9,83039
2860	74,05602	10,48575	74,05602	9,83038
2880	73,40066	9,83038	77,33287	10,48574
2900	85,19736	12,45183	86,50815	12,45184
2920	86,50813	13,10721	85,85276	13,10721
2940	86,50812	13,10721	86,50812	13,76257
2960	86,50812	13,76257	87,16348	13,10721
2980	86,50812	14,41794	87,16348	13,76258
3000	87,16348	14,41794	86,50812	14,41795
3020	86,50812	14,41794	87,16348	14,41794
3040	87,16347	14,41795	87,16347	14,41795
3060	87,16346	15,0733	86,5081	14,41795
3080	87,16345	15,07331	87,16344	15,07331
3100	86,50808	15,07331	86,50808	15,0733
3120	87,16343	15,0733	86,50807	14,41794
3140	86,50807	14,41794	86,50807	14,41793
3160	87,16344	14,41793	90,44033	14,41791
3180	91,75108	14,41791	91,0957	15,07328
3200	91,75105	15,72865	91,75105	15,72865
3220	91,75105	15,72865	91,75105	15,72866
3240	91,75105	15,72866	91,75105	15,0733
3260	91,75105	15,72866	91,75105	15,72866
3280	91,75104	15,72866	91,09568	15,72866
3300	91,75104	15,72866	91,75105	16,38402
3320	91,09568	16,38402	91,75104	16,38402
3340	91,75104	17,03938	91,75104	17,03938
3360	91,75104	17,03939	91,75104	17,03939
3380	91,75104	17,03939	91,75104	17,03939
3400	91,75103	17,69475	91,75104	17,03939
3420	91,75104	17,69475	91,75104	17,69475
3440	92,4064	18,35011	92,4064	17,69475
3460	91,75104	18,35012	92,4064	17,69476
3480	92,4064	18,35012	92,4064	18,35012
3500	92,4064	18,35012	92,4064	17,69476
3520	92,4064	17,69476	93,06177	17,69476
3540	92,40641	18,35013	92,40641	17,69476
3560	92,40641	18,35012	92,40641	17,69477
3580	93,06177	18,35013	93,06177	17,69477
3600	93,06177	18,35013	93,06177	17,69477
3620	93,06177	18,35012	93,06177	18,35013
