T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	0
40	9,9999999960687E-6	0,65537	0,65537	0,65537
60	9,9999999960687E-6	0	1,31073	0,65535999999999
80	0,65536999999999	0	1,31073	0,65535999999999
100	0,65536999999999	0	1,96609	0
120	1,96609	-0,65537	2,62144	0
140	1,96608	-0,65537	3,2768	0
160	2,62143	-0,65537	3,27679	0
180	2,62143	-0,65536	3,27679	9,9999999960687E-6
200	2,62142	0	3,27678	9,9999999960687E-6
220	2,62142	-0,65536	3,93214	0
240	3,27678	-0,65535	3,27678	9,9999999960687E-6
260	2,62142	-0,65536	3,27678	9,9999999960687E-6
280	2,62142	-0,65536	3,27678	0
300	3,27678	-0,65536	3,27678	-0,65536
320	3,27678	-0,65536	3,27677	0
340	3,27677	-0,65535	3,93213	9,9999999960687E-6
360	3,27677	-0,65536	3,93212	0
380	3,27676	-0,65536	4,58748	0
400	3,93212	-0,65536	4,58748	-0,65535000000001
420	3,93212	-0,65536	4,58748	0
440	4,58748	-0,65536	5,24283	9,9999999960687E-6
460	4,58748	-0,65535	5,24283	9,9999999960687E-6
480	4,58747	9,9999999960687E-6	5,24283	9,9999999960687E-6
500	5,24283	9,9999999960687E-6	5,24282	9,9999999960687E-6
520	5,24282	9,9999999960687E-6	5,89818	0,65537
540	5,24282	9,9999999960687E-6	5,24282	0,65537
560	4,58746	9,9999999960687E-6	5,24282	0,65537
580	5,24282	0,65537	5,24282	0,65538
600	4,58746	9,9999999960687E-6	5,24282	0,65538
620	4,58747	0,65538	7,86429	1,96609
640	16,38412	4,58754	19,66101	5,89826
660	17,69492	5,2429	19,00562	5,24291
680	19,00562	5,2429	19,66098	5,2429
700	19,00562	5,2429	20,31634	5,2429
720	19,66098	4,58754	20,31634	4,58754
740	19,00562	4,58753	19,66098	4,58754
760	19,66098	3,93218	19,66098	3,93302
780	19,00563	3,27681	19,66099	3,93218
800	18,35282	3,27681	19,00563	3,27682
820	18,35028	3,27681	19,00563	3,27682
840	18,35028	3,27681	19,00563	3,27681
860	18,35027	2,62145	19,00563	2,62145
880	19,00563	2,62144	19,661	3,2768
900	19,00564	2,62144	19,661	2,62145
920	19,00564	2,62144	19,00564	3,2768
940	19,00564	2,62144	19,00564	2,62144
960	19,66101	2,62143	29,49153	6,5536
980	38,66673	8,51968	40,63289	9,17504
1000	39,32215	7,86432	40,63285	8,51969
1020	41,2882	7,86431	41,94356	7,20895
1040	41,2882	7,20895	41,94355	7,20895
1060	41,28819	6,55358	41,94355	6,55358
1080	41,94355	5,89823	42,59891	6,55358
1100	41,94355	5,89822	42,5989	5,89822
1120	42,5989	5,24285	43,25427	5,89821
1140	41,94354	5,89821	41,28819	5,89822
1160	39,97746	5,89821	41,28818	6,55358
1180	41,28817	5,89821	41,28817	5,89822
1200	40,63281	5,24285	41,28817	5,89822
1220	40,6328	5,24285	41,28817	5,89822
1240	40,6328	5,24285	41,28817	5,24285
1260	49,80796	8,51965	64,88149	13,76255
1280	67,50304	13,76255	66,84766	12,45182
1300	66,84763	11,79647	69,46906	11,79647
1320	68,8137	11,1411	68,81369	10,48574
1340	68,15834	9,83037	68,81369	10,48573
1360	68,81369	9,83037	69,46905	9,83037
1380	68,81368	9,17501	69,46904	9,83037
1400	68,81368	9,17501	69,46904	9,83037
1420	68,81368	9,17501	68,81368	9,17501
1440	68,15831	8,51965	70,77977	9,83036
1460	81,2657	13,10717	91,75163	17,69471
1480	92,40705	17,69472	92,40703	17,03936
1500	93,06237	16,384	94,37309	16,384
1520	95,02843	15,72863	95,68379	15,72863
1540	95,68378	15,07326	96,9945	15,07326
1560	96,33913	14,4179	97,64985	14,4179
1580	96,33912	13,76254	97,64984	14,4179
1600	96,99447	13,76254	97,64983	13,76254
