T	LX	LY	RX	RY
0	0	0	0	0
20	-2,0000000006348E-5	0,65536	-1,0000000003174E-5	1,31072
40	-0,65538	1,96608	-0,65538	2,62144
60	-0,65538	3,93215	-1,31074	4,58751
80	-1,31075	7,20895	-1,31075	7,86431
100	-1,31075	9,83039	-1,96612	9,83038
120	-1,96613	12,45182	-1,96613	12,45182
140	-2,6215	13,76254	-2,6215	14,41861
160	-3,27686	15,07326	-3,27686	15,07325
180	-3,27687	16,38397	-3,27686	15,72861
200	-3,27687	16,38397	-3,27686	16,38396
220	-3,93223	16,38397	-3,27686	15,7286
240	-3,93223	17,03933	-3,93223	16,38397
260	-3,93224	17,03933	-3,93224	17,03932
280	-3,93225	17,03932	-4,5876	17,03932
300	-4,58761	17,69468	-4,58761	16,38395
320	-4,58761	17,69468	-4,58761	17,03931
340	-5,24297	17,69467	-4,58762	17,03931
360	-4,58762	17,69467	-4,58762	17,03931
380	-4,58763	17,69467	-4,58762	17,69467
400	-4,58763	17,69467	-4,58762	17,69466
420	-4,58763	18,35003	-4,58763	17,69466
440	-5,243	18,35002	-4,58763	17,69466
460	-4,58764	19,00538	-4,58764	18,35002
480	-4,58765	19,00538	-5,243	18,35001
500	-5,24302	19,00537	-5,24301	18,35001
520	-5,24302	19,00537	-5,24302	18,35001
540	-4,58768	19,00537	-4,58768	18,35001
560	-4,58769	19,00537	-5,24305	19,00537
580	-5,24306	19,66072	-5,24306	19,00537
600	-5,24307	20,31609	-5,24306	19,66072
620	-5,89843	20,31608	-5,89842	19,66072
640	-5,89843	20,97144	-5,89843	20,31608
660	-5,89843	20,97144	-5,89842	20,31608
680	-6,55379	20,97144	-6,55379	20,97144
700	-6,55379	21,6268	-7,20915	21,6268
720	-7,20915	22,28216	-7,20915	20,97144
740	-7,20915	22,28216	-7,20915	21,6268
760	-7,20916	22,28216	-7,20914	21,6268
780	-7,86451	22,93752	-7,86451	22,28216
800	-5,24306	23,59288	1,31066	24,9036
820	1,31066	26,21432	-5,000000000166E-5	26,21432
840	-0,65542000000001	27,52505	-0,65541	26,86968
860	-0,65542000000001	27,52504	-1,31077	26,21431
880	-1,31078	26,86968	-1,31077	26,21431
900	-0,65541	26,86967	-0,65541	26,21431
920	-0,65541	26,86967	-0,65541	26,21431
940	-0,65542000000001	26,86967	-1,31077	25,55895
960	5,24289	27,52502	10,48586	26,21429
980	9,17512	27,52502	8,51976	27,52503
1000	7,86439	28,18039	7,86439	27,52503
1020	7,20902	28,1804	6,55366	27,52504
1040	6,55365	27,52504	6,55366	26,86968
1060	5,89829	26,86969	5,8983	26,21432
1080	6,55365	26,21432	6,55365	24,9036
1100	7,209	25,55896	7,86436	24,24824
1120	7,86436	24,9036	8,51972	24,24824
1140	8,51972	24,24823	9,17509	23,59287
1160	9,17508	24,24823	9,17509	23,59286
1180	9,17508	24,24823	9,17509	22,9375
1200	9,17508	23,59287	9,1751	22,28215
1220	9,83045	22,93751	9,83046	21,62678
1240	9,83046	21,62679	9,83046	21,62679
1260	9,83046	21,62757	9,83047	20,97142
1280	9,83046	21,62678	9,83047	20,97142
1300	9,83047	21,62678	9,83048	20,97142
1320	9,83046	20,97143	9,83047	20,31606
1340	9,17511	20,97143	11,1412	20,97142
1360	22,93783	22,28213	30,1469	22,93748
1380	30,14691	23,59285	28,8362	23,59285
1400	28,83619	24,24821	28,8362	24,24821
1420	28,83619	24,24821	28,8362	24,24821
1440	28,83619	24,24821	28,8362	24,24821
1460	28,8362	25,55894	28,18084	24,90358
1480	28,18083	26,21431	27,52548	25,55895
1500	27,52547	25,55895	28,18084	25,55895
1520	28,83619	26,21431	36,04528	25,55893
1540	41,94359	26,86964	40,63288	25,55892
1560	40,63288	26,86964	40,63289	26,21427
1580	40,63289	26,86964	40,63289	26,21427
1600	40,63289	26,86963	40,63289	26,21427
1620	40,63289	26,21427	40,63289	24,90355
1640	41,28824	25,55891	41,28823	24,24819
1660	41,28822	24,90355	41,94359	23,59282
1680	41,94357	24,24819	43,90967	23,59282
1700	53,08487	24,24817	58,32784	23,5928
1720	58,98321	24,24816	58,32784	24,24815
1740	58,32784	24,24816	58,32784	24,24816
1760	58,32784	24,24815	58,32784	23,59279
1780	58,32784	24,24816	58,32784	23,59279
1800	58,32784	24,24815	58,9832	23,59279
1820	58,98319	24,24816	58,9832	23,59279
1840	58,98319	24,24815	58,9832	23,59279
1860	58,32783	24,24815	58,32784	23,59279
1880	58,98319	23,5928	58,98319	22,93744
1900	64,22612	24,90352	75,36746	24,90351
1920	80,6104	25,55886	79,95504	25,55887
1940	78,64432	26,21423	79,29968	25,55886
1960	79,29967	26,86958	79,29967	26,21422
1980	79,29966	26,86959	79,29967	26,21423
2000	79,29966	26,86959	79,29966	26,86958
2020	78,6443	26,86958	79,29966	26,21422
2040	79,29966	26,86958	78,64431	26,21422
2060	78,6443	26,86959	79,29967	25,55886
2080	79,29966	26,86958	78,64431	25,55886
2100	79,29967	26,86958	79,29967	25,55886
2120	78,64431	26,21422	78,64431	25,55886
2140	79,29967	26,21422	78,64431	25,55885
2160	78,64431	26,21422	79,29967	25,55886
2180	79,95501	26,21422	79,95502	25,55885
2200	81,92109	25,55886	95,68387	24,90348
2220	112,0681	27,52493	119,93256	26,2142
2240	117,31111	27,52492	115,34502	28,18029
2260	116,00038	29,491	116,00038	28,83564
2280	116,00037	29,491	116,00038	28,83564
2300	116,00036	28,83564	115,34501	28,18028
2320	116,00036	28,83564	116,65572	28,18028
2340	116,65572	28,83563	116,65572	28,18028
2360	116,65572	28,83564	117,31108	27,52492
2380	112,72351	28,18028	110,7574	27,52492
2400	112,06814	28,18029	112,06814	27,52492
2420	111,41277	28,83565	111,41277	28,18029
2440	111,41277	28,83565	111,41276	28,18029
2460	111,41277	28,83565	111,41277	28,1803
2480	111,41277	28,1803	111,41277	28,18029
2500	111,41276	28,83565	111,41277	28,1803
2520	110,75741	28,83566	110,75741	28,1803
2540	111,41277	28,83566	108,79132	27,52494
2560	77,9891	25,55892	32,76868	21,62686
2580	-3,27658	19,66085	-9,17493	19,66085
2600	-3,27664	22,28228	-2,62129	21,62692
2620	-3,27667	22,93765	-3,27666	22,93764
2640	-2,62131	23,593	-2,62131	22,93763
2660	-2,62131	24,24835	-2,62131	23,59299
2680	-1,96595	24,90371	-1,96595	23,59299
2700	-2,62132	24,24835	-1,96596	23,59299
2720	-1,96596	24,9037	-2,62133	23,59298
2740	-1,96598	24,24834	-1,96598	23,59298
2760	-1,31063	24,24834	-9,17501	24,24836
2780	-17,03943	24,90374	-16,38406	24,24838
2800	-14,41798	24,90374	-14,41797	24,90374
2820	-15,07335	25,5591	-14,41798	24,90374
2840	-14,41799	24,90374	-14,41798	24,24838
2860	-13,76263	24,90374	-13,10727	23,59302
2880	-13,10727	24,24838	-13,10727	23,59302
2900	-12,45191	24,24838	-11,79654	23,59302
2920	-11,79655	24,24838	-11,79654	23,59302
2940	-3,93215	24,24837	15,07357	24,24833
2960	28,83632	24,90366	32,1132	24,90366
2980	30,80247	26,21438	31,45783	25,55902
3000	31,45782	26,21437	32,11319	24,90365
3020	31,45782	26,21437	32,11318	24,90365
3040	32,11317	26,21438	32,11317	25,55901
3060	32,11317	25,55901	32,11317	24,90365
3080	32,76853	25,55901	32,76852	24,24828
3100	33,42388	24,90364	33,42389	24,24828
3120	33,42388	24,90364	34,07925	24,24828
3140	33,42388	24,90364	33,42388	23,59292
3160	33,42388	24,24828	34,07924	23,59291
3180	34,07924	24,24827	34,07924	23,59291
3200	34,07924	24,24827	34,07924	22,93755
3220	33,42387	24,24827	33,42388	22,93755
3240	34,07923	23,59291	33,42388	22,93755
3260	34,07923	23,59291	34,7346	22,93754
3280	45,22053	24,24825	57,0172	24,24822
3300	58,32795	24,24822	57,01722	23,59286
3320	57,01721	24,24822	57,01721	23,59286
3340	57,67256	24,90358	57,67256	23,59286
3360	57,67255	24,90358	57,67255	24,90358
3380	57,67255	24,90358	57,67255	24,24822
3400	57,67254	25,55894	60,29401	24,90357
3420	75,36753	26,21429	87,81958	26,21428
3440	86,50884	26,86964	84,54277	26,86964
3460	84,54277	28,18037	84,54277	28,18037
3480	84,54276	28,83573	84,54277	28,83573
3500	85,19812	29,49109	85,19813	29,49109
3520	85,85348	30,14645	85,19812	30,14645
3540	85,85347	31,45718	86,50883	31,45719
3560	86,50881	33,42329	87,81953	33,42329
3580	87,81951	34,73402	88,47487	34,73403
3600	89,13022	36,04476	89,78558	35,38939
3620	90,44093	36,04476	90,44094	35,3894
3640	91,09629	36,04475	91,75165	34,73403
3660	99,61611	36,04475	108,13592	35,38937
3680	108,79129	36,04473	107,48057	34,734
3700	107,48056	34,734	107,48056	34,07864
3720	106,82519	34,07864	106,82519	32,76791
3740	106,82518	32,76791	106,82519	32,11254
3760	105,51446	32,11254	106,16983	31,45718
