T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65537	0,65536	-0,65537	0
40	-1,31073	0,65536	-1,31072	0,65537
60	-1,31073	0,65536	-1,96609	0,65537
80	-1,31073	1,31073	-1,96609	0,65537
100	-1,96609	1,96609	-1,96609	1,31073
120	-1,96609	1,9661	-2,62145	1,9661
140	-1,9661	3,27682	-2,62145	2,62146
160	-1,9661	2,62147	-2,62145	2,62147
180	-2,62145	3,27682	-2,62145	2,62146
200	-2,62145	3,27683	-2,62145	2,62147
220	-1,96609	3,27682	-1,96609	2,62146
240	-1,31073	3,27682	-1,96608	2,62147
260	-1,31072	2,62146	-0,65536	2,62146
280	9,9999999960687E-6	1,9661	1,9999999999243E-5	0,65537999999999
300	1,31074	9,9999999960687E-6	1,96611	-0,65536
320	2,62147	-1,31073	2,62149	-1,96609
340	3,27685	-1,31073	3,93222	-1,31073
360	3,93223	-1,31074	4,5876	-2,62146
380	3,93223	-2,62147	3,93223	-3,27683
400	4,58758	-3,27683	4,58758	-4,58755
420	3,9322	-3,9322	3,9322	-3,93219
440	3,93219	-3,27684	3,27683	-3,93219
460	3,27682	-2,62147	3,27682	-3,27683
480	3,27681	-1,96611	2,62145	-1,9661
500	2,62145	-0,65539	1,96609	-2,0000000006348E-5
520	1,96609	0,65534	1,96609	0,65534
540	1,96609	1,96606	1,31073	1,96606
560	1,96609	3,27678	1,96609	2,62142
580	1,96607	3,27677	1,31072	2,62142
600	1,31071	3,93213	1,31071	3,27678
620	1,31071	4,5875	0,65535	3,93214
640	1,3107	3,93214	0,65535	3,93214
660	1,31071	4,58749	0,65535	3,93214
680	1,3107	4,5875	1,31071	4,5875
700	0,65534	5,24285	-1,0000000003174E-5	4,5875
720	0,65534	5,24286	-1,9999999999243E-5	5,24287
740	-1,9999999999243E-5	5,89822	-1,9999999999243E-5	5,89823
760	-3,0000000002417E-5	6,55359	-3,0000000002417E-5	6,55359
780	-0,65539	6,55359	-0,65539	6,55359
800	-0,6554	7,20895	-1,31075	6,5536
820	-1,31076	7,20896	-1,31075	6,55359
840	-1,31075	7,20895	-1,31074	6,55359
860	-1,31074	7,20895	-0,65537	6,55359
880	-0,65537	7,20895	-1,31073	5,89823
900	-0,65537	7,20895	-1,31072	6,55359
920	-1,31073	6,55359	-1,96609	5,89824
940	-1,31073	6,55359	-1,96609	5,24287
960	-1,96609	5,89823	-1,96609	4,58752
980	-1,96609	5,24288	-2,62145	4,58752
1000	-2,62146	5,24288	-2,62145	3,93216
1020	-2,62145	5,24288	-2,62144	3,93216
1040	-2,62144	4,58753	-2,62144	3,93216
1060	-2,62144	4,58752	-2,62143	3,2768
1080	-2,62144	3,93216	-2,62143	3,2768
1100	-2,62143	3,27679	-2,62142	3,27679
1120	-2,62143	3,27679	1,31078	3,27679
1140	6,5538	3,27679	5,24306	3,27679
1160	4,58768	5,24288	5,24305	5,24288
1180	5,24304	5,89823	5,24303	5,89824
1200	5,24302	5,89824	5,24302	5,89824
1220	5,24301	5,89824	5,24301	5,89824
1240	5,24301	6,5536	5,24301	5,89825
1260	4,58764	6,55425	4,58764	6,55361
1280	4,58763	7,20897	3,93227	5,89825
1300	3,93226	6,55361	3,27691	6,55362
1320	3,2769	7,20898	2,62154	7,20898
1340	2,62154	7,86434	2,62154	7,20899
1360	3,2769	7,86434	3,2769	7,86435
1380	3,27689	8,5197	3,27691	7,86434
1400	3,2769	9,17505	3,27691	8,5197
1420	-56,36086	9,17505	3,27692	9,17506
1440	3,93227	10,48577	3,27692	9,83041
1460	3,93228	9,17504	3,93229	9,17505
1480	3,93227	10,48577	3,27692	9,83041
1500	-56,36084	11,14113	3,93228	11,14113
1520	3,93228	11,79648	3,93228	11,14112
1540	3,93137	11,79648	3,27692	11,14113
1560	3,93227	11,79649	3,27691	11,14113
1580	3,93227	11,79649	3,27691	11,79649
1600	2,62155	13,10721	3,27691	13,10721
1620	3,2769	13,76257	3,2769	13,76257
1640	3,2769	13,76258	3,2769	13,10721
1660	2,62154	13,76257	3,2769	13,76257
1680	3,2769	14,41792	3,2769	13,10721
1700	3,2769	13,76257	3,2769	13,76257
1720	3,27689	15,07329	2,62154	14,41793
1740	3,27689	15,0733	2,62153	14,41794
1760	5,24299	14,41793	9,83063	12,45185
1780	11,79675	13,76257	12,45213	15,0733
1800	13,10748	16,38403	12,45212	16,38403
1820	13,10749	17,69474	13,10749	17,03939
1840	13,10749	17,69474	13,10749	17,69475
1860	13,10749	19,00547	13,10748	19,00547
1880	13,10747	19,00547	12,45211	19,00548
1900	13,10745	19,66084	12,4521	20,31621
1920	12,45209	20,31621	12,45209	20,31621
1940	12,45208	20,97157	11,79672	20,31621
1960	11,79672	20,97157	11,79672	20,31622
1980	11,79671	20,31621	11,14136	20,31622
2000	13,76283	20,97157	20,31661	21,62694
2020	20,97201	20,31621	19,66128	21,62694
2040	20,31664	22,2823	19,66129	22,2823
2060	19,66129	22,93765	19,00594	22,93766
2080	19,6613	23,59301	19,00595	22,93765
2100	19,6613	23,59301	19,00594	22,93766
2120	19,66129	23,59301	19,00593	22,28229
2140	19,66129	22,93764	19,66129	22,28228
2160	19,66129	22,28228	20,31666	21,62692
2180	27,52576	22,93763	28,83655	21,62692
2200	28,83654	22,28226	28,83653	21,62691
2220	28,18118	22,28227	28,18118	21,6269
2240	28,18118	22,28226	28,18119	21,6269
2260	28,18118	22,28226	28,18118	21,6269
2280	28,18118	22,28226	28,18119	21,6269
2300	28,18119	22,28226	27,52583	21,6269
2320	28,18119	22,28226	27,52583	21,6269
2340	27,52583	22,28226	27,52583	21,6269
2360	27,52583	22,28226	27,52583	22,28226
2380	27,52583	22,93763	27,52583	22,28227
2400	27,52583	22,93762	27,52583	22,93763
2420	27,52583	22,93763	30,14731	22,28227
2440	38,66715	22,28225	43,91013	21,62689
2460	43,91013	22,28225	43,25476	21,62691
2480	43,25475	22,28226	42,5994	22,28226
2500	42,59939	22,28226	42,59939	21,62691
2520	42,59938	22,28227	42,59938	21,6269
2540	42,59937	22,28226	42,59937	21,62691
2560	42,59936	22,28227	42,59936	22,28228
2580	43,25471	22,93763	43,25471	22,93763
2600	43,25471	22,93764	43,25471	22,93764
2620	43,91006	23,59299	43,2547	22,93764
2640	43,2547	22,93764	43,91005	22,28228
2660	43,91005	22,28227	43,91005	21,62692
2680	43,91004	21,62691	43,91004	20,97155
2700	43,91003	20,97155	43,91003	19,66083
2720	43,91002	19,66083	43,91002	18,3501
2740	44,56538	19,00546	44,56538	18,3501
2760	45,22073	19,00546	45,22073	18,3501
2780	45,87609	19,00546	45,8761	18,3501
2800	46,53145	17,69473	45,8761	17,03938
2820	47,18681	17,03937	46,53146	17,03937
2840	45,87609	17,69472	46,53145	17,03937
2860	46,53145	17,03937	45,87609	16,38401
2880	46,53145	17,69473	46,53145	17,03937
2900	46,53145	17,69474	45,87609	16,38402
2920	46,53144	17,69473	45,87609	16,38401
2940	46,53144	17,03937	-56,36008	16,38402
2960	41,2885	18,35012	46,53145	19,00547
2980	47,18682	19,66084	46,53145	19,00549
3000	47,1868	20,31621	47,18681	19,00548
3020	47,18681	19,00548	47,18681	18,35012
3040	47,18681	18,35012	47,84217	17,69475
3060	48,49753	18,35011	48,49753	17,69475
3080	48,49754	18,35011	48,49755	17,69475
3100	48,49755	18,35011	47,84219	17,69475
3120	47,84219	18,35011	47,84219	17,69475
3140	57,67268	19,00547	71,43548	17,69474
3160	74,71232	17,03937	73,40158	17,69475
3180	72,7462	19,00547	71,43548	19,00547
3200	72,09083	19,66082	71,43547	19,66083
3220	71,43546	20,31618	71,43546	20,31618
3240	71,43545	20,97154	71,43545	20,97154
