T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65536000000001	1,0000000003174E-5	0,65537
40	0	1,31073	-0,65535	1,31073
60	1,0000000003174E-5	1,9661	1,0000000003174E-5	1,9661
80	-0,65534	3,27682	1,0000000003174E-5	3,27683
100	-0,65535	3,27683	1,9999999999243E-5	3,27683
120	1,9999999999243E-5	3,93219	1,9999999999243E-5	3,27684
140	1,9999999999243E-5	3,9322	1,9999999999243E-5	3,9322
160	0,65538	3,9322	0,65538	3,27684
180	1,31074	3,9322	1,9661	3,9322
200	1,9661	4,58756	1,9661	3,93221
220	1,9661	4,58756	1,96611	4,58757
240	1,96611	5,24293	1,96611	5,24293
260	1,96611	5,89829	1,96611	5,8983
280	1,31075	6,55365	1,96611	5,8983
300	1,96611	6,55366	1,31075	6,55367
320	1,31075	7,20902	1,96611	7,20903
340	1,31075	7,20902	1,31075	7,20903
360	1,31074	7,86439	1,31075	7,8644
380	0,65538	8,51975	1,9999999999243E-5	7,8644
400	1,9999999999243E-5	8,51975	-0,65535	8,51976
420	-0,65535	7,86439	-1,31072	7,8644
440	-1,96608	7,86439	-1,96609	7,20904
460	-2,62145	7,86439	-1,9661	7,86439
480	-2,62146	7,86439	-1,96609	7,86439
500	-1,96609	8,51975	-1,96609	7,86439
520	-1,96609	7,86439	-1,31072	7,86438
540	-1,31072	8,51974	-0,65535	7,86438
560	-0,65535	8,51974	-0,65535	7,86438
580	1,0000000003174E-5	8,51973	1,9999999999243E-5	7,86437
600	1,0000000003174E-5	7,86437	1,9999999999243E-5	8,51973
620	0,65538	8,51973	0,65538	8,51973
640	1,9999999999243E-5	9,17509	1,9999999999243E-5	9,17509
660	1,9999999999243E-5	9,17509	0,65538	9,17509
680	1,9999999999243E-5	9,17509	0,65538	9,17509
700	7,86444	9,17508	13,10743	8,51969
720	13,10741	9,17505	12,45204	9,17506
740	12,45205	10,48579	13,10741	9,83042
760	13,10741	9,83042	-49,80715	9,17506
780	12,45205	9,83041	13,1074	9,17505
800	12,45204	9,17505	12,45205	8,51969
820	12,45205	9,17504	12,45205	8,51968
840	12,45205	8,51968	12,45205	7,86432
860	15,07352	7,20895	22,938	5,8982
880	24,24874	5,24283	23,59336	5,24284
900	23,59337	5,8982	23,59337	5,8982
920	24,24874	5,24283	24,24874	5,24284
940	24,24874	5,24283	24,24874	5,24283
960	24,90411	5,24283	24,90411	4,58747
980	24,90411	4,58747	24,90412	3,93211
1000	24,90412	4,58747	25,55948	4,58747
1020	24,90412	4,58747	24,90412	4,58747
1040	24,90413	5,24283	24,90413	4,58747
1060	24,90413	5,24283	24,24877	4,58747
1080	24,24877	5,89819	24,24877	5,24284
1100	24,24877	5,24283	26,87024	5,24283
1120	40,63304	7,86426	45,87605	7,20888
1140	45,22066	7,86424	44,56529	8,51961
1160	44,5653	9,17497	45,22066	9,17497
1180	45,22066	9,17497	45,87601	7,86425
1200	46,53137	7,86424	46,53136	8,51961
1220	47,18672	9,17496	47,18673	8,5196
1240	47,18673	9,17497	47,8421	9,17497
1260	47,8421	9,17497	48,49747	9,17497
1280	49,15283	9,17496	49,15284	9,17496
1300	49,80821	9,83032	49,80821	9,83032
1320	50,46358	9,83032	51,11895	8,51959
1340	57,01983	9,8303	61,60494	7,86421
1360	61,60491	8,51956	61,6049	8,51958
1380	61,6049	9,17494	62,26026	8,51958
1400	62,26026	9,17494	61,60489	8,51959
1420	61,60488	8,51959	-49,80633	8,51959
1440	60,29414	8,51959	60,9495	9,17496
1460	60,29413	9,17497	60,29412	9,83032
1480	60,29411	10,48569	60,29411	11,14105
1500	60,29411	11,79641	60,29412	11,79642
1520	60,29412	12,45177	60,29412	12,45178
1540	60,29411	12,45177	60,29412	12,45177
1560	60,94948	12,45177	60,29412	11,79641
1580	60,94948	11,79641	69,4693	13,76249
1600	82,5768	15,72855	85,85363	14,41782
1620	85,19824	15,07319	85,19823	14,41784
1640	85,19822	14,41784	85,85358	13,76248
1660	86,50894	13,10712	86,50893	12,45176
1680	86,50893	13,10711	86,50893	12,45177
1700	86,50893	12,45176	86,50893	12,45177
1720	86,50894	13,10711	86,50894	13,10713
1740	86,50894	14,41784	86,50895	13,76248
1760	87,16431	15,0732	87,81968	14,41784
1780	87,81968	14,41784	87,81968	13,76248
1800	88,47503	14,41783	88,47504	13,76247
1820	88,47503	14,41783	88,47503	13,76247
1840	93,71797	16,38392	104,85934	17,03927
1860	108,79158	17,69461	108,13619	17,69461
1880	107,48082	19,00534	107,48082	19,00535
1900	107,48081	19,6607	107,48081	19,00534
1920	106,82544	19,6607	106,17008	19,66071
1940	106,82543	20,31606	106,17007	19,6607
1960	106,17007	20,31606	106,17006	20,31607
1980	105,5147	20,97143	106,17007	20,97143
2000	105,5147	21,62679	105,51471	21,62679
2020	105,5147	21,62679	105,51471	22,28215
2040	106,17007	22,28215	106,17007	21,62679
2060	106,82542	22,28214	106,82542	21,62679
2080	106,82541	21,62679	106,8254	21,62679
2100	106,8254	21,62679	107,48076	20,97143
2120	117,31131	23,59287	136,31714	25,55894
2140	142,87088	26,86964	142,21549	26,86965
