T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	-9,9999999960687E-6
40	-1,0000000003174E-5	-0,65537	0	-1,31074
60	0,65535	-1,31073	0,65535	-1,31074
80	1,3107	-1,31074	1,31071	-1,9661
100	1,3107	-1,31074	1,3107	-1,9661
120	1,3107	-1,9661	1,3107	-1,9661
140	1,96606	-1,96611	1,96606	-1,9661
160	1,96605	-1,9661	1,96607	-1,96611
180	1,96606	-1,96611	1,96607	-1,96611
200	1,96606	-2,62147	1,96607	-2,62147
220	2,62142	-2,62147	2,62143	-2,62147
240	2,62143	-2,62148	2,62143	-3,27683
260	2,62142	-3,27684	2,62143	-3,27684
280	2,62142	-3,27684	2,62143	-3,9322
300	2,62143	-3,27684	3,2768	-3,93221
320	2,62143	-3,93221	2,62144	-3,93221
340	2,62143	-3,93221	3,27679	-4,58757
360	2,62143	-4,58757	2,62144	-4,58757
380	2,62143	-3,93222	2,62144	-4,58758
400	2,62143	-4,58758	1,96608	-4,58758
420	2,62143	-4,58758	1,96608	-4,58757
440	1,96608	-4,58758	7,20904	-1,96613
460	13,10739	-0,65538	15,72889	0,65536
480	16,38424	1,0000000003174E-5	16,38425	0,65537
500	16,38424	0,65536	17,03961	0
520	16,38424	1,0000000003174E-5	16,38425	0
540	16,38425	0	16,38425	0
560	16,38424	0	16,38425	-9,9999999960687E-6
580	17,03961	-0,65537	17,03961	-9,9999999960687E-6
600	17,03961	-9,9999999960687E-6	17,03961	-9,9999999960687E-6
620	16,38425	0	16,38426	-9,9999999960687E-6
640	16,38425	-9,9999999960687E-6	16,38426	-9,9999999960687E-6
660	16,38425	0	16,38426	0,65536
680	16,38425	0,65537	15,72889	1,31073
700	16,38424	1,31074	16,38425	1,96609
720	16,38424	1,9661	17,03961	1,9661
740	17,03959	2,62146	17,0396	3,27683
760	16,38423	3,9322	17,03959	4,58758
780	17,03959	5,89831	16,38423	6,55368
800	16,38421	7,86441	15,72887	7,86441
820	15,07351	9,17515	13,76279	9,83052
840	13,7628	9,83052	13,76281	10,48589
860	13,7628	10,48588	14,41817	9,17515
880	14,41818	8,51979	11,14136	7,20906
900	-1,96598	5,24298	-11,14111	5,24299
920	-11,79649	6,55372	-10,48576	7,86445
940	-11,14113	8,51982	-11,79648	9,17519
960	-11,79649	9,17519	-11,79648	9,17519
980	-11,79649	9,17519	-11,79648	9,1752
1000	-12,45184	9,83057	-12,45183	9,83057
1020	-13,10719	10,48594	-12,45182	10,48594
1040	-13,10719	10,48594	-13,10718	11,1413
1060	-13,76255	11,1413	-12,45181	11,79666
