T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535	1,0000000003174E-5	0	0
40	-0,65535	1,0000000003174E-5	0	0,65537
60	-0,65535	0,65537	-0,65537	0
80	-1,31072	-0,65535999999999	-0,65536	-0,65536
100	-1,31071	-0,65535999999999	-0,65536	1,0000000003174E-5
120	-1,31071	2,0000000006348E-5	-0,65536	1,0000000003174E-5
140	-1,31071	-0,65534	-0,65536	1,0000000003174E-5
160	-0,65534	3,0000000002417E-5	-0,65535	0,65539
180	-0,65534	0,6554	9,9999999960687E-6	0,65539
200	-0,65534	0,65541	1,9999999999243E-5	1,31076
220	-0,65534	0,65542	1,9999999999243E-5	1,31077
240	-0,65533	0,65541	1,9999999999243E-5	1,31077
260	-1,31069	1,31078	1,9999999999243E-5	1,31078
280	-1,31069	1,31079	-0,65534	1,31078
300	1,9999999999243E-5	1,31078	0,65536	0,6554
320	0,65536	0,65539	1,96607	0,65538
340	1,96607	0,65538	2,62142	0,65537
360	2,62143	1,31075	3,27678	1,9661
380	2,62143	1,96611	3,27678	2,62147
400	2,62144	2,62149	3,27679	3,27683
420	2,62144	3,27685	3,27679	3,27684
440	1,96608	3,27685	2,62143	3,93221
460	1,31071	3,93221	1,96607	3,93221
480	1,31071	3,27685	1,31071	3,27684
500	-7,86439	3,93223	-20,31633	5,89833
520	-24,2485	7,20908	-22,28242	7,86445
540	-22,93777	8,51983	-22,28242	9,17519
560	-22,93777	9,83056	-22,28241	9,83055
580	-22,93777	9,83057	-22,28241	10,48592
600	-22,93777	10,48594	-22,93777	10,48593
620	-22,93777	10,48594	-22,28242	10,48593
640	-23,59313	9,83057	-22,93778	10,48592
660	-24,90385	10,48593	-24,24851	10,48592
680	-24,90386	10,48593	-24,24851	10,48592
700	-24,90387	9,83057	-24,90387	9,83056
720	-26,21459	9,17521	-25,55924	9,83056
740	-26,86995	9,83056	-26,2146	9,17519
760	-26,86996	8,51984	-26,21461	7,86446
780	-26,86996	7,86447	-26,86997	7,86446
800	-27,52532	7,20911	-26,86997	7,20909
820	-27,52531	6,55374	-26,86996	6,55372
840	-27,52531	6,55373	-26,86996	6,55372
860	-27,52531	5,89836	-27,52531	5,89836
880	-27,52531	5,89837	-27,52531	5,89836
900	-28,18066	5,89837	-28,18067	5,89836
920	-28,18066	5,24301	-26,86994	5,243
940	-28,18065	5,24301	-27,5253	5,243
960	-28,18064	5,24301	-28,18065	4,58764
980	-28,836	4,58765	-28,18065	3,93227
1000	-28,836	3,93228	-28,18064	3,93227
1020	-28,18063	3,27692	-28,18064	2,62154
1040	-28,18062	2,62156	-27,52527	2,62154
1060	-28,18062	1,96618	-27,52526	1,96618
1080	-27,52525	1,96619	-27,52526	1,31081
1100	-27,52525	1,96619	-26,8699	1,96618
1120	-27,52525	1,96619	-26,86989	1,96618
1140	-27,52524	1,96619	-26,86989	1,96619
1160	-27,52524	1,9662	-26,86988	1,96619
1180	-27,52524	1,31084	-26,86989	9,0000000000146E-5
1200	-17,03943	-1,96602	3,93225	-2,62139
1220	13,10744	-3,9321	10,48598	-2,62139
1240	5,89842	-0,65526999999999	5,24305	9,0000000000146E-5
1260	5,24306	0,65546000000001	5,89841	1,31082
1280	-40,63215	1,31085	5,24304	1,9662
1300	5,24305	1,96621	5,24304	2,62156
1320	4,58769	2,62158	5,24304	2,62157
1340	3,93233	2,62158	4,58768	2,62159
1360	3,93232	2,62159	4,58768	2,62159
1380	3,27697	3,27696	3,93232	3,93232
1400	2,62161	3,93233	3,27696	3,93233
1420	1,96624	4,5877	2,62159	4,5877
1440	2,62158	4,5877	3,27693	4,58769
1460	2,62157	4,5877	2,62156	4,58768
1480	-1,31062	5,24306	-3,27672	6,5538
1500	-2,62133	6,5538	-3,2767	7,86454
1520	-3,93207	9,17529	-3,93207	9,83066
1540	-4,58742	9,83067	-4,58742	10,48604
1560	-5,24277	11,14142	-5,24278	11,14142
1580	-6,55349	11,79679	-5,89814	11,79679
1600	-6,55349	11,79681	-6,5535	12,45218
1620	-7,86421	12,4522	-7,20886	13,10755
1640	-7,86421	13,10757	-7,86422	13,76293
1660	-9,17493	13,76295	-9,17495	13,76295
1680	-9,83029	13,76296	-9,83031	13,10758
1700	0,00016000000000105	14,41832	13,10752	14,41832
1720	13,76292	15,72906	11,7968	17,69515
1740	11,14145	18,35053	11,7968	19,66126
1760	11,14144	19,66127	11,7968	20,31662
1780	11,14144	20,31664	11,79679	20,31662
1800	11,7968	20,31663	11,79679	19,66124
1820	11,14144	19,00589	12,45215	19,66125
1840	12,45216	19,66125	13,10751	19,66124
1860	12,45216	19,66123	13,10751	19,00586
1880	12,45216	18,35051	13,10752	19,00585
1900	12,45216	18,3505	13,10751	18,35049
1920	12,45216	18,35049	13,10751	19,00586
1940	11,7968	19,00587	13,10751	18,35048
1960	11,7968	18,35049	13,10752	17,69512
1980	12,45217	17,04003	13,76288	16,38438
2000	13,10753	15,72901	14,41825	15,72899
2020	20,31657	14,41827	23,59342	14,41825
2040	21,62734	15,729	22,28269	16,38436
2060	22,2827	17,03975	22,93805	17,6951
2080	22,2827	17,03975	22,93805	17,69511
