T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	1,31073	-0,65536	1,31073
40	0	1,9661	-0,65536	1,9661
60	1,0000000003174E-5	2,62147	-0,65536	2,62147
80	1,0000000003174E-5	3,27684	-0,65535	3,27684
100	1,0000000003174E-5	3,93277	-0,65535	3,9322
120	-0,65535	3,93221	-1,31071	4,58757
140	-0,65535	4,58757	-1,96607	4,58757
160	-0,65535	4,58758	-1,96607	5,24294
180	-0,65535	5,24294	-1,96607	5,24294
200	-1,31071	5,24294	-1,96607	5,24294
220	-1,31071	5,8983	-1,96607	5,24294
240	-1,31072	5,24294	-1,96608	5,24293
260	-1,31071	5,89885	-1,96608	5,89829
280	-1,31072	6,55365	-1,96608	5,89829
300	-1,31072	6,55366	-1,96609	6,55366
320	-0,65537	5,8983	-0,65537	6,55366
340	-1,0000000003174E-5	6,55366	-1,0000000003174E-5	6,55366
360	0,65535	7,20903	0,65535	7,86439
380	0,65535	7,86439	0,65535	7,86439
400	0,65535	8,51975	0,65534	7,86439
420	1,3107	7,86439	0,65535	7,86439
440	1,3107	7,8644	1,31071	7,86439
460	1,96607	7,8644	1,31071	7,8644
480	1,96607	7,8644	1,96607	8,51977
500	2,62143	9,17513	1,96607	9,83049
520	2,62143	11,14122	1,31071	11,14122
540	1,96607	11,79659	1,31071	11,7966
560	1,96608	11,7966	1,31072	12,45197
580	1,96609	13,10734	1,96609	13,76271
600	1,96609	13,76272	1,9661	14,41808
620	2,62146	15,07345	1,96611	15,72881
640	2,62147	16,38419	1,96611	17,03955
660	2,62148	17,69492	1,96612	18,35029
680	1,96612	19,00566	1,96612	19,66102
700	1,96613	20,31639	1,31077	20,31639
720	1,96613	20,97176	1,31077	21,62713
740	1,96614	22,28249	1,31078	22,2825
760	1,31079	22,93787	0,65543	22,93787
780	1,31079	24,24859	0,65543	24,2486
800	0,65543	25,55933	7,9999999996971E-5	26,21469
820	7,9999999996971E-5	26,2147	-0,65528	26,87006
840	9,0000000000146E-5	27,52543	-0,65527	27,52543
860	9,0000000000146E-5	27,52543	-0,65527	27,52542
880	-0,65527	28,18078	-0,65527	27,52543
900	9,0000000000146E-5	28,18078	-0,65527	27,52542
920	9,0000000000146E-5	26,21469	-0,65527	24,90393
940	7,9999999996971E-5	24,90392	-0,65527	24,90392
