T	LX	LY	RX	RY
0	0	0	0	0
20	-1,0000000003174E-5	0	0,0025499999999994	0,65536
40	0,65535	0,65535	0,65537	0,65536
60	0,65536	0,65536	0,65537	1,31072
80	1,31072	0,65535	1,31073	1,31072
100	1,31072	0,65535	1,96609	1,31072
120	1,96609	1,31071	1,96611	1,96608
140	1,96609	1,96608	2,62147	1,96608
160	2,62146	1,96607	2,62148	1,96608
180	2,62146	1,96608	2,62148	1,96608
200	2,62147	1,96607	2,62148	1,96608
220	3,27683	1,96607	2,62149	1,96607
240	3,27684	1,31071	2,62149	1,96607
260	3,27684	1,96607	3,27686	1,96607
280	3,27685	1,96606	3,27686	1,96607
300	2,62149	1,31071	3,27687	1,96607
320	3,27685	1,96607	2,62151	1,96607
340	3,27685	1,3107	2,62151	1,96607
360	3,27685	1,3107	2,62151	1,31071
380	2,6215	0,65534	5,24296	1,3107
400	11,14125	1,31069	13,10736	1,96605
420	11,14124	1,96605	10,48588	2,62142
440	6,55367	1,96606	-1,9999999999243E-5	2,62143
460	-0,6554	2,62143	0,65535000000001	3,2768
480	1,3107	3,27679	0,65535000000001	3,2768
500	1,3107	3,27679	1,31072	3,93216
520	1,96607	3,93216	1,96609	4,58753
540	1,96608	4,58753	1,96609	5,24289
560	1,96608	5,24289	1,96609	5,89826
580	1,96608	5,89825	1,96609	5,89826
600	3,93218	5,89825	7,8644	6,55362
620	9,17513	6,55361	9,17514	7,20899
640	8,51976	7,20898	8,51978	7,86435
660	9,17513	7,86433	9,17514	7,86434
680	9,17513	7,86434	9,17514	7,86434
700	9,17513	7,86433	9,17515	7,86434
720	9,17513	7,86433	9,17515	8,5197
740	9,17513	7,86433	9,17514	8,5197
760	9,17514	7,86433	8,51979	8,51969
780	8,51978	8,51969	8,51979	8,5197
800	8,51978	8,51969	8,5198	8,5197
820	8,51978	8,51969	7,86443	9,17506
840	8,51978	8,51969	7,86443	9,17506
860	7,86442	8,51969	7,86443	9,17506
880	7,86442	9,17505	7,86443	9,17506
900	7,86442	9,17505	8,51979	9,17506
920	7,86442	9,17505	7,86443	9,17506
940	7,20906	9,17506	7,20908	9,17506
960	7,86443	9,17505	11,79664	9,17505
980	12,45201	8,51968	11,14129	9,83041
1000	11,14128	9,83041	11,14384	10,48579
1020	11,14128	9,83042	10,48593	10,48578
