T	LX	LY	RX	RY
0	0	0	0	0
20	9,9999999960687E-6	-0,65536	0,65536	-1,31073
40	0,65537	-1,31073	0,65536	-1,31073
60	0,65537	-1,31073	1,31072	-1,31073
80	1,31073	-1,9661	1,31072	-1,96609
100	1,31074	-1,9661	1,96609	-1,31074
120	1,9661	-1,9661	1,96609	-1,31074
140	2,62146	-1,9661	-1,31074	-1,31073
160	-4,58756	-0,65537	-3,27684	0
180	-3,27682	0	-3,27683	0
200	-3,27683	-9,9999999960687E-6	-2,62148	0
220	-2,62148	-0,65536	-1,96613	-0,65537
240	-1,96613	-0,65538	-1,31078	-0,65538
260	-1,31077	-0,65538	-1,31078	-0,65538
280	-1,31077	-1,31074	-1,31078	-1,31074
300	-1,31077	-1,31074	-0,65541	-1,31074
320	-0,6554	-1,96611	-4,9999999994554E-5	-1,31074
340	-0,6554	-1,31074	-3,9999999998486E-5	-1,31074
360	0,65533	-1,96611	0,65533000000001	-1,96611
380	0,65534	-1,96611	1,3107	-1,96612
400	1,96607	-2,62148	1,3107	-1,96612
420	1,96607	-2,62148	1,96607	-2,62148
440	3,27681	-3,27684	7,86438	-2,62148
460	7,20903	-3,27684	5,89829	-3,27684
480	5,89829	-2,62148	6,55365	-2,62148
500	6,55366	-3,27684	6,55365	-3,27685
520	6,55365	-3,93221	6,55364	-3,27685
540	5,89829	-3,93221	6,55364	-3,27685
560	5,89828	-3,93221	5,89827	-3,93221
580	5,89828	-3,93222	5,89827	-3,93222
600	5,89828	-4,58686	5,89827	-4,58758
620	6,55364	-5,24294	6,55364	-4,58758
640	5,89829	-4,58758	6,55364	-4,58758
660	5,89829	-5,24295	6,55364	-5,24295
680	5,89829	-5,24295	6,55364	-5,24295
700	6,55366	-5,24295	6,55365	-5,24295
720	5,8983	-5,89831	6,55365	-4,58759
740	5,8983	-5,89832	6,55365	-5,89831
760	6,55366	-5,89831	5,89829	-5,8983
780	5,8983	-5,89831	6,55365	-5,89831
800	5,8983	-5,89831	5,89829	-5,89831
820	5,8983	-5,89831	5,89829	-5,89831
840	5,8983	-6,55366	5,89829	-5,8983
860	4,58758	-5,89831	4,58756	-6,55366
880	-49,80731	-5,8983	3,93219	-5,89831
900	3,93219	-7,20903	3,93217	-6,55367
920	3,93217	-7,20904	7,86435	-7,20905
940	9,1751	-7,8644	7,20898	-7,20905
960	6,55362	-7,20905	6,55361	-7,20905
980	6,55361	-7,20905	6,55361	-6,55369
1000	6,55362	-7,20905	6,55361	-6,55369
1020	6,55363	-7,20906	6,55362	-7,20906
1040	6,55363	-7,20906	5,89826	-7,20906
1060	5,89827	-7,86443	5,89826	-7,86443
1080	6,55363	-9,17516	16,38413	-9,17516
1100	20,97175	-9,17517	19,00565	-9,17518
1120	18,35028	-9,17517	18,35026	-9,17516
1140	18,35027	-9,17517	17,6949	-9,17517
1160	17,69491	-9,83053	17,03953	-9,83053
1180	17,03954	-9,83054	17,69489	-9,83053
1200	17,03953	-9,83054	17,03953	-9,83054
1220	17,03954	-9,83054	17,69489	-9,17518
1240	17,6949	-9,17518	17,69489	-8,51982
1260	17,69491	-8,51982	17,03954	-7,86446
1280	17,03955	-8,51982	16,38418	-8,51982
1300	20,97178	-9,17519	24,24864	-9,17519
1320	22,93793	-9,1752	22,28254	-8,51983
1340	22,28256	-8,51983	22,28255	-7,86447
1360	21,62721	-7,86446	21,6272	-7,86446
1380	21,62721	-7,86446	21,6272	-7,2091
1400	21,62722	-7,2091	21,62722	-6,55374
1420	21,62722	-7,2091	22,28258	-7,2091
1440	22,28259	-7,2091	22,28258	-7,20911
1460	24,90405	-7,20911	38,66682	-7,2091
1480	43,90982	-7,86446	41,94371	-7,20909
1500	41,28834	-6,55372	41,28833	-6,55372
1520	41,9437	-6,55372	41,94368	-6,55372
1540	41,94368	-7,20908	41,94366	-6,55372
1560	41,94367	-7,20908	41,94365	-6,55371
1580	41,94365	-7,20907	41,94364	-6,55371
1600	41,94365	-7,20908	41,94363	-6,55372
1620	42,599	-7,20908	42,59899	-6,55372
1640	42,599	-6,55372	41,28827	-6,55372
1660	38,01143	-7,20909	38,66678	-6,55373
1680	39,32216	-7,20908	39,32215	-6,55372
1700	38,6668	-6,55372	38,6668	-6,55371
1720	38,66681	-7,20907	39,32217	-6,5537
1740	39,32218	-7,20907	39,32218	-6,5537
1760	39,32219	-7,20906	39,32219	-7,20906
1780	39,3222	-7,86442	39,32219	-7,86442
1800	39,97757	-7,86442	39,3222	-8,51978
1820	39,32221	-8,51978	39,3222	-8,51978
1840	47,18662	-8,51977	58,98329	-8,51976
1860	60,94944	-9,17513	58,98333	-8,51976
1880	58,98333	-9,17512	59,63868	-9,17512
1900	59,63869	-9,83048	59,63868	-9,83049
1920	59,63869	-9,83049	60,29404	-9,83049
1940	60,29405	-9,83049	60,29404	-9,83049
1960	60,29405	-9,83049	60,29405	-9,83049
1980	60,94941	-9,8305	60,94941	-9,17514
2000	60,94942	-9,17514	61,60477	-8,51978
2020	62,26015	-9,17514	62,26014	-9,17515
2040	62,91551	-9,83051	62,9155	-9,83051
2060	58,32794	-11,14125	57,67255	-11,14126
2080	58,32794	-11,14125	58,32793	-11,79661
