T	LX	LY	RX	RY
0	0	0	0	0
20	1,0000000003174E-5	0,65535999999999	9,9999999960687E-6	0
40	-0,65535	0	9,9999999960687E-6	0,65537
60	-0,65534	0	9,9999999960687E-6	9,9999999960687E-6
80	-1,3107	0,65535999999999	2,9999999995312E-5	0,65536
100	-1,96605	0,65535999999999	-1,31069	0,65537
120	-1,96605	0,65537	-1,31069	0,65537
140	-1,96604	1,31073	-1,30813	0,65537
160	-1,96603	0,65537	-1,96604	0,65537
180	-2,62139	0,65537	-1,96604	0,65537
200	-2,62139	1,31073	-1,96603	0,65537
220	-2,62139	0,65537	-1,96603	0,65537
240	-3,27674	1,31073	-1,96602	0,65538
260	-2,62138	1,31073	-1,96603	0,65538
280	-3,27674	0,65537	-2,62138	0,65538
300	-2,62138	1,31073	-1,96602	0,65538
320	-3,27674	0,65537	-1,96602	0,65538
340	-2,62138	0,65537	-1,96604	0,65537
360	-2,62139	9,9999999960687E-6	-1,31068	9,9999999960687E-6
380	-1,96604	9,9999999960687E-6	-1,31069	9,9999999960687E-6
400	-1,31068	9,9999999960687E-6	-0,65533000000001	9,9999999960687E-6
420	-1,96605	0,65537	-0,65532	9,9999999960687E-6
440	-1,31068	0,65537	-0,65532	0,65537
460	-1,31068	0,65537	-0,65533000000001	9,9999999960687E-6
480	-1,31068	9,9999999960687E-6	-0,65533000000001	9,9999999960687E-6
500	-1,31069	0	-1,31069	9,9999999960687E-6
520	-1,96605	0	-0,65533000000001	0
540	-1,31068	0,65535999999999	-1,96606	9,9999999960687E-6
560	-6,55362	0,65537	-4,58753	0,65536
580	-5,24288	0,65535999999999	-3,93216	0,65536
600	-5,24288	1,31072	-3,93217	0,65536
620	-5,24288	0,65535	-3,93217	-0,65536
640	-5,24288	-1,0000000003174E-5	-4,58753	-0,65537
660	-4,58752	-1,0000000003174E-5	-3,93216	-0,65536
680	-4,58752	-1,0000000003174E-5	-3,93216	-0,65537
700	-4,58751	-1,0000000003174E-5	-3,93216	-1,0000000003174E-5
720	-4,58751	-1,0000000003174E-5	-3,93215	-1,0000000003174E-5
740	-4,58751	0,65535	-3,93215	-1,0000000003174E-5
760	-4,58751	-1,0000000003174E-5	-2,62143	-1,0000000003174E-5
780	4,58765	1,31072	7,86449	0,65537
800	5,8984	1,31072	6,55375	1,31073
820	5,89841	1,31072	5,8984	0,65536
840	5,8984	1,96608	6,55377	1,31072
860	5,89841	1,96608	6,55377	1,31072
880	5,24305	1,31071	6,55377	1,31071
900	5,24306	1,31071	5,24306	1,31071
920	10,486	2,62144	24,24876	1,9661
940	25,55956	2,62146	24,90417	1,9661
960	24,24881	1,9661	24,90416	1,9661
980	24,2488	1,96609	25,5595	1,31073
1000	24,90415	1,96609	25,55949	1,31073
1020	25,55949	1,31073	26,21485	1,31073
1040	25,55949	1,31073	26,87021	0,65537
