T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65537	-0,65535999999999	-0,65537	0
40	-1,31074	-0,65535999999999	-1,31073	-0,65536
60	-1,96611	-1,31072	-1,9661	-0,65536
80	-5,89831	1,0000000003174E-5	-5,89832	9,9999999960687E-6
100	-5,89831	-0,65534	-5,24295	9,9999999960687E-6
120	-5,89832	-0,65535	-5,24295	0,65537
140	-6,55367	1,9999999999243E-5	-5,89831	9,9999999960687E-6
160	-6,55368	-0,65535	-6,55368	9,9999999960687E-6
180	-7,86441	1,0000000003174E-5	-7,20905	9,9999999960687E-6
200	-8,51979	-1,31071	-8,51978	-0,65535000000001
220	-9,83053	-1,31071	-10,48588	-1,31071
240	-11,14126	-1,96607	-11,14126	-1,31071
260	-11,79664	-1,96606	-11,79664	-1,3107
280	-12,45201	-1,96606	-12,452	-1,96606
300	-13,10737	-2,62142	-11,79664	-1,96606
320	-12,45201	-2,62141	-11,79664	-1,96605
340	-12,452	-1,96605	-11,79663	-1,31069
360	-11,14128	-1,96605	-10,48592	-1,31069
380	-10,48593	-1,96604	-9,1752	-1,31068
400	-9,83057	-1,96604	-8,51984	-0,65532
420	-9,17522	-1,96603	-8,51984	-1,31068
440	-9,17522	-1,31067	-8,51985	-0,65532
460	-9,17522	-1,31067	-9,17521	-0,65531
480	-9,83059	-1,31067	-9,17521	-0,6553
500	-9,83059	-1,31066	-9,83058	-0,6553
520	-9,83059	-1,31065	-9,83059	-0,6553
540	-8,51985	-0,65528	-6,55372	7,9999999996971E-5
560	-7,86446	9,0000000000146E-5	-7,2091	9,0000000000146E-5
580	-7,86447	-0,65526	-6,55374	9,0000000000146E-5
600	-7,20911	-0,65526	-7,2091	0,00010999999999939
620	-52,42895	-0,65526	-7,2091	-0,65526000000001
640	-7,86447	-0,65526	-7,2091	-0,65526000000001
660	-7,86448	-1,31061	-7,20911	-0,65526000000001
680	-7,86448	-1,31061	-7,86448	-0,65525
700	-8,51984	-1,31061	-7,86447	-1,31061
720	-8,51985	-1,31061	-7,86448	-0,65525
