T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,31073	0	-0,65537
40	-1,31071	-1,96524	-0,65535	-1,96609
60	-1,3107	-3,27681	0,6554	-3,2768
80	7,2091	-6,5536	9,83061	-5,89822
100	9,17525	-6,55358	9,17525	-5,24285
120	9,17526	-5,24284	9,83063	-5,24283
140	9,83063	-5,89818	9,83064	-4,58745
160	9,83066	-3,27672	11,14139	-2,62134
180	10,48604	-3,27669	9,83069	-1,3106
200	9,8307	-1,96595	9,8307	0,00014000000000181
220	9,17535	0,65551	9,83071	1,96624
240	9,17536	1,96624	9,17535	3,27698
260	9,17535	2,62162	9,17534	3,93235
280	9,17534	3,93235	9,17534	5,24307
300	9,17534	5,24307	9,8307	5,89844
320	9,83071	4,58771	10,48607	5,24308
340	10,48608	4,58771	11,14144	5,89844
360	11,14144	4,58772	11,7968	5,24308
380	11,79681	5,24307	11,79682	6,55379
400	12,45219	6,55379	12,4522	7,86451
420	12,4522	7,20914	13,10757	7,8645
440	13,10757	7,86451	13,76293	8,51987
460	13,76293	8,51987	14,41828	9,8306
480	14,41827	9,17524	15,07362	10,48596
500	15,07362	11,14132	16,38434	12,45204
520	16,38434	13,76276	17,03969	16,38422
540	17,03968	16,38422	17,69502	17,69494
560	17,69501	18,35029	19,00571	19,00566
580	18,35034	19,00566	19,00569	19,66102
600	19,00567	19,66102	19,00565	20,97175
620	17,03954	20,97175	5,89823	21,62715
640	-1,96362	21,62715	-1,3108	23,59324
660	-1,31081	24,2486	-0,65546	24,24861
680	-1,31083	22,93789	-1,96622	20,97182
700	-3,27694	17,695	-3,9323	14,4182
720	-5,24303	12,45211	-5,24305	11,79675
740	-5,24306	11,14139	-4,58773	12,45211
760	-3,93239	12,45211	-2,62169	12,45212
780	-1,96635	10,48602	-0,00030999999999892	8,51994
800	1,31039	5,24311	3,9318	2,62165
820	4,58714	0,00019999999999953	6,5532	0,00020000000000664
840	7,86391	-2,62126	9,17463	-4,58735
860	9,82997	-7,20881	10,48532	-7,20881
880	11,79603	-9,1749	13,10675	-9,83026
900	13,76211	-11,141	15,07283	-12,45172
920	15,07284	-14,41782	16,38355	-16,3839
940	16,38356	-19,00536	17,69428	-17,69464
960	18,34965	-20,31609	18,34965	-24,24827
980	19,00501	-28,18046	20,31572	-28,83584
1000	20,31572	-30,80193	21,62642	-32,11266
1020	22,28179	-35,38948	22,93713	-36,70021
1040	24,24785	-39,32167	24,9032	-40,6324
1060	25,55853	-43,25385	26,21389	-44,56457
1080	27,5246	-47,84139	28,17994	-49,1521
1100	29,49065	-51,11819	30,14599	-50,46281
1120	30,80135	-51,77354	31,45669	-51,77353
1140	32,11205	-53,73962	33,42275	-53,08425
1160	33,42274	-55,05034	34,73345	-54,39497
1180	35,38881	-55,7057	37,35487	-55,70569
1200	37,35486	-56,36105	38,66558	-56,36104
1220	39,32093	-57,0164	40,63164	-57,0164
1240	40,63163	-57,67175	41,28697	-56,36102
1260	41,28695	-58,32709	42,59765	-58,32709
1280	41,94229	-59,63781	43,25299	-58,98244
1300	43,25299	-61,60388	43,90834	-61,60388
1320	43,25297	-62,9146	43,90832	-63,56995
1340	43,25295	-64,88068	43,25294	-64,22531
1360	43,25293	-64,2253	43,25293	-63,56993
1380	43,25293	-63,56993	43,25293	-62,91457
1400	43,25293	-63,56994	43,25293	-62,91458
1420	43,25293	-63,56994	43,90829	-61,60386
1440	43,25293	-62,25924	43,90829	-61,60388
1460	43,25293	-61,60389	43,25293	-60,94853
1480	42,59757	-60,29318	43,25293	-59,63782
1500	42,59757	-60,94855	42,59757	-60,94856
1520	42,59757	-61,60393	42,59757	-60,29321
1540	41,94221	-61,60394	41,94221	-60,29322
1560	41,28685	-60,29322	40,63149	-58,98249
1580	39,97613	-59,63787	39,32077	-59,63787
1600	38,66541	-58,98251	38,01005	-57,67178
1620	37,35469	-58,32715	37,35469	-57,01643
1640	36,04397	-57,01644	36,04397	-56,36107
1660	35,38861	-57,01644	34,73325	-55,05035
1680	34,73325	-55,05035	35,38861	-53,73963
1700	34,73325	-55,05036	35,38861	-54,39499
1720	36,04397	-55,70572	36,04397	-55,05036
1740	36,04397	-55,70572	36,69933	-55,05036
1760	36,69933	-54,395	36,69933	-53,08427
1780	36,69933	-53,73964	37,35469	-52,42891
1800	36,69933	-53,08427	37,35469	-51,77353
1820	36,69933	-52,42889	36,69933	-51,11816
1840	36,04397	-51,77352	36,04397	-51,11815
1860	36,04397	-51,77351	36,04398	-50,46278
1880	36,04398	-50,46279	36,69935	-49,15206
1900	36,69937	-48,49669	36,69938	-47,84132
1920	36,69939	-48,49669	37,35476	-47,18597
1940	36,69941	-47,84133	37,35477	-45,21987
1960	36,69943	-45,87524	36,69944	-44,5645
1980	36,69944	-44,5645	36,69945	-43,25377
2000	36,04409	-45,21986	36,04409	-44,5645
2020	35,38874	-44,56451	35,38874	-43,25378
2040	35,38874	-43,2538	34,73339	-41,94307
2060	34,07803	-41,28772	34,73338	-38,66629
2080	34,73338	-38,66629	34,73337	-36,70021
2100	35,38873	-37,35557	35,38871	-36,70022
2120	34,73335	-36,70022	35,38869	-36,04486
2140	34,73332	-37,35558	34,73331	-36,04486
2160	34,07794	-36,70021	34,07794	-36,04484
2180	33,42258	-36,69932	33,42257	-36,04482
2200	32,76721	-36,70019	32,76721	-36,70018
2220	32,11185	-37,35554	32,11185	-37,35554
2240	31,45649	-38,66627	33,42259	-39,32162
2260	45,8746	-39,3216	51,773	-39,32158
2280	50,46229	-40,6323	48,4962	-38,66622
2300	47,84084	-38,66622	49,15156	-38,01085
2320	47,84084	-39,32157	47,84084	-38,01084
2340	47,18548	-38,66621	47,18547	-38,01084
2360	46,53012	-38,66621	46,53012	-37,35549
2380	46,53012	-36,70013	46,53011	-34,73404
2400	45,87475	-34,73404	46,53011	-32,76795
2420	45,87475	-33,42331	46,53011	-32,76794
2440	45,87475	-33,42331	46,5301	-32,11258
2460	45,87474	-33,42331	45,87474	-31,45722
2480	45,87474	-32,11259	45,87474	-30,1465
2500	45,21939	-30,80186	45,87475	-30,1465
2520	45,21939	-30,80186	45,8773	-30,1465
2540	45,87476	-30,1465	45,87476	-30,14649
2560	45,2194	-30,80186	45,87476	-30,14649
2580	45,87477	-30,1465	45,87477	-29,49113
2600	50,46235	-28,83576	66,19125	-26,86963
2620	70,77894	-27,52498	69,46823	-24,90353
2640	68,15748	-24,24818	68,15748	-23,59282
2660	67,50212	-22,93745	67,50211	-20,97136
2680	66,84675	-20,97136	66,84675	-19,00527
2700	66,19138	-19,00527	66,19138	-17,69454
2720	65,53602	-17,69455	64,88066	-17,03918
2740	64,88066	-17,03919	64,2253	-16,38383
2760	64,22529	-17,0392	63,56994	-16,38383
2780	64,2253	-15,72847	63,56993	-15,07311
2800	63,56993	-15,72848	63,56993	-15,72847
2820	62,91456	-17,69456	62,91456	-16,38383
2840	62,25919	-17,69456	62,25918	-17,69456
2860	62,25918	-19,00528	68,15749	-17,69454
2880	77,33273	-17,69451	78,64351	-17,6945
2900	77,33278	-17,69451	76,67741	-16,38378
2920	76,67743	-17,69451	77,33278	-16,38378
2940	76,67743	-17,6945	77,33278	-17,03915
2960	76,67742	-18,34987	76,67742	-18,34987
2980	76,67742	-19,66059	77,33278	-18,34987
