T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0,65535000000001	0,65537
40	-9,9999999960687E-6	0	0,65536	0,65537
60	0	1,0000000003174E-5	0,65535000000001	1,31073
80	-0,65537	1,0000000003174E-5	-9,9999999960687E-6	0,65538
100	-9,9999999960687E-6	0,65537	0	1,31074
120	-0,65537	0,65537	0	1,31074
140	-0,65537	0,65537	-0,65537	1,31073
160	-1,31074	0,65537	-1,9999999999243E-5	1,31073
180	-1,31074	0,65537	-9,9999999960687E-6	0,65538
200	-1,31074	0,65537	-0,65537	1,31074
220	-1,31073	2,0000000006348E-5	-0,65537	0,65538
240	-1,31073	1,31073	-0,65537	0,65538
260	-1,31073	0,65537	-0,65537	0,65538
280	-1,31073	1,0000000003174E-5	-1,31073	0,65538
300	-1,96609	0,65538	-0,65537	1,31074
320	-1,31073	2,0000000006348E-5	-1,31073	1,31075
340	-1,31073	0,65539	-0,65537	1,31074
360	-1,96609	0,65538	-1,31073	1,31075
380	-1,96608	1,31075	-1,31072	1,31075
400	-1,96608	0,65539	-1,31072	1,31075
420	-1,96608	0,65539	-1,31073	1,31075
440	-1,96608	0,65539	-1,31073	0,65539
460	-2,62145	0,65539	-1,96609	1,31075
480	-2,62144	0,65539	-1,31072	0,65539
500	-3,27682	0,65539	-9,17513	-0,65534
520	-15,07346	-1,31073	-14,4181	-1,31072
540	-14,4181	-1,31073	-13,76273	-0,65536
560	-14,4181	-1,31072	-13,76274	9,9999999960687E-6
580	-14,4181	-0,65535	-13,76274	9,9999999960687E-6
600	-15,07346	-0,65535	-13,76274	-0,65534
620	-14,4181	-0,65534	-13,76274	1,9999999999243E-5
640	-14,4181	-0,65535	-13,76273	1,9999999999243E-5
660	-15,07346	-0,65534	-13,76274	2,9999999995312E-5
680	-14,4181	-0,65534	-13,76274	1,9999999999243E-5
700	-14,4181	-0,65535	-13,76274	1,9999999999243E-5
720	-13,76274	-1,31071	-13,10739	-0,65535000000001
740	-13,76275	-0,65535	-13,10739	-0,65535000000001
