T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65536	0,65536	1,96608
40	0,65535000000001	2,62146	1,31071	3,27682
60	1,96607	3,27682	2,62144	3,93217
80	3,27679	5,89828	4,58752	6,55364
100	5,24288	7,86437	5,89826	7,86436
120	5,89827	7,86437	5,89828	6,55364
140	5,89829	7,20902	6,55368	7,86438
160	6,55369	8,51976	6,5537	8,51975
180	6,55371	9,83049	5,89836	9,83048
200	5,89835	9,17512	5,243	9,83048
220	3,27701	9,83049	2,62167	10,48585
240	1,96629	11,79659	1,31092	11,79659
260	0,65555000000001	11,14124	0,65554	11,14124
280	0,65553000000001	10,48589	0,00016000000000105	11,14125
300	0,00015000000000498	11,14126	0,00015000000000498	12,45198
320	0,00015000000000498	12,45199	0,00014000000000181	13,7627
340	0,00015000000000498	13,76271	0,00015000000000498	15,07343
360	0,00015000000000498	15,7288	0,00015000000000498	16,38416
380	0,00016000000000105	17,69489	-0,65519999999999	17,69487
400	0,00016000000000105	17,03953	-0,65519999999999	17,03951
420	-1,31056	17,03952	-1,31055	17,03951
440	-1,31055	16,38416	-1,31055	16,38416
460	-1,31055	17,03952	-1,31054	17,03951
480	-2,62127	15,72879	-2,62126	15,07342
500	-2,62129	13,10734	-2,62131	13,10732
520	-2,6213	13,10733	-2,6213	12,45196
540	-2,62129	12,45196	-3,27665	12,45195
560	-3,27665	12,45196	-3,93199	11,79659
580	-3,93199	11,79659	-4,58734	11,79658
600	-4,58734	11,79659	-5,24268	11,79658
620	-5,89803	12,45195	-6,55338	11,79658
640	-6,55338	12,45196	-6,55337	12,45195
660	-7,86409	12,45196	-7,86408	13,10732
680	-8,51944	12,45196	-8,51943	12,45196
700	-9,17479	12,45196	-9,83014	12,45195
720	-9,83014	12,45196	-10,48549	13,10732
740	-10,48549	12,45196	-10,48548	13,10732
760	-11,14084	12,45197	-10,48548	13,10732
780	-10,48549	12,45197	-9,83014	12,45195
800	-8,51944	11,14123	-7,86408	11,14121
820	-7,20874	10,48586	-7,20875	10,48585
840	-6,5534	9,83049	-7,20875	9,83049
860	-7,20876	9,83049	-7,20876	9,83048
880	-6,5534	9,83049	-7,20875	10,48585
900	-7,86411	10,48585	-7,20875	10,48584
920	-7,20875	9,83049	-7,86411	9,83047
940	-7,86411	9,17512	-7,86411	9,17511
960	-8,51947	9,17511	-7,86412	8,51975
980	-7,86413	9,17511	-7,86412	9,1751
1000	-7,86413	9,17511	-7,86413	8,51974
1020	-8,51949	9,17511	-7,86413	9,1751
1040	-8,5195	9,17511	-8,51949	9,1751
1060	-7,86414	9,17511	-7,86414	9,83047
1080	-7,86414	9,17512	-7,86414	9,17511
1100	-7,86415	9,17511	-8,5195	9,1751
1120	-8,5195	9,17511	-8,51951	9,17511
1140	-8,51951	8,52029	-9,17486	9,17511
1160	-9,17486	8,51975	-9,17486	8,51974
1180	-9,17486	7,8644	-9,17486	8,51975
1200	-9,17486	7,8644	-9,83022	7,86439
1220	-9,83022	7,8644	-9,83022	7,86439
1240	-9,83022	7,8644	-9,83022	7,86439
1260	-10,48558	7,20904	-10,48558	6,55367
1280	-10,48559	7,20904	-10,48558	7,20903
1300	-11,14094	7,20904	-11,14094	7,20904
1320	-11,14094	7,20904	-11,14094	7,20904
1340	-11,14094	6,55368	-11,79629	6,55367
1360	-11,14093	6,55368	-11,79629	5,89831
1380	-11,79629	5,89832	-12,45165	5,8983
1400	-12,45165	5,24295	-12,45165	5,24294
1420	-13,107	5,24294	-13,76223	4,58757
1440	-13,7622	3,27687	-15,07293	4,58758
1460	-15,07294	4,58759	-15,72829	4,58758
1480	-15,72829	4,58759	-15,72829	4,58759
1500	-15,7283	4,5876	-16,38366	4,58759
1520	-16,38366	4,5876	-16,38366	4,58759
1540	-16,38366	4,5876	-17,03902	4,58759
1560	-17,03903	3,93223	-15,72832	3,27686
1580	-15,07043	3,27687	-14,41763	3,27685
1600	-13,76229	2,6215	-13,76229	3,27684
1620	-13,10694	2,62149	-13,10695	3,27684
1640	-13,10695	2,62149	-13,76231	3,27684
1660	-13,10695	3,27685	-13,10695	3,27685
1680	-13,10695	3,27685	-13,7623	3,27684
1700	-13,10694	2,62148	-13,10694	2,62147
1720	-13,10695	2,62148	-13,10694	2,62147
1740	-13,10695	2,62148	-12,45159	2,62148
1760	-12,45159	2,62148	-12,45158	2,62147
1780	-11,79622	3,27684	-11,79622	3,9322
1800	-11,79622	3,93221	-11,79622	3,9322
1820	-11,14085	4,58757	-11,14085	4,58756
1840	-11,14085	4,58757	-11,14085	4,58756
1860	-62,25893	3,9322	-11,14084	3,93219
1880	-11,14084	3,9322	-11,14084	3,93218
1900	-11,79619	3,93219	-11,79619	3,93218
1920	-11,14091	1,31076	-12,4517	1,31072
1940	-11,79633	1,96609	-11,14094	2,62146
1960	-11,14094	2,62147	-11,7963	2,62146
1980	-11,14094	3,27683	-11,7963	3,27682
2000	-11,7963	3,27683	-12,45166	3,93218
2020	-12,45166	3,27683	-13,10701	3,27682
2040	-13,10701	3,93219	-13,107	3,93219
2060	-13,76237	3,9322	-13,76236	3,27683
2080	-14,41772	3,27683	-15,07308	3,27683
2100	-15,72844	3,27684	-15,72844	2,62147
2120	-16,3838	2,62148	-17,69452	2,62147
2140	-18,34988	1,31076	-19,00524	1,31075
2160	-19,6606	1,31076	-20,31596	0,6554
2180	-20,31597	3,9999999998486E-5	-20,31597	-0,65533
2200	-20,31599	-0,65533	-19,66064	-1,3107
2220	-19,66065	-1,96606	-19,66066	-1,96607
2240	-19,00528	-1,3107	-18,34969	1,9999999999243E-5
2260	-17,69417	0,65541	-19,00489	1,96612
2280	-20,31563	2,62151	-21,62636	3,27686
2300	-21,62637	3,27685	-21,62636	3,93221
2320	-22,28173	3,93222	-22,28173	3,93222
2340	-22,28174	3,93222	-22,28174	3,93221
2360	-22,28174	4,58758	-22,28174	4,58757
2380	-21,62639	4,58758	-21,62639	5,24294
2400	-20,97103	5,89831	-20,97104	6,55366
2420	-20,97104	7,20903	-20,31567	7,20902
2440	-20,31567	6,55366	-20,9711	3,9322
2460	-20,31577	3,93219	-19,6604	3,93219
2480	-19,00504	4,58756	-19,6604	4,58755
2500	-19,66041	4,58756	-19,66041	4,58755
2520	-19,00505	5,24291	-19,00505	5,24291
2540	-18,34969	5,24292	-18,34969	5,24291
2560	-18,34969	5,89828	-18,34968	5,89827
2580	-17,69432	5,24292	-17,69432	5,89827
2600	-17,69432	5,89829	-17,69432	5,89828
2620	-17,69432	5,89829	-17,69431	6,55364
