T	LX	LY	RX	RY
0	0	0	0	0
20	1,0000000003174E-5	0	0,65536	0
40	0,65536	-1,0000000003174E-5	0,65536	0
60	0,65536	-1,0000000003174E-5	0,65536	0
80	0,65536	-1,0000000003174E-5	0,65536	-0,65536
100	0,65536	-0,65537	0,65536	0
120	0,65536	-1,0000000003174E-5	1,31072	0
140	0,65535000000001	0	0,65535000000001	0
160	1,31071	0,65535000000001	1,31072	0
180	1,31072	0	1,31071	0
200	0,65536	0	0,65535000000001	1,0000000003174E-5
220	1,31071	0,65536	1,31071	0
240	1,31071	0	1,96607	0
260	1,31071	0	1,3107	-0,65536
280	1,31071	0	1,96606	-0,65536
300	1,3107	-0,65536	1,96606	-0,65536
320	1,3107	-0,65536	1,3107	-0,65535
340	1,3107	-0,65536	1,3107	-0,65535
360	0,65534	-0,65536	0,65534	-0,65536
380	0,65535000000001	-0,65536	0,65534	-0,65536
400	0,65534	-0,65537	0,65534	-1,31072
420	0,65535000000001	-1,31072	0,65534	-1,31072
440	0,65534	-1,31073	0,65534	-1,31072
460	0,65534	-0,65537	0,65534	-1,31072
480	0,65535000000001	-0,65536	0,65535000000001	-0,65535
500	-9,9999999960687E-6	-0,65536	0,65534	-0,65536
520	0,65535000000001	-0,65536	0,65534	0
540	0,65535000000001	0	0,65535000000001	1,0000000003174E-5
560	0,65535000000001	0	0,65535000000001	1,0000000003174E-5
580	0,65536	0	0,65535000000001	1,0000000003174E-5
600	0,65536	0	0,65535000000001	1,0000000003174E-5
620	0,65536	0	0,65535000000001	-0,65535
640	0,65536	0	0,65535000000001	-0,65535
660	0,65536	0	0,65535000000001	0
680	0,65536	0	0,65535000000001	1,0000000003174E-5
700	0,65535000000001	0	0,65535000000001	-0,65535
720	0,65535000000001	0	0,65535000000001	-0,65535
740	0,65535000000001	0	0,65535000000001	1,0000000003174E-5
760	0,65535000000001	1,0000000003174E-5	0,65535000000001	1,0000000003174E-5
780	-9,9999999960687E-6	0	0,65535000000001	2,0000000006348E-5
800	-9,9999999960687E-6	1,0000000003174E-5	0,65536	0,65538000000001
820	4,58759	1,31073	6,55372	1,96609
840	5,243	2,62145	5,24299	2,62146
860	5,243	2,62146	5,24299	2,62146
880	5,24299	3,27682	5,24299	2,62147
