T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	-0,65537	-0,65536	-0,65536
40	-0,65537	-0,65537	-0,65536	-0,65537
60	-1,31073	-0,65538	-1,31072	-0,65538
80	-1,31073	-1,31076	-1,31072	-1,31075
100	-1,31074	-1,31076	-0,65537	-2,62147
120	-1,9999999999243E-5	-1,96613	-0,65538	-2,62147
140	-2,9999999995312E-5	-1,96613	-1,9999999999243E-5	-2,62148
160	0,65532	-2,6215	0,65533	-2,62149
180	0,65532	-1,96614	1,31069	-1,96614
200	1,31068	-1,31079	1,96604	-1,31079
220	1,96604	-0,65545	2,6214	-7,9999999996971E-5
240	2,62139	-9,0000000000146E-5	2,6214	-9,0000000000146E-5
260	2,62139	-9,0000000000146E-5	2,6214	-9,9999999996214E-5
280	2,62138	-0,00010999999999939	3,27675	-0,00010999999999939
300	3,93209	0,65524	3,9321	0,65524
320	4,58745	1,31059	4,58746	2,62132
340	5,89816	2,62131	6,55352	2,62131
360	7,20887	2,6213	7,86424	3,27667
380	8,51959	3,27666	9,17496	3,27667
400	9,17495	3,27665	9,17496	2,6213
420	9,17496	2,62129	9,17496	1,31058
440	9,17496	1,31058	8,51961	0,65522
460	7,86424	-0,00015000000000498	7,86426	-0,6555
480	7,20889	-0,65551	6,55354	-0,6555
500	6,55353	-0,6555	5,89818	-0,65549
520	5,24281	-0,65549	5,24282	-0,00012999999999863
540	5,24282	0,65523	5,24283	0,65525
560	4,58745	0,65524	4,58747	-0,00010999999999939
580	4,58746	0,65525	4,58747	-9,9999999996214E-5
600	3,9321	-0,00010999999999939	4,58747	-0,65546
620	3,93211	-0,65547	3,93212	-0,65546
640	3,93211	-1,31083	3,93212	-1,31083
660	3,93211	-1,31084	3,93212	-0,65547
680	3,27675	-0,65547	2,6214	-0,65546
700	2,62139	-0,00010999999999939	2,6214	-1,31082
720	2,62139	-1,31083	2,6214	-1,31082
740	2,6214	-1,31082	1,96605	-1,31081
760	1,96604	-1,31082	1,96605	-1,31081
780	-47,18596	-1,31082	1,31069	-1,3108
800	1,31068	-1,31081	1,31069	-1,3108
820	0,65533	-0,65545	0,65533	-7,9999999996971E-5
