T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	0,65537	1,0000000003174E-5	1,0000000003174E-5
40	0,65536	0,65538	0,65537	0,65537
60	0,65536	1,31074	0,65537	1,31074
80	0,65536	1,96611	0,65537	1,9661
100	1,0000000003174E-5	2,62148	1,0000000003174E-5	2,62147
120	1,0000000003174E-5	3,27684	0,65538	3,27683
140	2,6215	4,58757	3,27686	5,24294
160	3,27686	6,55368	3,27686	6,55368
180	3,27686	7,86441	3,27686	7,20904
200	3,93222	8,51977	3,93222	7,20904
220	3,93222	8,51977	3,93223	8,51977
240	3,93223	9,17514	3,93223	8,5203
260	5,24295	9,17513	5,24295	9,17513
280	5,89831	9,8305	6,55368	9,83049
300	7,20903	9,8305	7,20904	9,83049
320	7,86439	10,48585	8,51975	9,83049
340	8,51975	11,14122	9,17511	9,83049
360	11,79658	9,17513	22,28245	7,20902
380	28,83611	5,89829	29,49148	6,55366
400	29,49147	7,8644	29,49148	7,20903
420	30,14684	7,8644	30,14685	7,20903
440	30,14685	7,20903	30,14685	6,55367
460	29,49149	6,55367	29,4915	5,8983
480	29,4915	6,55367	28,83615	4,58758
500	28,83615	5,24294	28,83616	3,93221
520	28,83616	3,93222	28,83616	2,62149
540	28,83616	2,6215	28,83616	1,31076
560	28,83615	1,96612	28,18079	0,65539
580	28,83614	0,6554	28,18078	0,65539
600	28,18077	2,9999999995312E-5	27,52541	-0,65534
620	27,5254	1,9999999999243E-5	27,5254	-0,65535
640	26,87004	-0,65534	27,52541	-1,31071
660	26,87005	-0,65534	26,87005	-1,96607
680	27,52541	-1,96607	27,52541	-2,62145
700	27,52541	-1,96608	27,52542	-2,62145
720	27,52542	-2,62144	26,87006	-3,27681
740	26,87006	-1,96609	26,2147	-1,9661
760	26,2147	-1,96609	26,21471	-1,9661
780	26,21471	-1,31074	26,21473	-2,62147
800	25,55937	-2,62147	25,55938	-3,93221
820	19,66111	-4,58756	14,4182	-4,58758
840	15,07357	-3,27683	15,72894	-3,27683
860	15,72894	-2,62146	15,72894	-2,62148
880	15,72895	-1,96611	15,07359	-1,96611
900	15,0736	-0,65539	15,0736	-0,6554
920	15,0736	-3,0000000002417E-5	15,07361	-0,6554
940	14,41825	-0,65539	14,41826	-1,96612
960	14,41826	-1,31075	11,79681	-2,62149
980	-1,96587	-1,96613	-3,93202	-1,31078
1000	-3,27665	0,65533	-1,96592	1,31069
1020	-1,96592	1,96607	-1,96592	1,96607
1040	-1,31056	2,62143	-1,31056	1,31071
1060	-1,31056	1,96609	-1,31056	1,31072
1080	-0,65521	1,31073	-1,31057	1,0000000003174E-5
1100	-0,65522	0,65538	-0,65522	1,0000000003174E-5
1120	0,00012999999999863	0,65538	0,00012999999999863	0,65538
1140	0,65548	1,96611	0,65547	2,62147
1160	1,96618	4,58756	2,62153	4,58755
1180	4,5876	6,55365	5,24294	7,209
1200	6,55365	9,1751	9,17512	9,17509
1220	11,79659	10,48582	12,45193	10,48582
1240	12,4519	10,48583	12,45189	9,17509
1260	11,79652	9,17509	11,79652	7,20899
1280	11,14116	6,55363	10,4858	4,58753
