T	LX	LY	RX	RY
0	0	0	0	0
20	-1,31071	-1,31072	-0,65535	-1,96607
40	-1,31071	-1,96608	-0,65535999999999	-1,96608
60	-1,31071	-1,96608	0,65537	-0,65535999999999
80	1,9999999999243E-5	-0,65535999999999	1,31073	0,65536
100	0,65537	1,31072	2,62144	1,96608
120	1,31074	2,62144	3,27681	3,93215
140	2,62145	3,93215	3,93216	3,93215
160	3,93218	6,55359	7,20902	9,17504
180	6,55369	9,83039	7,86439	11,14111
200	7,8644	12,45184	9,83048	14,41791
220	9,83048	15,72862	11,79655	18,35006
240	11,79656	19,66078	13,76263	21,62685
260	12,45192	22,93758	15,07335	24,2483
280	13,76264	24,90365	15,72872	26,21437
300	15,72872	27,52509	17,03944	28,18045
320	15,73128	28,83581	17,6948	29,49117
340	17,03946	30,14653	18,35017	31,45725
360	17,69482	32,76797	19,66089	33,42333
380	18,35018	34,73405	19,66089	34,73405
400	19,00554	34,73404	20,31625	36,04477
420	19,6609	36,04477	20,97162	37,35549
440	19,00552	36,70013	20,97161	38,01086
460	19,6609	39,32158	20,97162	40,6323
480	20,31627	41,28766	22,28235	42,59838
500	21,627	43,25374	22,93771	44,56447
520	22,28236	45,21983	23,59308	45,21982
540	22,28236	45,21983	23,59308	45,21983
560	22,93773	45,21983	24,24844	45,21982
580	22,28236	45,21982	23,59308	45,87518
600	22,93773	45,21982	24,24844	45,21982
620	22,93772	45,87518	24,24844	45,21981
640	22,93772	45,21981	24,24844	45,2198
660	22,28237	44,56444	24,24844	45,2198
680	22,93773	44,56444	24,24844	44,56443
700	23,59309	45,87514	27,52534	45,87514
720	28,83615	45,8751	29,49148	45,87511
740	28,18076	45,87512	29,49148	45,87512
760	28,18076	45,8751	28,83611	45,8751
780	28,18075	45,87509	29,49147	45,87509
800	28,18076	45,87508	29,49147	45,87508
820	28,18075	45,87507	30,14683	45,87507
840	26,87002	45,87507	26,86998	45,87507
860	25,55927	45,87506	27,52535	45,87507
880	25,55928	45,87507	26,86999	45,87506
900	24,90392	45,87506	26,21463	45,87505
920	24,90392	45,87505	26,21463	45,87505
940	24,90393	45,87504	26,21464	45,87504
960	24,90393	45,87503	26,21464	45,87503
980	24,90393	45,87502	26,21464	45,87501
1000	25,55929	45,875	26,21464	45,87501
1020	24,90393	45,875	26,87	45,875
1040	25,55929	45,87499	26,87001	45,87498
1060	24,24857	45,87498	24,24851	45,87498
1080	22,93779	45,87499	24,90389	45,87498
1100	23,59317	45,87498	24,90389	45,87497
1120	23,59318	45,87497	24,24854	45,87497
1140	23,59318	45,87496	24,90389	45,87496
1160	23,59318	45,87495	24,90389	45,87496
1180	23,59318	45,87494	24,24853	45,87495
1200	22,93782	45,87494	24,24854	45,87494
1220	22,93782	45,87494	24,24853	45,87494
1240	22,93782	45,87493	24,24853	45,87494
1260	22,93781	45,87492	24,24853	45,21957
1280	22,93781	45,21956	24,24853	45,21956
1300	22,28245	45,21956	23,59317	45,21956
1320	22,93782	45,21955	24,24853	45,21955
1340	22,93782	45,21956	23,59317	45,21956
1360	22,28246	45,21956	23,59318	45,21956
1380	22,28246	44,56419	23,59318	44,56419
1400	22,28247	44,56419	23,59318	44,56419
1420	21,62711	44,56419	23,59319	44,56419
1440	21,6271	44,56419	22,93783	44,56419
1460	21,62711	44,56419	22,93783	43,90882
1480	22,28247	43,90882	23,59319	43,90882
1500	21,62711	43,25346	23,59318	43,90882
1520	22,28246	43,25345	22,93781	43,25345
1540	21,6271	43,25345	22,93781	43,25344
1560	21,6271	42,59809	22,28245	42,59808
1580	21,6271	42,59808	22,28246	42,59808
1600	20,97174	42,59808	22,28245	41,94271
1620	20,97173	41,94271	22,28244	41,28735
1640	20,97173	41,28734	22,28244	41,28734
1660	20,97173	41,28734	24,90395	45,21949
1680	32,76844	45,87483	39,9775	45,87479
1700	38,01142	45,87479	39,32214	45,87481
1720	38,01143	45,87481	39,32215	45,87481
1740	38,01144	45,8748	38,66679	45,87481
1760	37,35608	45,8748	38,66679	45,8748
1780	36,70072	45,8748	38,01143	45,8748
1800	37,35608	45,8748	38,01143	45,8748
1820	36,70072	45,8748	38,01144	45,8748
1840	36,70072	45,8748	38,01144	45,8748
1860	36,04536	45,8748	38,01143	45,87479
1880	36,70072	45,8748	37,35607	45,8748
1900	36,04536	45,8748	37,35607	45,8748
1920	36,04536	45,87479	37,35607	45,8748
1940	36,04535	45,8748	37,35607	45,8748
1960	36,04536	45,8748	39,32217	45,87481
1980	38,01149	45,87483	39,3222	45,87482
2000	37,35612	45,87484	39,3222	45,87485
2020	37,35613	45,87485	38,66684	45,87486
2040	37,35613	45,87485	38,66684	45,87485
2060	37,35613	45,87485	39,3222	45,87485
2080	38,01149	45,87484	39,32221	45,87486
2100	38,0115	45,87486	39,97757	45,87486
2120	39,32222	45,87485	40,63294	45,87485
2140	39,97758	45,87484	41,28829	45,87485
2160	40,63294	45,87484	41,94365	45,87485
2180	40,63294	45,87485	42,59901	45,87485
2200	41,28829	45,87484	42,59899	45,87484
2220	41,28828	45,87483	42,59899	45,87484
2240	41,94364	45,87483	43,25435	45,87484
2260	41,94364	45,87484	43,90972	45,87483
2280	51,77415	45,87483	65,5369	45,87479
2300	66,84767	45,87475	67,503	45,87478
2320	66,19229	45,87479	67,503	45,8748
2340	66,19229	45,8748	66,84764	45,8748
2360	65,53692	45,8748	66,84763	45,8748
2380	65,53692	45,8748	67,50299	45,87481
2400	66,19228	45,8748	67,50299	45,8748
2420	66,19227	45,8748	67,50299	45,8748
2440	66,19228	45,87479	67,50298	45,8748
2460	66,19227	45,87479	67,50298	45,87479
2480	66,19226	45,87479	67,50297	45,8748
2500	65,53691	45,87482	66,84762	45,87482
2520	65,53692	45,87482	66,84763	45,87484
2540	64,88156	45,87484	66,19228	45,87484
2560	64,22619	45,87483	65,53691	45,87483
2580	64,2262	45,87482	65,53691	45,87482
2600	64,2262	45,87482	65,5369	45,87482
2620	64,22619	45,87481	65,5369	45,87481
2640	63,57083	45,87481	64,88154	45,87482
2660	62,91547	45,87481	68,15838	45,87482
2680	76,02291	45,87483	77,98911	45,87481
2700	76,02304	45,87481	76,67838	45,87482
2720	75,36767	45,87483	76,67839	45,87483
2740	74,71232	45,87483	76,02302	45,87482
2760	74,71231	45,87483	76,02302	45,87482
2780	74,71231	45,87482	76,02302	45,87482
2800	74,7123	45,87481	76,02301	45,87481
2820	74,71229	45,8748	76,02301	45,8748
2840	75,36766	45,8748	76,67836	45,8748
2860	75,36765	45,87479	77,33371	45,87479
2880	76,02301	45,87478	77,33372	45,87478
2900	76,023	45,87477	77,33371	45,87476
2920	76,023	45,87476	77,33371	45,87476
2940	76,02299	45,87476	77,33371	45,87475
2960	76,02299	45,87475	77,98906	45,87475
2980	76,67835	45,87475	77,98906	45,87474
3000	76,67835	45,87474	77,98906	45,87474
3020	76,67835	45,87474	78,64442	45,87474
3040	77,3337	45,87474	77,98905	45,87474
3060	77,3337	45,87474	78,64441	45,87474
3080	77,3337	45,87473	78,64441	45,87473
3100	77,33371	45,87473	78,64441	45,87473
3120	77,3337	45,87473	78,64441	45,87473
3140	77,3337	45,87473	79,29977	45,87474
3160	77,3337	45,87473	78,64441	45,87473
3180	77,3337	45,87473	78,64441	45,87473
3200	77,3337	45,87473	78,64441	45,87473
3220	77,98906	45,87473	79,29977	45,87473
3240	77,98906	45,87473	78,64439	45,87473
3260	76,6783	45,87473	78,64438	45,87474
3280	77,33367	45,87474	77,98902	45,87476
3300	76,67831	45,87475	78,64438	45,87476
3320	77,33367	45,87476	77,98903	45,87477
3340	77,33367	45,87477	77,98903	45,87478
3360	76,67832	45,87478	77,98903	45,87479
3380	76,67831	45,87479	77,98903	45,87479
3400	76,67831	45,87479	77,98903	45,8748
3420	76,67831	45,87479	78,64438	45,87479
3440	77,33367	45,87479	78,64438	45,87479
3460	77,33362	45,8748	78,64433	45,87482
3480	77,33363	45,87483	78,64434	45,87484
3500	77,33363	45,87484	78,64434	45,87484
3520	77,33363	45,87483	78,64434	45,87485
3540	77,33363	45,87485	78,64434	45,87485
3560	77,33363	45,87485	78,64434	45,87485
3580	77,33363	45,87485	78,64434	45,87485
3600	77,98899	45,87485	79,2997	45,87485
3620	78,64434	45,87484	79,95505	45,87484
3640	78,64434	45,87483	79,95504	45,87483
3660	78,64432	45,87482	80,61039	45,87482
3680	79,95508	45,87483	81,92124	45,87486
3700	79,95517	45,87484	80,6105	45,87485
3720	79,95515	45,87486	80,6105	45,87485
3740	79,29979	45,87485	81,26586	45,87485
3760	79,95515	45,87484	80,6105	45,87484
