T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,0000000003174E-5	1,0000000003174E-5	-0,65537
40	0	-1,0000000003174E-5	1,0000000003174E-5	-0,65537
60	0	-1,9999999999243E-5	1,0000000003174E-5	-0,65537
80	0,65536	-0,65538	0,65537	-1,31073
100	0,65536	-0,65538	0,65536	-1,31074
120	0,65535000000001	-1,31075	0,65536	-1,96612
140	1,31072	-1,31076	1,31072	-1,96612
160	1,31072	-1,31076	1,31072	-1,96612
180	1,31072	-1,31076	1,31072	-1,96612
200	1,31071	-1,31077	1,31072	-1,96613
220	1,31071	-1,96613	1,31071	-2,62149
240	1,96607	-1,96614	1,31071	-2,62149
260	1,3107	-1,31078	1,3107	-1,96614
280	1,3107	-1,31078	1,31069	-1,96614
300	1,31069	-1,31078	1,31069	-1,96613
320	0,65532	-1,31077	0,65532	-1,31076
340	0,65531	-1,31077	0,65532	-1,31076
360	0,65531	-0,65541	0,65532	-1,31076
380	0,65531	-0,6554	0,65531	-1,31076
400	0,6553	-0,6554	0,6553	-1,31076
420	0,6553	-0,6554	0,6553	-0,6554
440	0,65529	-0,6554	0,65529	-0,65541
460	0,65529	-0,65541	1,31065	-0,65541
480	1,31065	-0,65541	0,65529	-0,65542
500	1,31065	-6,0000000004834E-5	1,31065	-0,65542
520	0,65529	-0,65542	0,6553	-1,31078
540	1,31065	-0,65542	0,65529	-1,96615
560	1,31065	-0,65543	1,31064	-1,3108
580	1,31065	-0,65544000000001	1,31065	-1,96617
600	1,31064	-1,31081	1,31064	-1,31081
620	1,966	-1,31081	1,31064	-1,96618
640	1,31064	-1,31082	1,31064	-1,96617
660	1,31063	-1,31082	1,31063	-2,62153
680	1,31064	-1,96618	1,31064	-2,62154
700	1,966	-1,96619	1,31064	-2,62154
720	1,31064	-1,96618	1,31064	-2,62153
740	1,31064	-1,96617	0,65528	-1,96617
760	1,31064	-1,31081	0,65528	-1,31081
780	1,966	-0,00010000000000332	2,62137	0,65526000000001
800	3,93209	1,31061	4,58745	1,3106
820	5,89817	1,96595	6,55354	0,6552
840	7,86426	1,31054	9,17498	-0,00018999999999636
860	11,79644	0,65517	21,62699	-0,00018999999999636
880	30,14689	0,65519	28,18082	-0,0001399999999947
900	26,87005	1,31059	26,87006	1,31059
920	26,21471	1,31059	25,55935	0,65524000000001
940	24,90398	1,3106	24,90398	-0,00012999999999863
960	24,90399	0,65523	24,90399	-0,00011999999999546
980	25,55935	0,65524	25,55934	-0,00011999999999546
1000	25,55934	-0,00013000000000574	25,55934	-0,00012999999999863
1020	25,55934	0,65524	24,90398	-0,00010999999999939
1040	24,90398	0,65526	24,90398	0,65526000000001
1060	25,55935	0,65526999999999	36,70066	-9,9999999996214E-5
1080	67,50291	1,31063	74,71201	1,96604
1100	67,503	2,62142	65,5369	3,93217
1120	65,53692	4,58754	64,88156	3,9322
1140	64,22619	4,58755	64,22619	3,93219
1160	63,57083	4,58756	63,57083	4,58757
1180	63,57083	5,24292	63,57084	4,58757
1200	63,57083	5,24293	63,57084	4,58759
1220	63,57083	5,8983	63,57083	5,24296
1240	63,57083	5,89831	67,503	5,24295
1260	98,96054	7,86437	123,2093	9,17512
1280	125,1755	9,83052	120,58792	9,83055
1300	119,93254	11,14129	120,58792	11,14131
1320	119,93255	11,79667	119,93255	11,14132
1340	119,93254	12,45204	119,93254	12,45205
1360	119,27717	12,45205	120,5879	12,45206
1380	119,93253	13,10742	120,58789	13,10743
1400	120,58788	13,7628	120,58788	13,10745
1420	120,58788	13,76281	120,58788	13,76281
1440	125,17544	14,41817	138,93828	15,07355
1460	144,83674	16,38431	143,52602	15,72896
1480	142,21526	17,0397	142,21527	17,03971
1500	142,21527	17,69508	142,21527	17,03972
1520	142,21526	17,69508	142,21526	17,03973
1540	142,8706	17,69508	142,21524	17,03972
