T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535999999999	-0,65537	-0,65537	-9,9999999960687E-6
40	-0,65535999999999	0	-1,31073	-0,65535999999999
60	-0,65535	-0,65537	-0,65537	-0,65537
80	-1,31071	-1,31073	-1,31073	-0,65537
100	-1,31072	-0,65537	-1,31072	-0,65537
120	-1,31071	0	-1,31071	0,65537
140	-1,31069	1,31073	-1,96606	1,9661
160	-1,96604	2,62147	-1,96604	3,27684
180	-2,62139	3,27684	-1,96604	3,9322
200	-2,6214	3,9322	-1,96604	3,9322
220	-1,96602	3,9322	-1,96604	3,9322
240	-2,62139	3,9322	-1,96603	4,58757
260	-1,96602	4,58757	-1,31067	4,58757
280	-1,31067	3,27684	-7,86432	1,31082
300	-27,52521	3,27709	-41,94327	4,58796
320	-41,9434	3,9327	-41,94349	3,93271
340	-41,94346	5,24341	-41,94346	5,24342
360	-41,94346	5,24343	-41,94347	5,89878
380	-41,94346	5,89878	-41,94347	6,55414
400	-41,94346	5,89878	-41,94348	5,89878
420	-41,94347	5,24341	-41,94348	5,24341
440	-41,94347	5,24341	-41,94348	5,2434
460	-41,94347	5,2434	-41,94348	5,2434
480	-41,94347	4,58804	-41,94348	4,58804
500	-41,94347	3,93268	-41,94354	0,00055000000000405
520	-41,94362	-2,62088	-41,94366	-1,31016
540	-41,94364	-0,65479999999999	-41,94365	-0,65479
560	-41,94365	0,00057000000000329	-41,94366	1,3113
580	-41,94365	0,65594	-41,94366	1,3113
600	-41,94365	1,31131	-41,94366	1,96667
620	-41,94365	2,62203	-41,94366	2,62204
640	-41,94365	3,27741	-41,94366	3,93277
660	-41,94365	3,93277	-41,94366	4,58814
680	-41,94365	5,2435	-41,94366	5,89887
700	-41,94365	5,89886	-41,94366	7,20959
720	-41,94365	7,2096	-41,94366	8,52032
740	-41,94365	9,17569	-41,94366	10,48642
760	-41,94365	11,14178	-41,94366	12,45251
780	-41,94365	13,10788	-41,94366	14,41861
800	-41,94365	15,72934	-41,94366	17,04006
820	-41,94365	18,35078	-41,94366	19,6615
840	-41,94365	20,31686	-41,94366	21,62758
860	-41,94365	22,9383	-41,94366	24,90438
880	-41,94365	26,2151	-41,94366	28,83654
900	-41,94365	32,11334	-41,94366	36,0455
920	-41,94365	39,97766	-41,94366	43,90982
940	-41,94365	46,53126	-41,94366	46,53126
960	-41,94365	46,53126	-41,94366	46,53126
980	-41,94365	46,53126	-41,94366	46,53126
1000	-41,94365	46,53126	-41,94366	46,53126
