T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65536	0	1,31071
40	0	1,31071	-1,0000000003174E-5	1,96606
60	0,65535	1,96607	0,65535	1,96606
80	0,65535	1,96607	0,65534	2,62141
100	0,65534	1,96606	-1,9999999999243E-5	2,62141
120	0,65534	1,96606	0,65534	1,96605
140	0,65534	2,62142	0,65533	1,96605
160	0,65533	1,96606	0,65534	1,96605
180	0,65534	1,96606	0,65534	1,96604
200	0,65534	0,65533	0,65534	1,31068
220	0,65534	0,65533	0,65535	-3,9999999998486E-5
240	0,65535	0,65533	0,65534	-3,9999999998486E-5
260	-1,0000000003174E-5	-3,0000000002417E-5	0,65535	-3,9999999998486E-5
280	-1,0000000003174E-5	-3,0000000002417E-5	-1,0000000003174E-5	0,65532
300	0	-3,9999999998486E-5	-1,0000000003174E-5	-3,9999999998486E-5
320	-1,0000000003174E-5	-3,9999999998486E-5	-1,0000000003174E-5	-4,9999999994554E-5
340	0,65534	-3,0000000002417E-5	-1,0000000003174E-5	-3,9999999998486E-5
360	-1,0000000003174E-5	-3,9999999998486E-5	0,65535	0,65531
380	0,65535	0,65532	0,65535	1,31067
400	0,65535	1,31067	0,65535	1,31067
420	0,65535	1,31067	1,31071	1,96603
440	0,65534	1,96603	1,31071	2,62139
460	1,31071	2,62139	1,31071	2,62139
480	1,3107	3,27675	0,65534	2,62139
500	1,3107	3,27675	1,3107	3,27674
520	0,65534	2,62139	0,65534	3,27675
540	0,65535	1,96603	-1,96613	1,31066
560	-1,96614	0,65529	-1,31078	1,31065
580	-0,65542	1,31066	-0,65542	1,31064
600	-0,65542	0,65529	-0,65542	0,65527
620	-0,65542	0,65528	-0,65542	-9,0000000000146E-5
640	-0,65543	-9,0000000000146E-5	-0,65543	-9,9999999996214E-5
660	-0,65542	-0,65545	-0,65543	-0,65546
680	-0,65543	-0,65545	-0,65543	-9,9999999996214E-5
700	-0,65542	-0,00010000000000332	-0,65542	-0,65547
720	-5,9999999997729E-5	-0,65546000000001	-0,65542	-0,65547
740	-5,000000000166E-5	-1,31082	-5,9999999997729E-5	-0,65547
760	-5,000000000166E-5	-1,31083	-5,000000000166E-5	-1,31084
780	-5,000000000166E-5	-1,31083	-0,65542	-1,96621
800	-5,9999999997729E-5	-1,96619	-5,000000000166E-5	-1,96621
820	-5,000000000166E-5	-1,9662	-5,9999999997729E-5	-1,96621
840	-5,9999999997729E-5	-2,62156	-0,65542	-1,96621
860	-5,9999999997729E-5	-1,31084	-5,9999999997729E-5	-1,31084
880	-5,9999999997729E-5	-1,31084	-5,9999999997729E-5	-1,31084
900	-5,9999999997729E-5	-0,65547	0,6553	-0,65548
920	0,65529	-0,00010000000000332	0,6553	-0,00011999999999546
940	1,31067	-0,00010999999999939	-7,0000000000903E-5	-0,65548
960	-11,1414	-0,65548	-33,42401	1,31055
980	-47,18668	2,62127	-48,4974	5,24272
1000	-43,90988	9,83027	-41,9438	15,0732
1020	-41,28844	20,31611	-41,28844	23,59293
1040	-39,97772	23,59295	-39,97772	24,24832
1060	-39,32236	24,90371	-39,32236	25,55907
1080	-38,667	26,21445	-38,01164	29,49124
1100	-36,70092	30,14662	-36,70092	30,14662
1120	-36,70092	30,14662	-36,04556	29,49126
1140	-35,38765	29,49126	-30,14732	26,86981
1160	-24,90435	21,62692	-26,21507	22,93762
1180	-26,21508	24,90373	-26,21508	25,5591
1200	-26,87044	25,5591	-27,52581	26,21446
1220	-27,52581	26,21447	-27,52583	24,24837
1240	-27,52583	23,59302	-27,52585	21,62693
1260	-27,52585	20,97158	-27,52586	20,3162
1280	-27,52585	19,00548	-28,18121	19,66084
1300	-28,18121	20,31621	-27,52585	20,3162
1320	-28,18121	20,31621	-28,83657	20,3162
1340	-28,83657	20,3162	-28,83657	20,3162
1360	-28,83658	19,66083	-28,83658	19,66082
1380	-28,83659	19,00545	-28,83658	18,35007
1400	-28,8366	17,69472	-28,8366	17,03934
1420	-28,8366	16,38398	-28,8366	16,38397
1440	-28,8366	15,72862	-28,8366	15,07325
1460	-28,8366	15,07325	-28,8366	14,41789
1480	-28,8366	14,41789	-29,49196	14,41788
1500	-29,49196	14,41789	-29,49196	13,76252
1520	-21,62755	11,79643	-16,38453	7,20887
1540	-17,03987	7,86422	-17,69526	9,8303
1560	-17,0399	9,83032	-17,0399	9,83031
1580	-17,0399	9,17495	-17,69526	9,8303
1600	-17,0399	9,17495	-17,69526	9,17494
1620	-17,0399	9,83031	-17,03989	9,17493
1640	-16,38453	9,17494	-16,38452	9,17493
1660	-16,38452	9,17494	-16,38451	9,8303
